,ADM LN Equity
,RETURN_COM_EQY
2010-01-01,54.501
2010-01-02,54.501
2010-01-03,54.501
2010-01-04,54.501
2010-01-05,54.501
2010-01-06,54.501
2010-01-07,54.501
2010-01-08,54.501
2010-01-09,54.501
2010-01-10,54.501
2010-01-11,54.501
2010-01-12,54.501
2010-01-13,54.501
2010-01-14,54.501
2010-01-15,54.501
2010-01-16,54.501
2010-01-17,54.501
2010-01-18,54.501
2010-01-19,54.501
2010-01-20,54.501
2010-01-21,54.501
2010-01-22,54.501
2010-01-23,54.501
2010-01-24,54.501
2010-01-25,54.501
2010-01-26,54.501
2010-01-27,54.501
2010-01-28,54.501
2010-01-29,54.501
2010-01-30,54.501
2010-01-31,54.501
2010-02-01,54.501
2010-02-02,54.501
2010-02-03,54.501
2010-02-04,54.501
2010-02-05,54.501
2010-02-06,54.501
2010-02-07,54.501
2010-02-08,54.501
2010-02-09,54.501
2010-02-10,54.501
2010-02-11,54.501
2010-02-12,54.501
2010-02-13,54.501
2010-02-14,54.501
2010-02-15,54.501
2010-02-16,54.501
2010-02-17,54.501
2010-02-18,54.501
2010-02-19,54.501
2010-02-20,54.501
2010-02-21,54.501
2010-02-22,54.501
2010-02-23,54.501
2010-02-24,54.501
2010-02-25,54.501
2010-02-26,54.501
2010-02-27,54.501
2010-02-28,54.501
2010-03-01,54.501
2010-03-02,54.501
2010-03-03,54.501
2010-03-04,54.501
2010-03-05,54.501
2010-03-06,54.501
2010-03-07,54.501
2010-03-08,54.501
2010-03-09,54.501
2010-03-10,54.501
2010-03-11,54.501
2010-03-12,54.501
2010-03-13,54.501
2010-03-14,54.501
2010-03-15,54.501
2010-03-16,54.501
2010-03-17,54.501
2010-03-18,54.501
2010-03-19,54.501
2010-03-20,54.501
2010-03-21,54.501
2010-03-22,54.501
2010-03-23,54.501
2010-03-24,54.501
2010-03-25,54.501
2010-03-26,54.501
2010-03-27,54.501
2010-03-28,54.501
2010-03-29,54.501
2010-03-30,54.501
2010-03-31,54.501
2010-04-01,54.501
2010-04-02,54.501
2010-04-03,54.501
2010-04-04,54.501
2010-04-05,54.501
2010-04-06,54.501
2010-04-07,54.501
2010-04-08,54.501
2010-04-09,54.501
2010-04-10,54.501
2010-04-11,54.501
2010-04-12,54.501
2010-04-13,54.501
2010-04-14,54.501
2010-04-15,54.501
2010-04-16,54.501
2010-04-17,54.501
2010-04-18,54.501
2010-04-19,54.501
2010-04-20,54.501
2010-04-21,54.501
2010-04-22,54.501
2010-04-23,54.501
2010-04-24,54.501
2010-04-25,54.501
2010-04-26,54.501
2010-04-27,54.501
2010-04-28,54.501
2010-04-29,54.501
2010-04-30,54.501
2010-05-01,54.501
2010-05-02,54.501
2010-05-03,54.501
2010-05-04,54.501
2010-05-05,54.501
2010-05-06,54.501
2010-05-07,54.501
2010-05-08,54.501
2010-05-09,54.501
2010-05-10,54.501
2010-05-11,54.501
2010-05-12,54.501
2010-05-13,54.501
2010-05-14,54.501
2010-05-15,54.501
2010-05-16,54.501
2010-05-17,54.501
2010-05-18,54.501
2010-05-19,54.501
2010-05-20,54.501
2010-05-21,54.501
2010-05-22,54.501
2010-05-23,54.501
2010-05-24,54.501
2010-05-25,54.501
2010-05-26,54.501
2010-05-27,54.501
2010-05-28,54.501
2010-05-29,54.501
2010-05-30,54.501
2010-05-31,54.501
2010-06-01,54.501
2010-06-02,54.501
2010-06-03,54.501
2010-06-04,54.501
2010-06-05,54.501
2010-06-06,54.501
2010-06-07,54.501
2010-06-08,54.501
2010-06-09,54.501
2010-06-10,54.501
2010-06-11,54.501
2010-06-12,54.501
2010-06-13,54.501
2010-06-14,54.501
2010-06-15,54.501
2010-06-16,54.501
2010-06-17,54.501
2010-06-18,54.501
2010-06-19,54.501
2010-06-20,54.501
2010-06-21,54.501
2010-06-22,54.501
2010-06-23,54.501
2010-06-24,54.501
2010-06-25,54.501
2010-06-26,54.501
2010-06-27,54.501
2010-06-28,54.501
2010-06-29,54.501
2010-06-30,56.9157
2010-07-01,56.9157
2010-07-02,56.9157
2010-07-03,56.9157
2010-07-04,56.9157
2010-07-05,56.9157
2010-07-06,56.9157
2010-07-07,56.9157
2010-07-08,56.9157
2010-07-09,56.9157
2010-07-10,56.9157
2010-07-11,56.9157
2010-07-12,56.9157
2010-07-13,56.9157
2010-07-14,56.9157
2010-07-15,56.9157
2010-07-16,56.9157
2010-07-17,56.9157
2010-07-18,56.9157
2010-07-19,56.9157
2010-07-20,56.9157
2010-07-21,56.9157
2010-07-22,56.9157
2010-07-23,56.9157
2010-07-24,56.9157
2010-07-25,56.9157
2010-07-26,56.9157
2010-07-27,56.9157
2010-07-28,56.9157
2010-07-29,56.9157
2010-07-30,56.9157
2010-07-31,56.9157
2010-08-01,56.9157
2010-08-02,56.9157
2010-08-03,56.9157
2010-08-04,56.9157
2010-08-05,56.9157
2010-08-06,56.9157
2010-08-07,56.9157
2010-08-08,56.9157
2010-08-09,56.9157
2010-08-10,56.9157
2010-08-11,56.9157
2010-08-12,56.9157
2010-08-13,56.9157
2010-08-14,56.9157
2010-08-15,56.9157
2010-08-16,56.9157
2010-08-17,56.9157
2010-08-18,56.9157
2010-08-19,56.9157
2010-08-20,56.9157
2010-08-21,56.9157
2010-08-22,56.9157
2010-08-23,56.9157
2010-08-24,56.9157
2010-08-25,56.9157
2010-08-26,56.9157
2010-08-27,56.9157
2010-08-28,56.9157
2010-08-29,56.9157
2010-08-30,56.9157
2010-08-31,56.9157
2010-09-01,56.9157
2010-09-02,56.9157
2010-09-03,56.9157
2010-09-04,56.9157
2010-09-05,56.9157
2010-09-06,56.9157
2010-09-07,56.9157
2010-09-08,56.9157
2010-09-09,56.9157
2010-09-10,56.9157
2010-09-11,56.9157
2010-09-12,56.9157
2010-09-13,56.9157
2010-09-14,56.9157
2010-09-15,56.9157
2010-09-16,56.9157
2010-09-17,56.9157
2010-09-18,56.9157
2010-09-19,56.9157
2010-09-20,56.9157
2010-09-21,56.9157
2010-09-22,56.9157
2010-09-23,56.9157
2010-09-24,56.9157
2010-09-25,56.9157
2010-09-26,56.9157
2010-09-27,56.9157
2010-09-28,56.9157
2010-09-29,56.9157
2010-09-30,56.9157
2010-10-01,56.9157
2010-10-02,56.9157
2010-10-03,56.9157
2010-10-04,56.9157
2010-10-05,56.9157
2010-10-06,56.9157
2010-10-07,56.9157
2010-10-08,56.9157
2010-10-09,56.9157
2010-10-10,56.9157
2010-10-11,56.9157
2010-10-12,56.9157
2010-10-13,56.9157
2010-10-14,56.9157
2010-10-15,56.9157
2010-10-16,56.9157
2010-10-17,56.9157
2010-10-18,56.9157
2010-10-19,56.9157
2010-10-20,56.9157
2010-10-21,56.9157
2010-10-22,56.9157
2010-10-23,56.9157
2010-10-24,56.9157
2010-10-25,56.9157
2010-10-26,56.9157
2010-10-27,56.9157
2010-10-28,56.9157
2010-10-29,56.9157
2010-10-30,56.9157
2010-10-31,56.9157
2010-11-01,56.9157
2010-11-02,56.9157
2010-11-03,56.9157
2010-11-04,56.9157
2010-11-05,56.9157
2010-11-06,56.9157
2010-11-07,56.9157
2010-11-08,56.9157
2010-11-09,56.9157
2010-11-10,56.9157
2010-11-11,56.9157
2010-11-12,56.9157
2010-11-13,56.9157
2010-11-14,56.9157
2010-11-15,56.9157
2010-11-16,56.9157
2010-11-17,56.9157
2010-11-18,56.9157
2010-11-19,56.9157
2010-11-20,56.9157
2010-11-21,56.9157
2010-11-22,56.9157
2010-11-23,56.9157
2010-11-24,56.9157
2010-11-25,56.9157
2010-11-26,56.9157
2010-11-27,56.9157
2010-11-28,56.9157
2010-11-29,56.9157
2010-11-30,56.9157
2010-12-01,56.9157
2010-12-02,56.9157
2010-12-03,56.9157
2010-12-04,56.9157
2010-12-05,56.9157
2010-12-06,56.9157
2010-12-07,56.9157
2010-12-08,56.9157
2010-12-09,56.9157
2010-12-10,56.9157
2010-12-11,56.9157
2010-12-12,56.9157
2010-12-13,56.9157
2010-12-14,56.9157
2010-12-15,56.9157
2010-12-16,56.9157
2010-12-17,56.9157
2010-12-18,56.9157
2010-12-19,56.9157
2010-12-20,56.9157
2010-12-21,56.9157
2010-12-22,56.9157
2010-12-23,56.9157
2010-12-24,56.9157
2010-12-25,56.9157
2010-12-26,56.9157
2010-12-27,56.9157
2010-12-28,56.9157
2010-12-29,56.9157
2010-12-30,56.9157
2010-12-31,59.5849
2011-01-01,59.5849
2011-01-02,59.5849
2011-01-03,59.5849
2011-01-04,59.5849
2011-01-05,59.5849
2011-01-06,59.5849
2011-01-07,59.5849
2011-01-08,59.5849
2011-01-09,59.5849
2011-01-10,59.5849
2011-01-11,59.5849
2011-01-12,59.5849
2011-01-13,59.5849
2011-01-14,59.5849
2011-01-15,59.5849
2011-01-16,59.5849
2011-01-17,59.5849
2011-01-18,59.5849
2011-01-19,59.5849
2011-01-20,59.5849
2011-01-21,59.5849
2011-01-22,59.5849
2011-01-23,59.5849
2011-01-24,59.5849
2011-01-25,59.5849
2011-01-26,59.5849
2011-01-27,59.5849
2011-01-28,59.5849
2011-01-29,59.5849
2011-01-30,59.5849
2011-01-31,59.5849
2011-02-01,59.5849
2011-02-02,59.5849
2011-02-03,59.5849
2011-02-04,59.5849
2011-02-05,59.5849
2011-02-06,59.5849
2011-02-07,59.5849
2011-02-08,59.5849
2011-02-09,59.5849
2011-02-10,59.5849
2011-02-11,59.5849
2011-02-12,59.5849
2011-02-13,59.5849
2011-02-14,59.5849
2011-02-15,59.5849
2011-02-16,59.5849
2011-02-17,59.5849
2011-02-18,59.5849
2011-02-19,59.5849
2011-02-20,59.5849
2011-02-21,59.5849
2011-02-22,59.5849
2011-02-23,59.5849
2011-02-24,59.5849
2011-02-25,59.5849
2011-02-26,59.5849
2011-02-27,59.5849
2011-02-28,59.5849
2011-03-01,59.5849
2011-03-02,59.5849
2011-03-03,59.5849
2011-03-04,59.5849
2011-03-05,59.5849
2011-03-06,59.5849
2011-03-07,59.5849
2011-03-08,59.5849
2011-03-09,59.5849
2011-03-10,59.5849
2011-03-11,59.5849
2011-03-12,59.5849
2011-03-13,59.5849
2011-03-14,59.5849
2011-03-15,59.5849
2011-03-16,59.5849
2011-03-17,59.5849
2011-03-18,59.5849
2011-03-19,59.5849
2011-03-20,59.5849
2011-03-21,59.5849
2011-03-22,59.5849
2011-03-23,59.5849
2011-03-24,59.5849
2011-03-25,59.5849
2011-03-26,59.5849
2011-03-27,59.5849
2011-03-28,59.5849
