,AAPL US Equity
,RETURN_COM_EQY
2020-01-01,55.4683
2020-01-02,55.4683
2020-01-03,55.4683
2020-01-04,55.4683
2020-01-05,55.4683
2020-01-06,55.4683
2020-01-07,55.4683
2020-01-08,55.4683
2020-01-09,55.4683
2020-01-10,55.4683
2020-01-11,55.4683
2020-01-12,55.4683
2020-01-13,55.4683
2020-01-14,55.4683
2020-01-15,55.4683
2020-01-16,55.4683
2020-01-17,55.4683
2020-01-18,55.4683
2020-01-19,55.4683
2020-01-20,55.4683
2020-01-21,55.4683
2020-01-22,55.4683
2020-01-23,55.4683
2020-01-24,55.4683
2020-01-25,55.4683
2020-01-26,55.4683
2020-01-27,55.4683
2020-01-28,55.4683
2020-01-29,55.4683
2020-01-30,55.4683
2020-01-31,55.4683
2020-02-01,55.4683
2020-02-02,55.4683
2020-02-03,55.4683
2020-02-04,55.4683
2020-02-05,55.4683
2020-02-06,55.4683
2020-02-07,55.4683
2020-02-08,55.4683
2020-02-09,55.4683
2020-02-10,55.4683
2020-02-11,55.4683
2020-02-12,55.4683
2020-02-13,55.4683
2020-02-14,55.4683
2020-02-15,55.4683
2020-02-16,55.4683
2020-02-17,55.4683
2020-02-18,55.4683
2020-02-19,55.4683
2020-02-20,55.4683
2020-02-21,55.4683
2020-02-22,55.4683
2020-02-23,55.4683
2020-02-24,55.4683
2020-02-25,55.4683
2020-02-26,55.4683
2020-02-27,55.4683
2020-02-28,55.4683
2020-02-29,55.4683
2020-03-01,55.4683
2020-03-02,55.4683
2020-03-03,55.4683
2020-03-04,55.4683
2020-03-05,55.4683
2020-03-06,55.4683
2020-03-07,55.4683
2020-03-08,55.4683
2020-03-09,55.4683
2020-03-10,55.4683
2020-03-11,55.4683
2020-03-12,55.4683
2020-03-13,55.4683
2020-03-14,55.4683
2020-03-15,55.4683
2020-03-16,55.4683
2020-03-17,55.4683
2020-03-18,55.4683
2020-03-19,55.4683
2020-03-20,55.4683
2020-03-21,55.4683
2020-03-22,55.4683
2020-03-23,55.4683
2020-03-24,55.4683
2020-03-25,55.4683
2020-03-26,55.4683
2020-03-27,55.4683
2020-03-28,62.094
2020-03-29,62.094
2020-03-30,62.094
2020-03-31,62.094
2020-04-01,62.094
2020-04-02,62.094
2020-04-03,62.094
2020-04-04,62.094
2020-04-05,62.094
2020-04-06,62.094
2020-04-07,62.094
2020-04-08,62.094
2020-04-09,62.094
2020-04-10,62.094
2020-04-11,62.094
2020-04-12,62.094
2020-04-13,62.094
2020-04-14,62.094
2020-04-15,62.094
2020-04-16,62.094
2020-04-17,62.094
2020-04-18,62.094
2020-04-19,62.094
2020-04-20,62.094
2020-04-21,62.094
2020-04-22,62.094
2020-04-23,62.094
2020-04-24,62.094
2020-04-25,62.094
2020-04-26,62.094
2020-04-27,62.094
2020-04-28,62.094
2020-04-29,62.094
2020-04-30,62.094
2020-05-01,62.094
2020-05-02,62.094
2020-05-03,62.094
2020-05-04,62.094
2020-05-05,62.094
2020-05-06,62.094
2020-05-07,62.094
2020-05-08,62.094
2020-05-09,62.094
2020-05-10,62.094
2020-05-11,62.094
2020-05-12,62.094
2020-05-13,62.094
2020-05-14,62.094
2020-05-15,62.094
2020-05-16,62.094
2020-05-17,62.094
2020-05-18,62.094
2020-05-19,62.094
2020-05-20,62.094
2020-05-21,62.094
2020-05-22,62.094
2020-05-23,62.094
2020-05-24,62.094
2020-05-25,62.094
2020-05-26,62.094
2020-05-27,62.094
2020-05-28,62.094
2020-05-29,62.094
2020-05-30,62.094
2020-05-31,62.094
2020-06-01,62.094
2020-06-02,62.094
2020-06-03,62.094
2020-06-04,62.094
2020-06-05,62.094
2020-06-06,62.094
2020-06-07,62.094
2020-06-08,62.094
2020-06-09,62.094
2020-06-10,62.094
2020-06-11,62.094
2020-06-12,62.094
2020-06-13,62.094
2020-06-14,62.094
2020-06-15,62.094
2020-06-16,62.094
2020-06-17,62.094
2020-06-18,62.094
2020-06-19,62.094
2020-06-20,62.094
2020-06-21,62.094
2020-06-22,62.094
2020-06-23,62.094
2020-06-24,62.094
2020-06-25,62.094
2020-06-26,62.094
2020-06-27,69.2482
2020-06-28,69.2482
2020-06-29,69.2482
2020-06-30,69.2482
2020-07-01,69.2482
2020-07-02,69.2482
2020-07-03,69.2482
2020-07-04,69.2482
2020-07-05,69.2482
2020-07-06,69.2482
2020-07-07,69.2482
2020-07-08,69.2482
2020-07-09,69.2482
2020-07-10,69.2482
2020-07-11,69.2482
2020-07-12,69.2482
2020-07-13,69.2482
2020-07-14,69.2482
2020-07-15,69.2482
2020-07-16,69.2482
2020-07-17,69.2482
2020-07-18,69.2482
2020-07-19,69.2482
2020-07-20,69.2482
2020-07-21,69.2482
2020-07-22,69.2482
2020-07-23,69.2482
2020-07-24,69.2482
2020-07-25,69.2482
2020-07-26,69.2482
2020-07-27,69.2482
2020-07-28,69.2482
2020-07-29,69.2482
2020-07-30,69.2482
2020-07-31,69.2482
2020-08-01,69.2482
2020-08-02,69.2482
2020-08-03,69.2482
2020-08-04,69.2482
2020-08-05,69.2482
2020-08-06,69.2482
2020-08-07,69.2482
2020-08-08,69.2482
2020-08-09,69.2482
2020-08-10,69.2482
2020-08-11,69.2482
2020-08-12,69.2482
2020-08-13,69.2482
2020-08-14,69.2482
2020-08-15,69.2482
2020-08-16,69.2482
2020-08-17,69.2482
2020-08-18,69.2482
2020-08-19,69.2482
2020-08-20,69.2482
2020-08-21,69.2482
2020-08-22,69.2482
2020-08-23,69.2482
2020-08-24,69.2482
2020-08-25,69.2482
2020-08-26,69.2482
2020-08-27,69.2482
2020-08-28,69.2482
2020-08-29,69.2482
2020-08-30,69.2482
2020-08-31,69.2482
2020-09-01,69.2482
2020-09-02,69.2482
2020-09-03,69.2482
2020-09-04,69.2482
2020-09-05,69.2482
2020-09-06,69.2482
2020-09-07,69.2482
2020-09-08,69.2482
2020-09-09,69.2482
2020-09-10,69.2482
2020-09-11,69.2482
2020-09-12,69.2482
2020-09-13,69.2482
2020-09-14,69.2482
2020-09-15,69.2482
2020-09-16,69.2482
2020-09-17,69.2482
2020-09-18,69.2482
2020-09-19,69.2482
2020-09-20,69.2482
2020-09-21,69.2482
2020-09-22,69.2482
2020-09-23,69.2482
2020-09-24,69.2482
2020-09-25,69.2482
2020-09-26,73.6856
2020-09-27,73.6856
2020-09-28,73.6856
2020-09-29,73.6856
2020-09-30,73.6856
2020-10-01,73.6856
2020-10-02,73.6856
2020-10-03,73.6856
2020-10-04,73.6856
2020-10-05,73.6856
2020-10-06,73.6856
2020-10-07,73.6856
2020-10-08,73.6856
2020-10-09,73.6856
2020-10-10,73.6856
2020-10-11,73.6856
2020-10-12,73.6856
2020-10-13,73.6856
2020-10-14,73.6856
2020-10-15,73.6856
2020-10-16,73.6856
2020-10-17,73.6856
2020-10-18,73.6856
2020-10-19,73.6856
2020-10-20,73.6856
2020-10-21,73.6856
2020-10-22,73.6856
2020-10-23,73.6856
2020-10-24,73.6856
2020-10-25,73.6856
2020-10-26,73.6856
2020-10-27,73.6856
2020-10-28,73.6856
2020-10-29,73.6856
2020-10-30,73.6856
2020-10-31,73.6856
2020-11-01,73.6856
2020-11-02,73.6856
2020-11-03,73.6856
2020-11-04,73.6856
2020-11-05,73.6856
2020-11-06,73.6856
2020-11-07,73.6856
2020-11-08,73.6856
2020-11-09,73.6856
2020-11-10,73.6856
2020-11-11,73.6856
2020-11-12,73.6856
2020-11-13,73.6856
2020-11-14,73.6856
2020-11-15,73.6856
2020-11-16,73.6856
2020-11-17,73.6856
2020-11-18,73.6856
2020-11-19,73.6856
2020-11-20,73.6856
2020-11-21,73.6856
2020-11-22,73.6856
2020-11-23,73.6856
