,ALGT US Equity
,RETURN_COM_EQY
2020-01-01,29.0602
2020-01-02,29.0602
2020-01-03,29.0602
2020-01-04,29.0602
2020-01-05,29.0602
2020-01-06,29.0602
2020-01-07,29.0602
2020-01-08,29.0602
2020-01-09,29.0602
2020-01-10,29.0602
2020-01-11,29.0602
2020-01-12,29.0602
2020-01-13,29.0602
2020-01-14,29.0602
2020-01-15,29.0602
2020-01-16,29.0602
2020-01-17,29.0602
2020-01-18,29.0602
2020-01-19,29.0602
2020-01-20,29.0602
2020-01-21,29.0602
2020-01-22,29.0602
2020-01-23,29.0602
2020-01-24,29.0602
2020-01-25,29.0602
2020-01-26,29.0602
2020-01-27,29.0602
2020-01-28,29.0602
2020-01-29,29.0602
2020-01-30,29.0602
2020-01-31,29.0602
2020-02-01,29.0602
2020-02-02,29.0602
2020-02-03,29.0602
2020-02-04,29.0602
2020-02-05,29.0602
2020-02-06,29.0602
2020-02-07,29.0602
2020-02-08,29.0602
2020-02-09,29.0602
2020-02-10,29.0602
2020-02-11,29.0602
2020-02-12,29.0602
2020-02-13,29.0602
2020-02-14,29.0602
2020-02-15,29.0602
2020-02-16,29.0602
2020-02-17,29.0602
2020-02-18,29.0602
2020-02-19,29.0602
2020-02-20,29.0602
2020-02-21,29.0602
2020-02-22,29.0602
2020-02-23,29.0602
2020-02-24,29.0602
2020-02-25,29.0602
2020-02-26,29.0602
2020-02-27,29.0602
2020-02-28,29.0602
2020-02-29,29.0602
2020-03-01,29.0602
2020-03-02,29.0602
2020-03-03,29.0602
2020-03-04,29.0602
2020-03-05,29.0602
2020-03-06,29.0602
2020-03-07,29.0602
2020-03-08,29.0602
2020-03-09,29.0602
2020-03-10,29.0602
2020-03-11,29.0602
2020-03-12,29.0602
2020-03-13,29.0602
2020-03-14,29.0602
2020-03-15,29.0602
2020-03-16,29.0602
2020-03-17,29.0602
2020-03-18,29.0602
2020-03-19,29.0602
2020-03-20,29.0602
2020-03-21,29.0602
2020-03-22,29.0602
2020-03-23,29.0602
2020-03-24,29.0602
2020-03-25,29.0602
2020-03-26,29.0602
2020-03-27,29.0602
2020-03-28,29.0602
2020-03-29,29.0602
2020-03-30,29.0602
2020-03-31,17.9694
2020-04-01,17.9694
2020-04-02,17.9694
2020-04-03,17.9694
2020-04-04,17.9694
2020-04-05,17.9694
2020-04-06,17.9694
2020-04-07,17.9694
2020-04-08,17.9694
2020-04-09,17.9694
2020-04-10,17.9694
2020-04-11,17.9694
2020-04-12,17.9694
2020-04-13,17.9694
2020-04-14,17.9694
2020-04-15,17.9694
2020-04-16,17.9694
2020-04-17,17.9694
2020-04-18,17.9694
2020-04-19,17.9694
2020-04-20,17.9694
2020-04-21,17.9694
2020-04-22,17.9694
2020-04-23,17.9694
2020-04-24,17.9694
2020-04-25,17.9694
2020-04-26,17.9694
2020-04-27,17.9694
2020-04-28,17.9694
2020-04-29,17.9694
2020-04-30,17.9694
2020-05-01,17.9694
2020-05-02,17.9694
2020-05-03,17.9694
2020-05-04,17.9694
2020-05-05,17.9694
2020-05-06,17.9694
2020-05-07,17.9694
2020-05-08,17.9694
2020-05-09,17.9694
2020-05-10,17.9694
2020-05-11,17.9694
2020-05-12,17.9694
2020-05-13,17.9694
2020-05-14,17.9694
2020-05-15,17.9694
2020-05-16,17.9694
2020-05-17,17.9694
2020-05-18,17.9694
2020-05-19,17.9694
2020-05-20,17.9694
2020-05-21,17.9694
2020-05-22,17.9694
2020-05-23,17.9694
2020-05-24,17.9694
2020-05-25,17.9694
2020-05-26,17.9694
2020-05-27,17.9694
2020-05-28,17.9694
2020-05-29,17.9694
2020-05-30,17.9694
2020-05-31,17.9694
2020-06-01,17.9694
2020-06-02,17.9694
2020-06-03,17.9694
2020-06-04,17.9694
2020-06-05,17.9694
2020-06-06,17.9694
2020-06-07,17.9694
2020-06-08,17.9694
2020-06-09,17.9694
2020-06-10,17.9694
2020-06-11,17.9694
2020-06-12,17.9694
2020-06-13,17.9694
2020-06-14,17.9694
2020-06-15,17.9694
2020-06-16,17.9694
2020-06-17,17.9694
2020-06-18,17.9694
2020-06-19,17.9694
2020-06-20,17.9694
2020-06-21,17.9694
2020-06-22,17.9694
2020-06-23,17.9694
2020-06-24,17.9694
2020-06-25,17.9694
2020-06-26,17.9694
2020-06-27,17.9694
2020-06-28,17.9694
2020-06-29,17.9694
2020-06-30,-3.0542
2020-07-01,-3.0542
2020-07-02,-3.0542
2020-07-03,-3.0542
2020-07-04,-3.0542
