,AMGN US Equity
,RETURN_COM_EQY
2020-01-01,70.7347
2020-01-02,70.7347
2020-01-03,70.7347
2020-01-04,70.7347
2020-01-05,70.7347
2020-01-06,70.7347
2020-01-07,70.7347
2020-01-08,70.7347
2020-01-09,70.7347
2020-01-10,70.7347
2020-01-11,70.7347
2020-01-12,70.7347
2020-01-13,70.7347
2020-01-14,70.7347
2020-01-15,70.7347
2020-01-16,70.7347
2020-01-17,70.7347
2020-01-18,70.7347
2020-01-19,70.7347
2020-01-20,70.7347
2020-01-21,70.7347
2020-01-22,70.7347
2020-01-23,70.7347
2020-01-24,70.7347
2020-01-25,70.7347
2020-01-26,70.7347
2020-01-27,70.7347
2020-01-28,70.7347
2020-01-29,70.7347
2020-01-30,70.7347
2020-01-31,70.7347
2020-02-01,70.7347
2020-02-02,70.7347
2020-02-03,70.7347
2020-02-04,70.7347
2020-02-05,70.7347
2020-02-06,70.7347
2020-02-07,70.7347
2020-02-08,70.7347
2020-02-09,70.7347
2020-02-10,70.7347
2020-02-11,70.7347
2020-02-12,70.7347
2020-02-13,70.7347
2020-02-14,70.7347
2020-02-15,70.7347
2020-02-16,70.7347
2020-02-17,70.7347
2020-02-18,70.7347
2020-02-19,70.7347
2020-02-20,70.7347
2020-02-21,70.7347
2020-02-22,70.7347
2020-02-23,70.7347
2020-02-24,70.7347
2020-02-25,70.7347
2020-02-26,70.7347
2020-02-27,70.7347
2020-02-28,70.7347
2020-02-29,70.7347
2020-03-01,70.7347
2020-03-02,70.7347
2020-03-03,70.7347
2020-03-04,70.7347
2020-03-05,70.7347
2020-03-06,70.7347
2020-03-07,70.7347
2020-03-08,70.7347
2020-03-09,70.7347
2020-03-10,70.7347
2020-03-11,70.7347
2020-03-12,70.7347
2020-03-13,70.7347
2020-03-14,70.7347
2020-03-15,70.7347
2020-03-16,70.7347
2020-03-17,70.7347
2020-03-18,70.7347
2020-03-19,70.7347
2020-03-20,70.7347
2020-03-21,70.7347
2020-03-22,70.7347
2020-03-23,70.7347
2020-03-24,70.7347
2020-03-25,70.7347
2020-03-26,70.7347
2020-03-27,70.7347
2020-03-28,70.7347
2020-03-29,70.7347
2020-03-30,70.7347
2020-03-31,75.5525
2020-04-01,75.5525
2020-04-02,75.5525
2020-04-03,75.5525
2020-04-04,75.5525
2020-04-05,75.5525
2020-04-06,75.5525
2020-04-07,75.5525
2020-04-08,75.5525
2020-04-09,75.5525
2020-04-10,75.5525
2020-04-11,75.5525
2020-04-12,75.5525
2020-04-13,75.5525
2020-04-14,75.5525
2020-04-15,75.5525
2020-04-16,75.5525
2020-04-17,75.5525
2020-04-18,75.5525
2020-04-19,75.5525
2020-04-20,75.5525
2020-04-21,75.5525
2020-04-22,75.5525
2020-04-23,75.5525
2020-04-24,75.5525
2020-04-25,75.5525
2020-04-26,75.5525
2020-04-27,75.5525
2020-04-28,75.5525
2020-04-29,75.5525
2020-04-30,75.5525
2020-05-01,75.5525
2020-05-02,75.5525
2020-05-03,75.5525
2020-05-04,75.5525
2020-05-05,75.5525
2020-05-06,75.5525
2020-05-07,75.5525
2020-05-08,75.5525
2020-05-09,75.5525
2020-05-10,75.5525
2020-05-11,75.5525
2020-05-12,75.5525
2020-05-13,75.5525
2020-05-14,75.5525
2020-05-15,75.5525
2020-05-16,75.5525
2020-05-17,75.5525
2020-05-18,75.5525
2020-05-19,75.5525
2020-05-20,75.5525
2020-05-21,75.5525
2020-05-22,75.5525
2020-05-23,75.5525
2020-05-24,75.5525
2020-05-25,75.5525
2020-05-26,75.5525
2020-05-27,75.5525
2020-05-28,75.5525
2020-05-29,75.5525
2020-05-30,75.5525
2020-05-31,75.5525
2020-06-01,75.5525
2020-06-02,75.5525
2020-06-03,75.5525
2020-06-04,75.5525
2020-06-05,75.5525
2020-06-06,75.5525
2020-06-07,75.5525
2020-06-08,75.5525
2020-06-09,75.5525
2020-06-10,75.5525
2020-06-11,75.5525
2020-06-12,75.5525
2020-06-13,75.5525
2020-06-14,75.5525
2020-06-15,75.5525
2020-06-16,75.5525
2020-06-17,75.5525
2020-06-18,75.5525
2020-06-19,75.5525
2020-06-20,75.5525
2020-06-21,75.5525
2020-06-22,75.5525
2020-06-23,75.5525
2020-06-24,75.5525
2020-06-25,75.5525
2020-06-26,75.5525
2020-06-27,75.5525
2020-06-28,75.5525
2020-06-29,75.5525
2020-06-30,68.0464
2020-07-01,68.0464
2020-07-02,68.0464
2020-07-03,68.0464
2020-07-04,68.0464
2020-07-05,68.0464
2020-07-06,68.0464
2020-07-07,68.0464
2020-07-08,68.0464
2020-07-09,68.0464
2020-07-10,68.0464
2020-07-11,68.0464
2020-07-12,68.0464
2020-07-13,68.0464
2020-07-14,68.0464
2020-07-15,68.0464
2020-07-16,68.0464
2020-07-17,68.0464
2020-07-18,68.0464
2020-07-19,68.0464
2020-07-20,68.0464
2020-07-21,68.0464
2020-07-22,68.0464
2020-07-23,68.0464
2020-07-24,68.0464
2020-07-25,68.0464
2020-07-26,68.0464
2020-07-27,68.0464
2020-07-28,68.0464
2020-07-29,68.0464
2020-07-30,68.0464
2020-07-31,68.0464
2020-08-01,68.0464
2020-08-02,68.0464
2020-08-03,68.0464
2020-08-04,68.0464
2020-08-05,68.0464
2020-08-06,68.0464
2020-08-07,68.0464
2020-08-08,68.0464
2020-08-09,68.0464
2020-08-10,68.0464
2020-08-11,68.0464
2020-08-12,68.0464
2020-08-13,68.0464
2020-08-14,68.0464
2020-08-15,68.0464
2020-08-16,68.0464
2020-08-17,68.0464
2020-08-18,68.0464
2020-08-19,68.0464
2020-08-20,68.0464
2020-08-21,68.0464
2020-08-22,68.0464
2020-08-23,68.0464
2020-08-24,68.0464
2020-08-25,68.0464
2020-08-26,68.0464
2020-08-27,68.0464
2020-08-28,68.0464
2020-08-29,68.0464
2020-08-30,68.0464
2020-08-31,68.0464
2020-09-01,68.0464
2020-09-02,68.0464
2020-09-03,68.0464
2020-09-04,68.0464
2020-09-05,68.0464
2020-09-06,68.0464
2020-09-07,68.0464
2020-09-08,68.0464
2020-09-09,68.0464
2020-09-10,68.0464
2020-09-11,68.0464
2020-09-12,68.0464
2020-09-13,68.0464
2020-09-14,68.0464
2020-09-15,68.0464
2020-09-16,68.0464
2020-09-17,68.0464
2020-09-18,68.0464
2020-09-19,68.0464
2020-09-20,68.0464
2020-09-21,68.0464
2020-09-22,68.0464
2020-09-23,68.0464
2020-09-24,68.0464
2020-09-25,68.0464
2020-09-26,68.0464
2020-09-27,68.0464
2020-09-28,68.0464
2020-09-29,68.0464
2020-09-30,67.1845
2020-10-01,67.1845
2020-10-02,67.1845
2020-10-03,67.1845
2020-10-04,67.1845
2020-10-05,67.1845
2020-10-06,67.1845
2020-10-07,67.1845
2020-10-08,67.1845
2020-10-09,67.1845
2020-10-10,67.1845
2020-10-11,67.1845
2020-10-12,67.1845
