,CLB US Equity
,RETURN_COM_EQY
2020-01-01,60.9538
2020-01-02,60.9538
2020-01-03,60.9538
2020-01-04,60.9538
2020-01-05,60.9538
2020-01-06,60.9538
2020-01-07,60.9538
2020-01-08,60.9538
2020-01-09,60.9538
2020-01-10,60.9538
2020-01-11,60.9538
2020-01-12,60.9538
2020-01-13,60.9538
2020-01-14,60.9538
2020-01-15,60.9538
2020-01-16,60.9538
2020-01-17,60.9538
2020-01-18,60.9538
2020-01-19,60.9538
2020-01-20,60.9538
2020-01-21,60.9538
2020-01-22,60.9538
2020-01-23,60.9538
2020-01-24,60.9538
2020-01-25,60.9538
2020-01-26,60.9538
2020-01-27,60.9538
2020-01-28,60.9538
2020-01-29,60.9538
2020-01-30,60.9538
2020-01-31,60.9538
2020-02-01,60.9538
2020-02-02,60.9538
2020-02-03,60.9538
2020-02-04,60.9538
2020-02-05,60.9538
2020-02-06,60.9538
2020-02-07,60.9538
2020-02-08,60.9538
2020-02-09,60.9538
2020-02-10,60.9538
2020-02-11,60.9538
2020-02-12,60.9538
2020-02-13,60.9538
2020-02-14,60.9538
2020-02-15,60.9538
2020-02-16,60.9538
2020-02-17,60.9538
2020-02-18,60.9538
2020-02-19,60.9538
2020-02-20,60.9538
2020-02-21,60.9538
2020-02-22,60.9538
2020-02-23,60.9538
2020-02-24,60.9538
2020-02-25,60.9538
2020-02-26,60.9538
2020-02-27,60.9538
2020-02-28,60.9538
2020-02-29,60.9538
2020-03-01,60.9538
2020-03-02,60.9538
2020-03-03,60.9538
2020-03-04,60.9538
2020-03-05,60.9538
2020-03-06,60.9538
2020-03-07,60.9538
2020-03-08,60.9538
2020-03-09,60.9538
2020-03-10,60.9538
2020-03-11,60.9538
2020-03-12,60.9538
2020-03-13,60.9538
2020-03-14,60.9538
2020-03-15,60.9538
2020-03-16,60.9538
2020-03-17,60.9538
2020-03-18,60.9538
2020-03-19,60.9538
2020-03-20,60.9538
2020-03-21,60.9538
2020-03-22,60.9538
2020-03-23,60.9538
2020-03-24,60.9538
2020-03-25,60.9538
2020-03-26,60.9538
2020-03-27,60.9538
2020-03-28,60.9538
2020-03-29,60.9538
2020-03-30,60.9538
2020-03-31,-37.7273
2020-04-01,-37.7273
2020-04-02,-37.7273
2020-04-03,-37.7273
2020-04-04,-37.7273
2020-04-05,-37.7273
2020-04-06,-37.7273
2020-04-07,-37.7273
2020-04-08,-37.7273
2020-04-09,-37.7273
2020-04-10,-37.7273
2020-04-11,-37.7273
2020-04-12,-37.7273
2020-04-13,-37.7273
2020-04-14,-37.7273
2020-04-15,-37.7273
2020-04-16,-37.7273
2020-04-17,-37.7273
2020-04-18,-37.7273
2020-04-19,-37.7273
2020-04-20,-37.7273
2020-04-21,-37.7273
2020-04-22,-37.7273
2020-04-23,-37.7273
2020-04-24,-37.7273
2020-04-25,-37.7273
2020-04-26,-37.7273
2020-04-27,-37.7273
2020-04-28,-37.7273
2020-04-29,-37.7273
2020-04-30,-37.7273
2020-05-01,-37.7273
2020-05-02,-37.7273
2020-05-03,-37.7273
2020-05-04,-37.7273
2020-05-05,-37.7273
2020-05-06,-37.7273
2020-05-07,-37.7273
2020-05-08,-37.7273
2020-05-09,-37.7273
2020-05-10,-37.7273
2020-05-11,-37.7273
2020-05-12,-37.7273
2020-05-13,-37.7273
2020-05-14,-37.7273
2020-05-15,-37.7273
2020-05-16,-37.7273
2020-05-17,-37.7273
2020-05-18,-37.7273
2020-05-19,-37.7273
2020-05-20,-37.7273
2020-05-21,-37.7273
2020-05-22,-37.7273
2020-05-23,-37.7273
2020-05-24,-37.7273
2020-05-25,-37.7273
2020-05-26,-37.7273
2020-05-27,-37.7273
2020-05-28,-37.7273
2020-05-29,-37.7273
2020-05-30,-37.7273
2020-05-31,-37.7273
2020-06-01,-37.7273
2020-06-02,-37.7273
2020-06-03,-37.7273
2020-06-04,-37.7273
2020-06-05,-37.7273
2020-06-06,-37.7273
2020-06-07,-37.7273
2020-06-08,-37.7273
2020-06-09,-37.7273
2020-06-10,-37.7273
2020-06-11,-37.7273
2020-06-12,-37.7273
2020-06-13,-37.7273
2020-06-14,-37.7273
2020-06-15,-37.7273
2020-06-16,-37.7273
2020-06-17,-37.7273
2020-06-18,-37.7273
2020-06-19,-37.7273
2020-06-20,-37.7273
2020-06-21,-37.7273
2020-06-22,-37.7273
2020-06-23,-37.7273
2020-06-24,-37.7273
2020-06-25,-37.7273
2020-06-26,-37.7273
2020-06-27,-37.7273
2020-06-28,-37.7273
2020-06-29,-37.7273
2020-06-30,-63.9693
2020-07-01,-63.9693
2020-07-02,-63.9693
2020-07-03,-63.9693
2020-07-04,-63.9693
2020-07-05,-63.9693
2020-07-06,-63.9693
2020-07-07,-63.9693
2020-07-08,-63.9693
2020-07-09,-63.9693
2020-07-10,-63.9693
2020-07-11,-63.9693
2020-07-12,-63.9693
2020-07-13,-63.9693
2020-07-14,-63.9693
2020-07-15,-63.9693
2020-07-16,-63.9693
2020-07-17,-63.9693
2020-07-18,-63.9693
2020-07-19,-63.9693
2020-07-20,-63.9693
2020-07-21,-63.9693
2020-07-22,-63.9693
2020-07-23,-63.9693
2020-07-24,-63.9693
2020-07-25,-63.9693
2020-07-26,-63.9693
2020-07-27,-63.9693
2020-07-28,-63.9693
2020-07-29,-63.9693
2020-07-30,-63.9693
2020-07-31,-63.9693
2020-08-01,-63.9693
2020-08-02,-63.9693
2020-08-03,-63.9693
2020-08-04,-63.9693
2020-08-05,-63.9693
2020-08-06,-63.9693
2020-08-07,-63.9693
2020-08-08,-63.9693
2020-08-09,-63.9693
2020-08-10,-63.9693
2020-08-11,-63.9693
2020-08-12,-63.9693
2020-08-13,-63.9693
2020-08-14,-63.9693
2020-08-15,-63.9693
2020-08-16,-63.9693
2020-08-17,-63.9693
2020-08-18,-63.9693
2020-08-19,-63.9693
2020-08-20,-63.9693
2020-08-21,-63.9693
2020-08-22,-63.9693
2020-08-23,-63.9693
2020-08-24,-63.9693
2020-08-25,-63.9693
2020-08-26,-63.9693
2020-08-27,-63.9693
2020-08-28,-63.9693
2020-08-29,-63.9693
