,COP US Equity
,RETURN_COM_EQY
2020-01-01,21.4854
2020-01-02,21.4854
2020-01-03,21.4854
2020-01-04,21.4854
2020-01-05,21.4854
2020-01-06,21.4854
2020-01-07,21.4854
2020-01-08,21.4854
2020-01-09,21.4854
2020-01-10,21.4854
2020-01-11,21.4854
2020-01-12,21.4854
2020-01-13,21.4854
2020-01-14,21.4854
2020-01-15,21.4854
2020-01-16,21.4854
2020-01-17,21.4854
2020-01-18,21.4854
2020-01-19,21.4854
2020-01-20,21.4854
2020-01-21,21.4854
2020-01-22,21.4854
2020-01-23,21.4854
2020-01-24,21.4854
2020-01-25,21.4854
2020-01-26,21.4854
2020-01-27,21.4854
2020-01-28,21.4854
2020-01-29,21.4854
2020-01-30,21.4854
2020-01-31,21.4854
2020-02-01,21.4854
2020-02-02,21.4854
2020-02-03,21.4854
2020-02-04,21.4854
2020-02-05,21.4854
2020-02-06,21.4854
2020-02-07,21.4854
2020-02-08,21.4854
2020-02-09,21.4854
2020-02-10,21.4854
2020-02-11,21.4854
2020-02-12,21.4854
2020-02-13,21.4854
2020-02-14,21.4854
2020-02-15,21.4854
2020-02-16,21.4854
2020-02-17,21.4854
2020-02-18,21.4854
2020-02-19,21.4854
2020-02-20,21.4854
2020-02-21,21.4854
2020-02-22,21.4854
2020-02-23,21.4854
2020-02-24,21.4854
2020-02-25,21.4854
2020-02-26,21.4854
2020-02-27,21.4854
2020-02-28,21.4854
2020-02-29,21.4854
2020-03-01,21.4854
2020-03-02,21.4854
2020-03-03,21.4854
2020-03-04,21.4854
2020-03-05,21.4854
2020-03-06,21.4854
2020-03-07,21.4854
2020-03-08,21.4854
2020-03-09,21.4854
2020-03-10,21.4854
2020-03-11,21.4854
2020-03-12,21.4854
2020-03-13,21.4854
2020-03-14,21.4854
2020-03-15,21.4854
2020-03-16,21.4854
2020-03-17,21.4854
2020-03-18,21.4854
2020-03-19,21.4854
2020-03-20,21.4854
2020-03-21,21.4854
2020-03-22,21.4854
2020-03-23,21.4854
2020-03-24,21.4854
2020-03-25,21.4854
2020-03-26,21.4854
2020-03-27,21.4854
2020-03-28,21.4854
2020-03-29,21.4854
2020-03-30,21.4854
2020-03-31,11.2725
2020-04-01,11.2725
2020-04-02,11.2725
2020-04-03,11.2725
2020-04-04,11.2725
2020-04-05,11.2725
2020-04-06,11.2725
2020-04-07,11.2725
2020-04-08,11.2725
2020-04-09,11.2725
2020-04-10,11.2725
2020-04-11,11.2725
2020-04-12,11.2725
2020-04-13,11.2725
2020-04-14,11.2725
2020-04-15,11.2725
2020-04-16,11.2725
2020-04-17,11.2725
2020-04-18,11.2725
2020-04-19,11.2725
2020-04-20,11.2725
2020-04-21,11.2725
2020-04-22,11.2725
2020-04-23,11.2725
2020-04-24,11.2725
2020-04-25,11.2725
2020-04-26,11.2725
2020-04-27,11.2725
2020-04-28,11.2725
2020-04-29,11.2725
2020-04-30,11.2725
2020-05-01,11.2725
2020-05-02,11.2725
2020-05-03,11.2725
2020-05-04,11.2725
2020-05-05,11.2725
2020-05-06,11.2725
2020-05-07,11.2725
2020-05-08,11.2725
2020-05-09,11.2725
2020-05-10,11.2725
2020-05-11,11.2725
2020-05-12,11.2725
2020-05-13,11.2725
2020-05-14,11.2725
2020-05-15,11.2725
2020-05-16,11.2725
2020-05-17,11.2725
2020-05-18,11.2725
2020-05-19,11.2725
2020-05-20,11.2725
2020-05-21,11.2725
2020-05-22,11.2725
2020-05-23,11.2725
2020-05-24,11.2725
2020-05-25,11.2725
2020-05-26,11.2725
2020-05-27,11.2725
2020-05-28,11.2725
2020-05-29,11.2725
2020-05-30,11.2725
2020-05-31,11.2725
2020-06-01,11.2725
2020-06-02,11.2725
2020-06-03,11.2725
2020-06-04,11.2725
2020-06-05,11.2725
2020-06-06,11.2725
2020-06-07,11.2725
2020-06-08,11.2725
2020-06-09,11.2725
2020-06-10,11.2725
2020-06-11,11.2725
2020-06-12,11.2725
2020-06-13,11.2725
2020-06-14,11.2725
2020-06-15,11.2725
2020-06-16,11.2725
2020-06-17,11.2725
2020-06-18,11.2725
2020-06-19,11.2725
2020-06-20,11.2725
2020-06-21,11.2725
2020-06-22,11.2725
2020-06-23,11.2725
2020-06-24,11.2725
2020-06-25,11.2725
2020-06-26,11.2725
2020-06-27,11.2725
2020-06-28,11.2725
2020-06-29,11.2725
2020-06-30,7.1259
2020-07-01,7.1259
2020-07-02,7.1259
2020-07-03,7.1259
2020-07-04,7.1259
2020-07-05,7.1259
2020-07-06,7.1259
2020-07-07,7.1259
2020-07-08,7.1259
2020-07-09,7.1259
2020-07-10,7.1259
2020-07-11,7.1259
2020-07-12,7.1259
2020-07-13,7.1259
2020-07-14,7.1259
2020-07-15,7.1259
2020-07-16,7.1259
2020-07-17,7.1259
2020-07-18,7.1259
2020-07-19,7.1259
2020-07-20,7.1259
2020-07-21,7.1259
2020-07-22,7.1259
2020-07-23,7.1259
2020-07-24,7.1259
2020-07-25,7.1259
2020-07-26,7.1259
2020-07-27,7.1259
2020-07-28,7.1259
2020-07-29,7.1259
2020-07-30,7.1259
2020-07-31,7.1259
2020-08-01,7.1259
2020-08-02,7.1259
2020-08-03,7.1259
2020-08-04,7.1259
2020-08-05,7.1259
2020-08-06,7.1259
2020-08-07,7.1259
2020-08-08,7.1259
2020-08-09,7.1259
2020-08-10,7.1259
2020-08-11,7.1259
2020-08-12,7.1259
2020-08-13,7.1259
2020-08-14,7.1259
2020-08-15,7.1259
2020-08-16,7.1259
2020-08-17,7.1259
2020-08-18,7.1259
2020-08-19,7.1259
2020-08-20,7.1259
2020-08-21,7.1259
2020-08-22,7.1259
2020-08-23,7.1259
2020-08-24,7.1259
2020-08-25,7.1259
2020-08-26,7.1259
2020-08-27,7.1259
2020-08-28,7.1259
2020-08-29,7.1259
2020-08-30,7.1259
2020-08-31,7.1259
2020-09-01,7.1259
2020-09-02,7.1259
2020-09-03,7.1259
2020-09-04,7.1259
2020-09-05,7.1259
2020-09-06,7.1259
2020-09-07,7.1259
2020-09-08,7.1259
2020-09-09,7.1259
2020-09-10,7.1259
2020-09-11,7.1259
2020-09-12,7.1259
2020-09-13,7.1259
2020-09-14,7.1259
2020-09-15,7.1259
2020-09-16,7.1259
2020-09-17,7.1259
2020-09-18,7.1259
2020-09-19,7.1259
2020-09-20,7.1259
2020-09-21,7.1259
2020-09-22,7.1259
2020-09-23,7.1259
2020-09-24,7.1259
2020-09-25,7.1259
2020-09-26,7.1259
2020-09-27,7.1259
2020-09-28,7.1259
2020-09-29,7.1259
