,COR US Equity
,RETURN_COM_EQY
2020-01-01,21.634
2020-01-02,21.634
2020-01-03,21.634
2020-01-04,21.634
2020-01-05,21.634
2020-01-06,21.634
2020-01-07,21.634
2020-01-08,21.634
2020-01-09,21.634
2020-01-10,21.634
2020-01-11,21.634
2020-01-12,21.634
2020-01-13,21.634
2020-01-14,21.634
2020-01-15,21.634
2020-01-16,21.634
2020-01-17,21.634
2020-01-18,21.634
2020-01-19,21.634
2020-01-20,21.634
2020-01-21,21.634
2020-01-22,21.634
2020-01-23,21.634
2020-01-24,21.634
2020-01-25,21.634
2020-01-26,21.634
2020-01-27,21.634
2020-01-28,21.634
2020-01-29,21.634
2020-01-30,21.634
2020-01-31,21.634
2020-02-01,21.634
2020-02-02,21.634
2020-02-03,21.634
2020-02-04,21.634
2020-02-05,21.634
2020-02-06,21.634
2020-02-07,21.634
2020-02-08,21.634
2020-02-09,21.634
2020-02-10,21.634
2020-02-11,21.634
2020-02-12,21.634
2020-02-13,21.634
2020-02-14,21.634
2020-02-15,21.634
2020-02-16,21.634
2020-02-17,21.634
2020-02-18,21.634
2020-02-19,21.634
2020-02-20,21.634
2020-02-21,21.634
2020-02-22,21.634
2020-02-23,21.634
2020-02-24,21.634
2020-02-25,21.634
2020-02-26,21.634
2020-02-27,21.634
2020-02-28,21.634
2020-02-29,21.634
2020-03-01,21.634
2020-03-02,21.634
2020-03-03,21.634
2020-03-04,21.634
2020-03-05,21.634
2020-03-06,21.634
2020-03-07,21.634
2020-03-08,21.634
2020-03-09,21.634
2020-03-10,21.634
2020-03-11,21.634
2020-03-12,21.634
2020-03-13,21.634
2020-03-14,21.634
2020-03-15,21.634
2020-03-16,21.634
2020-03-17,21.634
2020-03-18,21.634
2020-03-19,21.634
2020-03-20,21.634
2020-03-21,21.634
2020-03-22,21.634
2020-03-23,21.634
2020-03-24,21.634
2020-03-25,21.634
2020-03-26,21.634
2020-03-27,21.634
2020-03-28,21.634
2020-03-29,21.634
2020-03-30,21.634
2020-03-31,48.6039
2020-04-01,48.6039
2020-04-02,48.6039
2020-04-03,48.6039
2020-04-04,48.6039
2020-04-05,48.6039
2020-04-06,48.6039
2020-04-07,48.6039
2020-04-08,48.6039
2020-04-09,48.6039
2020-04-10,48.6039
2020-04-11,48.6039
2020-04-12,48.6039
2020-04-13,48.6039
2020-04-14,48.6039
2020-04-15,48.6039
2020-04-16,48.6039
2020-04-17,48.6039
2020-04-18,48.6039
2020-04-19,48.6039
2020-04-20,48.6039
2020-04-21,48.6039
2020-04-22,48.6039
2020-04-23,48.6039
2020-04-24,48.6039
2020-04-25,48.6039
2020-04-26,48.6039
2020-04-27,48.6039
2020-04-28,48.6039
2020-04-29,48.6039
2020-04-30,48.6039
2020-05-01,48.6039
2020-05-02,48.6039
2020-05-03,48.6039
2020-05-04,48.6039
2020-05-05,48.6039
2020-05-06,48.6039
2020-05-07,48.6039
2020-05-08,48.6039
2020-05-09,48.6039
2020-05-10,48.6039
2020-05-11,48.6039
2020-05-12,48.6039
2020-05-13,48.6039
2020-05-14,48.6039
2020-05-15,48.6039
2020-05-16,48.6039
2020-05-17,48.6039
2020-05-18,48.6039
2020-05-19,48.6039
2020-05-20,48.6039
2020-05-21,48.6039
2020-05-22,48.6039
2020-05-23,48.6039
2020-05-24,48.6039
2020-05-25,48.6039
2020-05-26,48.6039
2020-05-27,48.6039
2020-05-28,48.6039
2020-05-29,48.6039
2020-05-30,48.6039
2020-05-31,48.6039
2020-06-01,48.6039
2020-06-02,48.6039
2020-06-03,48.6039
2020-06-04,48.6039
2020-06-05,48.6039
2020-06-06,48.6039
2020-06-07,48.6039
2020-06-08,48.6039
2020-06-09,48.6039
2020-06-10,48.6039
2020-06-11,48.6039
2020-06-12,48.6039
2020-06-13,48.6039
2020-06-14,48.6039
2020-06-15,48.6039
2020-06-16,48.6039
2020-06-17,48.6039
2020-06-18,48.6039
2020-06-19,48.6039
2020-06-20,48.6039
2020-06-21,48.6039
2020-06-22,48.6039
2020-06-23,48.6039
2020-06-24,48.6039
2020-06-25,48.6039
2020-06-26,48.6039
2020-06-27,48.6039
2020-06-28,48.6039
2020-06-29,48.6039
2020-06-30,45.861
2020-07-01,45.861
2020-07-02,45.861
2020-07-03,45.861
2020-07-04,45.861
2020-07-05,45.861
2020-07-06,45.861
2020-07-07,45.861
2020-07-08,45.861
2020-07-09,45.861
2020-07-10,45.861
2020-07-11,45.861
2020-07-12,45.861
2020-07-13,45.861
2020-07-14,45.861
2020-07-15,45.861
2020-07-16,45.861
2020-07-17,45.861
2020-07-18,45.861
2020-07-19,45.861
2020-07-20,45.861
2020-07-21,45.861
2020-07-22,45.861
2020-07-23,45.861
2020-07-24,45.861
2020-07-25,45.861
2020-07-26,45.861
2020-07-27,45.861
2020-07-28,45.861
2020-07-29,45.861
2020-07-30,45.861
2020-07-31,45.861
2020-08-01,45.861
2020-08-02,45.861
2020-08-03,45.861
2020-08-04,45.861
2020-08-05,45.861
2020-08-06,45.861
2020-08-07,45.861
2020-08-08,45.861
2020-08-09,45.861
2020-08-10,45.861
2020-08-11,45.861
2020-08-12,45.861
2020-08-13,45.861
2020-08-14,45.861
2020-08-15,45.861
2020-08-16,45.861
2020-08-17,45.861
2020-08-18,45.861
2020-08-19,45.861
2020-08-20,45.861
2020-08-21,45.861
2020-08-22,45.861
2020-08-23,45.861
2020-08-24,45.861
2020-08-25,45.861
2020-08-26,45.861
2020-08-27,45.861
2020-08-28,45.861
2020-08-29,45.861
2020-08-30,45.861
2020-08-31,45.861
2020-09-01,45.861
2020-09-02,45.861
2020-09-03,45.861
2020-09-04,45.861
2020-09-05,45.861
2020-09-06,45.861
2020-09-07,45.861
2020-09-08,45.861
2020-09-09,45.861
2020-09-10,45.861
2020-09-11,45.861
2020-09-12,45.861
2020-09-13,45.861
2020-09-14,45.861
2020-09-15,45.861
2020-09-16,45.861
2020-09-17,45.861
2020-09-18,45.861
2020-09-19,45.861
2020-09-20,45.861
2020-09-21,45.861
2020-09-22,45.861
2020-09-23,45.861
2020-09-24,45.861
2020-09-25,45.861
2020-09-26,45.861
2020-09-27,45.861
2020-09-28,45.861
2020-09-29,45.861
2020-09-30,45.861
2020-10-01,45.861
2020-10-02,45.861
2020-10-03,45.861
2020-10-04,45.861
2020-10-05,45.861
2020-10-06,45.861
2020-10-07,45.861
2020-10-08,45.861
2020-10-09,45.861
2020-10-10,45.861
2020-10-11,45.861
2020-10-12,45.861
2020-10-13,45.861
2020-10-14,45.861
2020-10-15,45.861
2020-10-16,45.861
2020-10-17,45.861
2020-10-18,45.861
2020-10-19,45.861
2020-10-20,45.861
2020-10-21,45.861
2020-10-22,45.861
2020-10-23,45.861
2020-10-24,45.861
2020-10-25,45.861
2020-10-26,45.861
2020-10-27,45.861
2020-10-28,45.861
2020-10-29,45.861
2020-10-30,45.861
2020-10-31,45.861
2020-11-01,45.861
2020-11-02,45.861
2020-11-03,45.861
2020-11-04,45.861
2020-11-05,45.861
2020-11-06,45.861
2020-11-07,45.861
2020-11-08,45.861
2020-11-09,45.861
2020-11-10,45.861
2020-11-11,45.861
2020-11-12,45.861
2020-11-13,45.861
2020-11-14,45.861
2020-11-15,45.861
2020-11-16,45.861
2020-11-17,45.861
2020-11-18,45.861
2020-11-19,45.861
2020-11-20,45.861
2020-11-21,45.861
2020-11-22,45.861
2020-11-23,45.861
2020-11-24,45.861
2020-11-25,45.861
2020-11-26,45.861
2020-11-27,45.861
2020-11-28,45.861
2020-11-29,45.861
2020-11-30,45.861
2020-12-01,45.861
2020-12-02,45.861
2020-12-03,45.861
2020-12-04,45.861
2020-12-05,45.861
2020-12-06,45.861
2020-12-07,45.861
2020-12-08,45.861
2020-12-09,45.861
2020-12-10,45.861
2020-12-11,45.861
2020-12-12,45.861
2020-12-13,45.861
2020-12-14,45.861
2020-12-15,45.861
2020-12-16,45.861
2020-12-17,45.861
2020-12-18,45.861
2020-12-19,45.861
2020-12-20,45.861
2020-12-21,45.861
2020-12-22,45.861
2020-12-23,45.861
2020-12-24,45.861
2020-12-25,45.861
2020-12-26,45.861
2020-12-27,45.861
2020-12-28,45.861
2020-12-29,45.861
2020-12-30,45.861
2020-12-31,45.861
2021-01-01,45.861
2021-01-02,45.861
2021-01-03,45.861
2021-01-04,45.861
2021-01-05,45.861
2021-01-06,45.861
2021-01-07,45.861
2021-01-08,45.861
2021-01-09,45.861
2021-01-10,45.861
2021-01-11,45.861
2021-01-12,45.861
2021-01-13,45.861
2021-01-14,45.861
2021-01-15,45.861
2021-01-16,45.861
2021-01-17,45.861
2021-01-18,45.861
2021-01-19,45.861
2021-01-20,45.861
2021-01-21,45.861
2021-01-22,45.861
2021-01-23,45.861
2021-01-24,45.861
2021-01-25,45.861
2021-01-26,45.861
2021-01-27,45.861
2021-01-28,45.861
2021-01-29,45.861
2021-01-30,45.861
2021-01-31,45.861
2021-02-01,45.861
2021-02-02,45.861
2021-02-03,45.861
2021-02-04,45.861
2021-02-05,45.861
2021-02-06,45.861
2021-02-07,45.861
2021-02-08,45.861
2021-02-09,45.861
2021-02-10,45.861
2021-02-11,45.861
2021-02-12,45.861
2021-02-13,45.861
2021-02-14,45.861
2021-02-15,45.861
2021-02-16,45.861
2021-02-17,45.861
2021-02-18,45.861
2021-02-19,45.861
2021-02-20,45.861
2021-02-21,45.861
2021-02-22,45.861
2021-02-23,45.861
2021-02-24,45.861
2021-02-25,45.861
2021-02-26,45.861
2021-02-27,45.861
2021-02-28,45.861
2021-03-01,45.861
2021-03-02,45.861
2021-03-03,45.861
2021-03-04,45.861
2021-03-05,45.861
2021-03-06,45.861
2021-03-07,45.861
2021-03-08,45.861
2021-03-09,45.861
2021-03-10,45.861
2021-03-11,45.861
2021-03-12,45.861
2021-03-13,45.861
2021-03-14,45.861
2021-03-15,45.861
2021-03-16,45.861
2021-03-17,45.861
2021-03-18,45.861
2021-03-19,45.861
2021-03-20,45.861
2021-03-21,45.861
2021-03-22,45.861
2021-03-23,45.861
2021-03-24,45.861
2021-03-25,45.861
2021-03-26,45.861
2021-03-27,45.861
2021-03-28,45.861
2021-03-29,45.861
2021-03-30,45.861
2021-03-31,45.861
2021-04-01,45.861
2021-04-02,45.861
2021-04-03,45.861
2021-04-04,45.861
2021-04-05,45.861
2021-04-06,45.861
2021-04-07,45.861
2021-04-08,45.861
2021-04-09,45.861
2021-04-10,45.861
2021-04-11,45.861
2021-04-12,45.861
2021-04-13,45.861
2021-04-14,45.861
2021-04-15,45.861
2021-04-16,45.861
2021-04-17,45.861
2021-04-18,45.861
2021-04-19,45.861
2021-04-20,45.861
2021-04-21,45.861
2021-04-22,45.861
2021-04-23,45.861
2021-04-24,45.861
2021-04-25,45.861
2021-04-26,45.861
2021-04-27,45.861
2021-04-28,45.861
2021-04-29,45.861
2021-04-30,45.861
2021-05-01,45.861
2021-05-02,45.861
2021-05-03,45.861
2021-05-04,45.861
2021-05-05,45.861
2021-05-06,45.861
2021-05-07,45.861
2021-05-08,45.861
2021-05-09,45.861
2021-05-10,45.861
2021-05-11,45.861
2021-05-12,45.861
2021-05-13,45.861
2021-05-14,45.861
2021-05-15,45.861
2021-05-16,45.861
2021-05-17,45.861
2021-05-18,45.861
2021-05-19,45.861
2021-05-20,45.861
2021-05-21,45.861
2021-05-22,45.861
2021-05-23,45.861
2021-05-24,45.861
2021-05-25,45.861
2021-05-26,45.861
2021-05-27,45.861
2021-05-28,45.861
2021-05-29,45.861
2021-05-30,45.861
2021-05-31,45.861
2021-06-01,45.861
2021-06-02,45.861
2021-06-03,45.861
2021-06-04,45.861
2021-06-05,45.861
2021-06-06,45.861
2021-06-07,45.861
2021-06-08,45.861
2021-06-09,45.861
2021-06-10,45.861
2021-06-11,45.861
2021-06-12,45.861
2021-06-13,45.861
2021-06-14,45.861
2021-06-15,45.861
2021-06-16,45.861
2021-06-17,45.861
2021-06-18,45.861
2021-06-19,45.861
2021-06-20,45.861
2021-06-21,45.861
2021-06-22,45.861
2021-06-23,45.861
2021-06-24,45.861
2021-06-25,45.861
2021-06-26,45.861
2021-06-27,45.861
2021-06-28,45.861
2021-06-29,45.861
2021-06-30,-192.2276
2021-07-01,-192.2276
2021-07-02,-192.2276
2021-07-03,-192.2276
2021-07-04,-192.2276
2021-07-05,-192.2276
2021-07-06,-192.2276
2021-07-07,-192.2276
2021-07-08,-192.2276
2021-07-09,-192.2276
2021-07-10,-192.2276
2021-07-11,-192.2276
2021-07-12,-192.2276
2021-07-13,-192.2276
2021-07-14,-192.2276
2021-07-15,-192.2276
2021-07-16,-192.2276
2021-07-17,-192.2276
2021-07-18,-192.2276
2021-07-19,-192.2276
2021-07-20,-192.2276
2021-07-21,-192.2276
2021-07-22,-192.2276
2021-07-23,-192.2276
2021-07-24,-192.2276
2021-07-25,-192.2276
2021-07-26,-192.2276
2021-07-27,-192.2276
2021-07-28,-192.2276
2021-07-29,-192.2276
2021-07-30,-192.2276
2021-07-31,-192.2276
2021-08-01,-192.2276
2021-08-02,-192.2276
2021-08-03,-192.2276
2021-08-04,-192.2276
2021-08-05,-192.2276
2021-08-06,-192.2276
2021-08-07,-192.2276
