,CORT US Equity
,RETURN_COM_EQY
2020-01-01,29.1103
2020-01-02,29.1103
2020-01-03,29.1103
2020-01-04,29.1103
2020-01-05,29.1103
2020-01-06,29.1103
2020-01-07,29.1103
2020-01-08,29.1103
2020-01-09,29.1103
2020-01-10,29.1103
2020-01-11,29.1103
2020-01-12,29.1103
2020-01-13,29.1103
2020-01-14,29.1103
2020-01-15,29.1103
2020-01-16,29.1103
2020-01-17,29.1103
2020-01-18,29.1103
2020-01-19,29.1103
2020-01-20,29.1103
2020-01-21,29.1103
2020-01-22,29.1103
2020-01-23,29.1103
2020-01-24,29.1103
2020-01-25,29.1103
2020-01-26,29.1103
2020-01-27,29.1103
2020-01-28,29.1103
2020-01-29,29.1103
2020-01-30,29.1103
2020-01-31,29.1103
2020-02-01,29.1103
2020-02-02,29.1103
2020-02-03,29.1103
2020-02-04,29.1103
2020-02-05,29.1103
2020-02-06,29.1103
2020-02-07,29.1103
2020-02-08,29.1103
2020-02-09,29.1103
2020-02-10,29.1103
2020-02-11,29.1103
2020-02-12,29.1103
2020-02-13,29.1103
2020-02-14,29.1103
2020-02-15,29.1103
2020-02-16,29.1103
2020-02-17,29.1103
2020-02-18,29.1103
2020-02-19,29.1103
2020-02-20,29.1103
2020-02-21,29.1103
2020-02-22,29.1103
2020-02-23,29.1103
2020-02-24,29.1103
2020-02-25,29.1103
2020-02-26,29.1103
2020-02-27,29.1103
2020-02-28,29.1103
2020-02-29,29.1103
2020-03-01,29.1103
2020-03-02,29.1103
2020-03-03,29.1103
2020-03-04,29.1103
2020-03-05,29.1103
2020-03-06,29.1103
2020-03-07,29.1103
2020-03-08,29.1103
2020-03-09,29.1103
2020-03-10,29.1103
2020-03-11,29.1103
2020-03-12,29.1103
2020-03-13,29.1103
2020-03-14,29.1103
2020-03-15,29.1103
2020-03-16,29.1103
2020-03-17,29.1103
2020-03-18,29.1103
2020-03-19,29.1103
2020-03-20,29.1103
2020-03-21,29.1103
2020-03-22,29.1103
2020-03-23,29.1103
2020-03-24,29.1103
2020-03-25,29.1103
2020-03-26,29.1103
2020-03-27,29.1103
2020-03-28,29.1103
2020-03-29,29.1103
2020-03-30,29.1103
2020-03-31,30.4848
2020-04-01,30.4848
2020-04-02,30.4848
2020-04-03,30.4848
2020-04-04,30.4848
2020-04-05,30.4848
2020-04-06,30.4848
2020-04-07,30.4848
2020-04-08,30.4848
2020-04-09,30.4848
2020-04-10,30.4848
2020-04-11,30.4848
2020-04-12,30.4848
2020-04-13,30.4848
2020-04-14,30.4848
2020-04-15,30.4848
2020-04-16,30.4848
2020-04-17,30.4848
2020-04-18,30.4848
2020-04-19,30.4848
2020-04-20,30.4848
2020-04-21,30.4848
2020-04-22,30.4848
2020-04-23,30.4848
2020-04-24,30.4848
2020-04-25,30.4848
2020-04-26,30.4848
2020-04-27,30.4848
2020-04-28,30.4848
2020-04-29,30.4848
2020-04-30,30.4848
2020-05-01,30.4848
2020-05-02,30.4848
2020-05-03,30.4848
2020-05-04,30.4848
2020-05-05,30.4848
2020-05-06,30.4848
2020-05-07,30.4848
2020-05-08,30.4848
2020-05-09,30.4848
2020-05-10,30.4848
2020-05-11,30.4848
2020-05-12,30.4848
2020-05-13,30.4848
2020-05-14,30.4848
2020-05-15,30.4848
2020-05-16,30.4848
2020-05-17,30.4848
2020-05-18,30.4848
2020-05-19,30.4848
2020-05-20,30.4848
2020-05-21,30.4848
2020-05-22,30.4848
2020-05-23,30.4848
2020-05-24,30.4848
2020-05-25,30.4848
2020-05-26,30.4848
2020-05-27,30.4848
2020-05-28,30.4848
2020-05-29,30.4848
2020-05-30,30.4848
2020-05-31,30.4848
2020-06-01,30.4848
2020-06-02,30.4848
2020-06-03,30.4848
2020-06-04,30.4848
2020-06-05,30.4848
2020-06-06,30.4848
2020-06-07,30.4848
2020-06-08,30.4848
2020-06-09,30.4848
2020-06-10,30.4848
2020-06-11,30.4848
2020-06-12,30.4848
2020-06-13,30.4848
2020-06-14,30.4848
2020-06-15,30.4848
2020-06-16,30.4848
2020-06-17,30.4848
2020-06-18,30.4848
2020-06-19,30.4848
2020-06-20,30.4848
2020-06-21,30.4848
2020-06-22,30.4848
2020-06-23,30.4848
2020-06-24,30.4848
2020-06-25,30.4848
2020-06-26,30.4848
2020-06-27,30.4848
2020-06-28,30.4848
2020-06-29,30.4848
2020-06-30,30.3593
2020-07-01,30.3593
2020-07-02,30.3593
2020-07-03,30.3593
2020-07-04,30.3593
2020-07-05,30.3593
2020-07-06,30.3593
2020-07-07,30.3593
2020-07-08,30.3593
2020-07-09,30.3593
2020-07-10,30.3593
2020-07-11,30.3593
2020-07-12,30.3593
2020-07-13,30.3593
2020-07-14,30.3593
2020-07-15,30.3593
2020-07-16,30.3593
2020-07-17,30.3593
2020-07-18,30.3593
2020-07-19,30.3593
2020-07-20,30.3593
2020-07-21,30.3593
2020-07-22,30.3593
2020-07-23,30.3593
2020-07-24,30.3593
2020-07-25,30.3593
2020-07-26,30.3593
2020-07-27,30.3593
2020-07-28,30.3593
2020-07-29,30.3593
2020-07-30,30.3593
2020-07-31,30.3593
2020-08-01,30.3593
2020-08-02,30.3593
2020-08-03,30.3593
2020-08-04,30.3593
2020-08-05,30.3593
2020-08-06,30.3593
2020-08-07,30.3593
2020-08-08,30.3593
2020-08-09,30.3593
2020-08-10,30.3593
2020-08-11,30.3593
2020-08-12,30.3593
2020-08-13,30.3593
2020-08-14,30.3593
2020-08-15,30.3593
2020-08-16,30.3593
2020-08-17,30.3593
2020-08-18,30.3593
2020-08-19,30.3593
2020-08-20,30.3593
2020-08-21,30.3593
2020-08-22,30.3593
2020-08-23,30.3593
2020-08-24,30.3593
2020-08-25,30.3593
2020-08-26,30.3593
2020-08-27,30.3593
2020-08-28,30.3593
2020-08-29,30.3593
2020-08-30,30.3593
2020-08-31,30.3593
2020-09-01,30.3593
2020-09-02,30.3593
2020-09-03,30.3593
2020-09-04,30.3593
2020-09-05,30.3593
2020-09-06,30.3593
2020-09-07,30.3593
2020-09-08,30.3593
2020-09-09,30.3593
2020-09-10,30.3593
2020-09-11,30.3593
2020-09-12,30.3593
2020-09-13,30.3593
2020-09-14,30.3593
2020-09-15,30.3593
2020-09-16,30.3593
2020-09-17,30.3593
2020-09-18,30.3593
2020-09-19,30.3593
2020-09-20,30.3593
2020-09-21,30.3593
2020-09-22,30.3593
2020-09-23,30.3593
2020-09-24,30.3593
2020-09-25,30.3593
2020-09-26,30.3593
2020-09-27,30.3593
2020-09-28,30.3593
2020-09-29,30.3593
2020-09-30,26.5511
2020-10-01,26.5511
2020-10-02,26.5511
2020-10-03,26.5511
2020-10-04,26.5511
2020-10-05,26.5511
2020-10-06,26.5511
2020-10-07,26.5511
2020-10-08,26.5511
2020-10-09,26.5511
2020-10-10,26.5511
2020-10-11,26.5511
2020-10-12,26.5511
2020-10-13,26.5511
2020-10-14,26.5511
2020-10-15,26.5511
2020-10-16,26.5511
2020-10-17,26.5511
2020-10-18,26.5511
2020-10-19,26.5511
2020-10-20,26.5511
2020-10-21,26.5511
2020-10-22,26.5511
2020-10-23,26.5511
2020-10-24,26.5511
2020-10-25,26.5511
2020-10-26,26.5511
2020-10-27,26.5511
2020-10-28,26.5511
2020-10-29,26.5511
2020-10-30,26.5511
2020-10-31,26.5511
2020-11-01,26.5511
2020-11-02,26.5511
2020-11-03,26.5511
2020-11-04,26.5511
2020-11-05,26.5511
2020-11-06,26.5511
2020-11-07,26.5511
2020-11-08,26.5511
2020-11-09,26.5511
2020-11-10,26.5511
2020-11-11,26.5511
2020-11-12,26.5511
2020-11-13,26.5511
2020-11-14,26.5511
2020-11-15,26.5511
2020-11-16,26.5511
2020-11-17,26.5511
2020-11-18,26.5511
2020-11-19,26.5511
2020-11-20,26.5511
2020-11-21,26.5511
2020-11-22,26.5511
2020-11-23,26.5511
2020-11-24,26.5511
2020-11-25,26.5511
2020-11-26,26.5511
2020-11-27,26.5511
2020-11-28,26.5511
2020-11-29,26.5511
2020-11-30,26.5511
2020-12-01,26.5511
2020-12-02,26.5511
2020-12-03,26.5511
2020-12-04,26.5511
2020-12-05,26.5511
2020-12-06,26.5511
2020-12-07,26.5511
2020-12-08,26.5511
2020-12-09,26.5511
2020-12-10,26.5511
2020-12-11,26.5511
2020-12-12,26.5511
2020-12-13,26.5511
2020-12-14,26.5511
2020-12-15,26.5511
2020-12-16,26.5511
2020-12-17,26.5511
2020-12-18,26.5511
2020-12-19,26.5511
2020-12-20,26.5511
2020-12-21,26.5511
2020-12-22,26.5511
2020-12-23,26.5511
2020-12-24,26.5511
2020-12-25,26.5511
2020-12-26,26.5511
2020-12-27,26.5511
2020-12-28,26.5511
2020-12-29,26.5511
2020-12-30,26.5511
2020-12-31,23.7023
2021-01-01,23.7023
2021-01-02,23.7023
2021-01-03,23.7023
2021-01-04,23.7023
2021-01-05,23.7023
2021-01-06,23.7023
2021-01-07,23.7023
2021-01-08,23.7023
2021-01-09,23.7023
2021-01-10,23.7023
2021-01-11,23.7023
2021-01-12,23.7023
2021-01-13,23.7023
2021-01-14,23.7023
2021-01-15,23.7023
2021-01-16,23.7023
2021-01-17,23.7023
2021-01-18,23.7023
2021-01-19,23.7023
2021-01-20,23.7023
2021-01-21,23.7023
2021-01-22,23.7023
2021-01-23,23.7023
2021-01-24,23.7023
2021-01-25,23.7023
2021-01-26,23.7023
2021-01-27,23.7023
2021-01-28,23.7023
2021-01-29,23.7023
2021-01-30,23.7023
2021-01-31,23.7023
2021-02-01,23.7023
2021-02-02,23.7023
2021-02-03,23.7023
2021-02-04,23.7023
2021-02-05,23.7023
2021-02-06,23.7023
2021-02-07,23.7023
2021-02-08,23.7023
2021-02-09,23.7023
2021-02-10,23.7023
2021-02-11,23.7023
2021-02-12,23.7023
2021-02-13,23.7023
2021-02-14,23.7023
2021-02-15,23.7023
2021-02-16,23.7023
2021-02-17,23.7023
2021-02-18,23.7023
2021-02-19,23.7023
2021-02-20,23.7023
2021-02-21,23.7023
2021-02-22,23.7023
2021-02-23,23.7023
2021-02-24,23.7023
2021-02-25,23.7023
2021-02-26,23.7023
2021-02-27,23.7023
2021-02-28,23.7023
2021-03-01,23.7023
2021-03-02,23.7023
2021-03-03,23.7023
2021-03-04,23.7023
2021-03-05,23.7023
2021-03-06,23.7023
2021-03-07,23.7023
2021-03-08,23.7023
2021-03-09,23.7023
2021-03-10,23.7023
2021-03-11,23.7023
2021-03-12,23.7023
2021-03-13,23.7023
2021-03-14,23.7023
2021-03-15,23.7023
2021-03-16,23.7023
2021-03-17,23.7023
2021-03-18,23.7023
2021-03-19,23.7023
2021-03-20,23.7023
2021-03-21,23.7023
2021-03-22,23.7023
2021-03-23,23.7023
2021-03-24,23.7023
2021-03-25,23.7023
2021-03-26,23.7023
2021-03-27,23.7023
2021-03-28,23.7023
2021-03-29,23.7023
2021-03-30,23.7023
2021-03-31,21.6043
2021-04-01,21.6043
2021-04-02,21.6043
2021-04-03,21.6043
2021-04-04,21.6043
2021-04-05,21.6043
2021-04-06,21.6043
2021-04-07,21.6043
2021-04-08,21.6043
2021-04-09,21.6043
2021-04-10,21.6043
2021-04-11,21.6043
2021-04-12,21.6043
2021-04-13,21.6043
2021-04-14,21.6043
2021-04-15,21.6043
2021-04-16,21.6043
2021-04-17,21.6043
2021-04-18,21.6043
2021-04-19,21.6043
2021-04-20,21.6043
2021-04-21,21.6043
2021-04-22,21.6043
2021-04-23,21.6043
2021-04-24,21.6043
2021-04-25,21.6043
2021-04-26,21.6043
2021-04-27,21.6043
2021-04-28,21.6043
2021-04-29,21.6043
2021-04-30,21.6043
2021-05-01,21.6043
2021-05-02,21.6043
2021-05-03,21.6043
2021-05-04,21.6043
2021-05-05,21.6043
2021-05-06,21.6043
2021-05-07,21.6043
2021-05-08,21.6043
2021-05-09,21.6043
2021-05-10,21.6043
2021-05-11,21.6043
2021-05-12,21.6043
2021-05-13,21.6043
2021-05-14,21.6043
2021-05-15,21.6043
2021-05-16,21.6043
2021-05-17,21.6043
2021-05-18,21.6043
2021-05-19,21.6043
2021-05-20,21.6043
2021-05-21,21.6043
2021-05-22,21.6043
2021-05-23,21.6043
2021-05-24,21.6043
2021-05-25,21.6043
2021-05-26,21.6043
2021-05-27,21.6043
2021-05-28,21.6043
2021-05-29,21.6043
2021-05-30,21.6043
2021-05-31,21.6043
2021-06-01,21.6043
2021-06-02,21.6043
2021-06-03,21.6043
2021-06-04,21.6043
2021-06-05,21.6043
2021-06-06,21.6043
2021-06-07,21.6043
2021-06-08,21.6043
2021-06-09,21.6043
2021-06-10,21.6043
2021-06-11,21.6043
2021-06-12,21.6043
2021-06-13,21.6043
2021-06-14,21.6043
2021-06-15,21.6043
2021-06-16,21.6043
2021-06-17,21.6043
2021-06-18,21.6043
2021-06-19,21.6043
2021-06-20,21.6043
2021-06-21,21.6043
2021-06-22,21.6043
2021-06-23,21.6043
2021-06-24,21.6043
2021-06-25,21.6043
2021-06-26,21.6043
2021-06-27,21.6043
2021-06-28,21.6043
2021-06-29,21.6043
2021-06-30,19.9938
2021-07-01,19.9938
2021-07-02,19.9938
2021-07-03,19.9938
2021-07-04,19.9938
2021-07-05,19.9938
2021-07-06,19.9938
2021-07-07,19.9938
2021-07-08,19.9938
2021-07-09,19.9938
2021-07-10,19.9938
2021-07-11,19.9938
2021-07-12,19.9938
2021-07-13,19.9938
2021-07-14,19.9938
2021-07-15,19.9938
2021-07-16,19.9938
2021-07-17,19.9938
2021-07-18,19.9938
2021-07-19,19.9938
2021-07-20,19.9938
2021-07-21,19.9938
2021-07-22,19.9938
2021-07-23,19.9938
2021-07-24,19.9938
2021-07-25,19.9938
2021-07-26,19.9938
2021-07-27,19.9938
2021-07-28,19.9938
2021-07-29,19.9938
2021-07-30,19.9938
2021-07-31,19.9938
2021-08-01,19.9938
2021-08-02,19.9938
2021-08-03,19.9938
2021-08-04,19.9938
2021-08-05,19.9938
2021-08-06,19.9938
2021-08-07,19.9938
2021-08-08,19.9938
2021-08-09,19.9938
2021-08-10,19.9938
2021-08-11,19.9938
2021-08-12,19.9938
2021-08-13,19.9938
2021-08-14,19.9938
2021-08-15,19.9938
2021-08-16,19.9938
2021-08-17,19.9938
2021-08-18,19.9938
2021-08-19,19.9938
2021-08-20,19.9938
2021-08-21,19.9938
2021-08-22,19.9938
2021-08-23,19.9938
2021-08-24,19.9938
2021-08-25,19.9938
2021-08-26,19.9938
2021-08-27,19.9938
2021-08-28,19.9938
2021-08-29,19.9938
2021-08-30,19.9938
2021-08-31,19.9938
2021-09-01,19.9938
2021-09-02,19.9938
2021-09-03,19.9938
2021-09-04,19.9938
2021-09-05,19.9938
2021-09-06,19.9938
2021-09-07,19.9938
2021-09-08,19.9938
2021-09-09,19.9938
2021-09-10,19.9938
2021-09-11,19.9938
2021-09-12,19.9938
2021-09-13,19.9938
2021-09-14,19.9938
2021-09-15,19.9938
2021-09-16,19.9938
2021-09-17,19.9938
2021-09-18,19.9938
2021-09-19,19.9938
2021-09-20,19.9938
2021-09-21,19.9938
2021-09-22,19.9938
2021-09-23,19.9938
2021-09-24,19.9938
2021-09-25,19.9938
2021-09-26,19.9938
2021-09-27,19.9938
2021-09-28,19.9938
2021-09-29,19.9938
2021-09-30,20.6723
2021-10-01,20.6723
2021-10-02,20.6723
2021-10-03,20.6723
2021-10-04,20.6723
2021-10-05,20.6723
2021-10-06,20.6723
2021-10-07,20.6723
2021-10-08,20.6723
2021-10-09,20.6723
2021-10-10,20.6723
2021-10-11,20.6723
2021-10-12,20.6723
2021-10-13,20.6723
2021-10-14,20.6723
2021-10-15,20.6723
2021-10-16,20.6723
2021-10-17,20.6723
2021-10-18,20.6723
2021-10-19,20.6723
2021-10-20,20.6723
2021-10-21,20.6723
2021-10-22,20.6723
2021-10-23,20.6723
2021-10-24,20.6723
2021-10-25,20.6723
2021-10-26,20.6723
2021-10-27,20.6723
2021-10-28,20.6723
2021-10-29,20.6723
2021-10-30,20.6723
2021-10-31,20.6723
2021-11-01,20.6723
2021-11-02,20.6723
2021-11-03,20.6723
2021-11-04,20.6723
2021-11-05,20.6723
2021-11-06,20.6723
2021-11-07,20.6723
2021-11-08,20.6723
2021-11-09,20.6723
2021-11-10,20.6723
2021-11-11,20.6723
2021-11-12,20.6723
2021-11-13,20.6723
2021-11-14,20.6723
2021-11-15,20.6723
2021-11-16,20.6723
2021-11-17,20.6723
2021-11-18,20.6723
2021-11-19,20.6723
2021-11-20,20.6723
2021-11-21,20.6723
2021-11-22,20.6723
2021-11-23,20.6723
2021-11-24,20.6723
2021-11-25,20.6723
2021-11-26,20.6723
2021-11-27,20.6723
2021-11-28,20.6723
2021-11-29,20.6723
2021-11-30,20.6723
2021-12-01,20.6723
2021-12-02,20.6723
2021-12-03,20.6723
2021-12-04,20.6723
2021-12-05,20.6723
2021-12-06,20.6723
2021-12-07,20.6723
2021-12-08,20.6723
2021-12-09,20.6723
2021-12-10,20.6723
2021-12-11,20.6723
2021-12-12,20.6723
2021-12-13,20.6723
2021-12-14,20.6723
2021-12-15,20.6723
2021-12-16,20.6723
2021-12-17,20.6723
2021-12-18,20.6723
2021-12-19,20.6723
2021-12-20,20.6723
2021-12-21,20.6723
2021-12-22,20.6723
2021-12-23,20.6723
2021-12-24,20.6723
2021-12-25,20.6723
2021-12-26,20.6723
2021-12-27,20.6723
2021-12-28,20.6723
2021-12-29,20.6723
2021-12-30,20.6723
2021-12-31,25.0265
2022-01-01,25.0265
2022-01-02,25.0265
2022-01-03,25.0265
2022-01-04,25.0265
2022-01-05,25.0265
2022-01-06,25.0265
2022-01-07,25.0265
2022-01-08,25.0265
2022-01-09,25.0265
2022-01-10,25.0265
2022-01-11,25.0265
2022-01-12,25.0265
2022-01-13,25.0265
2022-01-14,25.0265
2022-01-15,25.0265
2022-01-16,25.0265
2022-01-17,25.0265
2022-01-18,25.0265
2022-01-19,25.0265
2022-01-20,25.0265
2022-01-21,25.0265
2022-01-22,25.0265
2022-01-23,25.0265
2022-01-24,25.0265
2022-01-25,25.0265
2022-01-26,25.0265
2022-01-27,25.0265
2022-01-28,25.0265
2022-01-29,25.0265
2022-01-30,25.0265
2022-01-31,25.0265
2022-02-01,25.0265
2022-02-02,25.0265
2022-02-03,25.0265
2022-02-04,25.0265
2022-02-05,25.0265
2022-02-06,25.0265
2022-02-07,25.0265
2022-02-08,25.0265
2022-02-09,25.0265
2022-02-10,25.0265
2022-02-11,25.0265
2022-02-12,25.0265
2022-02-13,25.0265
2022-02-14,25.0265
2022-02-15,25.0265
2022-02-16,25.0265
2022-02-17,25.0265
2022-02-18,25.0265
2022-02-19,25.0265
2022-02-20,25.0265
2022-02-21,25.0265
2022-02-22,25.0265
2022-02-23,25.0265
2022-02-24,25.0265
2022-02-25,25.0265
2022-02-26,25.0265
2022-02-27,25.0265
2022-02-28,25.0265
2022-03-01,25.0265
2022-03-02,25.0265
