,DGX US Equity
,RETURN_COM_EQY
2020-01-01,15.7502
2020-01-02,15.7502
2020-01-03,15.7502
2020-01-04,15.7502
2020-01-05,15.7502
2020-01-06,15.7502
2020-01-07,15.7502
2020-01-08,15.7502
2020-01-09,15.7502
2020-01-10,15.7502
2020-01-11,15.7502
2020-01-12,15.7502
2020-01-13,15.7502
2020-01-14,15.7502
2020-01-15,15.7502
2020-01-16,15.7502
2020-01-17,15.7502
2020-01-18,15.7502
2020-01-19,15.7502
2020-01-20,15.7502
2020-01-21,15.7502
2020-01-22,15.7502
2020-01-23,15.7502
2020-01-24,15.7502
2020-01-25,15.7502
2020-01-26,15.7502
2020-01-27,15.7502
2020-01-28,15.7502
2020-01-29,15.7502
2020-01-30,15.7502
2020-01-31,15.7502
2020-02-01,15.7502
2020-02-02,15.7502
2020-02-03,15.7502
2020-02-04,15.7502
2020-02-05,15.7502
2020-02-06,15.7502
2020-02-07,15.7502
2020-02-08,15.7502
2020-02-09,15.7502
2020-02-10,15.7502
2020-02-11,15.7502
2020-02-12,15.7502
2020-02-13,15.7502
2020-02-14,15.7502
2020-02-15,15.7502
2020-02-16,15.7502
2020-02-17,15.7502
2020-02-18,15.7502
2020-02-19,15.7502
2020-02-20,15.7502
2020-02-21,15.7502
2020-02-22,15.7502
2020-02-23,15.7502
2020-02-24,15.7502
2020-02-25,15.7502
2020-02-26,15.7502
2020-02-27,15.7502
2020-02-28,15.7502
2020-02-29,15.7502
2020-03-01,15.7502
2020-03-02,15.7502
2020-03-03,15.7502
2020-03-04,15.7502
2020-03-05,15.7502
2020-03-06,15.7502
2020-03-07,15.7502
2020-03-08,15.7502
2020-03-09,15.7502
2020-03-10,15.7502
2020-03-11,15.7502
2020-03-12,15.7502
2020-03-13,15.7502
2020-03-14,15.7502
2020-03-15,15.7502
2020-03-16,15.7502
2020-03-17,15.7502
2020-03-18,15.7502
2020-03-19,15.7502
2020-03-20,15.7502
2020-03-21,15.7502
2020-03-22,15.7502
2020-03-23,15.7502
2020-03-24,15.7502
2020-03-25,15.7502
2020-03-26,15.7502
2020-03-27,15.7502
2020-03-28,15.7502
2020-03-29,15.7502
2020-03-30,15.7502
2020-03-31,14.4514
2020-04-01,14.4514
2020-04-02,14.4514
2020-04-03,14.4514
2020-04-04,14.4514
2020-04-05,14.4514
2020-04-06,14.4514
2020-04-07,14.4514
2020-04-08,14.4514
2020-04-09,14.4514
2020-04-10,14.4514
2020-04-11,14.4514
2020-04-12,14.4514
2020-04-13,14.4514
2020-04-14,14.4514
2020-04-15,14.4514
2020-04-16,14.4514
2020-04-17,14.4514
2020-04-18,14.4514
2020-04-19,14.4514
2020-04-20,14.4514
2020-04-21,14.4514
2020-04-22,14.4514
2020-04-23,14.4514
2020-04-24,14.4514
2020-04-25,14.4514
2020-04-26,14.4514
2020-04-27,14.4514
2020-04-28,14.4514
2020-04-29,14.4514
2020-04-30,14.4514
2020-05-01,14.4514
2020-05-02,14.4514
2020-05-03,14.4514
2020-05-04,14.4514
2020-05-05,14.4514
2020-05-06,14.4514
2020-05-07,14.4514
2020-05-08,14.4514
2020-05-09,14.4514
2020-05-10,14.4514
2020-05-11,14.4514
2020-05-12,14.4514
2020-05-13,14.4514
2020-05-14,14.4514
2020-05-15,14.4514
2020-05-16,14.4514
2020-05-17,14.4514
2020-05-18,14.4514
2020-05-19,14.4514
2020-05-20,14.4514
2020-05-21,14.4514
2020-05-22,14.4514
2020-05-23,14.4514
2020-05-24,14.4514
2020-05-25,14.4514
2020-05-26,14.4514
2020-05-27,14.4514
2020-05-28,14.4514
2020-05-29,14.4514
2020-05-30,14.4514
2020-05-31,14.4514
2020-06-01,14.4514
2020-06-02,14.4514
2020-06-03,14.4514
2020-06-04,14.4514
2020-06-05,14.4514
2020-06-06,14.4514
2020-06-07,14.4514
2020-06-08,14.4514
2020-06-09,14.4514
2020-06-10,14.4514
2020-06-11,14.4514
2020-06-12,14.4514
2020-06-13,14.4514
2020-06-14,14.4514
2020-06-15,14.4514
2020-06-16,14.4514
2020-06-17,14.4514
2020-06-18,14.4514
2020-06-19,14.4514
2020-06-20,14.4514
2020-06-21,14.4514
2020-06-22,14.4514
2020-06-23,14.4514
2020-06-24,14.4514
2020-06-25,14.4514
2020-06-26,14.4514
2020-06-27,14.4514
2020-06-28,14.4514
2020-06-29,14.4514
2020-06-30,13.2684
2020-07-01,13.2684
2020-07-02,13.2684
2020-07-03,13.2684
2020-07-04,13.2684
2020-07-05,13.2684
2020-07-06,13.2684
2020-07-07,13.2684
2020-07-08,13.2684
2020-07-09,13.2684
2020-07-10,13.2684
2020-07-11,13.2684
2020-07-12,13.2684
2020-07-13,13.2684
2020-07-14,13.2684
2020-07-15,13.2684
2020-07-16,13.2684
2020-07-17,13.2684
2020-07-18,13.2684
2020-07-19,13.2684
2020-07-20,13.2684
2020-07-21,13.2684
2020-07-22,13.2684
2020-07-23,13.2684
2020-07-24,13.2684
2020-07-25,13.2684
2020-07-26,13.2684
2020-07-27,13.2684
2020-07-28,13.2684
2020-07-29,13.2684
2020-07-30,13.2684
2020-07-31,13.2684
2020-08-01,13.2684
2020-08-02,13.2684
2020-08-03,13.2684
2020-08-04,13.2684
2020-08-05,13.2684
2020-08-06,13.2684
2020-08-07,13.2684
2020-08-08,13.2684
2020-08-09,13.2684
2020-08-10,13.2684
2020-08-11,13.2684
2020-08-12,13.2684
2020-08-13,13.2684
2020-08-14,13.2684
2020-08-15,13.2684
2020-08-16,13.2684
2020-08-17,13.2684
2020-08-18,13.2684
2020-08-19,13.2684
2020-08-20,13.2684
2020-08-21,13.2684
2020-08-22,13.2684
2020-08-23,13.2684
2020-08-24,13.2684
2020-08-25,13.2684
2020-08-26,13.2684
2020-08-27,13.2684
2020-08-28,13.2684
2020-08-29,13.2684
2020-08-30,13.2684
2020-08-31,13.2684
2020-09-01,13.2684
2020-09-02,13.2684
2020-09-03,13.2684
2020-09-04,13.2684
2020-09-05,13.2684
2020-09-06,13.2684
2020-09-07,13.2684
2020-09-08,13.2684
2020-09-09,13.2684
2020-09-10,13.2684
2020-09-11,13.2684
2020-09-12,13.2684
2020-09-13,13.2684
2020-09-14,13.2684
2020-09-15,13.2684
2020-09-16,13.2684
2020-09-17,13.2684
2020-09-18,13.2684
2020-09-19,13.2684
2020-09-20,13.2684
2020-09-21,13.2684
2020-09-22,13.2684
2020-09-23,13.2684
2020-09-24,13.2684
2020-09-25,13.2684
2020-09-26,13.2684
2020-09-27,13.2684
2020-09-28,13.2684
2020-09-29,13.2684
2020-09-30,18.3424
2020-10-01,18.3424
2020-10-02,18.3424
2020-10-03,18.3424
2020-10-04,18.3424
2020-10-05,18.3424
2020-10-06,18.3424
2020-10-07,18.3424
2020-10-08,18.3424
2020-10-09,18.3424
2020-10-10,18.3424
2020-10-11,18.3424
2020-10-12,18.3424
2020-10-13,18.3424
2020-10-14,18.3424
2020-10-15,18.3424
2020-10-16,18.3424
2020-10-17,18.3424
2020-10-18,18.3424
2020-10-19,18.3424
2020-10-20,18.3424
2020-10-21,18.3424
2020-10-22,18.3424
2020-10-23,18.3424
2020-10-24,18.3424
2020-10-25,18.3424
2020-10-26,18.3424
2020-10-27,18.3424
2020-10-28,18.3424
2020-10-29,18.3424
2020-10-30,18.3424
2020-10-31,18.3424
2020-11-01,18.3424
2020-11-02,18.3424
2020-11-03,18.3424
2020-11-04,18.3424
2020-11-05,18.3424
2020-11-06,18.3424
2020-11-07,18.3424
2020-11-08,18.3424
2020-11-09,18.3424
2020-11-10,18.3424
2020-11-11,18.3424
2020-11-12,18.3424
2020-11-13,18.3424
2020-11-14,18.3424
2020-11-15,18.3424
2020-11-16,18.3424
2020-11-17,18.3424
2020-11-18,18.3424
2020-11-19,18.3424
2020-11-20,18.3424
2020-11-21,18.3424
2020-11-22,18.3424
2020-11-23,18.3424
2020-11-24,18.3424
2020-11-25,18.3424
2020-11-26,18.3424
2020-11-27,18.3424
2020-11-28,18.3424
2020-11-29,18.3424
2020-11-30,18.3424
2020-12-01,18.3424
2020-12-02,18.3424
2020-12-03,18.3424
2020-12-04,18.3424
2020-12-05,18.3424
2020-12-06,18.3424
2020-12-07,18.3424
2020-12-08,18.3424
2020-12-09,18.3424
2020-12-10,18.3424
2020-12-11,18.3424
2020-12-12,18.3424
2020-12-13,18.3424
2020-12-14,18.3424
2020-12-15,18.3424
2020-12-16,18.3424
2020-12-17,18.3424
2020-12-18,18.3424
2020-12-19,18.3424
2020-12-20,18.3424
2020-12-21,18.3424
2020-12-22,18.3424
2020-12-23,18.3424
2020-12-24,18.3424
2020-12-25,18.3424
2020-12-26,18.3424
2020-12-27,18.3424
2020-12-28,18.3424
2020-12-29,18.3424
2020-12-30,18.3424
2020-12-31,23.0323
2021-01-01,23.0323
2021-01-02,23.0323
2021-01-03,23.0323
2021-01-04,23.0323
2021-01-05,23.0323
2021-01-06,23.0323
2021-01-07,23.0323
2021-01-08,23.0323
