,FHI US Equity
,RETURN_COM_EQY
2020-01-01,27.6155
2020-01-02,27.6155
2020-01-03,27.6155
2020-01-04,27.6155
2020-01-05,27.6155
2020-01-06,27.6155
2020-01-07,27.6155
2020-01-08,27.6155
2020-01-09,27.6155
2020-01-10,27.6155
2020-01-11,27.6155
2020-01-12,27.6155
2020-01-13,27.6155
2020-01-14,27.6155
2020-01-15,27.6155
2020-01-16,27.6155
2020-01-17,27.6155
2020-01-18,27.6155
2020-01-19,27.6155
2020-01-20,27.6155
2020-01-21,27.6155
2020-01-22,27.6155
2020-01-23,27.6155
2020-01-24,27.6155
2020-01-25,27.6155
2020-01-26,27.6155
2020-01-27,27.6155
2020-01-28,27.6155
2020-01-29,27.6155
2020-01-30,27.6155
2020-01-31,27.6155
2020-02-01,27.6155
2020-02-02,27.6155
2020-02-03,27.6155
2020-02-04,27.6155
2020-02-05,27.6155
2020-02-06,27.6155
2020-02-07,27.6155
2020-02-08,27.6155
2020-02-09,27.6155
2020-02-10,27.6155
2020-02-11,27.6155
2020-02-12,27.6155
2020-02-13,27.6155
2020-02-14,27.6155
2020-02-15,27.6155
2020-02-16,27.6155
2020-02-17,27.6155
2020-02-18,27.6155
2020-02-19,27.6155
2020-02-20,27.6155
2020-02-21,27.6155
2020-02-22,27.6155
2020-02-23,27.6155
2020-02-24,27.6155
2020-02-25,27.6155
2020-02-26,27.6155
2020-02-27,27.6155
2020-02-28,27.6155
2020-02-29,27.6155
2020-03-01,27.6155
2020-03-02,27.6155
2020-03-03,27.6155
2020-03-04,27.6155
2020-03-05,27.6155
2020-03-06,27.6155
2020-03-07,27.6155
2020-03-08,27.6155
2020-03-09,27.6155
2020-03-10,27.6155
2020-03-11,27.6155
2020-03-12,27.6155
2020-03-13,27.6155
2020-03-14,27.6155
2020-03-15,27.6155
2020-03-16,27.6155
2020-03-17,27.6155
2020-03-18,27.6155
2020-03-19,27.6155
2020-03-20,27.6155
2020-03-21,27.6155
2020-03-22,27.6155
2020-03-23,27.6155
2020-03-24,27.6155
2020-03-25,27.6155
2020-03-26,27.6155
2020-03-27,27.6155
2020-03-28,27.6155
2020-03-29,27.6155
2020-03-30,27.6155
2020-03-31,27.9782
2020-04-01,27.9782
2020-04-02,27.9782
2020-04-03,27.9782
2020-04-04,27.9782
2020-04-05,27.9782
2020-04-06,27.9782
2020-04-07,27.9782
2020-04-08,27.9782
2020-04-09,27.9782
2020-04-10,27.9782
2020-04-11,27.9782
2020-04-12,27.9782
2020-04-13,27.9782
2020-04-14,27.9782
2020-04-15,27.9782
2020-04-16,27.9782
2020-04-17,27.9782
2020-04-18,27.9782
2020-04-19,27.9782
2020-04-20,27.9782
2020-04-21,27.9782
2020-04-22,27.9782
2020-04-23,27.9782
2020-04-24,27.9782
2020-04-25,27.9782
2020-04-26,27.9782
2020-04-27,27.9782
2020-04-28,27.9782
2020-04-29,27.9782
2020-04-30,27.9782
2020-05-01,27.9782
2020-05-02,27.9782
2020-05-03,27.9782
2020-05-04,27.9782
2020-05-05,27.9782
2020-05-06,27.9782
2020-05-07,27.9782
2020-05-08,27.9782
2020-05-09,27.9782
2020-05-10,27.9782
2020-05-11,27.9782
2020-05-12,27.9782
2020-05-13,27.9782
2020-05-14,27.9782
2020-05-15,27.9782
2020-05-16,27.9782
2020-05-17,27.9782
2020-05-18,27.9782
2020-05-19,27.9782
2020-05-20,27.9782
2020-05-21,27.9782
2020-05-22,27.9782
2020-05-23,27.9782
2020-05-24,27.9782
2020-05-25,27.9782
2020-05-26,27.9782
2020-05-27,27.9782
2020-05-28,27.9782
2020-05-29,27.9782
2020-05-30,27.9782
2020-05-31,27.9782
2020-06-01,27.9782
2020-06-02,27.9782
2020-06-03,27.9782
2020-06-04,27.9782
2020-06-05,27.9782
2020-06-06,27.9782
2020-06-07,27.9782
2020-06-08,27.9782
2020-06-09,27.9782
2020-06-10,27.9782
2020-06-11,27.9782
2020-06-12,27.9782
2020-06-13,27.9782
2020-06-14,27.9782
2020-06-15,27.9782
2020-06-16,27.9782
2020-06-17,27.9782
2020-06-18,27.9782
2020-06-19,27.9782
2020-06-20,27.9782
2020-06-21,27.9782
2020-06-22,27.9782
2020-06-23,27.9782
2020-06-24,27.9782
2020-06-25,27.9782
2020-06-26,27.9782
2020-06-27,27.9782
2020-06-28,27.9782
2020-06-29,27.9782
2020-06-30,28.9275
2020-07-01,28.9275
2020-07-02,28.9275
2020-07-03,28.9275
2020-07-04,28.9275
2020-07-05,28.9275
2020-07-06,28.9275
2020-07-07,28.9275
2020-07-08,28.9275
2020-07-09,28.9275
2020-07-10,28.9275
2020-07-11,28.9275
2020-07-12,28.9275
2020-07-13,28.9275
2020-07-14,28.9275
2020-07-15,28.9275
2020-07-16,28.9275
2020-07-17,28.9275
2020-07-18,28.9275
2020-07-19,28.9275
2020-07-20,28.9275
2020-07-21,28.9275
2020-07-22,28.9275
2020-07-23,28.9275
2020-07-24,28.9275
2020-07-25,28.9275
2020-07-26,28.9275
2020-07-27,28.9275
2020-07-28,28.9275
2020-07-29,28.9275
2020-07-30,28.9275
2020-07-31,28.9275
2020-08-01,28.9275
2020-08-02,28.9275
2020-08-03,28.9275
2020-08-04,28.9275
2020-08-05,28.9275
2020-08-06,28.9275
2020-08-07,28.9275
2020-08-08,28.9275
2020-08-09,28.9275
2020-08-10,28.9275
2020-08-11,28.9275
2020-08-12,28.9275
2020-08-13,28.9275
2020-08-14,28.9275
2020-08-15,28.9275
2020-08-16,28.9275
2020-08-17,28.9275
2020-08-18,28.9275
2020-08-19,28.9275
2020-08-20,28.9275
2020-08-21,28.9275
2020-08-22,28.9275
2020-08-23,28.9275
2020-08-24,28.9275
2020-08-25,28.9275
2020-08-26,28.9275
2020-08-27,28.9275
2020-08-28,28.9275
2020-08-29,28.9275
2020-08-30,28.9275
2020-08-31,28.9275
2020-09-01,28.9275
2020-09-02,28.9275
2020-09-03,28.9275
2020-09-04,28.9275
2020-09-05,28.9275
2020-09-06,28.9275
2020-09-07,28.9275
2020-09-08,28.9275
2020-09-09,28.9275
