,ITW US Equity
,RETURN_COM_EQY
2020-01-01,80.2866
2020-01-02,80.2866
2020-01-03,80.2866
2020-01-04,80.2866
2020-01-05,80.2866
2020-01-06,80.2866
2020-01-07,80.2866
2020-01-08,80.2866
2020-01-09,80.2866
2020-01-10,80.2866
2020-01-11,80.2866
2020-01-12,80.2866
2020-01-13,80.2866
2020-01-14,80.2866
2020-01-15,80.2866
2020-01-16,80.2866
2020-01-17,80.2866
2020-01-18,80.2866
2020-01-19,80.2866
2020-01-20,80.2866
2020-01-21,80.2866
2020-01-22,80.2866
2020-01-23,80.2866
2020-01-24,80.2866
2020-01-25,80.2866
2020-01-26,80.2866
2020-01-27,80.2866
2020-01-28,80.2866
2020-01-29,80.2866
2020-01-30,80.2866
2020-01-31,80.2866
2020-02-01,80.2866
2020-02-02,80.2866
2020-02-03,80.2866
2020-02-04,80.2866
2020-02-05,80.2866
2020-02-06,80.2866
2020-02-07,80.2866
2020-02-08,80.2866
2020-02-09,80.2866
2020-02-10,80.2866
2020-02-11,80.2866
2020-02-12,80.2866
2020-02-13,80.2866
2020-02-14,80.2866
2020-02-15,80.2866
2020-02-16,80.2866
2020-02-17,80.2866
2020-02-18,80.2866
2020-02-19,80.2866
2020-02-20,80.2866
2020-02-21,80.2866
2020-02-22,80.2866
2020-02-23,80.2866
2020-02-24,80.2866
2020-02-25,80.2866
2020-02-26,80.2866
2020-02-27,80.2866
2020-02-28,80.2866
2020-02-29,80.2866
2020-03-01,80.2866
2020-03-02,80.2866
2020-03-03,80.2866
2020-03-04,80.2866
2020-03-05,80.2866
2020-03-06,80.2866
2020-03-07,80.2866
2020-03-08,80.2866
2020-03-09,80.2866
2020-03-10,80.2866
2020-03-11,80.2866
2020-03-12,80.2866
2020-03-13,80.2866
2020-03-14,80.2866
2020-03-15,80.2866
2020-03-16,80.2866
2020-03-17,80.2866
2020-03-18,80.2866
2020-03-19,80.2866
2020-03-20,80.2866
2020-03-21,80.2866
2020-03-22,80.2866
2020-03-23,80.2866
2020-03-24,80.2866
2020-03-25,80.2866
2020-03-26,80.2866
2020-03-27,80.2866
2020-03-28,80.2866
2020-03-29,80.2866
2020-03-30,80.2866
2020-03-31,90.8925
2020-04-01,90.8925
2020-04-02,90.8925
2020-04-03,90.8925
2020-04-04,90.8925
2020-04-05,90.8925
2020-04-06,90.8925
2020-04-07,90.8925
2020-04-08,90.8925
2020-04-09,90.8925
2020-04-10,90.8925
2020-04-11,90.8925
2020-04-12,90.8925
2020-04-13,90.8925
2020-04-14,90.8925
2020-04-15,90.8925
2020-04-16,90.8925
2020-04-17,90.8925
2020-04-18,90.8925
2020-04-19,90.8925
2020-04-20,90.8925
2020-04-21,90.8925
2020-04-22,90.8925
2020-04-23,90.8925
2020-04-24,90.8925
2020-04-25,90.8925
2020-04-26,90.8925
2020-04-27,90.8925
2020-04-28,90.8925
2020-04-29,90.8925
2020-04-30,90.8925
2020-05-01,90.8925
2020-05-02,90.8925
2020-05-03,90.8925
2020-05-04,90.8925
2020-05-05,90.8925
2020-05-06,90.8925
2020-05-07,90.8925
2020-05-08,90.8925
2020-05-09,90.8925
2020-05-10,90.8925
2020-05-11,90.8925
2020-05-12,90.8925
2020-05-13,90.8925
2020-05-14,90.8925
2020-05-15,90.8925
2020-05-16,90.8925
2020-05-17,90.8925
2020-05-18,90.8925
2020-05-19,90.8925
2020-05-20,90.8925
2020-05-21,90.8925
2020-05-22,90.8925
2020-05-23,90.8925
2020-05-24,90.8925
2020-05-25,90.8925
2020-05-26,90.8925
2020-05-27,90.8925
2020-05-28,90.8925
2020-05-29,90.8925
2020-05-30,90.8925
2020-05-31,90.8925
2020-06-01,90.8925
2020-06-02,90.8925
2020-06-03,90.8925
2020-06-04,90.8925
2020-06-05,90.8925
2020-06-06,90.8925
2020-06-07,90.8925
2020-06-08,90.8925
2020-06-09,90.8925
2020-06-10,90.8925
