,KO US Equity
,RETURN_COM_EQY
2020-01-01,49.6079
2020-01-02,49.6079
2020-01-03,49.6079
2020-01-04,49.6079
2020-01-05,49.6079
2020-01-06,49.6079
2020-01-07,49.6079
2020-01-08,49.6079
2020-01-09,49.6079
2020-01-10,49.6079
2020-01-11,49.6079
2020-01-12,49.6079
2020-01-13,49.6079
2020-01-14,49.6079
2020-01-15,49.6079
2020-01-16,49.6079
2020-01-17,49.6079
2020-01-18,49.6079
2020-01-19,49.6079
2020-01-20,49.6079
2020-01-21,49.6079
2020-01-22,49.6079
2020-01-23,49.6079
2020-01-24,49.6079
2020-01-25,49.6079
2020-01-26,49.6079
2020-01-27,49.6079
2020-01-28,49.6079
2020-01-29,49.6079
2020-01-30,49.6079
2020-01-31,49.6079
2020-02-01,49.6079
2020-02-02,49.6079
2020-02-03,49.6079
2020-02-04,49.6079
2020-02-05,49.6079
2020-02-06,49.6079
2020-02-07,49.6079
2020-02-08,49.6079
2020-02-09,49.6079
2020-02-10,49.6079
2020-02-11,49.6079
2020-02-12,49.6079
2020-02-13,49.6079
2020-02-14,49.6079
2020-02-15,49.6079
2020-02-16,49.6079
2020-02-17,49.6079
2020-02-18,49.6079
2020-02-19,49.6079
2020-02-20,49.6079
2020-02-21,49.6079
2020-02-22,49.6079
2020-02-23,49.6079
2020-02-24,49.6079
2020-02-25,49.6079
2020-02-26,49.6079
2020-02-27,49.6079
2020-02-28,49.6079
2020-02-29,49.6079
2020-03-01,49.6079
2020-03-02,49.6079
2020-03-03,49.6079
2020-03-04,49.6079
2020-03-05,49.6079
2020-03-06,49.6079
2020-03-07,49.6079
2020-03-08,49.6079
2020-03-09,49.6079
2020-03-10,49.6079
2020-03-11,49.6079
2020-03-12,49.6079
2020-03-13,49.6079
2020-03-14,49.6079
2020-03-15,49.6079
2020-03-16,49.6079
2020-03-17,49.6079
2020-03-18,49.6079
2020-03-19,49.6079
2020-03-20,49.6079
2020-03-21,49.6079
2020-03-22,49.6079
2020-03-23,49.6079
2020-03-24,49.6079
2020-03-25,49.6079
2020-03-26,49.6079
2020-03-27,55.8159
2020-03-28,55.8159
2020-03-29,55.8159
2020-03-30,55.8159
2020-03-31,55.8159
2020-04-01,55.8159
2020-04-02,55.8159
2020-04-03,55.8159
2020-04-04,55.8159
2020-04-05,55.8159
2020-04-06,55.8159
2020-04-07,55.8159
2020-04-08,55.8159
2020-04-09,55.8159
2020-04-10,55.8159
2020-04-11,55.8159
2020-04-12,55.8159
2020-04-13,55.8159
2020-04-14,55.8159
2020-04-15,55.8159
2020-04-16,55.8159
2020-04-17,55.8159
2020-04-18,55.8159
2020-04-19,55.8159
2020-04-20,55.8159
2020-04-21,55.8159
2020-04-22,55.8159
2020-04-23,55.8159
2020-04-24,55.8159
2020-04-25,55.8159
2020-04-26,55.8159
2020-04-27,55.8159
2020-04-28,55.8159
2020-04-29,55.8159
2020-04-30,55.8159
2020-05-01,55.8159
2020-05-02,55.8159
2020-05-03,55.8159
2020-05-04,55.8159
2020-05-05,55.8159
2020-05-06,55.8159
2020-05-07,55.8159
2020-05-08,55.8159
2020-05-09,55.8159
2020-05-10,55.8159
2020-05-11,55.8159
2020-05-12,55.8159
2020-05-13,55.8159
2020-05-14,55.8159
2020-05-15,55.8159
2020-05-16,55.8159
2020-05-17,55.8159
2020-05-18,55.8159
2020-05-19,55.8159
2020-05-20,55.8159
2020-05-21,55.8159
2020-05-22,55.8159
2020-05-23,55.8159
2020-05-24,55.8159
2020-05-25,55.8159
2020-05-26,55.8159
2020-05-27,55.8159
2020-05-28,55.8159
2020-05-29,55.8159
2020-05-30,55.8159
2020-05-31,55.8159
2020-06-01,55.8159
2020-06-02,55.8159
2020-06-03,55.8159
2020-06-04,55.8159
2020-06-05,55.8159
2020-06-06,55.8159
2020-06-07,55.8159
2020-06-08,55.8159
2020-06-09,55.8159
2020-06-10,55.8159
2020-06-11,55.8159
2020-06-12,55.8159
2020-06-13,55.8159
2020-06-14,55.8159
2020-06-15,55.8159
2020-06-16,55.8159
2020-06-17,55.8159
2020-06-18,55.8159
2020-06-19,55.8159
2020-06-20,55.8159
2020-06-21,55.8159
2020-06-22,55.8159
2020-06-23,55.8159
2020-06-24,55.8159
2020-06-25,55.8159
2020-06-26,51.5295
2020-06-27,51.5295
2020-06-28,51.5295
2020-06-29,51.5295
2020-06-30,51.5295
2020-07-01,51.5295
2020-07-02,51.5295
2020-07-03,51.5295
2020-07-04,51.5295
2020-07-05,51.5295
2020-07-06,51.5295
2020-07-07,51.5295
2020-07-08,51.5295
2020-07-09,51.5295
2020-07-10,51.5295
2020-07-11,51.5295
2020-07-12,51.5295
2020-07-13,51.5295
2020-07-14,51.5295
2020-07-15,51.5295
2020-07-16,51.5295
2020-07-17,51.5295
2020-07-18,51.5295
2020-07-19,51.5295
2020-07-20,51.5295
2020-07-21,51.5295
2020-07-22,51.5295
2020-07-23,51.5295
2020-07-24,51.5295
2020-07-25,51.5295
2020-07-26,51.5295
2020-07-27,51.5295
2020-07-28,51.5295
2020-07-29,51.5295
2020-07-30,51.5295
2020-07-31,51.5295
2020-08-01,51.5295
2020-08-02,51.5295
2020-08-03,51.5295
2020-08-04,51.5295
2020-08-05,51.5295
2020-08-06,51.5295
2020-08-07,51.5295
2020-08-08,51.5295
2020-08-09,51.5295
2020-08-10,51.5295
2020-08-11,51.5295
2020-08-12,51.5295
2020-08-13,51.5295
2020-08-14,51.5295
2020-08-15,51.5295
2020-08-16,51.5295
2020-08-17,51.5295
2020-08-18,51.5295
2020-08-19,51.5295
2020-08-20,51.5295
2020-08-21,51.5295
2020-08-22,51.5295
2020-08-23,51.5295
2020-08-24,51.5295
2020-08-25,51.5295
2020-08-26,51.5295
2020-08-27,51.5295
2020-08-28,51.5295
2020-08-29,51.5295
2020-08-30,51.5295
2020-08-31,51.5295
2020-09-01,51.5295
2020-09-02,51.5295
2020-09-03,51.5295
2020-09-04,51.5295
2020-09-05,51.5295
2020-09-06,51.5295
2020-09-07,51.5295
2020-09-08,51.5295
2020-09-09,51.5295
2020-09-10,51.5295
2020-09-11,51.5295
2020-09-12,51.5295
2020-09-13,51.5295
2020-09-14,51.5295
2020-09-15,51.5295
2020-09-16,51.5295
2020-09-17,51.5295
2020-09-18,51.5295
2020-09-19,51.5295
2020-09-20,51.5295
2020-09-21,51.5295
2020-09-22,51.5295
2020-09-23,51.5295
2020-09-24,51.5295
2020-09-25,44.657
2020-09-26,44.657
2020-09-27,44.657
2020-09-28,44.657
2020-09-29,44.657
2020-09-30,44.657
2020-10-01,44.657
2020-10-02,44.657
2020-10-03,44.657
2020-10-04,44.657
2020-10-05,44.657
2020-10-06,44.657
2020-10-07,44.657
2020-10-08,44.657
2020-10-09,44.657
2020-10-10,44.657
2020-10-11,44.657
2020-10-12,44.657
2020-10-13,44.657
2020-10-14,44.657
2020-10-15,44.657
2020-10-16,44.657
2020-10-17,44.657
2020-10-18,44.657
2020-10-19,44.657
2020-10-20,44.657
2020-10-21,44.657
2020-10-22,44.657
2020-10-23,44.657
2020-10-24,44.657
2020-10-25,44.657
2020-10-26,44.657
2020-10-27,44.657
2020-10-28,44.657
2020-10-29,44.657
2020-10-30,44.657
2020-10-31,44.657
2020-11-01,44.657
2020-11-02,44.657
2020-11-03,44.657
2020-11-04,44.657
2020-11-05,44.657
2020-11-06,44.657
2020-11-07,44.657
2020-11-08,44.657
2020-11-09,44.657
2020-11-10,44.657
2020-11-11,44.657
2020-11-12,44.657
2020-11-13,44.657
2020-11-14,44.657
2020-11-15,44.657
2020-11-16,44.657
2020-11-17,44.657
2020-11-18,44.657
2020-11-19,44.657
2020-11-20,44.657
2020-11-21,44.657
2020-11-22,44.657
2020-11-23,44.657
2020-11-24,44.657
2020-11-25,44.657
2020-11-26,44.657
2020-11-27,44.657
2020-11-28,44.657
2020-11-29,44.657
2020-11-30,44.657
2020-12-01,44.657
2020-12-02,44.657
2020-12-03,44.657
2020-12-04,44.657
2020-12-05,44.657
2020-12-06,44.657
2020-12-07,44.657
2020-12-08,44.657
2020-12-09,44.657
2020-12-10,44.657
2020-12-11,44.657
2020-12-12,44.657
2020-12-13,44.657
2020-12-14,44.657
2020-12-15,44.657
2020-12-16,44.657
2020-12-17,44.657
2020-12-18,44.657
2020-12-19,44.657
2020-12-20,44.657
2020-12-21,44.657
2020-12-22,44.657
2020-12-23,44.657
2020-12-24,44.657
2020-12-25,44.657
2020-12-26,44.657
2020-12-27,44.657
2020-12-28,44.657
2020-12-29,44.657
2020-12-30,44.657
2020-12-31,40.4754
2021-01-01,40.4754
2021-01-02,40.4754
2021-01-03,40.4754
2021-01-04,40.4754
2021-01-05,40.4754
2021-01-06,40.4754
2021-01-07,40.4754
2021-01-08,40.4754
2021-01-09,40.4754
2021-01-10,40.4754
2021-01-11,40.4754
2021-01-12,40.4754
2021-01-13,40.4754
2021-01-14,40.4754
2021-01-15,40.4754
2021-01-16,40.4754
2021-01-17,40.4754
2021-01-18,40.4754
2021-01-19,40.4754
2021-01-20,40.4754
2021-01-21,40.4754
2021-01-22,40.4754
2021-01-23,40.4754
2021-01-24,40.4754
2021-01-25,40.4754
2021-01-26,40.4754
2021-01-27,40.4754
2021-01-28,40.4754
2021-01-29,40.4754
2021-01-30,40.4754
2021-01-31,40.4754
2021-02-01,40.4754
2021-02-02,40.4754
2021-02-03,40.4754
2021-02-04,40.4754
2021-02-05,40.4754
2021-02-06,40.4754
2021-02-07,40.4754
2021-02-08,40.4754
2021-02-09,40.4754
2021-02-10,40.4754
2021-02-11,40.4754
2021-02-12,40.4754
2021-02-13,40.4754
2021-02-14,40.4754
2021-02-15,40.4754
2021-02-16,40.4754
2021-02-17,40.4754
2021-02-18,40.4754
2021-02-19,40.4754
2021-02-20,40.4754
2021-02-21,40.4754
2021-02-22,40.4754
2021-02-23,40.4754
2021-02-24,40.4754
2021-02-25,40.4754
2021-02-26,40.4754
2021-02-27,40.4754
2021-02-28,40.4754
2021-03-01,40.4754
2021-03-02,40.4754
2021-03-03,40.4754
2021-03-04,40.4754
2021-03-05,40.4754
2021-03-06,40.4754
2021-03-07,40.4754
2021-03-08,40.4754
2021-03-09,40.4754
2021-03-10,40.4754
2021-03-11,40.4754
2021-03-12,40.4754
2021-03-13,40.4754
2021-03-14,40.4754
2021-03-15,40.4754
2021-03-16,40.4754
2021-03-17,40.4754
2021-03-18,40.4754
2021-03-19,40.4754
2021-03-20,40.4754
2021-03-21,40.4754
2021-03-22,40.4754
2021-03-23,40.4754
2021-03-24,40.4754
2021-03-25,40.4754
2021-03-26,40.4754
2021-03-27,40.4754
2021-03-28,40.4754
2021-03-29,40.4754
2021-03-30,40.4754
2021-03-31,40.4754
2021-04-01,40.4754
2021-04-02,37.4783
2021-04-03,37.4783
2021-04-04,37.4783
2021-04-05,37.4783
2021-04-06,37.4783
2021-04-07,37.4783
2021-04-08,37.4783
2021-04-09,37.4783
2021-04-10,37.4783
2021-04-11,37.4783
2021-04-12,37.4783
2021-04-13,37.4783
2021-04-14,37.4783
2021-04-15,37.4783
2021-04-16,37.4783
2021-04-17,37.4783
2021-04-18,37.4783
2021-04-19,37.4783
2021-04-20,37.4783
2021-04-21,37.4783
2021-04-22,37.4783
2021-04-23,37.4783
2021-04-24,37.4783
2021-04-25,37.4783
2021-04-26,37.4783
2021-04-27,37.4783
2021-04-28,37.4783
2021-04-29,37.4783
2021-04-30,37.4783
2021-05-01,37.4783
2021-05-02,37.4783
2021-05-03,37.4783
2021-05-04,37.4783
2021-05-05,37.4783
2021-05-06,37.4783
2021-05-07,37.4783
2021-05-08,37.4783
2021-05-09,37.4783
2021-05-10,37.4783
2021-05-11,37.4783
2021-05-12,37.4783
2021-05-13,37.4783
2021-05-14,37.4783
2021-05-15,37.4783
2021-05-16,37.4783
2021-05-17,37.4783
2021-05-18,37.4783
2021-05-19,37.4783
2021-05-20,37.4783
2021-05-21,37.4783
2021-05-22,37.4783
2021-05-23,37.4783
2021-05-24,37.4783
2021-05-25,37.4783
2021-05-26,37.4783
2021-05-27,37.4783
2021-05-28,37.4783
2021-05-29,37.4783
2021-05-30,37.4783
2021-05-31,37.4783
2021-06-01,37.4783
2021-06-02,37.4783
2021-06-03,37.4783
2021-06-04,37.4783
2021-06-05,37.4783
2021-06-06,37.4783
2021-06-07,37.4783
2021-06-08,37.4783
2021-06-09,37.4783
2021-06-10,37.4783
2021-06-11,37.4783
2021-06-12,37.4783
2021-06-13,37.4783
2021-06-14,37.4783
2021-06-15,37.4783
2021-06-16,37.4783
2021-06-17,37.4783
2021-06-18,37.4783
2021-06-19,37.4783
2021-06-20,37.4783
2021-06-21,37.4783
2021-06-22,37.4783
2021-06-23,37.4783
2021-06-24,37.4783
2021-06-25,37.4783
2021-06-26,37.4783
2021-06-27,37.4783
2021-06-28,37.4783
2021-06-29,37.4783
