,MC US Equity
,RETURN_COM_EQY
2020-01-01,24.8103
2020-01-02,24.8103
2020-01-03,24.8103
2020-01-04,24.8103
2020-01-05,24.8103
2020-01-06,24.8103
2020-01-07,24.8103
2020-01-08,24.8103
2020-01-09,24.8103
2020-01-10,24.8103
2020-01-11,24.8103
2020-01-12,24.8103
2020-01-13,24.8103
2020-01-14,24.8103
2020-01-15,24.8103
2020-01-16,24.8103
2020-01-17,24.8103
2020-01-18,24.8103
2020-01-19,24.8103
2020-01-20,24.8103
2020-01-21,24.8103
2020-01-22,24.8103
2020-01-23,24.8103
2020-01-24,24.8103
2020-01-25,24.8103
2020-01-26,24.8103
2020-01-27,24.8103
2020-01-28,24.8103
2020-01-29,24.8103
2020-01-30,24.8103
2020-01-31,24.8103
2020-02-01,24.8103
2020-02-02,24.8103
2020-02-03,24.8103
2020-02-04,24.8103
2020-02-05,24.8103
2020-02-06,24.8103
2020-02-07,24.8103
2020-02-08,24.8103
2020-02-09,24.8103
2020-02-10,24.8103
2020-02-11,24.8103
2020-02-12,24.8103
2020-02-13,24.8103
2020-02-14,24.8103
2020-02-15,24.8103
2020-02-16,24.8103
2020-02-17,24.8103
2020-02-18,24.8103
2020-02-19,24.8103
2020-02-20,24.8103
2020-02-21,24.8103
2020-02-22,24.8103
2020-02-23,24.8103
2020-02-24,24.8103
2020-02-25,24.8103
2020-02-26,24.8103
2020-02-27,24.8103
2020-02-28,24.8103
2020-02-29,24.8103
2020-03-01,24.8103
2020-03-02,24.8103
2020-03-03,24.8103
2020-03-04,24.8103
2020-03-05,24.8103
2020-03-06,24.8103
2020-03-07,24.8103
2020-03-08,24.8103
2020-03-09,24.8103
2020-03-10,24.8103
2020-03-11,24.8103
2020-03-12,24.8103
2020-03-13,24.8103
2020-03-14,24.8103
2020-03-15,24.8103
2020-03-16,24.8103
2020-03-17,24.8103
2020-03-18,24.8103
2020-03-19,24.8103
2020-03-20,24.8103
2020-03-21,24.8103
2020-03-22,24.8103
2020-03-23,24.8103
2020-03-24,24.8103
2020-03-25,24.8103
2020-03-26,24.8103
2020-03-27,24.8103
2020-03-28,24.8103
2020-03-29,24.8103
2020-03-30,24.8103
2020-03-31,30.6186
2020-04-01,30.6186
2020-04-02,30.6186
2020-04-03,30.6186
2020-04-04,30.6186
2020-04-05,30.6186
2020-04-06,30.6186
2020-04-07,30.6186
2020-04-08,30.6186
2020-04-09,30.6186
2020-04-10,30.6186
2020-04-11,30.6186
2020-04-12,30.6186
2020-04-13,30.6186
2020-04-14,30.6186
2020-04-15,30.6186
2020-04-16,30.6186
2020-04-17,30.6186
2020-04-18,30.6186
2020-04-19,30.6186
2020-04-20,30.6186
2020-04-21,30.6186
2020-04-22,30.6186
2020-04-23,30.6186
2020-04-24,30.6186
2020-04-25,30.6186
2020-04-26,30.6186
2020-04-27,30.6186
2020-04-28,30.6186
2020-04-29,30.6186
2020-04-30,30.6186
2020-05-01,30.6186
2020-05-02,30.6186
2020-05-03,30.6186
2020-05-04,30.6186
2020-05-05,30.6186
2020-05-06,30.6186
2020-05-07,30.6186
2020-05-08,30.6186
2020-05-09,30.6186
2020-05-10,30.6186
2020-05-11,30.6186
2020-05-12,30.6186
2020-05-13,30.6186
2020-05-14,30.6186
2020-05-15,30.6186
2020-05-16,30.6186
2020-05-17,30.6186
2020-05-18,30.6186
2020-05-19,30.6186
2020-05-20,30.6186
2020-05-21,30.6186
2020-05-22,30.6186
2020-05-23,30.6186
2020-05-24,30.6186
2020-05-25,30.6186
2020-05-26,30.6186
2020-05-27,30.6186
2020-05-28,30.6186
2020-05-29,30.6186
2020-05-30,30.6186
2020-05-31,30.6186
2020-06-01,30.6186
2020-06-02,30.6186
2020-06-03,30.6186
2020-06-04,30.6186
2020-06-05,30.6186
2020-06-06,30.6186
2020-06-07,30.6186
2020-06-08,30.6186
2020-06-09,30.6186
2020-06-10,30.6186
2020-06-11,30.6186
2020-06-12,30.6186
2020-06-13,30.6186
2020-06-14,30.6186
2020-06-15,30.6186
2020-06-16,30.6186
2020-06-17,30.6186
2020-06-18,30.6186
2020-06-19,30.6186
2020-06-20,30.6186
2020-06-21,30.6186
