,PDCO US Equity
,RETURN_COM_EQY
2020-01-01,3.8605
2020-01-02,3.8605
2020-01-03,3.8605
2020-01-04,3.8605
2020-01-05,3.8605
2020-01-06,3.8605
2020-01-07,3.8605
2020-01-08,3.8605
2020-01-09,3.8605
2020-01-10,3.8605
2020-01-11,3.8605
2020-01-12,3.8605
2020-01-13,3.8605
2020-01-14,3.8605
2020-01-15,3.8605
2020-01-16,3.8605
2020-01-17,3.8605
2020-01-18,3.8605
2020-01-19,3.8605
2020-01-20,3.8605
2020-01-21,3.8605
2020-01-22,3.8605
2020-01-23,3.8605
2020-01-24,3.8605
2020-01-25,3.2757
2020-01-26,3.2757
2020-01-27,3.2757
2020-01-28,3.2757
2020-01-29,3.2757
2020-01-30,3.2757
2020-01-31,3.2757
2020-02-01,3.2757
2020-02-02,3.2757
2020-02-03,3.2757
2020-02-04,3.2757
2020-02-05,3.2757
2020-02-06,3.2757
2020-02-07,3.2757
2020-02-08,3.2757
2020-02-09,3.2757
2020-02-10,3.2757
2020-02-11,3.2757
2020-02-12,3.2757
2020-02-13,3.2757
2020-02-14,3.2757
2020-02-15,3.2757
2020-02-16,3.2757
2020-02-17,3.2757
2020-02-18,3.2757
2020-02-19,3.2757
2020-02-20,3.2757
2020-02-21,3.2757
2020-02-22,3.2757
2020-02-23,3.2757
2020-02-24,3.2757
2020-02-25,3.2757
2020-02-26,3.2757
2020-02-27,3.2757
2020-02-28,3.2757
2020-02-29,3.2757
2020-03-01,3.2757
2020-03-02,3.2757
2020-03-03,3.2757
2020-03-04,3.2757
2020-03-05,3.2757
2020-03-06,3.2757
2020-03-07,3.2757
2020-03-08,3.2757
2020-03-09,3.2757
2020-03-10,3.2757
2020-03-11,3.2757
2020-03-12,3.2757
2020-03-13,3.2757
2020-03-14,3.2757
2020-03-15,3.2757
2020-03-16,3.2757
2020-03-17,3.2757
2020-03-18,3.2757
2020-03-19,3.2757
2020-03-20,3.2757
2020-03-21,3.2757
2020-03-22,3.2757
2020-03-23,3.2757
2020-03-24,3.2757
2020-03-25,3.2757
2020-03-26,3.2757
2020-03-27,3.2757
2020-03-28,3.2757
2020-03-29,3.2757
2020-03-30,3.2757
2020-03-31,3.2757
2020-04-01,3.2757
2020-04-02,3.2757
2020-04-03,3.2757
2020-04-04,3.2757
2020-04-05,3.2757
2020-04-06,3.2757
2020-04-07,3.2757
2020-04-08,3.2757
2020-04-09,3.2757
2020-04-10,3.2757
2020-04-11,3.2757
2020-04-12,3.2757
2020-04-13,3.2757
2020-04-14,3.2757
2020-04-15,3.2757
2020-04-16,3.2757
2020-04-17,3.2757
2020-04-18,3.2757
2020-04-19,3.2757
2020-04-20,3.2757
2020-04-21,3.2757
2020-04-22,3.2757
2020-04-23,3.2757
2020-04-24,3.2757
2020-04-25,-50.9174
2020-04-26,-50.9174
2020-04-27,-50.9174
2020-04-28,-50.9174
2020-04-29,-50.9174
2020-04-30,-50.9174
2020-05-01,-50.9174
2020-05-02,-50.9174
2020-05-03,-50.9174
2020-05-04,-50.9174
2020-05-05,-50.9174
2020-05-06,-50.9174
2020-05-07,-50.9174
2020-05-08,-50.9174
2020-05-09,-50.9174
2020-05-10,-50.9174
2020-05-11,-50.9174
2020-05-12,-50.9174
2020-05-13,-50.9174
2020-05-14,-50.9174
2020-05-15,-50.9174
2020-05-16,-50.9174
2020-05-17,-50.9174
2020-05-18,-50.9174
2020-05-19,-50.9174
2020-05-20,-50.9174
2020-05-21,-50.9174
2020-05-22,-50.9174
2020-05-23,-50.9174
2020-05-24,-50.9174
2020-05-25,-50.9174
2020-05-26,-50.9174
2020-05-27,-50.9174
2020-05-28,-50.9174
2020-05-29,-50.9174
2020-05-30,-50.9174
2020-05-31,-50.9174
2020-06-01,-50.9174
2020-06-02,-50.9174
2020-06-03,-50.9174
2020-06-04,-50.9174
2020-06-05,-50.9174
2020-06-06,-50.9174
2020-06-07,-50.9174
2020-06-08,-50.9174
2020-06-09,-50.9174
2020-06-10,-50.9174
2020-06-11,-50.9174
2020-06-12,-50.9174
2020-06-13,-50.9174
2020-06-14,-50.9174
2020-06-15,-50.9174
2020-06-16,-50.9174
2020-06-17,-50.9174
2020-06-18,-50.9174
2020-06-19,-50.9174
2020-06-20,-50.9174
2020-06-21,-50.9174
2020-06-22,-50.9174
2020-06-23,-50.9174
2020-06-24,-50.9174
2020-06-25,-50.9174
2020-06-26,-50.9174
2020-06-27,-50.9174
2020-06-28,-50.9174
2020-06-29,-50.9174
2020-06-30,-50.9174
2020-07-01,-50.9174
2020-07-02,-50.9174
2020-07-03,-50.9174
2020-07-04,-50.9174
2020-07-05,-50.9174
2020-07-06,-50.9174
2020-07-07,-50.9174
2020-07-08,-50.9174
2020-07-09,-50.9174
2020-07-10,-50.9174
2020-07-11,-50.9174
2020-07-12,-50.9174
2020-07-13,-50.9174
2020-07-14,-50.9174
2020-07-15,-50.9174
2020-07-16,-50.9174
2020-07-17,-50.9174
2020-07-18,-50.9174
2020-07-19,-50.9174
2020-07-20,-50.9174
2020-07-21,-50.9174
2020-07-22,-50.9174
2020-07-23,-50.9174
2020-07-24,-50.9174
2020-07-25,-50.4961
2020-07-26,-50.4961
2020-07-27,-50.4961
2020-07-28,-50.4961
2020-07-29,-50.4961
2020-07-30,-50.4961
2020-07-31,-50.4961
2020-08-01,-50.4961
2020-08-02,-50.4961
2020-08-03,-50.4961
