,QCOM US Equity
,RETURN_COM_EQY
2020-01-01,104.3788
2020-01-02,104.3788
2020-01-03,104.3788
2020-01-04,104.3788
2020-01-05,104.3788
2020-01-06,104.3788
2020-01-07,104.3788
2020-01-08,104.3788
2020-01-09,104.3788
2020-01-10,104.3788
2020-01-11,104.3788
2020-01-12,104.3788
2020-01-13,104.3788
2020-01-14,104.3788
2020-01-15,104.3788
2020-01-16,104.3788
2020-01-17,104.3788
2020-01-18,104.3788
2020-01-19,104.3788
2020-01-20,104.3788
2020-01-21,104.3788
2020-01-22,104.3788
2020-01-23,104.3788
2020-01-24,104.3788
2020-01-25,104.3788
2020-01-26,104.3788
2020-01-27,104.3788
2020-01-28,104.3788
2020-01-29,104.3788
2020-01-30,104.3788
2020-01-31,104.3788
2020-02-01,104.3788
2020-02-02,104.3788
2020-02-03,104.3788
2020-02-04,104.3788
2020-02-05,104.3788
2020-02-06,104.3788
2020-02-07,104.3788
2020-02-08,104.3788
2020-02-09,104.3788
2020-02-10,104.3788
2020-02-11,104.3788
2020-02-12,104.3788
2020-02-13,104.3788
2020-02-14,104.3788
2020-02-15,104.3788
2020-02-16,104.3788
2020-02-17,104.3788
2020-02-18,104.3788
2020-02-19,104.3788
2020-02-20,104.3788
2020-02-21,104.3788
2020-02-22,104.3788
2020-02-23,104.3788
2020-02-24,104.3788
2020-02-25,104.3788
2020-02-26,104.3788
2020-02-27,104.3788
2020-02-28,104.3788
2020-02-29,104.3788
2020-03-01,104.3788
2020-03-02,104.3788
2020-03-03,104.3788
2020-03-04,104.3788
2020-03-05,104.3788
2020-03-06,104.3788
2020-03-07,104.3788
2020-03-08,104.3788
2020-03-09,104.3788
2020-03-10,104.3788
2020-03-11,104.3788
2020-03-12,104.3788
2020-03-13,104.3788
2020-03-14,104.3788
2020-03-15,104.3788
2020-03-16,104.3788
2020-03-17,104.3788
2020-03-18,104.3788
2020-03-19,104.3788
2020-03-20,104.3788
2020-03-21,104.3788
2020-03-22,104.3788
2020-03-23,104.3788
2020-03-24,104.3788
2020-03-25,104.3788
2020-03-26,104.3788
2020-03-27,104.3788
2020-03-28,104.3788
2020-03-29,117.1466
2020-03-30,117.1466
2020-03-31,117.1466
2020-04-01,117.1466
2020-04-02,117.1466
2020-04-03,117.1466
2020-04-04,117.1466
2020-04-05,117.1466
2020-04-06,117.1466
2020-04-07,117.1466
2020-04-08,117.1466
2020-04-09,117.1466
2020-04-10,117.1466
2020-04-11,117.1466
2020-04-12,117.1466
2020-04-13,117.1466
2020-04-14,117.1466
2020-04-15,117.1466
2020-04-16,117.1466
2020-04-17,117.1466
2020-04-18,117.1466
2020-04-19,117.1466
2020-04-20,117.1466
2020-04-21,117.1466
2020-04-22,117.1466
2020-04-23,117.1466
2020-04-24,117.1466
2020-04-25,117.1466
2020-04-26,117.1466
2020-04-27,117.1466
2020-04-28,117.1466
2020-04-29,117.1466
2020-04-30,117.1466
2020-05-01,117.1466
2020-05-02,117.1466
2020-05-03,117.1466
2020-05-04,117.1466
2020-05-05,117.1466
2020-05-06,117.1466
2020-05-07,117.1466
2020-05-08,117.1466
2020-05-09,117.1466
2020-05-10,117.1466
2020-05-11,117.1466
2020-05-12,117.1466
2020-05-13,117.1466
2020-05-14,117.1466
2020-05-15,117.1466
2020-05-16,117.1466
2020-05-17,117.1466
2020-05-18,117.1466
2020-05-19,117.1466
2020-05-20,117.1466
2020-05-21,117.1466
2020-05-22,117.1466
2020-05-23,117.1466
2020-05-24,117.1466
2020-05-25,117.1466
2020-05-26,117.1466
2020-05-27,117.1466
2020-05-28,117.1466
2020-05-29,117.1466
2020-05-30,117.1466
2020-05-31,117.1466
2020-06-01,117.1466
2020-06-02,117.1466
2020-06-03,117.1466
2020-06-04,117.1466
2020-06-05,117.1466
2020-06-06,117.1466
2020-06-07,117.1466
2020-06-08,117.1466
2020-06-09,117.1466
2020-06-10,117.1466
2020-06-11,117.1466
2020-06-12,117.1466
2020-06-13,117.1466
2020-06-14,117.1466
2020-06-15,117.1466
2020-06-16,117.1466
2020-06-17,117.1466
2020-06-18,117.1466
2020-06-19,117.1466
2020-06-20,117.1466
2020-06-21,117.1466
2020-06-22,117.1466
2020-06-23,117.1466
2020-06-24,117.1466
2020-06-25,117.1466
2020-06-26,117.1466
2020-06-27,117.1466
2020-06-28,62.5841
2020-06-29,62.5841
2020-06-30,62.5841
2020-07-01,62.5841
2020-07-02,62.5841
2020-07-03,62.5841
2020-07-04,62.5841
2020-07-05,62.5841
2020-07-06,62.5841
2020-07-07,62.5841
2020-07-08,62.5841
2020-07-09,62.5841
2020-07-10,62.5841
2020-07-11,62.5841
2020-07-12,62.5841
2020-07-13,62.5841
2020-07-14,62.5841
2020-07-15,62.5841
2020-07-16,62.5841
2020-07-17,62.5841
2020-07-18,62.5841
2020-07-19,62.5841
2020-07-20,62.5841
2020-07-21,62.5841
2020-07-22,62.5841
2020-07-23,62.5841
2020-07-24,62.5841
2020-07-25,62.5841
2020-07-26,62.5841
2020-07-27,62.5841
2020-07-28,62.5841
2020-07-29,62.5841
2020-07-30,62.5841
2020-07-31,62.5841
2020-08-01,62.5841
2020-08-02,62.5841
2020-08-03,62.5841
2020-08-04,62.5841
2020-08-05,62.5841
2020-08-06,62.5841
2020-08-07,62.5841
2020-08-08,62.5841
2020-08-09,62.5841
2020-08-10,62.5841
2020-08-11,62.5841
2020-08-12,62.5841
2020-08-13,62.5841
2020-08-14,62.5841
2020-08-15,62.5841
2020-08-16,62.5841
2020-08-17,62.5841
2020-08-18,62.5841
2020-08-19,62.5841
2020-08-20,62.5841
2020-08-21,62.5841
2020-08-22,62.5841
2020-08-23,62.5841
2020-08-24,62.5841
2020-08-25,62.5841
2020-08-26,62.5841
2020-08-27,62.5841
2020-08-28,62.5841
2020-08-29,62.5841
2020-08-30,62.5841
2020-08-31,62.5841
2020-09-01,62.5841
2020-09-02,62.5841
2020-09-03,62.5841
2020-09-04,62.5841
2020-09-05,62.5841
2020-09-06,62.5841
2020-09-07,62.5841
2020-09-08,62.5841
2020-09-09,62.5841
2020-09-10,62.5841
2020-09-11,62.5841
2020-09-12,62.5841
2020-09-13,62.5841
2020-09-14,62.5841
2020-09-15,62.5841
2020-09-16,62.5841
2020-09-17,62.5841
2020-09-18,62.5841
2020-09-19,62.5841
2020-09-20,62.5841
2020-09-21,62.5841
2020-09-22,62.5841
2020-09-23,62.5841
2020-09-24,62.5841
2020-09-25,62.5841
2020-09-26,62.5841
2020-09-27,94.6295
2020-09-28,94.6295
2020-09-29,94.6295
2020-09-30,94.6295
2020-10-01,94.6295
2020-10-02,94.6295
2020-10-03,94.6295
2020-10-04,94.6295
2020-10-05,94.6295
