,UNP US Equity
,RETURN_COM_EQY
2020-01-01,30.7074
2020-01-02,30.7074
2020-01-03,30.7074
2020-01-04,30.7074
2020-01-05,30.7074
2020-01-06,30.7074
2020-01-07,30.7074
2020-01-08,30.7074
2020-01-09,30.7074
2020-01-10,30.7074
2020-01-11,30.7074
2020-01-12,30.7074
2020-01-13,30.7074
2020-01-14,30.7074
2020-01-15,30.7074
2020-01-16,30.7074
2020-01-17,30.7074
2020-01-18,30.7074
2020-01-19,30.7074
2020-01-20,30.7074
2020-01-21,30.7074
2020-01-22,30.7074
2020-01-23,30.7074
2020-01-24,30.7074
2020-01-25,30.7074
2020-01-26,30.7074
2020-01-27,30.7074
2020-01-28,30.7074
2020-01-29,30.7074
2020-01-30,30.7074
2020-01-31,30.7074
2020-02-01,30.7074
2020-02-02,30.7074
2020-02-03,30.7074
2020-02-04,30.7074
2020-02-05,30.7074
2020-02-06,30.7074
2020-02-07,30.7074
2020-02-08,30.7074
2020-02-09,30.7074
2020-02-10,30.7074
2020-02-11,30.7074
2020-02-12,30.7074
2020-02-13,30.7074
2020-02-14,30.7074
2020-02-15,30.7074
2020-02-16,30.7074
2020-02-17,30.7074
2020-02-18,30.7074
2020-02-19,30.7074
2020-02-20,30.7074
2020-02-21,30.7074
2020-02-22,30.7074
2020-02-23,30.7074
2020-02-24,30.7074
2020-02-25,30.7074
2020-02-26,30.7074
2020-02-27,30.7074
2020-02-28,30.7074
2020-02-29,30.7074
2020-03-01,30.7074
2020-03-02,30.7074
2020-03-03,30.7074
2020-03-04,30.7074
2020-03-05,30.7074
2020-03-06,30.7074
2020-03-07,30.7074
2020-03-08,30.7074
2020-03-09,30.7074
2020-03-10,30.7074
2020-03-11,30.7074
2020-03-12,30.7074
2020-03-13,30.7074
2020-03-14,30.7074
2020-03-15,30.7074
2020-03-16,30.7074
2020-03-17,30.7074
2020-03-18,30.7074
2020-03-19,30.7074
2020-03-20,30.7074
2020-03-21,30.7074
2020-03-22,30.7074
2020-03-23,30.7074
2020-03-24,30.7074
2020-03-25,30.7074
2020-03-26,30.7074
2020-03-27,30.7074
2020-03-28,30.7074
2020-03-29,30.7074
2020-03-30,30.7074
2020-03-31,35.5853
2020-04-01,35.5853
2020-04-02,35.5853
2020-04-03,35.5853
2020-04-04,35.5853
2020-04-05,35.5853
2020-04-06,35.5853
2020-04-07,35.5853
2020-04-08,35.5853
2020-04-09,35.5853
2020-04-10,35.5853
2020-04-11,35.5853
2020-04-12,35.5853
2020-04-13,35.5853
2020-04-14,35.5853
2020-04-15,35.5853
2020-04-16,35.5853
2020-04-17,35.5853
2020-04-18,35.5853
2020-04-19,35.5853
2020-04-20,35.5853
2020-04-21,35.5853
2020-04-22,35.5853
2020-04-23,35.5853
2020-04-24,35.5853
2020-04-25,35.5853
2020-04-26,35.5853
2020-04-27,35.5853
2020-04-28,35.5853
2020-04-29,35.5853
2020-04-30,35.5853
2020-05-01,35.5853
2020-05-02,35.5853
2020-05-03,35.5853
2020-05-04,35.5853
2020-05-05,35.5853
2020-05-06,35.5853
2020-05-07,35.5853
2020-05-08,35.5853
2020-05-09,35.5853
2020-05-10,35.5853
2020-05-11,35.5853
2020-05-12,35.5853
2020-05-13,35.5853
2020-05-14,35.5853
2020-05-15,35.5853
2020-05-16,35.5853
2020-05-17,35.5853
2020-05-18,35.5853
2020-05-19,35.5853
2020-05-20,35.5853
2020-05-21,35.5853
2020-05-22,35.5853
2020-05-23,35.5853
2020-05-24,35.5853
2020-05-25,35.5853
2020-05-26,35.5853
2020-05-27,35.5853
2020-05-28,35.5853
2020-05-29,35.5853
2020-05-30,35.5853
2020-05-31,35.5853
2020-06-01,35.5853
2020-06-02,35.5853
2020-06-03,35.5853
2020-06-04,35.5853
2020-06-05,35.5853
2020-06-06,35.5853
2020-06-07,35.5853
2020-06-08,35.5853
2020-06-09,35.5853
2020-06-10,35.5853
2020-06-11,35.5853
2020-06-12,35.5853
2020-06-13,35.5853
2020-06-14,35.5853
2020-06-15,35.5853
2020-06-16,35.5853
2020-06-17,35.5853
2020-06-18,35.5853
2020-06-19,35.5853
2020-06-20,35.5853
2020-06-21,35.5853
2020-06-22,35.5853
2020-06-23,35.5853
2020-06-24,35.5853
2020-06-25,35.5853
2020-06-26,35.5853
2020-06-27,35.5853
2020-06-28,35.5853
2020-06-29,35.5853
2020-06-30,32.1405
2020-07-01,32.1405
2020-07-02,32.1405
2020-07-03,32.1405
2020-07-04,32.1405
2020-07-05,32.1405
2020-07-06,32.1405
2020-07-07,32.1405
2020-07-08,32.1405
2020-07-09,32.1405
2020-07-10,32.1405
2020-07-11,32.1405
2020-07-12,32.1405
2020-07-13,32.1405
2020-07-14,32.1405
2020-07-15,32.1405
2020-07-16,32.1405
2020-07-17,32.1405
2020-07-18,32.1405
2020-07-19,32.1405
2020-07-20,32.1405
2020-07-21,32.1405
2020-07-22,32.1405
2020-07-23,32.1405
2020-07-24,32.1405
2020-07-25,32.1405
2020-07-26,32.1405
2020-07-27,32.1405
2020-07-28,32.1405
2020-07-29,32.1405
2020-07-30,32.1405
2020-07-31,32.1405
2020-08-01,32.1405
2020-08-02,32.1405
2020-08-03,32.1405
2020-08-04,32.1405
2020-08-05,32.1405
2020-08-06,32.1405
2020-08-07,32.1405
2020-08-08,32.1405
2020-08-09,32.1405
2020-08-10,32.1405
2020-08-11,32.1405
2020-08-12,32.1405
2020-08-13,32.1405
2020-08-14,32.1405
2020-08-15,32.1405
2020-08-16,32.1405
2020-08-17,32.1405
2020-08-18,32.1405
2020-08-19,32.1405
2020-08-20,32.1405
2020-08-21,32.1405
2020-08-22,32.1405
2020-08-23,32.1405
2020-08-24,32.1405
2020-08-25,32.1405
2020-08-26,32.1405
2020-08-27,32.1405
2020-08-28,32.1405
2020-08-29,32.1405
2020-08-30,32.1405
2020-08-31,32.1405
2020-09-01,32.1405
2020-09-02,32.1405
2020-09-03,32.1405
2020-09-04,32.1405
2020-09-05,32.1405
2020-09-06,32.1405
2020-09-07,32.1405
2020-09-08,32.1405
2020-09-09,32.1405
2020-09-10,32.1405
2020-09-11,32.1405
2020-09-12,32.1405
2020-09-13,32.1405
2020-09-14,32.1405
2020-09-15,32.1405
2020-09-16,32.1405
2020-09-17,32.1405
2020-09-18,32.1405
2020-09-19,32.1405
2020-09-20,32.1405
2020-09-21,32.1405
2020-09-22,32.1405
2020-09-23,32.1405
2020-09-24,32.1405
2020-09-25,32.1405
2020-09-26,32.1405
2020-09-27,32.1405
2020-09-28,32.1405
2020-09-29,32.1405
2020-09-30,30.5097
2020-10-01,30.5097
2020-10-02,30.5097
2020-10-03,30.5097
2020-10-04,30.5097
2020-10-05,30.5097
2020-10-06,30.5097
2020-10-07,30.5097
2020-10-08,30.5097
2020-10-09,30.5097
2020-10-10,30.5097
2020-10-11,30.5097
2020-10-12,30.5097
2020-10-13,30.5097
2020-10-14,30.5097
2020-10-15,30.5097
2020-10-16,30.5097
2020-10-17,30.5097
2020-10-18,30.5097
2020-10-19,30.5097
2020-10-20,30.5097
2020-10-21,30.5097
2020-10-22,30.5097
2020-10-23,30.5097
2020-10-24,30.5097
2020-10-25,30.5097
2020-10-26,30.5097
2020-10-27,30.5097
2020-10-28,30.5097
2020-10-29,30.5097
2020-10-30,30.5097
2020-10-31,30.5097
2020-11-01,30.5097
2020-11-02,30.5097
2020-11-03,30.5097
2020-11-04,30.5097
2020-11-05,30.5097
2020-11-06,30.5097
2020-11-07,30.5097
2020-11-08,30.5097
2020-11-09,30.5097
2020-11-10,30.5097
2020-11-11,30.5097
2020-11-12,30.5097
2020-11-13,30.5097
2020-11-14,30.5097
2020-11-15,30.5097
2020-11-16,30.5097
2020-11-17,30.5097
2020-11-18,30.5097
2020-11-19,30.5097
2020-11-20,30.5097
2020-11-21,30.5097
2020-11-22,30.5097
2020-11-23,30.5097
2020-11-24,30.5097
2020-11-25,30.5097
2020-11-26,30.5097
2020-11-27,30.5097
2020-11-28,30.5097
2020-11-29,30.5097
2020-11-30,30.5097
2020-12-01,30.5097
2020-12-02,30.5097
2020-12-03,30.5097
2020-12-04,30.5097
2020-12-05,30.5097
2020-12-06,30.5097
2020-12-07,30.5097
2020-12-08,30.5097
2020-12-09,30.5097
2020-12-10,30.5097
2020-12-11,30.5097
2020-12-12,30.5097
2020-12-13,30.5097
2020-12-14,30.5097
2020-12-15,30.5097
2020-12-16,30.5097
2020-12-17,30.5097
2020-12-18,30.5097
2020-12-19,30.5097
2020-12-20,30.5097
2020-12-21,30.5097
2020-12-22,30.5097
2020-12-23,30.5097
2020-12-24,30.5097
2020-12-25,30.5097
2020-12-26,30.5097
2020-12-27,30.5097
2020-12-28,30.5097
2020-12-29,30.5097
2020-12-30,30.5097
2020-12-31,30.4908
2021-01-01,30.4908
2021-01-02,30.4908
2021-01-03,30.4908
2021-01-04,30.4908
2021-01-05,30.4908
2021-01-06,30.4908
2021-01-07,30.4908
2021-01-08,30.4908
2021-01-09,30.4908
2021-01-10,30.4908
2021-01-11,30.4908
2021-01-12,30.4908
2021-01-13,30.4908
2021-01-14,30.4908
2021-01-15,30.4908
2021-01-16,30.4908
2021-01-17,30.4908
2021-01-18,30.4908
2021-01-19,30.4908
2021-01-20,30.4908
2021-01-21,30.4908
2021-01-22,30.4908
2021-01-23,30.4908
2021-01-24,30.4908
2021-01-25,30.4908
2021-01-26,30.4908
2021-01-27,30.4908
2021-01-28,30.4908
2021-01-29,30.4908
2021-01-30,30.4908
2021-01-31,30.4908
2021-02-01,30.4908
2021-02-02,30.4908
2021-02-03,30.4908
