,2078185D US Equity
,RSI_30D
2020-01-01,79.0394
2020-01-02,79.1468
2020-01-03,78.9793
2020-01-04,78.9793
2020-01-05,78.9793
2020-01-06,78.7208
2020-01-07,78.6763
2020-01-08,78.8062
2020-01-09,78.6882
2020-01-10,78.7146
2020-01-11,78.7146
2020-01-12,78.7146
2020-01-13,78.735
2020-01-14,78.8609
2020-01-15,78.8896
2020-01-16,78.9193
2020-01-17,79.0183
2020-01-18,79.0183
2020-01-19,79.0183
2020-01-20,79.0183
2020-01-21,79.0497
2020-01-22,78.3236
2020-01-23,78.4601
2020-01-24,78.53
2020-01-25,78.53
2020-01-26,78.53
2020-01-27,77.844
2020-01-28,77.8536
2020-01-29,77.8536
2020-01-30,77.8177
2020-01-31,77.5962
2020-02-01,77.5962
2020-02-02,77.5962
2020-02-03,77.7924
2020-02-04,77.3253
2020-02-05,77.4884
2020-02-06,77.0786
2020-02-07,77.0365
2020-02-08,77.0365
2020-02-09,77.0365
2020-02-10,77.1656
2020-02-11,77.2451
2020-02-12,77.2996
2020-02-13,77.3696
2020-02-14,76.9276
2020-02-15,76.9276
2020-02-16,76.9276
2020-02-17,76.9276
2020-02-18,76.9276
2020-02-19,76.8232
2020-02-20,76.5011
2020-02-21,76.5858
2020-02-22,76.5858
2020-02-23,76.5858
2020-02-24,75.0206
2020-02-25,73.8496
2020-02-26,72.5115
2020-02-27,69.7339
2020-02-28,71.0606
2020-02-29,71.0606
2020-03-01,71.0606
2020-03-02,71.2374
2020-03-03,69.5341
2020-03-04,70.3157
2020-03-05,67.9125
2020-03-06,65.0382
2020-03-07,65.0382
2020-03-08,65.0382
2020-03-09,53.6729
2020-03-10,58.9213
2020-03-11,53.9135
2020-03-12,45.9201
2020-03-13,47.1833
2020-03-14,47.1833
2020-03-15,47.1833
2020-03-16,28.7003
2020-03-17,29.1685
2020-03-18,25.1823
2020-03-19,49.0492
2020-03-20,48.4661
2020-03-21,48.4661
2020-03-22,48.4661
2020-03-23,44.7603
2020-03-24,49.948
2020-03-25,49.9972
2020-03-26,52.3782
2020-03-27,50.6735
2020-03-28,50.6735
2020-03-29,50.6735
2020-03-30,51.6901
2020-03-31,52.6609
2020-04-01,52.488
2020-04-02,52.9177
2020-04-03,51.2562
2020-04-04,51.2562
2020-04-05,51.2562
2020-04-06,51.1336
2020-04-07,51.3851
2020-04-08,52.4529
2020-04-09,50.7643
2020-04-10,50.7643
2020-04-11,50.7643
2020-04-12,50.7643
2020-04-13,51.0627
2020-04-14,52.17
2020-04-15,51.6536
2020-04-16,50.4074
2020-04-17,52.0748
2020-04-18,52.0748
2020-04-19,52.0748
2020-04-20,51.8136
2020-04-21,52.2717
2020-04-22,50.5908
2020-04-23,49.2665
2020-04-24,48.3463
2020-04-25,48.3463
2020-04-26,48.3463
2020-04-27,46.6206
2020-04-28,48.7896
2020-04-29,49.8834
2020-04-30,48.74
2020-05-01,49.5194
2020-05-02,49.5194
2020-05-03,49.5194
2020-05-04,49.5336
2020-05-05,50.099
2020-05-06,50.743
2020-05-07,51.1432
2020-05-08,51.7294
2020-05-09,51.7294
2020-05-10,51.7294
2020-05-11,51.2725
2020-05-12,50.2238
2020-05-13,50.2895
2020-05-14,49.6117
2020-05-15,49.1491
2020-05-16,49.1491
2020-05-17,49.1491
2020-05-18,50.3031
2020-05-19,50.8709
2020-05-20,46.9036
2020-05-21,48.128
2020-05-22,46.0145
2020-05-23,46.0145
2020-05-24,46.0145
2020-05-25,46.0145
2020-05-26,46.5789
2020-05-27,50.4546
2020-05-28,50.9298
2020-05-29,51.463
2020-05-30,51.463
2020-05-31,51.463
2020-06-01,52.1055
2020-06-02,36.5771
2020-06-03,34.0255
2020-06-04,34.5167
2020-06-05,45.3452
2020-06-06,45.3452
2020-06-07,45.3452
2020-06-08,45.5823
2020-06-09,48.4784
2020-06-10,44.8378
2020-06-11,43.3227
2020-06-12,42.9899
2020-06-13,42.9899
2020-06-14,42.9899
2020-06-15,44.2311
2020-06-16,45.0643
2020-06-17,45.9877
2020-06-18,45.3504
2020-06-19,46.0875
2020-06-20,46.0875
2020-06-21,46.0875
2020-06-22,47.4365
2020-06-23,47.4761
2020-06-24,46.8673
2020-06-25,45.5501
2020-06-26,44.6218
2020-06-27,44.6218
2020-06-28,44.6218
2020-06-29,45.7078
2020-06-30,48.0301
2020-07-01,48.436
2020-07-02,48.4225
2020-07-03,48.4225
2020-07-04,48.4225
2020-07-05,48.4225
2020-07-06,49.428
2020-07-07,48.1611
2020-07-08,47.5586
2020-07-09,46.7289
2020-07-10,47.2293
2020-07-11,47.2293
2020-07-12,47.2293
2020-07-13,47.0376
2020-07-14,47.995
