,AEP US Equity
,RSI_30D
2020-01-01,53.8122
2020-01-02,50.5876
2020-01-03,50.2907
2020-01-04,50.2907
2020-01-05,50.2907
2020-01-06,51.2091
2020-01-07,51.2691
2020-01-08,50.3708
2020-01-09,51.8363
2020-01-10,53.2344
2020-01-11,53.2344
2020-01-12,53.2344
2020-01-13,54.1033
2020-01-14,55.1438
2020-01-15,59.5363
2020-01-16,61.2564
2020-01-17,64.0405
2020-01-18,64.0405
2020-01-19,64.0405
2020-01-20,64.0405
2020-01-21,65.6346
2020-01-22,66.9183
2020-01-23,68.6961
2020-01-24,70.6948
2020-01-25,70.6948
2020-01-26,70.6948
2020-01-27,69.2345
2020-01-28,69.9278
2020-01-29,70.9518
2020-01-30,72.9355
2020-01-31,73.1122
2020-02-01,73.1122
2020-02-02,73.1122
2020-02-03,73.1122
2020-02-04,67.7844
2020-02-05,65.0597
2020-02-06,65.3097
2020-02-07,64.5327
2020-02-08,64.5327
2020-02-09,64.5327
2020-02-10,65.6987
2020-02-11,66.2917
2020-02-12,64.6349
2020-02-13,66.7538
2020-02-14,68.4334
2020-02-15,68.4334
2020-02-16,68.4334
2020-02-17,68.4334
2020-02-18,69.434
2020-02-19,66.2697
2020-02-20,62.306
2020-02-21,60.0821
2020-02-22,60.0821
2020-02-23,60.0821
2020-02-24,55.0186
2020-02-25,50.1251
2020-02-26,48.3642
2020-02-27,37.976
2020-02-28,34.4073
2020-02-29,34.4073
2020-03-01,34.4073
2020-03-02,46.1464
2020-03-03,46.7551
2020-03-04,53.3732
2020-03-05,51.8032
2020-03-06,50.1871
2020-03-07,50.1871
2020-03-08,50.1871
2020-03-09,46.4211
2020-03-10,46.1076
2020-03-11,40.2493
2020-03-12,33.8587
2020-03-13,39.3145
2020-03-14,39.3145
2020-03-15,39.3145
2020-03-16,35.5968
2020-03-17,46.0619
2020-03-18,43.808
2020-03-19,38.7853
2020-03-20,33.767
2020-03-21,33.767
2020-03-22,33.767
2020-03-23,33.0811
2020-03-24,35.0119
2020-03-25,36.1644
2020-03-26,43.3027
2020-03-27,44.5096
2020-03-28,44.5096
2020-03-29,44.5096
2020-03-30,44.7453
2020-03-31,42.498
2020-04-01,39.5199
2020-04-02,41.2671
2020-04-03,39.0141
2020-04-04,39.0141
2020-04-05,39.0141
2020-04-06,43.5408
2020-04-07,43.6544
2020-04-08,46.805
2020-04-09,48.7655
2020-04-10,48.7655
2020-04-11,48.7655
2020-04-12,48.7655
2020-04-13,47.0895
2020-04-14,48.8686
2020-04-15,47.2894
2020-04-16,47.5815
2020-04-17,49.1256
2020-04-18,49.1256
2020-04-19,49.1256
2020-04-20,46.9929
2020-04-21,46.7268
2020-04-22,48.4627
2020-04-23,47.2171
2020-04-24,47.3655
2020-04-25,47.3655
2020-04-26,47.3655
2020-04-27,47.6484
2020-04-28,48.3913
2020-04-29,47.3587
2020-04-30,47.3448
2020-05-01,46.1371
2020-05-02,46.1371
2020-05-03,46.1371
2020-05-04,47.4748
2020-05-05,47.6853
2020-05-06,44.4992
2020-05-07,44.91
2020-05-08,45.9952
2020-05-09,45.9952
2020-05-10,45.9952
2020-05-11,45.4876
2020-05-12,44.5586
2020-05-13,44.4245
2020-05-14,44.7778
2020-05-15,45.0999
2020-05-16,45.0999
2020-05-17,45.0999
2020-05-18,46.5176
2020-05-19,44.2822
2020-05-20,44.8921
2020-05-21,44.5777
2020-05-22,46.0288
2020-05-23,46.0288
2020-05-24,46.0288
2020-05-25,46.0288
2020-05-26,47.1854
2020-05-27,48.7017
2020-05-28,52.1254
2020-05-29,52.2605
2020-05-30,52.2605
2020-05-31,52.2605
2020-06-01,53.0732
2020-06-02,52.9057
2020-06-03,53.8567
2020-06-04,51.1184
2020-06-05,52.196
2020-06-06,52.196
2020-06-07,52.196
2020-06-08,54.4424
2020-06-09,52.3228
2020-06-10,51.7599
2020-06-11,48.1759
2020-06-12,48.217
2020-06-13,48.217
2020-06-14,48.217
2020-06-15,48.1774
2020-06-16,48.0146
2020-06-17,48.7428
2020-06-18,48.2267
2020-06-19,46.0615
2020-06-20,46.0615
2020-06-21,46.0615
2020-06-22,47.1459
2020-06-23,47.5415
2020-06-24,47.2753
2020-06-25,45.7192
2020-06-26,44.3276
2020-06-27,44.3276
2020-06-28,44.3276
2020-06-29,46.3671
