,BY US Equity
,RSI_30D
2020-01-01,63.8042
2020-01-02,63.0639
2020-01-03,62.4641
2020-01-04,62.4641
2020-01-05,62.4641
2020-01-06,62.0065
2020-01-07,59.0247
2020-01-08,61.958
2020-01-09,65.2003
2020-01-10,64.3277
2020-01-11,64.3277
2020-01-12,64.3277
2020-01-13,65.5211
2020-01-14,66.8223
2020-01-15,65.7651
2020-01-16,67.5841
2020-01-17,68.7989
2020-01-18,68.7989
2020-01-19,68.7989
2020-01-20,68.7989
2020-01-21,66.5234
2020-01-22,67.3428
2020-01-23,67.7877
2020-01-24,63.0487
2020-01-25,63.0487
2020-01-26,63.0487
2020-01-27,63.543
2020-01-28,62.2507
2020-01-29,55.7361
2020-01-30,56.857
2020-01-31,50.861
2020-02-01,50.861
2020-02-02,50.861
2020-02-03,52.0241
2020-02-04,54.1747
2020-02-05,58.2949
2020-02-06,56.7858
2020-02-07,53.8991
2020-02-08,53.8991
2020-02-09,53.8991
2020-02-10,52.9054
2020-02-11,54.1301
2020-02-12,53.8199
2020-02-13,54.3611
2020-02-14,53.4963
2020-02-15,53.4963
2020-02-16,53.4963
2020-02-17,53.4963
2020-02-18,50.2894
2020-02-19,50.189
2020-02-20,52.0698
2020-02-21,50.8162
2020-02-22,50.8162
2020-02-23,50.8162
2020-02-24,47.8375
2020-02-25,43.9306
2020-02-26,42.15
2020-02-27,37.3142
2020-02-28,35.3403
2020-02-29,35.3403
2020-03-01,35.3403
2020-03-02,38.3954
2020-03-03,34.657
2020-03-04,34.657
2020-03-05,30.0571
2020-03-06,26.7723
2020-03-07,26.7723
2020-03-08,26.7723
2020-03-09,21.0941
2020-03-10,20.9334
2020-03-11,19.424
2020-03-12,17.2101
2020-03-13,17.4554
2020-03-14,17.4554
2020-03-15,17.4554
2020-03-16,15.4083
2020-03-17,16.3452
2020-03-18,14.0397
2020-03-19,17.8717
2020-03-20,17.7822
2020-03-21,17.7822
2020-03-22,17.7822
2020-03-23,17.7208
2020-03-24,22.8838
2020-03-25,22.8048
2020-03-26,29.5899
2020-03-27,31.268
2020-03-28,31.268
2020-03-29,31.268
2020-03-30,29.9686
2020-03-31,29.5452
2020-04-01,28.2577
2020-04-02,27.785
2020-04-03,25.8192
2020-04-04,25.8192
2020-04-05,25.8192
2020-04-06,28.4954
2020-04-07,30.6242
2020-04-08,35.1076
2020-04-09,40.9137
2020-04-10,40.9137
2020-04-11,40.9137
2020-04-12,40.9137
2020-04-13,38.6833
2020-04-14,37.704
2020-04-15,35.3253
2020-04-16,33.7118
2020-04-17,37.9746
2020-04-18,37.9746
2020-04-19,37.9746
2020-04-20,39.4024
2020-04-21,40.4041
2020-04-22,41.3239
2020-04-23,41.0262
2020-04-24,41.8924
2020-04-25,41.8924
2020-04-26,41.8924
2020-04-27,45.9189
2020-04-28,46.1944
2020-04-29,50.6525
2020-04-30,48.077
2020-05-01,44.4312
2020-05-02,44.4312
2020-05-03,44.4312
2020-05-04,43.5837
2020-05-05,43.1434
2020-05-06,42.0021
2020-05-07,43.547
2020-05-08,46.9575
2020-05-09,46.9575
2020-05-10,46.9575
2020-05-11,43.1359
2020-05-12,42.1996
2020-05-13,40.3093
2020-05-14,40.5035
2020-05-15,41.098
2020-05-16,41.098
2020-05-17,41.098
2020-05-18,45.4237
2020-05-19,44.1406
2020-05-20,47.8465
2020-05-21,48.4745
2020-05-22,47.448
2020-05-23,47.448
2020-05-24,47.448
2020-05-25,47.448
2020-05-26,50.5653
2020-05-27,54.1764
2020-05-28,51.6186
2020-05-29,50.569
2020-05-30,50.569
2020-05-31,50.569
2020-06-01,50.3819
2020-06-02,50.5396
2020-06-03,53.187
2020-06-04,53.397
2020-06-05,56.4304
2020-06-06,56.4304
2020-06-07,56.4304
2020-06-08,57.7577
2020-06-09,56.593
2020-06-10,53.0319
2020-06-11,49.0057
2020-06-12,50.2676
2020-06-13,50.2676
2020-06-14,50.2676
2020-06-15,51.2482
2020-06-16,52.2516
2020-06-17,50.2381
2020-06-18,50.7595
2020-06-19,50.5019
2020-06-20,50.5019
2020-06-21,50.5019
2020-06-22,51.3027
2020-06-23,51.1316
2020-06-24,48.6148
2020-06-25,50.5292
2020-06-26,48.2457
2020-06-27,48.2457
2020-06-28,48.2457
2020-06-29,51.5465
2020-06-30,52.4386
2020-07-01,50.2599
2020-07-02,50.8045
2020-07-03,50.8045
2020-07-04,50.8045
2020-07-05,50.8045
2020-07-06,50.1034
2020-07-07,48.6484
2020-07-08,48.0577
2020-07-09,46.1266
2020-07-10,47.8605
2020-07-11,47.8605
2020-07-12,47.8605
2020-07-13,48.7143
2020-07-14,48.4407
2020-07-15,52.7936
2020-07-16,52.0773
2020-07-17,51.4634
2020-07-18,51.4634
2020-07-19,51.4634
2020-07-20,50.3792
2020-07-21,52.2189
2020-07-22,51.0732
2020-07-23,52.6002
2020-07-24,54.213
2020-07-25,54.213
2020-07-26,54.213
2020-07-27,55.1664
2020-07-28,53.7296
2020-07-29,53.7642
2020-07-30,53.5158
2020-07-31,51.545
2020-08-01,51.545
2020-08-02,51.545
2020-08-03,50.2294
2020-08-04,51.0518
2020-08-05,52.2187
2020-08-06,51.8775
2020-08-07,53.5644
2020-08-08,53.5644
2020-08-09,53.5644
2020-08-10,54.7474
2020-08-11,55.0531
2020-08-12,55.2874
2020-08-13,54.1675
2020-08-14,52.9612
2020-08-15,52.9612
2020-08-16,52.9612
2020-08-17,53.0045
2020-08-18,50.6411
2020-08-19,51.1469
2020-08-20,50.2747
2020-08-21,48.0159
2020-08-22,48.0159
2020-08-23,48.0159
2020-08-24,50.5079
2020-08-25,51.2975
2020-08-26,49.7519
2020-08-27,51.1785
2020-08-28,50.4866
2020-08-29,50.4866
2020-08-30,50.4866
2020-08-31,48.9225
2020-09-01,47.7742
2020-09-02,48.037
2020-09-03,48.7837
2020-09-04,49.7965
2020-09-05,49.7965
2020-09-06,49.7965
2020-09-07,49.7965
2020-09-08,47.2045
2020-09-09,45.7552
2020-09-10,45.6585
2020-09-11,45.3119
2020-09-12,45.3119
2020-09-13,45.3119
2020-09-14,46.2763
2020-09-15,43.6392
2020-09-16,45.5763
2020-09-17,44.8292
2020-09-18,43.7412
2020-09-19,43.7412
2020-09-20,43.7412
2020-09-21,40.7567
2020-09-22,40.8219
2020-09-23,40.226
2020-09-24,41.5169
2020-09-25,42.5305
2020-09-26,42.5305
2020-09-27,42.5305
2020-09-28,45.1529
2020-09-29,44.8354
2020-09-30,44.4582
2020-10-01,45.8059
2020-10-02,47.0032
2020-10-03,47.0032
2020-10-04,47.0032
2020-10-05,50.5214
2020-10-06,51.2389
2020-10-07,53.339
2020-10-08,54.6304
2020-10-09,53.0456
2020-10-10,53.0456
2020-10-11,53.0456
2020-10-12,54.7433
2020-10-13,53.9364
2020-10-14,52.7303
