,CORT US Equity
,RSI_30D
2020-01-01,42.598
2020-01-02,42.381
2020-01-03,42.9075
2020-01-04,42.9075
2020-01-05,42.9075
2020-01-06,41.7791
2020-01-07,41.3851
2020-01-08,41.9514
2020-01-09,43.1688
2020-01-10,45.1519
2020-01-11,45.1519
2020-01-12,45.1519
2020-01-13,46.3146
2020-01-14,45.6472
2020-01-15,47.8249
2020-01-16,51.2862
2020-01-17,49.5848
2020-01-18,49.5848
2020-01-19,49.5848
2020-01-20,49.5848
2020-01-21,48.7483
2020-01-22,51.0274
2020-01-23,51.2377
2020-01-24,50.6749
2020-01-25,50.6749
2020-01-26,50.6749
2020-01-27,51.9843
2020-01-28,53.4404
2020-01-29,50.7235
2020-01-30,50.2703
2020-01-31,47.6288
2020-02-01,47.6288
2020-02-02,47.6288
2020-02-03,48.4078
2020-02-04,50.4658
2020-02-05,50.9531
2020-02-06,55.5146
2020-02-07,53.9303
2020-02-08,53.9303
2020-02-09,53.9303
2020-02-10,56.9786
2020-02-11,55.2072
2020-02-12,53.1193
2020-02-13,50.8755
2020-02-14,51.6256
2020-02-15,51.6256
2020-02-16,51.6256
2020-02-17,51.6256
2020-02-18,53.8458
2020-02-19,54.9004
2020-02-20,53.5203
2020-02-21,52.9844
2020-02-22,52.9844
2020-02-23,52.9844
2020-02-24,50.7324
2020-02-25,50.8045
2020-02-26,52.5293
2020-02-27,50.9883
2020-02-28,45.9661
2020-02-29,45.9661
2020-03-01,45.9661
2020-03-02,50.1951
2020-03-03,44.5449
2020-03-04,47.8402
2020-03-05,45.6923
2020-03-06,41.537
2020-03-07,41.537
2020-03-08,41.537
2020-03-09,38.2393
2020-03-10,41.6617
2020-03-11,40.0344
2020-03-12,38.1754
2020-03-13,40.1333
2020-03-14,40.1333
2020-03-15,40.1333
2020-03-16,37.4853
2020-03-17,39.1116
2020-03-18,41.5021
2020-03-19,42.8052
2020-03-20,39.7764
2020-03-21,39.7764
2020-03-22,39.7764
2020-03-23,41.137
2020-03-24,45.4898
2020-03-25,41.6082
2020-03-26,44.9147
2020-03-27,44.4173
2020-03-28,44.4173
2020-03-29,44.4173
2020-03-30,48.2059
2020-03-31,49.0286
2020-04-01,48.195
2020-04-02,49.5699
2020-04-03,48.0795
2020-04-04,48.0795
2020-04-05,48.0795
2020-04-06,47.6141
2020-04-07,45.383
2020-04-08,48.4378
2020-04-09,50.8097
2020-04-10,50.8097
2020-04-11,50.8097
2020-04-12,50.8097
2020-04-13,49.7339
2020-04-14,49.7339
2020-04-15,49.6439
2020-04-16,49.9251
2020-04-17,52.8313
2020-04-18,52.8313
2020-04-19,52.8313
2020-04-20,51.3384
2020-04-21,50.1559
2020-04-22,51.4064
2020-04-23,52.9442
2020-04-24,54.8984
2020-04-25,54.8984
2020-04-26,54.8984
2020-04-27,56.3164
2020-04-28,53.8934
2020-04-29,53.69
2020-04-30,52.1133
2020-05-01,49.8655
2020-05-02,49.8655
2020-05-03,49.8655
2020-05-04,52.1403
2020-05-05,54.5357
2020-05-06,56.5404
2020-05-07,52.576
2020-05-08,54.6472
2020-05-09,54.6472
2020-05-10,54.6472
2020-05-11,55.8214
2020-05-12,55.0838
2020-05-13,55.2875
2020-05-14,55.5793
2020-05-15,57.0699
2020-05-16,57.0699
2020-05-17,57.0699
2020-05-18,58.6642
2020-05-19,60.0827
2020-05-20,60.6491
2020-05-21,61.7713
