,CTXS US Equity
,RSI_30D
2020-01-01,62.8482
2020-01-02,64.31
2020-01-03,64.5908
2020-01-04,64.5908
2020-01-05,64.5908
2020-01-06,66.7383
2020-01-07,64.6919
2020-01-08,67.044
2020-01-09,67.5248
2020-01-10,66.4528
2020-01-11,66.4528
2020-01-12,66.4528
2020-01-13,68.7691
2020-01-14,68.1433
2020-01-15,68.716
2020-01-16,71.1246
2020-01-17,71.6142
2020-01-18,71.6142
2020-01-19,71.6142
2020-01-20,71.6142
2020-01-21,72.5077
2020-01-22,74.3382
2020-01-23,82.4436
2020-01-24,81.8079
2020-01-25,81.8079
2020-01-26,81.8079
2020-01-27,77.9632
2020-01-28,74.374
2020-01-29,68.2577
2020-01-30,67.1998
2020-01-31,64.3044
2020-02-01,64.3044
2020-02-02,64.3044
2020-02-03,65.9706
2020-02-04,66.8751
2020-02-05,65.2558
2020-02-06,64.127
2020-02-07,61.6859
2020-02-08,61.6859
2020-02-09,61.6859
2020-02-10,62.6328
2020-02-11,62.203
2020-02-12,62.7582
2020-02-13,64.0082
2020-02-14,61.8386
2020-02-15,61.8386
2020-02-16,61.8386
2020-02-17,61.8386
2020-02-18,63.7766
2020-02-19,61.0463
2020-02-20,55.7909
2020-02-21,49.993
2020-02-22,49.993
2020-02-23,49.993
2020-02-24,44.3386
2020-02-25,40.5666
2020-02-26,38.6538
2020-02-27,35.1084
2020-02-28,35.7767
2020-02-29,35.7767
2020-03-01,35.7767
2020-03-02,43.5009
2020-03-03,41.2355
2020-03-04,45.8108
2020-03-05,52.6608
2020-03-06,53.9675
2020-03-07,53.9675
2020-03-08,53.9675
2020-03-09,51.9619
2020-03-10,50.7962
2020-03-11,50.8157
2020-03-12,42.3542
2020-03-13,49.972
2020-03-14,49.972
2020-03-15,49.972
2020-03-16,47.7506
2020-03-17,58.6117
2020-03-18,60.169
2020-03-19,56.4197
2020-03-20,52.519
2020-03-21,52.519
2020-03-22,52.519
2020-03-23,53.774
2020-03-24,53.9957
2020-03-25,56.509
2020-03-26,61.6896
2020-03-27,62.611
2020-03-28,62.611
2020-03-29,62.611
2020-03-30,64.9093
2020-03-31,61.9818
2020-04-01,60.4235
2020-04-02,61.8163
2020-04-03,61.034
2020-04-04,61.034
2020-04-05,61.034
2020-04-06,63.375
2020-04-07,62.4794
2020-04-08,62.8924
2020-04-09,58.0821
2020-04-10,58.0821
2020-04-11,58.0821
2020-04-12,58.0821
2020-04-13,58.3442
2020-04-14,59.9973
2020-04-15,60.5684
2020-04-16,62.8265
2020-04-17,62.7246
2020-04-18,62.7246
2020-04-19,62.7246
2020-04-20,62.8327
2020-04-21,60.0411
2020-04-22,62.2171
2020-04-23,55.9001
2020-04-24,57.8577
2020-04-25,57.8577
2020-04-26,57.8577
2020-04-27,58.4706
2020-04-28,54.8647
2020-04-29,54.1995
2020-04-30,56.4691
2020-05-01,55.1044
2020-05-02,55.1044
2020-05-03,55.1044
2020-05-04,56.7679
2020-05-05,56.8828
2020-05-06,57.3963
2020-05-07,58.717
2020-05-08,58.8508
2020-05-09,58.8508
2020-05-10,58.8508
2020-05-11,60.2023
2020-05-12,55.7299
2020-05-13,55.5338
2020-05-14,55.2594
2020-05-15,55.5923
2020-05-16,55.5923
2020-05-17,55.5923
2020-05-18,51.491
2020-05-19,49.9722
2020-05-20,50.1233
2020-05-21,49.7149
2020-05-22,49.8992
2020-05-23,49.8992
2020-05-24,49.8992
2020-05-25,49.8992
2020-05-26,51.0434
2020-05-27,51.2003
2020-05-28,52.4023
2020-05-29,56.2997
2020-05-30,56.2997
2020-05-31,56.2997
2020-06-01,55.3059
2020-06-02,53.4599
2020-06-03,50.7495
2020-06-04,51.1734
2020-06-05,50.6777
2020-06-06,50.6777
2020-06-07,50.6777
2020-06-08,51.1422
2020-06-09,51.3536
2020-06-10,52.1005
2020-06-11,49.7045
2020-06-12,51.5918
2020-06-13,51.5918
2020-06-14,51.5918
2020-06-15,53.1743
2020-06-16,54.5508
2020-06-17,54.484
2020-06-18,55.3398
2020-06-19,53.7038
2020-06-20,53.7038
2020-06-21,53.7038
2020-06-22,53.8628
2020-06-23,52.224
2020-06-24,51.801
2020-06-25,50.8102
2020-06-26,52.1994
2020-06-27,52.1994
2020-06-28,52.1994
2020-06-29,53.6751
2020-06-30,55.8026
2020-07-01,56.7795
2020-07-02,57.2319
2020-07-03,57.2319
2020-07-04,57.2319
2020-07-05,57.2319
2020-07-06,57.4487
2020-07-07,57.1676
2020-07-08,56.794
2020-07-09,58.9234
2020-07-10,58.5242
2020-07-11,58.5242
2020-07-12,58.5242
2020-07-13,55.4173
2020-07-14,58.6728
2020-07-15,56.0441
2020-07-16,56.782
2020-07-17,59.4388
2020-07-18,59.4388
2020-07-19,59.4388
2020-07-20,65.9465
2020-07-21,64.2266
2020-07-22,64.8877
2020-07-23,49.5959
2020-07-24,47.9461
2020-07-25,47.9461
2020-07-26,47.9461
2020-07-27,47.6825
2020-07-28,45.5821
2020-07-29,46.3579
2020-07-30,47.8236
2020-07-31,48.473
2020-08-01,48.473
2020-08-02,48.473
2020-08-03,46.8332
2020-08-04,48.5591
2020-08-05,48.5591
2020-08-06,47.4657
2020-08-07,47.6962
2020-08-08,47.6962
2020-08-09,47.6962
2020-08-10,45.5857
2020-08-11,44.5351
2020-08-12,45.076
2020-08-13,45.7315
2020-08-14,45.0891
2020-08-15,45.0891
2020-08-16,45.0891
2020-08-17,46.373
2020-08-18,48.0509
2020-08-19,48.1235
2020-08-20,48.8783
2020-08-21,50.1436
2020-08-22,50.1436
2020-08-23,50.1436
2020-08-24,49.8246
2020-08-25,49.909
2020-08-26,50.978
2020-08-27,49.3592
2020-08-28,50.7713
2020-08-29,50.7713
2020-08-30,50.7713
2020-08-31,51.6823
2020-09-01,51.706
2020-09-02,53.7183
2020-09-03,47.9302
2020-09-04,45.4934
2020-09-05,45.4934
2020-09-06,45.4934
2020-09-07,45.4934
2020-09-08,46.7164
2020-09-09,48.9753
2020-09-10,44.6784
2020-09-11,43.1192
2020-09-12,43.1192
2020-09-13,43.1192
2020-09-14,45.4946
2020-09-15,45.8958
2020-09-16,45.371
2020-09-17,44.5767
2020-09-18,44.6189
2020-09-19,44.6189
2020-09-20,44.6189
2020-09-21,44.8185
2020-09-22,47.3619
2020-09-23,44.4796
2020-09-24,45.0772
2020-09-25,46.9995
2020-09-26,46.9995
2020-09-27,46.9995
2020-09-28,48.7808
2020-09-29,47.7424
2020-09-30,48.3731
2020-10-01,49.6066
2020-10-02,46.2967
2020-10-03,46.2967
2020-10-04,46.2967
2020-10-05,46.9257
2020-10-06,45.2298
2020-10-07,45.3814
2020-10-08,47.1612
2020-10-09,50.4359
2020-10-10,50.4359
2020-10-11,50.4359
2020-10-12,54.7437
2020-10-13,53.731
2020-10-14,51.2241
2020-10-15,49.6869
2020-10-16,49.1905
2020-10-17,49.1905
2020-10-18,49.1905
2020-10-19,46.654
2020-10-20,48.1737
2020-10-21,47.9034
2020-10-22,41.4182
2020-10-23,39.1938
2020-10-24,39.1938
2020-10-25,39.1938
2020-10-26,40.1279
2020-10-27,37.7653
2020-10-28,35.4568
2020-10-29,35.028
2020-10-30,34.7144
2020-10-31,34.7144
2020-11-01,34.7144
2020-11-02,35.776
2020-11-03,37.1788
2020-11-04,37.9975
2020-11-05,40.2789
2020-11-06,39.9627
2020-11-07,39.9627
2020-11-08,39.9627
2020-11-09,37.5251
2020-11-10,37.2425
2020-11-11,37.9629
2020-11-12,38.4247
2020-11-13,41.1441
2020-11-14,41.1441
2020-11-15,41.1441
2020-11-16,41.3488
2020-11-17,42.4776
2020-11-18,41.9968
2020-11-19,43.6974
2020-11-20,43.4826
2020-11-21,43.4826
2020-11-22,43.4826
2020-11-23,43.2399
2020-11-24,45.15
2020-11-25,44.6029
2020-11-26,44.6029
2020-11-27,45.6352
2020-11-28,45.6352
2020-11-29,45.6352
2020-11-30,47.1004
2020-12-01,48.7138
2020-12-02,50.328
2020-12-03,50.849
2020-12-04,53.2583
2020-12-05,53.2583
2020-12-06,53.2583
2020-12-07,54.2977
2020-12-08,53.7882
2020-12-09,54.6331
2020-12-10,55.3959
2020-12-11,53.1968
2020-12-12,53.1968
2020-12-13,53.1968
2020-12-14,50.8996
2020-12-15,49.9153
2020-12-16,51.719
2020-12-17,53.1125
2020-12-18,54.8752
2020-12-19,54.8752
2020-12-20,54.8752
2020-12-21,53.2068
2020-12-22,54.6965
2020-12-23,53.6539
2020-12-24,54.4109
2020-12-25,54.4109
2020-12-26,54.4109
2020-12-27,54.4109
2020-12-28,54.8401
2020-12-29,51.5907
2020-12-30,49.6859
2020-12-31,51.5271
2021-01-01,51.5271
2021-01-02,51.5271
2021-01-03,51.5271
2021-01-04,49.6877
2021-01-05,48.9725
2021-01-06,47.1085
2021-01-07,49.938
2021-01-08,52.3198
2021-01-09,52.3198
2021-01-10,52.3198
2021-01-11,51.0683
2021-01-12,54.3533
2021-01-13,52.6152
2021-01-14,53.092
2021-01-15,53.1015
2021-01-16,53.1015
2021-01-17,53.1015
2021-01-18,53.1015
2021-01-19,56.2072
2021-01-20,53.1923
2021-01-21,48.1643
2021-01-22,47.63
2021-01-23,47.63
2021-01-24,47.63
2021-01-25,52.1009
2021-01-26,57.805
2021-01-27,61.2379
2021-01-28,54.3623
2021-01-29,52.0476
2021-01-30,52.0476
2021-01-31,52.0476
2021-02-01,51.4607
2021-02-02,51.8886
2021-02-03,51.3284
2021-02-04,51.4399
2021-02-05,50.8616
2021-02-06,50.8616
2021-02-07,50.8616
2021-02-08,52.5847
2021-02-09,54.0801
2021-02-10,54.6948
2021-02-11,55.3281
2021-02-12,55.2259
2021-02-13,55.2259
2021-02-14,55.2259
2021-02-15,55.2259
2021-02-16,54.2927
2021-02-17,51.9007
2021-02-18,50.1578
2021-02-19,50.9034
2021-02-20,50.9034
2021-02-21,50.9034
2021-02-22,52.704
2021-02-23,54.0956
2021-02-24,54.2503
2021-02-25,55.7603
2021-02-26,50.8332
2021-02-27,50.8332
2021-02-28,50.8332
2021-03-01,54.8005
2021-03-02,53.1128
2021-03-03,49.4478
2021-03-04,48.5676
2021-03-05,51.9661
2021-03-06,51.9661
2021-03-07,51.9661
2021-03-08,48.8338
2021-03-09,49.6436
2021-03-10,49.1576
2021-03-11,52.0489
2021-03-12,50.6913
2021-03-13,50.6913
2021-03-14,50.6913
2021-03-15,51.8112
2021-03-16,52.7061
2021-03-17,50.5068
2021-03-18,48.9907
2021-03-19,50.6185
2021-03-20,50.6185
2021-03-21,50.6185
2021-03-22,53.6977
2021-03-23,54.1376
2021-03-24,51.4233
2021-03-25,51.4687
2021-03-26,52.6501
2021-03-27,52.6501
2021-03-28,52.6501
2021-03-29,54.2841
2021-03-30,53.8906
2021-03-31,55.3562
2021-04-01,55.3193
2021-04-02,55.3193
2021-04-03,55.3193
2021-04-04,55.3193
2021-04-05,56.932
2021-04-06,56.4367
2021-04-07,56.9682
2021-04-08,57.0379
2021-04-09,56.5848
2021-04-10,56.5848
2021-04-11,56.5848
2021-04-12,56.2837
2021-04-13,53.089
2021-04-14,51.8552
2021-04-15,52.8337
2021-04-16,54.3323
2021-04-17,54.3323
2021-04-18,54.3323
2021-04-19,52.6234
2021-04-20,51.8766
2021-04-21,54.9395
2021-04-22,53.6846
2021-04-23,53.8482
2021-04-24,53.8482
2021-04-25,53.8482
2021-04-26,53.9603
2021-04-27,53.668
2021-04-28,51.6317
2021-04-29,42.1482
2021-04-30,39.1883
2021-05-01,39.1883
2021-05-02,39.1883
2021-05-03,38.8834
2021-05-04,36.1671
2021-05-05,36.1546
2021-05-06,38.8842
2021-05-07,38.4372
2021-05-08,38.4372
2021-05-09,38.4372
2021-05-10,37.2687
2021-05-11,37.2351
2021-05-12,35.612
2021-05-13,35.5594
2021-05-14,36.7547
2021-05-15,36.7547
2021-05-16,36.7547
2021-05-17,36.1659
2021-05-18,35.4182
2021-05-19,35.1303
2021-05-20,35.645
2021-05-21,35.6856
2021-05-22,35.6856
2021-05-23,35.6856
2021-05-24,35.7276
2021-05-25,35.244
2021-05-26,34.9233
2021-05-27,34.0031
2021-05-28,35.9464
2021-05-29,35.9464
2021-05-30,35.9464
2021-05-31,35.9464
2021-06-01,35.0375
2021-06-02,36.5895
2021-06-03,39.0414
2021-06-04,42.6223
2021-06-05,42.6223
2021-06-06,42.6223
2021-06-07,40.639
2021-06-08,42.4761
2021-06-09,42.1146
2021-06-10,43.3982
2021-06-11,45.7055
2021-06-12,45.7055
2021-06-13,45.7055
2021-06-14,46.0288
2021-06-15,45.1609
2021-06-16,42.7349
2021-06-17,43.4274
2021-06-18,41.0645
2021-06-19,41.0645
2021-06-20,41.0645
2021-06-21,41.4228
2021-06-22,40.1401
2021-06-23,38.7238
2021-06-24,40.4914
2021-06-25,42.5825
2021-06-26,42.5825
2021-06-27,42.5825
2021-06-28,44.5559
2021-06-29,45.2598
2021-06-30,44.5598
2021-07-01,44.7482
2021-07-02,46.9434
2021-07-03,46.9434
2021-07-04,46.9434
2021-07-05,46.9434
2021-07-06,43.5832
2021-07-07,45.2226
2021-07-08,44.8162
2021-07-09,43.9979
2021-07-10,43.9979
2021-07-11,43.9979
2021-07-12,41.5326
2021-07-13,41.1101
2021-07-14,44.4097
2021-07-15,43.5042
2021-07-16,45.3288
2021-07-17,45.3288
2021-07-18,45.3288
2021-07-19,42.7036
2021-07-20,43.8446
2021-07-21,43.0711
2021-07-22,43.7504
2021-07-23,44.4213
2021-07-24,44.4213
2021-07-25,44.4213
2021-07-26,44.2229
2021-07-27,44.1464
2021-07-28,43.9367
2021-07-29,29.7386
2021-07-30,32.2861
2021-07-31,32.2861
2021-08-01,32.2861
2021-08-02,36.1455
2021-08-03,35.7198
2021-08-04,34.2063
2021-08-05,34.6491
2021-08-06,34.8476
2021-08-07,34.8476
2021-08-08,34.8476
2021-08-09,34.9789
2021-08-10,34.4915
2021-08-11,36.5748
2021-08-12,36.4283
2021-08-13,36.4593
2021-08-14,36.4593
2021-08-15,36.4593
2021-08-16,36.5552
2021-08-17,37.1608
2021-08-18,37.0718
2021-08-19,37.1237
2021-08-20,38.4209
2021-08-21,38.4209
2021-08-22,38.4209
2021-08-23,37.5333
2021-08-24,37.8773
2021-08-25,36.8175
2021-08-26,35.8869
2021-08-27,37.7786
2021-08-28,37.7786
2021-08-29,37.7786
2021-08-30,39.4242
2021-08-31,39.8127
2021-09-01,39.4636
2021-09-02,41.8741
2021-09-03,40.4173
2021-09-04,40.4173
2021-09-05,40.4173
2021-09-06,40.4173
2021-09-07,41.8195
2021-09-08,47.1229
2021-09-09,50.2893
2021-09-10,49.2192
2021-09-11,49.2192
2021-09-12,49.2192
2021-09-13,51.0638
2021-09-14,52.1568
2021-09-15,56.021
2021-09-16,53.6628
2021-09-17,54.4715
2021-09-18,54.4715
2021-09-19,54.4715
2021-09-20,52.5289
2021-09-21,50.1819
2021-09-22,50.6775
2021-09-23,53.5715
2021-09-24,52.1239
2021-09-25,52.1239
2021-09-26,52.1239
2021-09-27,50.3535
2021-09-28,47.65
2021-09-29,49.2941
2021-09-30,48.2313
2021-10-01,49.7542
2021-10-02,49.7542
2021-10-03,49.7542
2021-10-04,46.7479
2021-10-05,47.1607
2021-10-06,46.4817
2021-10-07,44.2216
2021-10-08,37.819
2021-10-09,37.819
2021-10-10,37.819
2021-10-11,34.615
2021-10-12,31.7625
2021-10-13,36.4265
2021-10-14,38.5254
2021-10-15,40.9581
2021-10-16,40.9581
2021-10-17,40.9581
2021-10-18,44.5284
2021-10-19,44.3397
2021-10-20,43.3516
2021-10-21,44.4838
2021-10-22,44.176
2021-10-23,44.176
2021-10-24,44.176
2021-10-25,42.8791
2021-10-26,40.9972
2021-10-27,39.5288
2021-10-28,39.763
2021-10-29,39.3733
2021-10-30,39.3733
2021-10-31,39.3733
2021-11-01,39.4172
2021-11-02,40.6466
2021-11-03,39.2661
2021-11-04,40.617
2021-11-05,35.2933
2021-11-06,35.2933
2021-11-07,35.2933
2021-11-08,38.5552
2021-11-09,37.5713
2021-11-10,36.4836
2021-11-11,35.1342
2021-11-12,38.3896
2021-11-13,38.3896
2021-11-14,38.3896
2021-11-15,36.3403
2021-11-16,38.0243
2021-11-17,36.8295
2021-11-18,35.1209
2021-11-19,35.6404
2021-11-20,35.6404
2021-11-21,35.6404
2021-11-22,36.0981
2021-11-23,34.9645
2021-11-24,36.0403
2021-11-25,36.0403
2021-11-26,34.5502
2021-11-27,34.5502
2021-11-28,34.5502
2021-11-29,34.1297
2021-11-30,32.6262
2021-12-01,31.3662
2021-12-02,33.5099
2021-12-03,32.856
2021-12-04,32.856
2021-12-05,32.856
2021-12-06,34.8609
2021-12-07,35.9196
2021-12-08,38.6838
2021-12-09,37.7017
2021-12-10,37.592
2021-12-11,37.592
2021-12-12,37.592
2021-12-13,41.3024
2021-12-14,40.4243
2021-12-15,41.2804
2021-12-16,42.7095
2021-12-17,41.4447
2021-12-18,41.4447
2021-12-19,41.4447
2021-12-20,41.6384
2021-12-21,55.1088
2021-12-22,54.2789
2021-12-23,57.5071
2021-12-24,57.5071
2021-12-25,57.5071
2021-12-26,57.5071
2021-12-27,54.4568
2021-12-28,55.3102
2021-12-29,56.0808
2021-12-30,54.6856
2021-12-31,53.4116
2022-01-01,53.4116
2022-01-02,53.4116
2022-01-03,56.766
2022-01-04,57.7185
2022-01-05,55.2782
2022-01-06,52.1788
2022-01-07,53.4907
2022-01-08,53.4907
2022-01-09,53.4907
2022-01-10,54.8444
2022-01-11,55.6544
2022-01-12,54.2063
2022-01-13,52.0667
2022-01-14,53.0069
2022-01-15,53.0069
2022-01-16,53.0069
2022-01-17,53.0069
2022-01-18,57.5749
2022-01-19,60.4077
2022-01-20,57.9414
2022-01-21,56.5789
2022-01-22,56.5789
2022-01-23,56.5789
2022-01-24,60.4428
2022-01-25,55.5812
2022-01-26,56.386
2022-01-27,54.7351
2022-01-28,58.1972
2022-01-29,58.1972
2022-01-30,58.1972
2022-01-31,54.9541
2022-02-01,55.2542
2022-02-02,55.0105
2022-02-03,55.1318
2022-02-04,55.2177
2022-02-05,55.2177
2022-02-06,55.2177
2022-02-07,54.6082
2022-02-08,54.9566
2022-02-09,55.1854
2022-02-10,54.8863
2022-02-11,54.7111
2022-02-12,54.7111
2022-02-13,54.7111
2022-02-14,54.6772
2022-02-15,54.8411
2022-02-16,54.6248
2022-02-17,54.2802
2022-02-18,54.5029
2022-02-19,54.5029
2022-02-20,54.5029
2022-02-21,54.5029
2022-02-22,54.4898
2022-02-23,54.328
2022-02-24,54.8594
2022-02-25,55.3154
2022-02-26,55.3154
2022-02-27,55.3154
2022-02-28,55.1676
2022-03-01,55.365
2022-03-02,54.6646
2022-03-03,54.3643
2022-03-04,53.5315
2022-03-05,53.5315
2022-03-06,53.5315
2022-03-07,53.0946
2022-03-08,53.4729
2022-03-09,54.1061
2022-03-10,53.2861
2022-03-11,52.5326
2022-03-12,52.5326
2022-03-13,52.5326
2022-03-14,51.6368
2022-03-15,51.6011
2022-03-16,52.7335
2022-03-17,52.6384
2022-03-18,51.9218
2022-03-19,51.9218
2022-03-20,51.9218
2022-03-21,51.5684
2022-03-22,52.204
2022-03-23,52.6202
2022-03-24,52.0659
2022-03-25,52.5038
2022-03-26,52.5038
2022-03-27,52.5038
2022-03-28,52.3689
2022-03-29,53.3004
2022-03-30,53.3423
2022-03-31,51.9189
2022-04-01,53.2105
2022-04-02,53.2105
2022-04-03,53.2105
2022-04-04,53.0357
2022-04-05,52.9842
2022-04-06,52.6933
2022-04-07,52.6933
2022-04-08,52.6933
2022-04-09,52.6933
2022-04-10,52.6933
2022-04-11,52.2601
2022-04-12,51.6453
2022-04-13,54.4689
2022-04-14,55.0776
2022-04-15,55.0776
2022-04-16,55.0776
2022-04-17,55.0776
2022-04-18,54.3881
2022-04-19,54.1332
2022-04-20,53.8395
2022-04-21,52.8832
2022-04-22,52.6829
2022-04-23,52.6829
2022-04-24,52.6829
2022-04-25,51.9703
2022-04-26,50.2298
2022-04-27,50.1963
2022-04-28,50.0241
2022-04-29,47.9473
2022-04-30,47.9473
2022-05-01,47.9473
2022-05-02,47.612
2022-05-03,51.8917
2022-05-04,53.3966
2022-05-05,52.316
2022-05-06,50.8953
2022-05-07,50.8953
2022-05-08,50.8953
2022-05-09,47.6179
2022-05-10,48.562
2022-05-11,47.8679
2022-05-12,47.0398
2022-05-13,44.8565
2022-05-14,44.8565
2022-05-15,44.8565
2022-05-16,45.3581
2022-05-17,50.7418
2022-05-18,47.205
2022-05-19,46.5399
2022-05-20,45.9613
2022-05-21,45.9613
2022-05-22,45.9613
2022-05-23,47.7644
2022-05-24,46.9384
2022-05-25,47.373
2022-05-26,50.153
2022-05-27,51.8837
2022-05-28,51.8837
2022-05-29,51.8837
2022-05-30,51.8837
2022-05-31,50.9684
2022-06-01,51.4792
2022-06-02,53.1946
2022-06-03,53.3951
2022-06-04,53.3951
2022-06-05,53.3951
2022-06-06,46.3138
2022-06-07,44.6279
2022-06-08,44.5396
2022-06-09,45.688
2022-06-10,42.4334
2022-06-11,42.4334
2022-06-12,42.4334
2022-06-13,36.2897
2022-06-14,30.8839
2022-06-15,31.9398
2022-06-16,27.644
2022-06-17,41.8504
2022-06-18,41.8504
2022-06-19,41.8504
2022-06-20,41.8504
2022-06-21,47.38
2022-06-22,46.9833
2022-06-23,48.9627
2022-06-24,45.8186
2022-06-25,45.8186
2022-06-26,45.8186
2022-06-27,46.1509
2022-06-28,45.1236
2022-06-29,46.5167
2022-06-30,47.1801
2022-07-01,48.6962
2022-07-02,48.6962
2022-07-03,48.6962
2022-07-04,48.6962
2022-07-05,50.9388
2022-07-06,48.5376
2022-07-07,51.6159
2022-07-08,51.1046
2022-07-09,51.1046
2022-07-10,51.1046
2022-07-11,53.788
2022-07-12,55.9614
2022-07-13,56.2653
2022-07-14,56.3964
2022-07-15,56.6985
2022-07-16,56.6985
2022-07-17,56.6985
2022-07-18,55.8973
2022-07-19,56.6022
2022-07-20,55.0989
2022-07-21,54.644
2022-07-22,54.1124
2022-07-23,54.1124
2022-07-24,54.1124
2022-07-25,53.5734
2022-07-26,52.9799
2022-07-27,54.2793
2022-07-28,54.6556
2022-07-29,53.6655
2022-07-30,53.6655
2022-07-31,53.6655
2022-08-01,53.3069
2022-08-02,54.8238
2022-08-03,54.6348
2022-08-04,54.9104
2022-08-05,56.0613
2022-08-06,56.0613
2022-08-07,56.0613
2022-08-08,55.4464
2022-08-09,55.1781
2022-08-10,56.3437
2022-08-11,55.6266
2022-08-12,56.7167
2022-08-13,56.7167
2022-08-14,56.7167
2022-08-15,57.4781
2022-08-16,57.5279
2022-08-17,57.2156
2022-08-18,57.3752
2022-08-19,55.8662
2022-08-20,55.8662
2022-08-21,55.8662
2022-08-22,56.4307
2022-08-23,56.4882
2022-08-24,55.3162
2022-08-25,55.378
2022-08-26,54.4051
2022-08-27,54.4051
2022-08-28,54.4051
2022-08-29,53.5487
2022-08-30,54.7544
2022-08-31,55.3537
2022-09-01,55.9573
2022-09-02,55.4404
2022-09-03,55.4404
2022-09-04,55.4404
2022-09-05,55.4404
2022-09-06,55.1768
2022-09-07,57.4114
2022-09-08,58.3839
2022-09-09,58.2889
2022-09-10,58.2889
2022-09-11,58.2889
2022-09-12,58.2399
2022-09-13,57.5394
2022-09-14,57.9505
2022-09-15,57.7927
2022-09-16,57.3616
2022-09-17,57.3616
2022-09-18,57.3616
2022-09-19,58.1289
2022-09-20,58.1289
2022-09-21,58.2558
2022-09-22,58.516
2022-09-23,58.1411
2022-09-24,58.1411
2022-09-25,58.1411
2022-09-26,58.371
2022-09-27,58.371
2022-09-28,58.6626
2022-09-29,58.8613
2022-09-30,58.8613
2022-10-01,58.8613
2022-10-02,58.8613
2022-10-03,58.8613
2022-10-04,58.8613
2022-10-05,58.8613
2022-10-06,58.8613
2022-10-07,58.8613
2022-10-08,58.8613
2022-10-09,58.8613
2022-10-10,58.8613
2022-10-11,58.8613
2022-10-12,58.8613
2022-10-13,58.8613
2022-10-14,58.8613
2022-10-15,58.8613
2022-10-16,58.8613
2022-10-17,58.8613
2022-10-18,58.8613
2022-10-19,58.8613
2022-10-20,58.8613
2022-10-21,58.8613
2022-10-22,58.8613
2022-10-23,58.8613
2022-10-24,58.8613
2022-10-25,58.8613
2022-10-26,58.8613
2022-10-27,58.8613
2022-10-28,58.8613
2022-10-29,58.8613
2022-10-30,58.8613
2022-10-31,58.8613
2022-11-01,58.8613
2022-11-02,58.8613
2022-11-03,58.8613
2022-11-04,58.8613
2022-11-05,58.8613
2022-11-06,58.8613
2022-11-07,58.8613
2022-11-08,58.8613
2022-11-09,58.8613
2022-11-10,58.8613
2022-11-11,58.8613
2022-11-12,58.8613
2022-11-13,58.8613
2022-11-14,58.8613
2022-11-15,58.8613
2022-11-16,58.8613
