,CVBF US Equity
,RSI_30D
2020-01-01,53.3355
2020-01-02,54.6049
2020-01-03,54.35
2020-01-04,54.35
2020-01-05,54.35
2020-01-06,52.7576
2020-01-07,50.434
2020-01-08,52.3205
2020-01-09,52.3205
2020-01-10,50.5728
2020-01-11,50.5728
2020-01-12,50.5728
2020-01-13,51.056
2020-01-14,52.0264
2020-01-15,50.0997
2020-01-16,54.2479
2020-01-17,56.6127
2020-01-18,56.6127
2020-01-19,56.6127
2020-01-20,56.6127
2020-01-21,50.8704
2020-01-22,51.4602
2020-01-23,54.3463
2020-01-24,48.8711
2020-01-25,48.8711
2020-01-26,48.8711
2020-01-27,47.4176
2020-01-28,47.7391
2020-01-29,46.1809
2020-01-30,48.5688
2020-01-31,45.8882
2020-02-01,45.8882
2020-02-02,45.8882
2020-02-03,48.9094
2020-02-04,51.7899
2020-02-05,55.9832
2020-02-06,54.4825
2020-02-07,51.7102
2020-02-08,51.7102
2020-02-09,51.7102
2020-02-10,50.698
2020-02-11,51.5015
2020-02-12,52.1293
2020-02-13,53.1158
2020-02-14,51.9086
2020-02-15,51.9086
2020-02-16,51.9086
2020-02-17,51.9086
2020-02-18,50.3307
2020-02-19,50.1337
2020-02-20,51.2203
2020-02-21,48.3471
2020-02-22,48.3471
2020-02-23,48.3471
2020-02-24,43.87
2020-02-25,39.7622
2020-02-26,39.484
2020-02-27,35.676
2020-02-28,31.1464
2020-02-29,31.1464
2020-03-01,31.1464
2020-03-02,40.9726
2020-03-03,38.5942
2020-03-04,41.5635
2020-03-05,38.1894
2020-03-06,37.0901
2020-03-07,37.0901
2020-03-08,37.0901
2020-03-09,30.4421
2020-03-10,33.5905
2020-03-11,30.6268
2020-03-12,27.2563
2020-03-13,37.7706
2020-03-14,37.7706
2020-03-15,37.7706
2020-03-16,37.1761
2020-03-17,48.2903
2020-03-18,46.9241
2020-03-19,47.6536
2020-03-20,43.228
2020-03-21,43.228
2020-03-22,43.228
2020-03-23,39.153
2020-03-24,44.9981
2020-03-25,45.6964
2020-03-26,50.7801
2020-03-27,48.9708
2020-03-28,48.9708
2020-03-29,48.9708
2020-03-30,51.3871
2020-03-31,51.2179
2020-04-01,49.1003
2020-04-02,50.7092
2020-04-03,49.6731
2020-04-04,49.6731
2020-04-05,49.6731
2020-04-06,50.1289
2020-04-07,48.9994
2020-04-08,48.8244
2020-04-09,53.4683
2020-04-10,53.4683
2020-04-11,53.4683
2020-04-12,53.4683
2020-04-13,49.6959
