,DAN US Equity
,RSI_30D
2020-01-01,59.4054
2020-01-02,61.1322
2020-01-03,54.0029
2020-01-04,54.0029
2020-01-05,54.0029
2020-01-06,52.593
2020-01-07,52.9969
2020-01-08,51.1298
2020-01-09,50.6839
2020-01-10,47.7312
2020-01-11,47.7312
2020-01-12,47.7312
2020-01-13,47.3154
2020-01-14,46.4189
2020-01-15,46.1176
2020-01-16,49.8237
2020-01-17,50.2741
2020-01-18,50.2741
2020-01-19,50.2741
2020-01-20,50.2741
2020-01-21,49.0383
2020-01-22,49.3097
2020-01-23,50.3356
2020-01-24,46.5659
2020-01-25,46.5659
2020-01-26,46.5659
2020-01-27,44.0366
2020-01-28,47.0793
2020-01-29,47.2815
2020-01-30,44.3049
2020-01-31,41.948
2020-02-01,41.948
2020-02-02,41.948
2020-02-03,45.8744
2020-02-04,47.9466
2020-02-05,50.3879
2020-02-06,48.5495
2020-02-07,45.8969
2020-02-08,45.8969
2020-02-09,45.8969
2020-02-10,43.5844
2020-02-11,48.1657
2020-02-12,51.4592
2020-02-13,56.2107
2020-02-14,54.3583
2020-02-15,54.3583
2020-02-16,54.3583
2020-02-17,54.3583
2020-02-18,52.8149
2020-02-19,53.4978
2020-02-20,55.1108
2020-02-21,52.745
2020-02-22,52.745
2020-02-23,52.745
2020-02-24,46.2222
2020-02-25,42.3223
2020-02-26,42.4686
2020-02-27,39.8384
2020-02-28,41.5364
2020-02-29,41.5364
2020-03-01,41.5364
2020-03-02,41.6367
2020-03-03,38.4957
2020-03-04,39.3193
2020-03-05,35.4521
2020-03-06,33.3768
2020-03-07,33.3768
2020-03-08,33.3768
2020-03-09,30.2378
2020-03-10,32.3808
2020-03-11,31.1825
2020-03-12,27.2327
2020-03-13,30.9963
2020-03-14,30.9963
2020-03-15,30.9963
2020-03-16,26.3097
2020-03-17,25.1981
2020-03-18,23.5535
2020-03-19,29.1894
2020-03-20,29.6703
2020-03-21,29.6703
2020-03-22,29.6703
2020-03-23,30.6817
2020-03-24,35.115
2020-03-25,36.3044
2020-03-26,38.1802
2020-03-27,37.7693
2020-03-28,37.7693
2020-03-29,37.7693
2020-03-30,37.3534
2020-03-31,37.1208
2020-04-01,35.6191
2020-04-02,36.2123
2020-04-03,35.3901
2020-04-04,35.3901
2020-04-05,35.3901
2020-04-06,39.336
2020-04-07,39.7239
2020-04-08,42.1919
2020-04-09,44.6359
2020-04-10,44.6359
2020-04-11,44.6359
2020-04-12,44.6359
2020-04-13,43.3796
2020-04-14,43.9788
2020-04-15,43.0365
2020-04-16,41.9265
2020-04-17,44.0779
2020-04-18,44.0779
2020-04-19,44.0779
2020-04-20,42.2749
2020-04-21,41.788
2020-04-22,42.9682
2020-04-23,43.9654
2020-04-24,45.4799
2020-04-25,45.4799
2020-04-26,45.4799
2020-04-27,46.9627
2020-04-28,47.5802
2020-04-29,49.7647
2020-04-30,53.0645
2020-05-01,50.7233
2020-05-02,50.7233
2020-05-03,50.7233
2020-05-04,50.1197
2020-05-05,49.4785
2020-05-06,48.3272
2020-05-07,48.8064
2020-05-08,51.1816
2020-05-09,51.1816
2020-05-10,51.1816
2020-05-11,50.5663
2020-05-12,48.2654
2020-05-13,45.738
2020-05-14,47.2205
2020-05-15,47.3622
2020-05-16,47.3622
2020-05-17,47.3622
2020-05-18,51.0969
2020-05-19,51.5815
2020-05-20,53.1193
2020-05-21,53.6899
2020-05-22,54.0116
2020-05-23,54.0116
2020-05-24,54.0116
2020-05-25,54.0116
2020-05-26,55.6375
2020-05-27,58.3831
2020-05-28,57.9396
2020-05-29,56.5261
2020-05-30,56.5261
2020-05-31,56.5261
2020-06-01,57.9218
2020-06-02,58.9588
2020-06-03,61.7715
2020-06-04,61.0431
2020-06-05,63.0577
2020-06-06,63.0577
2020-06-07,63.0577
2020-06-08,64.7216
2020-06-09,62.3791
2020-06-10,56.5382
2020-06-11,50.2063
2020-06-12,52.0945
2020-06-13,52.0945
2020-06-14,52.0945
2020-06-15,51.7867
2020-06-16,52.6832
2020-06-17,50.7011
2020-06-18,49.7785
2020-06-19,50.1849
2020-06-20,50.1849
2020-06-21,50.1849
2020-06-22,50.5352
2020-06-23,51.1171
2020-06-24,47.6986
2020-06-25,48.9318
2020-06-26,47.5525
2020-06-27,47.5525
2020-06-28,47.5525
2020-06-29,51.6243
2020-06-30,51.4291
2020-07-01,50.0589
2020-07-02,50.0589
2020-07-03,50.0589
2020-07-04,50.0589
2020-07-05,50.0589
2020-07-06,50.4958
2020-07-07,48.6664
2020-07-08,49.3692
2020-07-09,48.1087
2020-07-10,50.7791
2020-07-11,50.7791
2020-07-12,50.7791
2020-07-13,50.6372
2020-07-14,52.2586
2020-07-15,54.4956
2020-07-16,53.0216
2020-07-17,52.4943
2020-07-18,52.4943
2020-07-19,52.4943
2020-07-20,52.0354
2020-07-21,52.6421
2020-07-22,53.3246
2020-07-23,52.9507
2020-07-24,52.3181
2020-07-25,52.3181
2020-07-26,52.3181
2020-07-27,53.053
2020-07-28,52.7432
2020-07-29,53.7022
2020-07-30,49.3826
2020-07-31,47.5622
2020-08-01,47.5622
2020-08-02,47.5622
2020-08-03,50.0864
2020-08-04,50.9276
2020-08-05,53.2192
2020-08-06,51.6544
2020-08-07,52.818
2020-08-08,52.818
2020-08-09,52.818
2020-08-10,56.6664
2020-08-11,57.4054
2020-08-12,57.5755
2020-08-13,55.6891
2020-08-14,56.1602
2020-08-15,56.1602
2020-08-16,56.1602
2020-08-17,56.1973
2020-08-18,53.9333
2020-08-19,53.1034
2020-08-20,56.8787
2020-08-21,54.5389
2020-08-22,54.5389
2020-08-23,54.5389
2020-08-24,56.1136
2020-08-25,55.3298
2020-08-26,54.9561
2020-08-27,55.1129
2020-08-28,56.0235
2020-08-29,56.0235
2020-08-30,56.0235
2020-08-31,55.2174
2020-09-01,56.9785
2020-09-02,59.5936
2020-09-03,55.2737
2020-09-04,55.618
2020-09-05,55.618
2020-09-06,55.618
2020-09-07,55.618
2020-09-08,54.4615
2020-09-09,55.6926
2020-09-10,53.7062
2020-09-11,54.3633
2020-09-12,54.3633
2020-09-13,54.3633
2020-09-14,56.5182
2020-09-15,54.88
2020-09-16,52.0427
2020-09-17,50.8639
2020-09-18,49.4381
2020-09-19,49.4381
2020-09-20,49.4381
2020-09-21,44.2997
2020-09-22,44.7177
2020-09-23,43.2987
2020-09-24,42.9278
2020-09-25,43.2796
2020-09-26,43.2796
2020-09-27,43.2796
2020-09-28,47.2218
2020-09-29,47.0157
2020-09-30,46.9733
2020-10-01,51.1667
2020-10-02,52.2287
2020-10-03,52.2287
2020-10-04,52.2287
2020-10-05,54.7916
2020-10-06,53.1982
2020-10-07,56.0744
2020-10-08,57.9182
2020-10-09,58.0965
2020-10-10,58.0965
2020-10-11,58.0965
2020-10-12,57.4416
2020-10-13,56.231
2020-10-14,55.9767
2020-10-15,56.2225
2020-10-16,57.2108
2020-10-17,57.2108
2020-10-18,57.2108
2020-10-19,56.1186
2020-10-20,56.9267
2020-10-21,57.98
2020-10-22,60.2333
2020-10-23,60.546
2020-10-24,60.546
2020-10-25,60.546
2020-10-26,56.6846
2020-10-27,53.9235
2020-10-28,52.2035
2020-10-29,53.0689
2020-10-30,50.5286
2020-10-31,50.5286
2020-11-01,50.5286
2020-11-02,51.0984
2020-11-03,54.5295
2020-11-04,51.2501
2020-11-05,54.5031
2020-11-06,52.7075
2020-11-07,52.7075
2020-11-08,52.7075
2020-11-09,56.2759
2020-11-10,58.6857
2020-11-11,58.3919
2020-11-12,56.4906
2020-11-13,59.0379
2020-11-14,59.0379
2020-11-15,59.0379
2020-11-16,62.0394
2020-11-17,60.1478
2020-11-18,58.7694
2020-11-19,57.824
2020-11-20,56.6918
2020-11-21,56.6918
2020-11-22,56.6918
2020-11-23,60.3094
2020-11-24,63.0856
2020-11-25,60.7475
2020-11-26,60.7475
2020-11-27,59.8751
2020-11-28,59.8751
2020-11-29,59.8751
2020-11-30,56.5168
2020-12-01,59.2543
2020-12-02,59.6426
2020-12-03,61.3428
2020-12-04,64.3435
2020-12-05,64.3435
2020-12-06,64.3435
2020-12-07,62.9886
2020-12-08,62.7608
2020-12-09,64.0781
2020-12-10,62.8576
2020-12-11,61.3239
2020-12-12,61.3239
2020-12-13,61.3239
2020-12-14,61.0903
2020-12-15,63.344
2020-12-16,64.0617
2020-12-17,63.8131
2020-12-18,61.2087
2020-12-19,61.2087
2020-12-20,61.2087
2020-12-21,60.9175
2020-12-22,61.7028
2020-12-23,61.7346
2020-12-24,61.1565
2020-12-25,61.1565
2020-12-26,61.1565
2020-12-27,61.1565
2020-12-28,59.5823
2020-12-29,57.5888
2020-12-30,59.3563
2020-12-31,59.7809
2021-01-01,59.7809
2021-01-02,59.7809
2021-01-03,59.7809
2021-01-04,57.5022
2021-01-05,61.4415
2021-01-06,65.0568
2021-01-07,67.3964
2021-01-08,64.594
2021-01-09,64.594
2021-01-10,64.594
2021-01-11,64.3996
2021-01-12,66.7301
2021-01-13,61.3308
2021-01-14,59.7076
2021-01-15,58.0757
2021-01-16,58.0757
2021-01-17,58.0757
2021-01-18,58.0757
2021-01-19,60.0729
2021-01-20,60.328
2021-01-21,60.3571
2021-01-22,60.3571
2021-01-23,60.3571
2021-01-24,60.3571
2021-01-25,57.5556
2021-01-26,56.0789
2021-01-27,51.4963
2021-01-28,53.3305
2021-01-29,51.1774
2021-01-30,51.1774
2021-01-31,51.1774
2021-02-01,52.9693
2021-02-02,55.4728
2021-02-03,57.7107
2021-02-04,58.6122
2021-02-05,59.6456
2021-02-06,59.6456
2021-02-07,59.6456
2021-02-08,63.4958
2021-02-09,63.0723
2021-02-10,61.1321
2021-02-11,59.2468
2021-02-12,58.5163
2021-02-13,58.5163
2021-02-14,58.5163
2021-02-15,58.5163
2021-02-16,59.3798
2021-02-17,59.898
2021-02-18,52.847
2021-02-19,56.5935
2021-02-20,56.5935
2021-02-21,56.5935
2021-02-22,59.2668
2021-02-23,59.292
2021-02-24,63.0276
2021-02-25,58.6247
2021-02-26,59.0039
2021-02-27,59.0039
2021-02-28,59.0039
2021-03-01,60.4115
2021-03-02,60.056
2021-03-03,60.3457
2021-03-04,57.1524
2021-03-05,59.3762
2021-03-06,59.3762
2021-03-07,59.3762
2021-03-08,60.909
2021-03-09,61.5554
2021-03-10,63.132
2021-03-11,63.2656
2021-03-12,65.0972
2021-03-13,65.0972
2021-03-14,65.0972
2021-03-15,64.8186
2021-03-16,62.259
2021-03-17,63.8058
2021-03-18,59.2611
2021-03-19,58.2492
2021-03-20,58.2492
2021-03-21,58.2492
2021-03-22,55.6396
2021-03-23,51.7464
2021-03-24,49.786
2021-03-25,51.7065
2021-03-26,54.8399
2021-03-27,54.8399
2021-03-28,54.8399
2021-03-29,52.4818
2021-03-30,54.885
2021-03-31,53.9252
2021-04-01,54.5235
2021-04-02,54.5235
2021-04-03,54.5235
