,DECK US Equity
,RSI_30D
2020-01-01,57.3548
2020-01-02,59.7871
2020-01-03,60.691
2020-01-04,60.691
2020-01-05,60.691
2020-01-06,61.4143
2020-01-07,59.9333
2020-01-08,55.5027
2020-01-09,55.8621
2020-01-10,51.8498
2020-01-11,51.8498
2020-01-12,51.8498
2020-01-13,54.0613
2020-01-14,54.6083
2020-01-15,54.8703
2020-01-16,57.8028
2020-01-17,58.4287
2020-01-18,58.4287
2020-01-19,58.4287
2020-01-20,58.4287
2020-01-21,59.491
2020-01-22,59.7372
2020-01-23,59.3858
2020-01-24,61.3343
2020-01-25,61.3343
2020-01-26,61.3343
2020-01-27,58.7382
2020-01-28,58.467
2020-01-29,59.6615
2020-01-30,60.2566
2020-01-31,68.5749
2020-02-01,68.5749
2020-02-02,68.5749
2020-02-03,65.1352
2020-02-04,66.2342
2020-02-05,67.8354
2020-02-06,67.0136
2020-02-07,66.3087
2020-02-08,66.3087
2020-02-09,66.3087
2020-02-10,67.1983
2020-02-11,67.3372
2020-02-12,70.3722
2020-02-13,70.9057
2020-02-14,70.9104
2020-02-15,70.9104
2020-02-16,70.9104
2020-02-17,70.9104
2020-02-18,71.207
2020-02-19,71.1344
2020-02-20,68.6603
2020-02-21,63.624
2020-02-22,63.624
2020-02-23,63.624
2020-02-24,56.8519
2020-02-25,52.5075
2020-02-26,51.967
2020-02-27,46.6194
2020-02-28,46.5405
2020-02-29,46.5405
2020-03-01,46.5405
2020-03-02,50.2677
2020-03-03,47.5773
2020-03-04,50.9469
2020-03-05,46.5006
2020-03-06,46.4481
2020-03-07,46.4481
2020-03-08,46.4481
2020-03-09,40.8228
2020-03-10,44.0192
2020-03-11,38.0914
2020-03-12,30.9649
2020-03-13,30.5743
2020-03-14,30.5743
2020-03-15,30.5743
2020-03-16,26.3036
2020-03-17,26.1775
2020-03-18,22.5829
2020-03-19,29.0701
2020-03-20,29.1383
2020-03-21,29.1383
2020-03-22,29.1383
2020-03-23,33.7499
2020-03-24,41.6681
2020-03-25,40.6795
2020-03-26,44.5452
2020-03-27,42.5961
2020-03-28,42.5961
2020-03-29,42.5961
2020-03-30,44.6203
2020-03-31,43.2794
2020-04-01,40.7483
2020-04-02,41.759
2020-04-03,40.6418
2020-04-04,40.6418
2020-04-05,40.6418
2020-04-06,45.9491
2020-04-07,46.8
2020-04-08,47.9789
2020-04-09,49.1125
2020-04-10,49.1125
2020-04-11,49.1125
2020-04-12,49.1125
2020-04-13,47.5525
2020-04-14,48.211
2020-04-15,46.3649
2020-04-16,46.4715
2020-04-17,48.5223
2020-04-18,48.5223
2020-04-19,48.5223
2020-04-20,47.0656
2020-04-21,44.6508
2020-04-22,44.9199
2020-04-23,44.9143
2020-04-24,46.5381
2020-04-25,46.5381
2020-04-26,46.5381
2020-04-27,49.4993
2020-04-28,49.9844
2020-04-29,52.3696
2020-04-30,50.1661
2020-05-01,48.4739
2020-05-02,48.4739
2020-05-03,48.4739
2020-05-04,47.5517
2020-05-05,48.665
2020-05-06,48.3607
2020-05-07,49.0203
2020-05-08,50.5912
2020-05-09,50.5912
2020-05-10,50.5912
2020-05-11,49.9604
2020-05-12,47.0299
2020-05-13,46.0686
2020-05-14,47.5462
2020-05-15,48.0227
2020-05-16,48.0227
2020-05-17,48.0227
2020-05-18,52.1869
2020-05-19,52.6843
2020-05-20,55.1896
2020-05-21,56.8215
2020-05-22,59.8903
2020-05-23,59.8903
2020-05-24,59.8903
2020-05-25,59.8903
2020-05-26,60.1022
2020-05-27,63.8209
2020-05-28,60.4204
2020-05-29,59.0081
2020-05-30,59.0081
2020-05-31,59.0081
2020-06-01,62.1584
2020-06-02,63.9176
2020-06-03,65.6621
2020-06-04,62.5448
2020-06-05,62.7707
2020-06-06,62.7707
2020-06-07,62.7707
2020-06-08,61.1125
2020-06-09,59.3499
2020-06-10,59.9956
2020-06-11,57.5095
2020-06-12,58.7664
2020-06-13,58.7664
2020-06-14,58.7664
2020-06-15,57.7247
2020-06-16,58.6825
2020-06-17,59.0658
2020-06-18,59.5947
2020-06-19,57.9258
2020-06-20,57.9258
2020-06-21,57.9258
2020-06-22,59.1828
2020-06-23,59.5563
2020-06-24,56.6584
2020-06-25,56.1172
2020-06-26,53.5961
2020-06-27,53.5961
2020-06-28,53.5961
2020-06-29,56.1085
2020-06-30,56.597
2020-07-01,55.8346
2020-07-02,55.7774
2020-07-03,55.7774
2020-07-04,55.7774
2020-07-05,55.7774
2020-07-06,55.9949
2020-07-07,53.7303
2020-07-08,55.1097
2020-07-09,53.8086
2020-07-10,55.7563
2020-07-11,55.7563
2020-07-12,55.7563
2020-07-13,54.8423
2020-07-14,56.3516
2020-07-15,57.4555
2020-07-16,57.6851
2020-07-17,57.1043
2020-07-18,57.1043
2020-07-19,57.1043
2020-07-20,54.9192
2020-07-21,56.6195
2020-07-22,58.2828
2020-07-23,58.286
2020-07-24,57.9759
2020-07-25,57.9759
2020-07-26,57.9759
2020-07-27,59.7416
2020-07-28,59.4995
2020-07-29,62.1083
2020-07-30,59.8355
2020-07-31,57.5542
2020-08-01,57.5542
2020-08-02,57.5542
2020-08-03,56.3611
2020-08-04,55.833
2020-08-05,57.9417
2020-08-06,55.6732
2020-08-07,57.095
2020-08-08,57.095
2020-08-09,57.095
2020-08-10,59.7154
2020-08-11,61.2035
2020-08-12,60.0374
2020-08-13,58.6363
2020-08-14,57.6108
2020-08-15,57.6108
2020-08-16,57.6108
2020-08-17,55.9694
2020-08-18,55.3581
2020-08-19,53.9242
2020-08-20,53.9479
2020-08-21,54.6028
2020-08-22,54.6028
2020-08-23,54.6028
2020-08-24,54.5487
2020-08-25,54.7429
2020-08-26,55.5333
2020-08-27,55.1188
2020-08-28,54.8822
2020-08-29,54.8822
2020-08-30,54.8822
2020-08-31,51.4193
2020-09-01,54.2153
2020-09-02,53.0047
2020-09-03,48.5084
2020-09-04,47.9882
2020-09-05,47.9882
2020-09-06,47.9882
2020-09-07,47.9882
2020-09-08,49.3494
2020-09-09,50.8092
2020-09-10,48.6072
2020-09-11,50.9204
2020-09-12,50.9204
2020-09-13,50.9204
2020-09-14,53.1294
2020-09-15,55.7132
2020-09-16,57.6336
2020-09-17,54.639
2020-09-18,52.5777
2020-09-19,52.5777
2020-09-20,52.5777
2020-09-21,51.7282
2020-09-22,54.4386
2020-09-23,54.772
2020-09-24,56.0164
2020-09-25,54.8043
2020-09-26,54.8043
2020-09-27,54.8043
2020-09-28,56.4272
2020-09-29,55.7337
2020-09-30,56.586
2020-10-01,62.1788
2020-10-02,62.7456
2020-10-03,62.7456
2020-10-04,62.7456
2020-10-05,63.1056
2020-10-06,61.1784
2020-10-07,62.9586
2020-10-08,64.5014
2020-10-09,66.2595
2020-10-10,66.2595
2020-10-11,66.2595
2020-10-12,66.8672
2020-10-13,66.9511
2020-10-14,67.6718
2020-10-15,69.3514
2020-10-16,69.4117
2020-10-17,69.4117
2020-10-18,69.4117
2020-10-19,63.9035
2020-10-20,62.003
2020-10-21,60.9893
2020-10-22,61.0173
2020-10-23,63.5559
2020-10-24,63.5559
2020-10-25,63.5559
2020-10-26,65.595
2020-10-27,65.6644
2020-10-28,59.3076
2020-10-29,61.7571
2020-10-30,59.5971
2020-10-31,59.5971
2020-11-01,59.5971
2020-11-02,60.0991
2020-11-03,58.4732
2020-11-04,61.5519
2020-11-05,66.3269
2020-11-06,62.5281
2020-11-07,62.5281
2020-11-08,62.5281
2020-11-09,56.2745
2020-11-10,55.089
2020-11-11,55.7135
2020-11-12,53.7278
2020-11-13,54.6159
2020-11-14,54.6159
2020-11-15,54.6159
2020-11-16,54.1482
2020-11-17,55.5641
2020-11-18,54.6251
2020-11-19,53.3731
2020-11-20,52.7939
2020-11-21,52.7939
2020-11-22,52.7939
2020-11-23,56.1659
2020-11-24,56.8129
2020-11-25,58.3491
2020-11-26,58.3491
2020-11-27,56.5512
2020-11-28,56.5512
2020-11-29,56.5512
2020-11-30,54.3149
2020-12-01,57.3946
2020-12-02,58.7766
2020-12-03,61.7222
2020-12-04,63.8277
2020-12-05,63.8277
2020-12-06,63.8277
2020-12-07,63.9189
2020-12-08,65.3817
2020-12-09,65.8697
2020-12-10,63.3957
2020-12-11,63.4639
2020-12-12,63.4639
2020-12-13,63.4639
2020-12-14,64.2274
2020-12-15,66.4972
2020-12-16,64.6495
2020-12-17,64.8402
2020-12-18,62.0342
2020-12-19,62.0342
2020-12-20,62.0342
2020-12-21,63.4249
2020-12-22,60.7909
2020-12-23,61.228
2020-12-24,60.0052
2020-12-25,60.0052
2020-12-26,60.0052
2020-12-27,60.0052
2020-12-28,59.2171
2020-12-29,57.7097
2020-12-30,57.0834
2020-12-31,57.341
2021-01-01,57.341
2021-01-02,57.341
2021-01-03,57.341
2021-01-04,55.86
2021-01-05,59.2988
2021-01-06,64.3208
2021-01-07,65.3991
2021-01-08,64.3109
2021-01-09,64.3109
2021-01-10,64.3109
2021-01-11,67.2118
2021-01-12,68.4234
2021-01-13,64.8236
2021-01-14,64.6197
2021-01-15,65.1256
2021-01-16,65.1256
2021-01-17,65.1256
2021-01-18,65.1256
2021-01-19,63.8459
2021-01-20,65.7293
2021-01-21,62.3276
2021-01-22,61.0434
2021-01-23,61.0434
2021-01-24,61.0434
2021-01-25,58.8291
2021-01-26,55.0288
2021-01-27,47.0796
2021-01-28,50.5522
2021-01-29,50.9202
2021-01-30,50.9202
2021-01-31,50.9202
2021-02-01,52.9259
2021-02-02,56.1193
2021-02-03,55.371
2021-02-04,57.1421
2021-02-05,57.094
2021-02-06,57.094
2021-02-07,57.094
2021-02-08,57.9412
2021-02-09,59.2137
2021-02-10,57.6179
2021-02-11,57.1525
2021-02-12,58.1431
2021-02-13,58.1431
2021-02-14,58.1431
2021-02-15,58.1431
2021-02-16,58.2692
2021-02-17,58.2136
2021-02-18,58.0496
2021-02-19,60.1894
2021-02-20,60.1894
2021-02-21,60.1894
2021-02-22,58.9653
2021-02-23,57.5336
2021-02-24,59.4992
2021-02-25,54.9187
2021-02-26,56.8685
2021-02-27,56.8685
2021-02-28,56.8685
2021-03-01,58.3027
2021-03-02,56.2189
2021-03-03,54.5877
2021-03-04,51.1495
2021-03-05,52.8891
2021-03-06,52.8891
2021-03-07,52.8891
2021-03-08,53.0565
2021-03-09,54.6825
2021-03-10,52.4607
2021-03-11,55.586
2021-03-12,55.886
2021-03-13,55.886
2021-03-14,55.886
2021-03-15,59.6819
2021-03-16,58.0886
2021-03-17,59.398
2021-03-18,55.0802
2021-03-19,56.9814
2021-03-20,56.9814
2021-03-21,56.9814
2021-03-22,55.1411
2021-03-23,51.045
2021-03-24,49.2039
2021-03-25,51.8148
2021-03-26,54.7198
2021-03-27,54.7198
2021-03-28,54.7198
2021-03-29,51.1547
2021-03-30,52.4245
2021-03-31,53.5317
2021-04-01,53.5553
2021-04-02,53.5553
2021-04-03,53.5553
2021-04-04,53.5553
2021-04-05,53.672
2021-04-06,55.59
2021-04-07,55.6734
2021-04-08,54.8397
2021-04-09,56.2784
2021-04-10,56.2784
2021-04-11,56.2784
2021-04-12,57.1376
2021-04-13,53.9935
2021-04-14,54.0811
2021-04-15,54.966
2021-04-16,55.3676
2021-04-17,55.3676
2021-04-18,55.3676
2021-04-19,54.1275
2021-04-20,51.1904
2021-04-21,52.637
2021-04-22,53.1004
2021-04-23,55.5928
2021-04-24,55.5928
2021-04-25,55.5928
2021-04-26,54.0376
2021-04-27,56.0833
2021-04-28,56.8284
2021-04-29,57.2849
2021-04-30,52.9594
2021-05-01,52.9594
2021-05-02,52.9594
2021-05-03,55.1992
2021-05-04,56.0284
2021-05-05,54.3824
2021-05-06,53.0149
2021-05-07,53.2597
2021-05-08,53.2597
2021-05-09,53.2597
2021-05-10,49.7801
2021-05-11,47.9583
2021-05-12,45.3453
2021-05-13,48.164
2021-05-14,51.6082
2021-05-15,51.6082
2021-05-16,51.6082
2021-05-17,53.0352
2021-05-18,50.5843
2021-05-19,48.1153
2021-05-20,45.2038
2021-05-21,51.4501
2021-05-22,51.4501
2021-05-23,51.4501
2021-05-24,52.1174
2021-05-25,51.3297
2021-05-26,52.9058
2021-05-27,52.0932
2021-05-28,51.1373
2021-05-29,51.1373
2021-05-30,51.1373
2021-05-31,51.1373
2021-06-01,52.7029
2021-06-02,49.8917
2021-06-03,49.361
2021-06-04,48.1464
2021-06-05,48.1464
2021-06-06,48.1464
2021-06-07,48.3681
2021-06-08,48.5624
2021-06-09,48.1103
2021-06-10,48.4598
2021-06-11,51.162
2021-06-12,51.162
2021-06-13,51.162
2021-06-14,51.1984
2021-06-15,51.0018
2021-06-16,48.943
2021-06-17,48.519
2021-06-18,48.4466
2021-06-19,48.4466
2021-06-20,48.4466
2021-06-21,51.9528
2021-06-22,55.1317
2021-06-23,56.1941
2021-06-24,57.1479
2021-06-25,62.791
2021-06-26,62.791
2021-06-27,62.791
2021-06-28,63.1376
2021-06-29,63.2267
2021-06-30,63.4962
2021-07-01,64.716
2021-07-02,65.29
2021-07-03,65.29
2021-07-04,65.29
2021-07-05,65.29
2021-07-06,63.2607
2021-07-07,63.9737
2021-07-08,61.3656
2021-07-09,62.7977
2021-07-10,62.7977
2021-07-11,62.7977
2021-07-12,63.6717
2021-07-13,61.7926
2021-07-14,60.636
2021-07-15,58.7631
2021-07-16,56.5979
2021-07-17,56.5979
2021-07-18,56.5979
2021-07-19,56.6088
2021-07-20,59.5068
2021-07-21,59.7967
2021-07-22,62.1534
2021-07-23,64.2284
2021-07-24,64.2284
2021-07-25,64.2284
2021-07-26,65.2883
2021-07-27,60.5479
2021-07-28,61.9564
2021-07-29,62.4518
2021-07-30,63.3683
2021-07-31,63.3683
2021-08-01,63.3683
2021-08-02,66.1674
2021-08-03,67.2977
2021-08-04,68.4202
2021-08-05,67.8075
2021-08-06,67.6829
2021-08-07,67.6829
2021-08-08,67.6829
2021-08-09,66.9805
2021-08-10,66.1745
2021-08-11,66.8154
2021-08-12,65.1647
2021-08-13,66.1175
2021-08-14,66.1175
2021-08-15,66.1175
2021-08-16,66.0476
2021-08-17,60.9664
2021-08-18,62.4484
2021-08-19,62.2424
2021-08-20,63.9116
2021-08-21,63.9116
2021-08-22,63.9116
2021-08-23,63.4747
2021-08-24,63.8994
2021-08-25,62.4237
2021-08-26,58.8238
2021-08-27,58.8886
2021-08-28,58.8886
2021-08-29,58.8886
2021-08-30,58.201
2021-08-31,56.8723
2021-09-01,55.9962
2021-09-02,52.2346
2021-09-03,53.3935
2021-09-04,53.3935
2021-09-05,53.3935
2021-09-06,53.3935
2021-09-07,52.7166
2021-09-08,50.0998
2021-09-09,52.0185
2021-09-10,54.9955
2021-09-11,54.9955
2021-09-12,54.9955
2021-09-13,55.9038
2021-09-14,60.8673
2021-09-15,60.7164
2021-09-16,61.6711
2021-09-17,59.659
2021-09-18,59.659
2021-09-19,59.659
2021-09-20,56.1916
2021-09-21,54.936
2021-09-22,55.6424
2021-09-23,56.2796
2021-09-24,44.4252
2021-09-25,44.4252
2021-09-26,44.4252
2021-09-27,42.8955
2021-09-28,41.2478
2021-09-29,40.523
2021-09-30,37.8839
2021-10-01,39.6532
2021-10-02,39.6532
2021-10-03,39.6532
2021-10-04,40.0554
2021-10-05,39.6657
2021-10-06,39.4128
2021-10-07,43.5932
2021-10-08,39.8163
2021-10-09,39.8163
2021-10-10,39.8163
2021-10-11,34.3117
2021-10-12,36.862
2021-10-13,39.3596
2021-10-14,40.6404
2021-10-15,42.4625
2021-10-16,42.4625
2021-10-17,42.4625
2021-10-18,44.9816
2021-10-19,43.8748
2021-10-20,43.2123
2021-10-21,48.4796
2021-10-22,48.3365
2021-10-23,48.3365
2021-10-24,48.3365
2021-10-25,49.9684
2021-10-26,48.0933
2021-10-27,47.7608
2021-10-28,48.7858
2021-10-29,52.3745
2021-10-30,52.3745
2021-10-31,52.3745
2021-11-01,55.7932
2021-11-02,51.9951
2021-11-03,54.5708
2021-11-04,56.092
2021-11-05,57.4574
2021-11-06,57.4574
2021-11-07,57.4574
2021-11-08,56.0418
2021-11-09,57.4622
2021-11-10,56.8232
2021-11-11,56.9543
2021-11-12,57.7508
2021-11-13,57.7508
2021-11-14,57.7508
2021-11-15,55.2113
2021-11-16,57.419
2021-11-17,58.9678
2021-11-18,59.2407
2021-11-19,58.1916
2021-11-20,58.1916
2021-11-21,58.1916
2021-11-22,57.2422
2021-11-23,55.829
2021-11-24,55.8596
2021-11-25,55.8596
2021-11-26,52.7527
2021-11-27,52.7527
2021-11-28,52.7527
2021-11-29,52.9104
2021-11-30,50.3665
2021-12-01,48.4461
2021-12-02,50.07
2021-12-03,46.7733
2021-12-04,46.7733
2021-12-05,46.7733
2021-12-06,45.7794
2021-12-07,50.5195
2021-12-08,50.6717
2021-12-09,48.1644
2021-12-10,47.0407
2021-12-11,47.0407
2021-12-12,47.0407
2021-12-13,44.5875
2021-12-14,43.35
2021-12-15,45.0043
2021-12-16,40.7034
2021-12-17,40.6583
2021-12-18,40.6583
2021-12-19,40.6583
2021-12-20,37.7086
2021-12-21,40.8024
2021-12-22,40.2746
2021-12-23,42.4697
2021-12-24,42.4697
2021-12-25,42.4697
2021-12-26,42.4697
2021-12-27,42.9816
2021-12-28,43.0997
2021-12-29,44.854
2021-12-30,45.3769
2021-12-31,45.0321
2022-01-01,45.0321
2022-01-02,45.0321
2022-01-03,45.4687
2022-01-04,43.3427
2022-01-05,40.1473
2022-01-06,41.9798
2022-01-07,39.9329
2022-01-08,39.9329
2022-01-09,39.9329
2022-01-10,38.7684
2022-01-11,40.9081
2022-01-12,41.4025
2022-01-13,40.0396
2022-01-14,38.1377
2022-01-15,38.1377
2022-01-16,38.1377
2022-01-17,38.1377
2022-01-18,37.9514
2022-01-19,36.9913
2022-01-20,36.0375
2022-01-21,35.9515
2022-01-22,35.9515
2022-01-23,35.9515
2022-01-24,38.8794
2022-01-25,36.3257
2022-01-26,34.9083
2022-01-27,34.9032
2022-01-28,36.8696
2022-01-29,36.8696
2022-01-30,36.8696
2022-01-31,41.3875
2022-02-01,43.8537
2022-02-02,44.1713
2022-02-03,42.4273
2022-02-04,38.9044
2022-02-05,38.9044
2022-02-06,38.9044
2022-02-07,37.57
2022-02-08,38.7033
2022-02-09,41.2843
2022-02-10,40.6671
2022-02-11,40.2699
2022-02-12,40.2699
2022-02-13,40.2699
2022-02-14,39.6782
2022-02-15,43.3357
2022-02-16,46.111
2022-02-17,41.226
2022-02-18,40.5925
2022-02-19,40.5925
2022-02-20,40.5925
2022-02-21,40.5925
2022-02-22,38.7399
2022-02-23,37.7628
2022-02-24,39.1006
2022-02-25,39.8727
2022-02-26,39.8727
2022-02-27,39.8727
2022-02-28,40.175
2022-03-01,37.1252
2022-03-02,39.9068
2022-03-03,37.6586
2022-03-04,34.228
2022-03-05,34.228
2022-03-06,34.228
2022-03-07,32.7688
2022-03-08,34.6127
2022-03-09,37.1651
2022-03-10,39.1266
2022-03-11,38.8109
2022-03-12,38.8109
2022-03-13,38.8109
2022-03-14,37.754
2022-03-15,40.0923
2022-03-16,43.7891
2022-03-17,44.0026
2022-03-18,47.2794
2022-03-19,47.2794
2022-03-20,47.2794
2022-03-21,44.8978
2022-03-22,45.3332
2022-03-23,43.3838
2022-03-24,43.5299
2022-03-25,43.2786
2022-03-26,43.2786
2022-03-27,43.2786
2022-03-28,44.9348
2022-03-29,47.9882
2022-03-30,46.4753
2022-03-31,45.0056
2022-04-01,45.6819
2022-04-02,45.6819
2022-04-03,45.6819
2022-04-04,47.9928
2022-04-05,45.8704
2022-04-06,44.3629
2022-04-07,44.3096
2022-04-08,43.4926
2022-04-09,43.4926
2022-04-10,43.4926
2022-04-11,42.8416
2022-04-12,44.1228
2022-04-13,45.7561
2022-04-14,45.6305
2022-04-15,45.6305
2022-04-16,45.6305
2022-04-17,45.6305
2022-04-18,45.5734
2022-04-19,50.3585
2022-04-20,50.1866
2022-04-21,50.0703
2022-04-22,46.5402
2022-04-23,46.5402
2022-04-24,46.5402
2022-04-25,47.6856
2022-04-26,44.1789
2022-04-27,44.8951
2022-04-28,46.998
2022-04-29,45.3722
2022-04-30,45.3722
2022-05-01,45.3722
2022-05-02,47.2018
2022-05-03,46.8409
2022-05-04,48.7387
2022-05-05,44.4193
2022-05-06,42.0513
2022-05-07,42.0513
2022-05-08,42.0513
2022-05-09,40.3127
2022-05-10,40.2253
2022-05-11,38.9133
2022-05-12,40.9569
2022-05-13,43.4945
2022-05-14,43.4945
2022-05-15,43.4945
2022-05-16,42.0628
2022-05-17,43.3973
2022-05-18,40.2764
2022-05-19,40.188
2022-05-20,47.0399
2022-05-21,47.0399
2022-05-22,47.0399
2022-05-23,45.6813
2022-05-24,44.3452
2022-05-25,45.8606
2022-05-26,48.9986
2022-05-27,50.9545
2022-05-28,50.9545
2022-05-29,50.9545
2022-05-30,50.9545
2022-05-31,50.2773
2022-06-01,48.7474
2022-06-02,51.1297
2022-06-03,50.6875
2022-06-04,50.6875
2022-06-05,50.6875
2022-06-06,51.5805
2022-06-07,51.042
2022-06-08,51.8257
2022-06-09,51.6287
2022-06-10,50.3844
2022-06-11,50.3844
2022-06-12,50.3844
2022-06-13,46.257
2022-06-14,46.466
2022-06-15,47.9246
2022-06-16,44.5945
2022-06-17,46.6444
2022-06-18,46.6444
2022-06-19,46.6444
2022-06-20,46.6444
2022-06-21,48.4471
2022-06-22,47.7712
2022-06-23,49.1075
2022-06-24,51.8255
2022-06-25,51.8255
2022-06-26,51.8255
2022-06-27,50.7094
2022-06-28,49.6238
2022-06-29,48.9011
2022-06-30,47.8172
2022-07-01,45.5367
2022-07-02,45.5367
2022-07-03,45.5367
2022-07-04,45.5367
2022-07-05,49.7263
2022-07-06,49.1625
