,DUK US Equity
,RSI_30D
2020-01-01,46.9317
2020-01-02,44.3237
2020-01-03,44.5435
2020-01-04,44.5435
2020-01-05,44.5435
2020-01-06,46.1566
2020-01-07,44.4249
2020-01-08,44.9125
2020-01-09,45.7459
2020-01-10,45.1675
2020-01-11,45.1675
2020-01-12,45.1675
2020-01-13,48.1796
2020-01-14,48.3995
2020-01-15,52.5326
2020-01-16,54.7087
2020-01-17,56.3295
2020-01-18,56.3295
2020-01-19,56.3295
2020-01-20,56.3295
2020-01-21,59.314
2020-01-22,60.6654
2020-01-23,62.5699
2020-01-24,63.0506
2020-01-25,63.0506
2020-01-26,63.0506
2020-01-27,62.3056
2020-01-28,62.5851
2020-01-29,63.9428
2020-01-30,65.6614
2020-01-31,66.0336
2020-02-01,66.0336
2020-02-02,66.0336
2020-02-03,66.1286
2020-02-04,61.3807
2020-02-05,62.776
2020-02-06,61.8766
2020-02-07,59.1227
2020-02-08,59.1227
2020-02-09,59.1227
2020-02-10,58.9582
2020-02-11,61.0865
2020-02-12,63.4835
2020-02-13,69.9924
2020-02-14,71.9245
2020-02-15,71.9245
2020-02-16,71.9245
2020-02-17,71.9245
2020-02-18,73.0594
2020-02-19,70.6635
2020-02-20,70.6801
2020-02-21,72.2994
2020-02-22,72.2994
2020-02-23,72.2994
2020-02-24,71.7663
2020-02-25,60.9344
2020-02-26,59.9155
2020-02-27,49.6381
2020-02-28,43.2465
2020-02-29,43.2465
2020-03-01,43.2465
2020-03-02,52.7536
2020-03-03,50.8734
2020-03-04,59.4028
2020-03-05,56.8339
2020-03-06,55.083
2020-03-07,55.083
2020-03-08,55.083
2020-03-09,48.6641
2020-03-10,49.3067
2020-03-11,44.2916
2020-03-12,34.9362
2020-03-13,41.4107
2020-03-14,41.4107
2020-03-15,41.4107
2020-03-16,35.1286
2020-03-17,44.1179
2020-03-18,40.0249
2020-03-19,37.7446
2020-03-20,34.544
2020-03-21,34.544
2020-03-22,34.544
2020-03-23,32.7103
2020-03-24,38.5466
2020-03-25,40.8639
2020-03-26,45.1808
2020-03-27,44.6603
2020-03-28,44.6603
2020-03-29,44.6603
2020-03-30,46.7359
2020-03-31,45.3477
2020-04-01,43.6278
2020-04-02,44.8183
2020-04-03,43.0758
2020-04-04,43.0758
2020-04-05,43.0758
2020-04-06,46.4201
2020-04-07,45.8132
2020-04-08,49.07
2020-04-09,51.7473
2020-04-10,51.7473
2020-04-11,51.7473
2020-04-12,51.7473
2020-04-13,50.0771
2020-04-14,51.7482
2020-04-15,50.1149
2020-04-16,50.1432
2020-04-17,51.5681
2020-04-18,51.5681
2020-04-19,51.5681
2020-04-20,49.5543
2020-04-21,48.862
2020-04-22,49.8855
2020-04-23,48.6887
2020-04-24,49.0438
2020-04-25,49.0438
2020-04-26,49.0438
2020-04-27,49.7133
2020-04-28,50.2744
2020-04-29,49.6235
2020-04-30,48.3479
2020-05-01,47.0646
2020-05-02,47.0646
2020-05-03,47.0646
2020-05-04,47.0582
2020-05-05,47.4351
2020-05-06,45.4214
2020-05-07,45.6081
2020-05-08,46.7623
2020-05-09,46.7623
2020-05-10,46.7623
2020-05-11,46.6786
2020-05-12,46.8589
2020-05-13,46.8673
2020-05-14,48.0386
2020-05-15,47.1577
2020-05-16,47.1577
2020-05-17,47.1577
2020-05-18,50.3244
2020-05-19,48.997
2020-05-20,49.0141
2020-05-21,48.2046
2020-05-22,49.004
2020-05-23,49.004
2020-05-24,49.004
2020-05-25,49.004
2020-05-26,48.6375
2020-05-27,49.4842
2020-05-28,51.4057
2020-05-29,51.2147
2020-05-30,51.2147
2020-05-31,51.2147
2020-06-01,52.8547
2020-06-02,53.0622
2020-06-03,54.4678
2020-06-04,53.6265
2020-06-05,54.5909
2020-06-06,54.5909
2020-06-07,54.5909
2020-06-08,56.736
2020-06-09,54.971
2020-06-10,54.8267
2020-06-11,51.4831
2020-06-12,51.1304
2020-06-13,51.1304
2020-06-14,51.1304
2020-06-15,51.3535
2020-06-16,51.3425
2020-06-17,50.5127
2020-06-18,50.0156
2020-06-19,46.1103
2020-06-20,46.1103
2020-06-21,46.1103
2020-06-22,46.6052
2020-06-23,45.8992
2020-06-24,44.4844
2020-06-25,43.4602
2020-06-26,42.9388
2020-06-27,42.9388
2020-06-28,42.9388
2020-06-29,44.6816
2020-06-30,44.2999
2020-07-01,46.9564
2020-07-02,46.8544
2020-07-03,46.8544
2020-07-04,46.8544
2020-07-05,46.8544
2020-07-06,44.5944
2020-07-07,45.9366
2020-07-08,46.7557
2020-07-09,44.8292
2020-07-10,46.9315
2020-07-11,46.9315
2020-07-12,46.9315
2020-07-13,47.0636
2020-07-14,47.429
2020-07-15,45.8994
2020-07-16,46.8009
2020-07-17,48.6408
2020-07-18,48.6408
2020-07-19,48.6408
2020-07-20,46.9973
2020-07-21,48.6941
2020-07-22,51.0908
2020-07-23,50.8746
2020-07-24,49.2579
2020-07-25,49.2579
2020-07-26,49.2579
2020-07-27,47.3137
2020-07-28,51.6685
2020-07-29,52.126
2020-07-30,51.5799
2020-07-31,51.8019
2020-08-01,51.8019
2020-08-02,51.8019
2020-08-03,50.4917
2020-08-04,51.6878
2020-08-05,50.0118
2020-08-06,50.9871
2020-08-07,54.1594
2020-08-08,54.1594
2020-08-09,54.1594
2020-08-10,51.5013
2020-08-11,50.0055
2020-08-12,50.8855
2020-08-13,50.0138
2020-08-14,49.1778
2020-08-15,49.1778
2020-08-16,49.1778
2020-08-17,49.8394
2020-08-18,48.4758
2020-08-19,48.4758
2020-08-20,47.5574
2020-08-21,47.4973
2020-08-22,47.4973
2020-08-23,47.4973
2020-08-24,48.2911
2020-08-25,47.3149
2020-08-26,45.3275
2020-08-27,45.3275
2020-08-28,45.6283
2020-08-29,45.6283
2020-08-30,45.6283
2020-08-31,46.8201
2020-09-01,44.9903
2020-09-02,49.1056
2020-09-03,48.5569
2020-09-04,48.2695
2020-09-05,48.2695
2020-09-06,48.2695
2020-09-07,48.2695
2020-09-08,47.8557
2020-09-09,51.2085
2020-09-10,50.1504
2020-09-11,51.9437
2020-09-12,51.9437
2020-09-13,51.9437
2020-09-14,54.1787
2020-09-15,54.2927
2020-09-16,54.939
2020-09-17,54.4489
2020-09-18,51.2004
2020-09-19,51.2004
2020-09-20,51.2004
2020-09-21,50.4828
2020-09-22,50.7085
2020-09-23,48.0468
2020-09-24,48.8156
2020-09-25,50.3738
2020-09-26,50.3738
2020-09-27,50.3738
2020-09-28,51.1431
2020-09-29,50.217
2020-09-30,60.1879
2020-10-01,62.0909
2020-10-02,63.9227
2020-10-03,63.9227
2020-10-04,63.9227
2020-10-05,64.1103
2020-10-06,62.0855
2020-10-07,62.7505
2020-10-08,64.969
2020-10-09,65.1432
2020-10-10,65.1432
2020-10-11,65.1432
2020-10-12,64.7216
2020-10-13,64.2912
2020-10-14,63.7145
2020-10-15,62.0784
2020-10-16,62.6513
2020-10-17,62.6513
2020-10-18,62.6513
2020-10-19,61.943
2020-10-20,61.9188
2020-10-21,62.5974
2020-10-22,64.5986
2020-10-23,61.8452
2020-10-24,61.8452
2020-10-25,61.8452
2020-10-26,62.442
2020-10-27,62.1404
2020-10-28,57.187
2020-10-29,59.2239
2020-10-30,58.9247
2020-10-31,58.9247
2020-11-01,58.9247
2020-11-02,61.5669
2020-11-03,63.9516
2020-11-04,59.524
2020-11-05,60.4865
2020-11-06,58.8025
2020-11-07,58.8025
2020-11-08,58.8025
2020-11-09,61.5828
2020-11-10,63.8249
2020-11-11,64.037
2020-11-12,59.5413
2020-11-13,60.5399
2020-11-14,60.5399
2020-11-15,60.5399
2020-11-16,60.5813
2020-11-17,56.3263
2020-11-18,53.7299
2020-11-19,53.9982
2020-11-20,55.3835
2020-11-21,55.3835
2020-11-22,55.3835
2020-11-23,56.5374
2020-11-24,60.6504
2020-11-25,60.4283
2020-11-26,60.4283
2020-11-27,57.3662
2020-11-28,57.3662
2020-11-29,57.3662
2020-11-30,53.8342
2020-12-01,54.726
2020-12-02,55.6276
2020-12-03,52.9116
2020-12-04,50.8827
2020-12-05,50.8827
2020-12-06,50.8827
2020-12-07,52.0245
2020-12-08,51.4064
2020-12-09,51.1966
2020-12-10,51.8236
2020-12-11,51.4173
2020-12-12,51.4173
2020-12-13,51.4173
2020-12-14,50.6517
2020-12-15,52.4042
2020-12-16,49.6143
2020-12-17,51.2433
2020-12-18,49.0787
2020-12-19,49.0787
2020-12-20,49.0787
2020-12-21,46.9911
2020-12-22,47.8007
2020-12-23,46.9553
2020-12-24,48.1744
2020-12-25,48.1744
2020-12-26,48.1744
2020-12-27,48.1744
2020-12-28,49.2844
2020-12-29,48.5609
2020-12-30,49.9258
2020-12-31,51.8152
2021-01-01,51.8152
2021-01-02,51.8152
2021-01-03,51.8152
2021-01-04,48.3255
2021-01-05,48.4032
2021-01-06,50.631
2021-01-07,48.7176
2021-01-08,49.0302
2021-01-09,49.0302
2021-01-10,49.0302
2021-01-11,47.6045
2021-01-12,46.9357
2021-01-13,52.0289
2021-01-14,52.2094
2021-01-15,53.0317
2021-01-16,53.0317
2021-01-17,53.0317
2021-01-18,53.0317
2021-01-19,49.6349
2021-01-20,50.3949
2021-01-21,49.242
2021-01-22,49.4612
2021-01-23,49.4612
2021-01-24,49.4612
2021-01-25,54.3235
2021-01-26,54.3408
2021-01-27,51.8751
2021-01-28,51.4164
2021-01-29,55.8425
2021-01-30,55.8425
2021-01-31,55.8425
2021-02-01,54.1416
2021-02-02,54.0201
2021-02-03,54.5306
2021-02-04,56.1961
2021-02-05,56.8602
2021-02-06,56.8602
2021-02-07,56.8602
2021-02-08,54.3678
2021-02-09,53.7689
2021-02-10,54.473
2021-02-11,49.6576
2021-02-12,48.5079
2021-02-13,48.5079
2021-02-14,48.5079
2021-02-15,48.5079
2021-02-16,45.8711
2021-02-17,47.5506
2021-02-18,48.2195
2021-02-19,46.1884
2021-02-20,46.1884
2021-02-21,46.1884
2021-02-22,46.0425
2021-02-23,47.5216
2021-02-24,44.4182
2021-02-25,44.0332
2021-02-26,41.4487
2021-02-27,41.4487
2021-02-28,41.4487
2021-03-01,44.6346
2021-03-02,45.0611
2021-03-03,45.1267
2021-03-04,43.6703
2021-03-05,48.0987
2021-03-06,48.0987
2021-03-07,48.0987
2021-03-08,51.3302
2021-03-09,52.6477
2021-03-10,52.3265
2021-03-11,52.121
2021-03-12,53.4637
2021-03-13,53.4637
2021-03-14,53.4637
2021-03-15,55.1674
2021-03-16,56.3928
2021-03-17,53.8129
2021-03-18,54.6925
2021-03-19,55.4064
2021-03-20,55.4064
2021-03-21,55.4064
2021-03-22,56.1397
2021-03-23,57.7564
2021-03-24,58.4084
2021-03-25,60.3586
2021-03-26,60.8583
2021-03-27,60.8583
2021-03-28,60.8583
2021-03-29,63.6248
2021-03-30,60.2515
2021-03-31,60.7178
2021-04-01,60.0891
2021-04-02,60.0891
2021-04-03,60.0891
2021-04-04,60.0891
2021-04-05,61.1704
2021-04-06,62.2131
2021-04-07,62.6188
2021-04-08,62.0674
2021-04-09,61.842
2021-04-10,61.842
2021-04-11,61.842
2021-04-12,62.0203
2021-04-13,63.5362
2021-04-14,64.0369
2021-04-15,65.6521
2021-04-16,67.1163
2021-04-17,67.1163
2021-04-18,67.1163
2021-04-19,65.6376
2021-04-20,67.5421
2021-04-21,66.5333
2021-04-22,63.4394
2021-04-23,62.752
2021-04-24,62.752
2021-04-25,62.752
2021-04-26,60.8251
2021-04-27,59.1205
2021-04-28,59.0045
2021-04-29,60.9462
2021-04-30,63.052
2021-05-01,63.052
2021-05-02,63.052
2021-05-03,63.0882
2021-05-04,63.2184
2021-05-05,58.8613
2021-05-06,61.1623
2021-05-07,61.7623
2021-05-08,61.7623
2021-05-09,61.7623
2021-05-10,66.5706
2021-05-11,66.2415
2021-05-12,59.5669
2021-05-13,63.8948
2021-05-14,63.982
2021-05-15,63.982
2021-05-16,63.982
2021-05-17,62.3975
2021-05-18,62.4606
2021-05-19,59.054
2021-05-20,60.8954
2021-05-21,61.839
2021-05-22,61.839
2021-05-23,61.839
2021-05-24,60.4327
2021-05-25,57.9538
2021-05-26,57.4661
2021-05-27,54.8404
2021-05-28,55.2443
2021-05-29,55.2443
2021-05-30,55.2443
2021-05-31,55.2443
2021-06-01,54.9056
2021-06-02,56.0987
2021-06-03,57.9956
2021-06-04,57.5024
2021-06-05,57.5024
2021-06-06,57.5024
2021-06-07,58.2373
2021-06-08,54.9517
2021-06-09,56.5491
2021-06-10,57.1775
2021-06-11,57.6134
2021-06-12,57.6134
2021-06-13,57.6134
2021-06-14,58.7968
2021-06-15,60.1213
2021-06-16,56.2957
2021-06-17,57.5059
2021-06-18,50.8025
2021-06-19,50.8025
2021-06-20,50.8025
2021-06-21,54.1476
2021-06-22,52.1828
2021-06-23,49.7803
2021-06-24,49.4582
2021-06-25,50.7963
2021-06-26,50.7963
2021-06-27,50.7963
2021-06-28,51.3903
2021-06-29,47.5226
2021-06-30,48.7883
2021-07-01,50.497
2021-07-02,50.4132
2021-07-03,50.4132
2021-07-04,50.4132
2021-07-05,50.4132
2021-07-06,51.0854
2021-07-07,52.2163
2021-07-08,52.615
2021-07-09,52.8293
2021-07-10,52.8293
2021-07-11,52.8293
2021-07-12,54.6744
2021-07-13,54.6744
2021-07-14,57.0898
2021-07-15,59.4586
2021-07-16,60.9338
2021-07-17,60.9338
2021-07-18,60.9338
2021-07-19,58.5936
2021-07-20,58.195
2021-07-21,56.6533
2021-07-22,56.018
2021-07-23,59.0833
2021-07-24,59.0833
2021-07-25,59.0833
2021-07-26,59.2916
2021-07-27,62.4882
2021-07-28,60.5271
2021-07-29,60.5811
2021-07-30,58.9926
2021-07-31,58.9926
2021-08-01,58.9926
2021-08-02,60.9972
2021-08-03,61.7494
2021-08-04,61.9662
2021-08-05,64.0728
2021-08-06,61.2366
2021-08-07,61.2366
2021-08-08,61.2366
2021-08-09,58.9813
2021-08-10,60.379
2021-08-11,60.8209
2021-08-12,59.479
2021-08-13,60.0864
2021-08-14,60.0864
2021-08-15,60.0864
2021-08-16,63.4002
2021-08-17,63.1007
2021-08-18,61.1296
2021-08-19,60.625
2021-08-20,61.2671
2021-08-21,61.2671
2021-08-22,61.2671
2021-08-23,57.23
2021-08-24,55.3703
2021-08-25,55.872
2021-08-26,54.4137
2021-08-27,53.9192
2021-08-28,53.9192
2021-08-29,53.9192
2021-08-30,54.2062
2021-08-31,53.8305
2021-09-01,57.2713
2021-09-02,58.4345
2021-09-03,55.5702
2021-09-04,55.5702
2021-09-05,55.5702
2021-09-06,55.5702
2021-09-07,49.1927
2021-09-08,53.894
2021-09-09,52.2276
2021-09-10,49.0872
2021-09-11,49.0872
2021-09-12,49.0872
2021-09-13,48.097
2021-09-14,45.8186
2021-09-15,46.7963
2021-09-16,45.5413
2021-09-17,42.2516
2021-09-18,42.2516
2021-09-19,42.2516
2021-09-20,42.1973
2021-09-21,40.891
2021-09-22,40.2113
2021-09-23,39.9582
2021-09-24,40.1253
2021-09-25,40.1253
2021-09-26,40.1253
2021-09-27,38.5885
2021-09-28,37.5488
2021-09-29,41.1941
2021-09-30,39.797
2021-10-01,42.1513
2021-10-02,42.1513
2021-10-03,42.1513
2021-10-04,47.7405
2021-10-05,46.5471
2021-10-06,50.2132
2021-10-07,48.3942
2021-10-08,47.5336
2021-10-09,47.5336
2021-10-10,47.5336
2021-10-11,45.9225
2021-10-12,46.1756
2021-10-13,48.1832
2021-10-14,50.2552
2021-10-15,47.5628
2021-10-16,47.5628
2021-10-17,47.5628
2021-10-18,46.5896
2021-10-19,49.3675
2021-10-20,51.6219
2021-10-21,53.1331
2021-10-22,54.6185
2021-10-23,54.6185
2021-10-24,54.6185
2021-10-25,52.5424
2021-10-26,53.4193
2021-10-27,52.2431
2021-10-28,51.6439
2021-10-29,50.5771
2021-10-30,50.5771
2021-10-31,50.5771
2021-11-01,51.2285
2021-11-02,51.5369
2021-11-03,51.7398
2021-11-04,48.2128
2021-11-05,49.7514
2021-11-06,49.7514
2021-11-07,49.7514
2021-11-08,49.1562
2021-11-09,50.4303
2021-11-10,51.9332
2021-11-11,48.6897
2021-11-12,47.8547
2021-11-13,47.8547
2021-11-14,47.8547
2021-11-15,49.5949
2021-11-16,46.226
2021-11-17,46.0344
2021-11-18,44.7141
2021-11-19,44.846
2021-11-20,44.846
2021-11-21,44.846
2021-11-22,49.4177
2021-11-23,50.553
2021-11-24,49.2462
2021-11-25,49.2462
2021-11-26,47.217
2021-11-27,47.217
