,EQH US Equity
,RSI_30D
2020-01-01,61.4433
2020-01-02,62.0713
2020-01-03,57.7718
2020-01-04,57.7718
2020-01-05,57.7718
2020-01-06,58.1116
2020-01-07,60.9807
2020-01-08,63.3796
2020-01-09,64.9709
2020-01-10,64.8876
2020-01-11,64.8876
2020-01-12,64.8876
2020-01-13,66.4033
2020-01-14,65.9701
2020-01-15,62.4306
2020-01-16,64.3616
2020-01-17,64.4077
2020-01-18,64.4077
2020-01-19,64.4077
2020-01-20,64.4077
2020-01-21,60.6687
2020-01-22,60.72
2020-01-23,59.5946
2020-01-24,55.7042
2020-01-25,55.7042
2020-01-26,55.7042
2020-01-27,51.415
2020-01-28,52.9613
2020-01-29,54.2926
2020-01-30,53.1426
2020-01-31,49.0345
2020-02-01,49.0345
2020-02-02,49.0345
2020-02-03,50.3181
2020-02-04,53.5994
2020-02-05,57.8441
2020-02-06,58.0802
2020-02-07,57.9459
2020-02-08,57.9459
2020-02-09,57.9459
2020-02-10,59.7742
2020-02-11,63.4511
2020-02-12,63.8532
2020-02-13,63.8532
2020-02-14,63.0368
2020-02-15,63.0368
2020-02-16,63.0368
2020-02-17,63.0368
2020-02-18,61.7013
2020-02-19,62.9203
2020-02-20,63.6733
2020-02-21,60.3188
2020-02-22,60.3188
2020-02-23,60.3188
2020-02-24,51.0455
2020-02-25,45.4121
2020-02-26,41.9341
2020-02-27,36.111
2020-02-28,35.9617
2020-02-29,35.9617
2020-03-01,35.9617
2020-03-02,38.4369
2020-03-03,35.6469
2020-03-04,38.7941
2020-03-05,34.773
2020-03-06,31.8354
2020-03-07,31.8354
2020-03-08,31.8354
2020-03-09,25.6705
2020-03-10,33.9326
2020-03-11,31.102
2020-03-12,28.6177
2020-03-13,35.0398
2020-03-14,35.0398
2020-03-15,35.0398
2020-03-16,30.8917
2020-03-17,30.5307
2020-03-18,28.7086
2020-03-19,28.4221
2020-03-20,27.6722
2020-03-21,27.6722
2020-03-22,27.6722
2020-03-23,27.4228
2020-03-24,35.9558
2020-03-25,40.4242
2020-03-26,41.6311
2020-03-27,40.1544
2020-03-28,40.1544
2020-03-29,40.1544
2020-03-30,41.5158
2020-03-31,39.9081
2020-04-01,38.2543
2020-04-02,38.327
2020-04-03,37.7593
2020-04-04,37.7593
2020-04-05,37.7593
2020-04-06,40.7997
2020-04-07,41.0878
2020-04-08,43.8667
2020-04-09,46.2026
2020-04-10,46.2026
2020-04-11,46.2026
2020-04-12,46.2026
2020-04-13,45.22
2020-04-14,45.6486
2020-04-15,43.3756
2020-04-16,42.295
2020-04-17,45.3429
2020-04-18,45.3429
2020-04-19,45.3429
2020-04-20,44.5681
2020-04-21,43.2926
2020-04-22,44.991
2020-04-23,44.9338
2020-04-24,46.5054
2020-04-25,46.5054
2020-04-26,46.5054
2020-04-27,47.4775
2020-04-28,51.008
2020-04-29,52.8998
2020-04-30,51.4845
2020-05-01,49.3912
2020-05-02,49.3912
2020-05-03,49.3912
2020-05-04,48.7634
2020-05-05,48.0888
2020-05-06,47.4104
2020-05-07,49.8355
2020-05-08,50.7008
2020-05-09,50.7008
2020-05-10,50.7008
2020-05-11,49.1274
2020-05-12,47.5359
2020-05-13,45.5495
2020-05-14,47.646
2020-05-15,47.999
2020-05-16,47.999
2020-05-17,47.999
2020-05-18,51.7675
2020-05-19,49.6622
2020-05-20,50.6885
2020-05-21,51.3652
2020-05-22,50.6463
2020-05-23,50.6463
2020-05-24,50.6463
2020-05-25,50.6463
2020-05-26,53.9979
2020-05-27,55.6747
2020-05-28,54.5724
2020-05-29,53.6607
2020-05-30,53.6607
2020-05-31,53.6607
2020-06-01,54.3221
2020-06-02,54.9232
2020-06-03,57.5446
2020-06-04,59.1694
2020-06-05,59.8877
2020-06-06,59.8877
2020-06-07,59.8877
2020-06-08,61.4746
2020-06-09,58.8693
2020-06-10,57.5136
2020-06-11,51.945
2020-06-12,54.4397
2020-06-13,54.4397
2020-06-14,54.4397
2020-06-15,54.7361
2020-06-16,55.3175
2020-06-17,53.1968
2020-06-18,52.8116
2020-06-19,52.0081
2020-06-20,52.0081
2020-06-21,52.0081
2020-06-22,51.7367
2020-06-23,52.0427
2020-06-24,49.8063
2020-06-25,52.0801
2020-06-26,50.1743
2020-06-27,50.1743
2020-06-28,50.1743
2020-06-29,50.2233
2020-06-30,50.9215
2020-07-01,49.8115
2020-07-02,50.2291
2020-07-03,50.2291
2020-07-04,50.2291
2020-07-05,50.2291
2020-07-06,51.2776
2020-07-07,49.8385
2020-07-08,50.6761
2020-07-09,47.8498
2020-07-10,50.7198
2020-07-11,50.7198
2020-07-12,50.7198
2020-07-13,51.494
2020-07-14,51.7814
2020-07-15,54.2294
2020-07-16,53.905
2020-07-17,53.3646
2020-07-18,53.3646
2020-07-19,53.3646
2020-07-20,52.4283
2020-07-21,52.9244
2020-07-22,53.4821
2020-07-23,54.1285
2020-07-24,53.1649
2020-07-25,53.1649
2020-07-26,53.1649
2020-07-27,53.0974
2020-07-28,52.2742
2020-07-29,54.261
2020-07-30,52.724
2020-07-31,53.376
2020-08-01,53.376
2020-08-02,53.376
2020-08-03,54.4892
2020-08-04,54.2658
2020-08-05,55.1844
2020-08-06,53.4979
2020-08-07,56.1449
2020-08-08,56.1449
2020-08-09,56.1449
2020-08-10,57.0849
2020-08-11,57.6603
2020-08-12,56.6674
2020-08-13,57.2074
2020-08-14,57.4974
2020-08-15,57.4974
2020-08-16,57.4974
2020-08-17,55.9288
2020-08-18,54.146
2020-08-19,53.9765
2020-08-20,53.3288
2020-08-21,52.5461
2020-08-22,52.5461
2020-08-23,52.5461
2020-08-24,55.8251
2020-08-25,55.4647
2020-08-26,54.1535
2020-08-27,55.2111
2020-08-28,55.8507
2020-08-29,55.8507
2020-08-30,55.8507
2020-08-31,53.884
2020-09-01,53.4666
2020-09-02,55.3356
2020-09-03,53.1733
2020-09-04,52.5271
2020-09-05,52.5271
2020-09-06,52.5271
2020-09-07,52.5271
2020-09-08,47.9618
2020-09-09,48.356
2020-09-10,45.503
2020-09-11,47.0297
2020-09-12,47.0297
2020-09-13,47.0297
2020-09-14,48.0482
2020-09-15,44.7581
2020-09-16,45.0785
2020-09-17,45.2194
2020-09-18,45.1794
2020-09-19,45.1794
2020-09-20,45.1794
2020-09-21,39.8921
2020-09-22,41.4086
2020-09-23,41.0286
2020-09-24,41.4831
2020-09-25,41.4464
2020-09-26,41.4464
2020-09-27,41.4464
2020-09-28,44.9257
2020-09-29,43.8705
2020-09-30,43.4792
2020-10-01,45.3451
2020-10-02,46.0423
2020-10-03,46.0423
2020-10-04,46.0423
2020-10-05,49.2925
2020-10-06,48.9338
2020-10-07,52.5922
2020-10-08,56.4134
2020-10-09,54.8573
2020-10-10,54.8573
2020-10-11,54.8573
2020-10-12,56.6923
2020-10-13,53.523
2020-10-14,52.1675
2020-10-15,53.2732
2020-10-16,51.8561
2020-10-17,51.8561
2020-10-18,51.8561
2020-10-19,50.257
2020-10-20,50.5554
2020-10-21,49.9356
2020-10-22,52.0218
2020-10-23,53.2396
2020-10-24,53.2396
2020-10-25,53.2396
2020-10-26,49.0637
2020-10-27,44.633
2020-10-28,51.2468
2020-10-29,54.7617
2020-10-30,55.6129
2020-10-31,55.6129
2020-11-01,55.6129
2020-11-02,57.0078
2020-11-03,58.4485
2020-11-04,57.6984
2020-11-05,59.8877
2020-11-06,58.2853
2020-11-07,58.2853
2020-11-08,58.2853
2020-11-09,62.5908
2020-11-10,63.8843
2020-11-11,63.2863
2020-11-12,61.5826
2020-11-13,62.7245
2020-11-14,62.7245
2020-11-15,62.7245
2020-11-16,62.637
2020-11-17,61.5265
2020-11-18,62.355
2020-11-19,62.5773
2020-11-20,63.1161
2020-11-21,63.1161
2020-11-22,63.1161
2020-11-23,64.0188
2020-11-24,67.7444
2020-11-25,67.0557
