,ETR US Equity
,RSI_30D
2020-01-01,53.8902
2020-01-02,49.8522
2020-01-03,51.4618
2020-01-04,51.4618
2020-01-05,51.4618
2020-01-06,52.2934
2020-01-07,52.2493
2020-01-08,51.8647
2020-01-09,54.5132
2020-01-10,55.1998
2020-01-11,55.1998
2020-01-12,55.1998
2020-01-13,56.9475
2020-01-14,57.0618
2020-01-15,60.9238
2020-01-16,62.8597
2020-01-17,64.8825
2020-01-18,64.8825
2020-01-19,64.8825
2020-01-20,64.8825
2020-01-21,66.3464
2020-01-22,67.0634
2020-01-23,69.662
2020-01-24,70.5715
2020-01-25,70.5715
2020-01-26,70.5715
2020-01-27,67.409
2020-01-28,67.9628
2020-01-29,68.6639
2020-01-30,70.079
2020-01-31,69.5238
2020-02-01,69.5238
2020-02-02,69.5238
2020-02-03,70.3382
2020-02-04,65.9058
2020-02-05,65.9058
2020-02-06,67.0641
2020-02-07,67.7703
2020-02-08,67.7703
2020-02-09,67.7703
2020-02-10,69.0027
2020-02-11,69.0027
2020-02-12,67.8257
2020-02-13,70.0455
2020-02-14,71.1368
2020-02-15,71.1368
2020-02-16,71.1368
2020-02-17,71.1368
2020-02-18,71.91
2020-02-19,67.0771
2020-02-20,62.8375
2020-02-21,59.314
2020-02-22,59.314
2020-02-23,59.314
2020-02-24,58.8103
2020-02-25,51.7076
2020-02-26,50.5151
2020-02-27,42.8814
2020-02-28,38.1038
2020-02-29,38.1038
2020-03-01,38.1038
2020-03-02,48.9989
2020-03-03,46.3864
2020-03-04,53.7824
2020-03-05,52.7355
2020-03-06,49.2328
2020-03-07,49.2328
2020-03-08,49.2328
2020-03-09,41.3071
2020-03-10,45.2978
2020-03-11,39.7808
2020-03-12,34.1777
2020-03-13,35.3944
2020-03-14,35.3944
2020-03-15,35.3944
2020-03-16,28.5438
2020-03-17,38.3621
2020-03-18,33.4811
2020-03-19,32.7119
2020-03-20,31.427
2020-03-21,31.427
2020-03-22,31.427
2020-03-23,30.8678
2020-03-24,36.159
2020-03-25,37.7495
2020-03-26,42.1435
2020-03-27,42.4849
2020-03-28,42.4849
2020-03-29,42.4849
2020-03-30,43.9671
2020-03-31,41.4953
2020-04-01,38.422
2020-04-02,39.8609
2020-04-03,38.1637
2020-04-04,38.1637
2020-04-05,38.1637
2020-04-06,43.1604
2020-04-07,43.4796
2020-04-08,46.7496
2020-04-09,47.8357
2020-04-10,47.8357
2020-04-11,47.8357
2020-04-12,47.8357
2020-04-13,45.8057
2020-04-14,47.0875
2020-04-15,45.7342
2020-04-16,45.6734
2020-04-17,47.6462
2020-04-18,47.6462
2020-04-19,47.6462
2020-04-20,45.6357
2020-04-21,44.9077
2020-04-22,47.2517
2020-04-23,46.1929
2020-04-24,46.4698
2020-04-25,46.4698
2020-04-26,46.4698
