,FDS US Equity
,RSI_30D
2020-01-01,58.0551
2020-01-02,58.3577
2020-01-03,58.297
2020-01-04,58.297
2020-01-05,58.297
2020-01-06,56.7598
2020-01-07,56.6269
2020-01-08,58.231
2020-01-09,57.9083
2020-01-10,53.8829
2020-01-11,53.8829
2020-01-12,53.8829
2020-01-13,55.6057
2020-01-14,56.5526
2020-01-15,59.0793
2020-01-16,62.3947
2020-01-17,61.6849
2020-01-18,61.6849
2020-01-19,61.6849
2020-01-20,61.6849
2020-01-21,62.3982
2020-01-22,63.9661
2020-01-23,64.5119
2020-01-24,60.635
2020-01-25,60.635
2020-01-26,60.635
2020-01-27,58.2971
2020-01-28,61.121
2020-01-29,66.3056
2020-01-30,67.7016
2020-01-31,63.5629
2020-02-01,63.5629
2020-02-02,63.5629
2020-02-03,65.4995
2020-02-04,67.8261
2020-02-05,63.5087
2020-02-06,63.3489
2020-02-07,60.4426
2020-02-08,60.4426
2020-02-09,60.4426
2020-02-10,62.3079
2020-02-11,63.3958
2020-02-12,63.8604
2020-02-13,65.5427
2020-02-14,66.7578
2020-02-15,66.7578
2020-02-16,66.7578
2020-02-17,66.7578
2020-02-18,68.2086
2020-02-19,70.4627
2020-02-20,65.4291
2020-02-21,63.0566
2020-02-22,63.0566
2020-02-23,63.0566
2020-02-24,59.7391
2020-02-25,55.1048
2020-02-26,56.0422
2020-02-27,49.845
2020-02-28,43.9471
2020-02-29,43.9471
2020-03-01,43.9471
2020-03-02,51.2274
2020-03-03,50.16
2020-03-04,56.0375
2020-03-05,53.845
2020-03-06,49.9059
2020-03-07,49.9059
2020-03-08,49.9059
2020-03-09,44.0326
2020-03-10,47.2967
2020-03-11,42.6842
2020-03-12,37.4979
2020-03-13,43.9355
2020-03-14,43.9355
2020-03-15,43.9355
2020-03-16,38.3337
2020-03-17,44.0013
2020-03-18,39.0785
2020-03-19,42.8538
2020-03-20,40.053
2020-03-21,40.053
2020-03-22,40.053
2020-03-23,38.0289
2020-03-24,43.8851
2020-03-25,44.164
2020-03-26,48.9239
2020-03-27,48.4337
2020-03-28,48.4337
2020-03-29,48.4337
2020-03-30,50.8234
2020-03-31,49.5105
2020-04-01,48.607
2020-04-02,49.8538
2020-04-03,48.2096
2020-04-04,48.2096
2020-04-05,48.2096
2020-04-06,50.7293
2020-04-07,50.8996
2020-04-08,51.4693
2020-04-09,52.9517
2020-04-10,52.9517
2020-04-11,52.9517
2020-04-12,52.9517
2020-04-13,51.4625
2020-04-14,52.8293
2020-04-15,52.4205
2020-04-16,53.4089
2020-04-17,53.1225
2020-04-18,53.1225
2020-04-19,53.1225
2020-04-20,52.1648
2020-04-21,50.0112
2020-04-22,51.217
2020-04-23,51.4169
2020-04-24,51.6368
2020-04-25,51.6368
2020-04-26,51.6368
2020-04-27,54.0451
2020-04-28,51.569
2020-04-29,53.2537
2020-04-30,51.3563
2020-05-01,50.141
2020-05-02,50.141
2020-05-03,50.141
2020-05-04,50.053
2020-05-05,50.8757
2020-05-06,49.4042
2020-05-07,51.5334
2020-05-08,51.609
2020-05-09,51.609
2020-05-10,51.609
2020-05-11,53.7101
2020-05-12,52.6319
2020-05-13,52.0886
2020-05-14,52.091
2020-05-15,52.56
2020-05-16,52.56
2020-05-17,52.56
2020-05-18,54.9461
2020-05-19,53.8821
2020-05-20,54.6963
2020-05-21,54.5535
2020-05-22,54.2402
2020-05-23,54.2402
2020-05-24,54.2402
2020-05-25,54.2402
2020-05-26,55.7681
2020-05-27,57.0072
2020-05-28,57.722
2020-05-29,58.7806
2020-05-30,58.7806
2020-05-31,58.7806
2020-06-01,58.4383
2020-06-02,57.9182
2020-06-03,59.937
2020-06-04,59.192
2020-06-05,60.5898
2020-06-06,60.5898
2020-06-07,60.5898
2020-06-08,59.7638
2020-06-09,56.3244
2020-06-10,56.5847
2020-06-11,49.8506
2020-06-12,50.6297
2020-06-13,50.6297
2020-06-14,50.6297
2020-06-15,52.7126
2020-06-16,53.118
2020-06-17,54.1917
2020-06-18,54.5506
2020-06-19,55.1492
2020-06-20,55.1492
2020-06-21,55.1492
2020-06-22,56.6331
2020-06-23,55.6258
2020-06-24,52.6307
2020-06-25,62.9404
2020-06-26,58.9511
2020-06-27,58.9511
2020-06-28,58.9511
2020-06-29,58.4266
2020-06-30,58.7692
