,GBCI US Equity
,RSI_30D
2020-01-01,62.8588
2020-01-02,61.804
2020-01-03,61.4706
2020-01-04,61.4706
2020-01-05,61.4706
2020-01-06,57.176
2020-01-07,53.4835
2020-01-08,55.0779
2020-01-09,55.1714
2020-01-10,53.334
2020-01-11,53.334
2020-01-12,53.334
2020-01-13,55.853
2020-01-14,56.6298
2020-01-15,53.643
2020-01-16,56.8992
2020-01-17,56.8992
2020-01-18,56.8992
2020-01-19,56.8992
2020-01-20,56.8992
2020-01-21,52.0121
2020-01-22,52.0594
2020-01-23,52.8295
2020-01-24,50.3709
2020-01-25,50.3709
2020-01-26,50.3709
2020-01-27,47.6845
2020-01-28,46.9312
2020-01-29,44.0096
2020-01-30,47.2499
2020-01-31,43.472
2020-02-01,43.472
2020-02-02,43.472
2020-02-03,47.4335
2020-02-04,49.4018
2020-02-05,53.6458
2020-02-06,51.7462
2020-02-07,49.2453
2020-02-08,49.2453
2020-02-09,49.2453
2020-02-10,49.8007
2020-02-11,50.4038
2020-02-12,51.1161
2020-02-13,52.6071
2020-02-14,51.2593
2020-02-15,51.2593
2020-02-16,51.2593
2020-02-17,51.2593
2020-02-18,48.8017
2020-02-19,48.1317
2020-02-20,50.7547
2020-02-21,47.4066
2020-02-22,47.4066
2020-02-23,47.4066
2020-02-24,44.3083
2020-02-25,39.8308
2020-02-26,38.6879
2020-02-27,34.0717
2020-02-28,30.8228
2020-02-29,30.8228
2020-03-01,30.8228
2020-03-02,39.2238
2020-03-03,37.2258
2020-03-04,40.3352
2020-03-05,35.6111
2020-03-06,34.7791
2020-03-07,34.7791
2020-03-08,34.7791
2020-03-09,27.9272
2020-03-10,33.4994
2020-03-11,30.4778
2020-03-12,25.6931
2020-03-13,36.5229
2020-03-14,36.5229
2020-03-15,36.5229
2020-03-16,33.6179
2020-03-17,38.9568
2020-03-18,36.0282
2020-03-19,38.9839
2020-03-20,37.1781
2020-03-21,37.1781
2020-03-22,37.1781
2020-03-23,37.4809
2020-03-24,42.8496
2020-03-25,42.252
2020-03-26,45.882
2020-03-27,44.0135
2020-03-28,44.0135
2020-03-29,44.0135
2020-03-30,45.0045
2020-03-31,45.3225
2020-04-01,44.0937
2020-04-02,45.6392
2020-04-03,44.337
2020-04-04,44.337
2020-04-05,44.337
2020-04-06,45.754
2020-04-07,45.1594
2020-04-08,46.1868
2020-04-09,50.1844
2020-04-10,50.1844
2020-04-11,50.1844
2020-04-12,50.1844
2020-04-13,47.7149
2020-04-14,47.3376
2020-04-15,44.5295
2020-04-16,43.2631
2020-04-17,46.1798
2020-04-18,46.1798
2020-04-19,46.1798
2020-04-20,46.0865
2020-04-21,45.6922
2020-04-22,44.9332
2020-04-23,45.6156
2020-04-24,46.3187
2020-04-25,46.3187
2020-04-26,46.3187
2020-04-27,52.1957
2020-04-28,51.7749
2020-04-29,54.4811
2020-04-30,53.0188
2020-05-01,52.5189
2020-05-02,52.5189
2020-05-03,52.5189
2020-05-04,52.5189
2020-05-05,52.6648
2020-05-06,51.4743
2020-05-07,51.9379
2020-05-08,54.0832
2020-05-09,54.0832
2020-05-10,54.0832
2020-05-11,52.7103
2020-05-12,49.6855
2020-05-13,48.6104
2020-05-14,48.354
2020-05-15,49.4569
2020-05-16,49.4569
2020-05-17,49.4569
2020-05-18,54.257
2020-05-19,51.5191
2020-05-20,54.0967
2020-05-21,53.5784
2020-05-22,53.6702
2020-05-23,53.6702
2020-05-24,53.6702
2020-05-25,53.6702
2020-05-26,55.7282
2020-05-27,59.6892
2020-05-28,56.0717
2020-05-29,55.3541
2020-05-30,55.3541
2020-05-31,55.3541
2020-06-01,55.4984
2020-06-02,55.2521
2020-06-03,56.8372
2020-06-04,57.6852
2020-06-05,60.7506
2020-06-06,60.7506
2020-06-07,60.7506
2020-06-08,60.3137
2020-06-09,58.2633
2020-06-10,54.3328
2020-06-11,50.1166
2020-06-12,50.8284
2020-06-13,50.8284
2020-06-14,50.8284
2020-06-15,48.1899
2020-06-16,51.1476
2020-06-17,47.7227
2020-06-18,48.4572
2020-06-19,45.9925
2020-06-20,45.9925
2020-06-21,45.9925
2020-06-22,46.5037
2020-06-23,45.8565
2020-06-24,44.7082
2020-06-25,45.8002
2020-06-26,44.0583
2020-06-27,44.0583
2020-06-28,44.0583
2020-06-29,45.8734
2020-06-30,46.829
2020-07-01,45.2491
2020-07-02,45.6141
2020-07-03,45.6141
2020-07-04,45.6141
2020-07-05,45.6141
2020-07-06,45.7199
2020-07-07,44.2455
2020-07-08,43.6307
2020-07-09,42.5327
2020-07-10,44.6294
2020-07-11,44.6294
2020-07-12,44.6294
2020-07-13,45.211
2020-07-14,44.9128
2020-07-15,47.5795
2020-07-16,47.8977
2020-07-17,47.6434
2020-07-18,47.6434
2020-07-19,47.6434
2020-07-20,46.5898
2020-07-21,49.1807
2020-07-22,48.2799
2020-07-23,50.4955
2020-07-24,50.2517
2020-07-25,50.2517
2020-07-26,50.2517
2020-07-27,49.0591
2020-07-28,47.9622
2020-07-29,49.674
2020-07-30,49.1058
2020-07-31,49.0717
2020-08-01,49.0717
2020-08-02,49.0717
2020-08-03,49.0364
2020-08-04,48.9636
2020-08-05,50.7056
2020-08-06,50.2428
2020-08-07,51.9353
2020-08-08,51.9353
2020-08-09,51.9353
2020-08-10,51.9636
2020-08-11,53.0513
2020-08-12,53.1091
2020-08-13,51.4489
2020-08-14,51.8382
2020-08-15,51.8382
2020-08-16,51.8382
2020-08-17,51.3006
2020-08-18,49.3589
2020-08-19,49.4489
2020-08-20,47.8228
2020-08-21,47.4304
2020-08-22,47.4304
2020-08-23,47.4304
2020-08-24,49.571
2020-08-25,49.9225
2020-08-26,48.0734
2020-08-27,49.6646
2020-08-28,49.3918
2020-08-29,49.3918
2020-08-30,49.3918
2020-08-31,48.0157
2020-09-01,48.641
2020-09-02,49.1574
2020-09-03,48.8525
2020-09-04,50.8498
2020-09-05,50.8498
2020-09-06,50.8498
2020-09-07,50.8498
2020-09-08,46.8413
2020-09-09,46.3019
2020-09-10,44.9741
2020-09-11,45.7923
2020-09-12,45.7923
2020-09-13,45.7923
2020-09-14,47.8395
2020-09-15,46.3706
2020-09-16,46.0294
2020-09-17,45.2666
2020-09-18,43.6959
2020-09-19,43.6959
2020-09-20,43.6959
2020-09-21,39.845
2020-09-22,38.8335
2020-09-23,37.6855
2020-09-24,38.5282
2020-09-25,41.0956
2020-09-26,41.0956
2020-09-27,41.0956
2020-09-28,44.3321
2020-09-29,43.6941
2020-09-30,43.486
2020-10-01,43.8854
2020-10-02,48.0074
2020-10-03,48.0074
2020-10-04,48.0074
2020-10-05,51.1162
2020-10-06,51.6484
2020-10-07,52.7136
2020-10-08,54.2046
2020-10-09,53.6167
2020-10-10,53.6167
2020-10-11,53.6167
2020-10-12,55.2
2020-10-13,51.051
2020-10-14,48.6508
2020-10-15,51.5212
2020-10-16,51.8938
2020-10-17,51.8938
2020-10-18,51.8938
2020-10-19,50.8957
2020-10-20,51.1583
2020-10-21,52.4732
2020-10-22,54.0596
2020-10-23,57.0498
2020-10-24,57.0498
2020-10-25,57.0498
2020-10-26,56.8355
2020-10-27,53.9598
2020-10-28,52.4443
2020-10-29,53.0364
2020-10-30,53.0364
2020-10-31,53.0364
2020-11-01,53.0364
2020-11-02,55.5352
2020-11-03,59.718
2020-11-04,55.443
2020-11-05,56.444
2020-11-06,56.0676
2020-11-07,56.0676
2020-11-08,56.0676
2020-11-09,65.3968
2020-11-10,67.2519
2020-11-11,64.3896
2020-11-12,61.0125
2020-11-13,62.1029
2020-11-14,62.1029
2020-11-15,62.1029
2020-11-16,64.8892
2020-11-17,65.5175
2020-11-18,61.2759
2020-11-19,61.3511
2020-11-20,58.98
2020-11-21,58.98
2020-11-22,58.98
2020-11-23,58.5353
2020-11-24,61.403
2020-11-25,61.2094
2020-11-26,61.2094
2020-11-27,58.5371
2020-11-28,58.5371
2020-11-29,58.5371
2020-11-30,55.0935
2020-12-01,56.0427
2020-12-02,57.9965
2020-12-03,56.6605
2020-12-04,58.3797
2020-12-05,58.3797
2020-12-06,58.3797
2020-12-07,58.8215
2020-12-08,60.4617
2020-12-09,60.8413
2020-12-10,60.8737
2020-12-11,60.6402
2020-12-12,60.6402
2020-12-13,60.6402
2020-12-14,61.7695
2020-12-15,63.6226
2020-12-16,63.5672
2020-12-17,64.4014
2020-12-18,62.8552
2020-12-19,62.8552
2020-12-20,62.8552
2020-12-21,59.5675
2020-12-22,59.5858
2020-12-23,61.7609
2020-12-24,61.7046
2020-12-25,61.7046
2020-12-26,61.7046
2020-12-27,61.7046
2020-12-28,62.7243
2020-12-29,59.9619
2020-12-30,60.6821
2020-12-31,60.9245
2021-01-01,60.9245
2021-01-02,60.9245
2021-01-03,60.9245
2021-01-04,59.7808
2021-01-05,60.9287
2021-01-06,67.2676
2021-01-07,66.2588
2021-01-08,62.5703
2021-01-09,62.5703
2021-01-10,62.5703
2021-01-11,63.6408
2021-01-12,64.8491
2021-01-13,62.7202
2021-01-14,64.4831
2021-01-15,64.5439
2021-01-16,64.5439
2021-01-17,64.5439
2021-01-18,64.5439
2021-01-19,64.2308
2021-01-20,64.2634
2021-01-21,62.381
2021-01-22,65.3504
2021-01-23,65.3504
2021-01-24,65.3504
2021-01-25,62.3411
2021-01-26,61.1969
2021-01-27,57.1169
2021-01-28,56.844
2021-01-29,53.5472
2021-01-30,53.5472
2021-01-31,53.5472
2021-02-01,56.9938
2021-02-02,58.9069
2021-02-03,57.1765
2021-02-04,58.6898
2021-02-05,58.3746
2021-02-06,58.3746
2021-02-07,58.3746
2021-02-08,60.6455
2021-02-09,62.5105
2021-02-10,62.1775
2021-02-11,60.5852
2021-02-12,60.5593
2021-02-13,60.5593
2021-02-14,60.5593
2021-02-15,60.5593
2021-02-16,61.1937
2021-02-17,61.2286
2021-02-18,60.3036
2021-02-19,61.9091
2021-02-20,61.9091
2021-02-21,61.9091
2021-02-22,63.9991
2021-02-23,65.0044
2021-02-24,67.1313
2021-02-25,66.0924
2021-02-26,63.0639
2021-02-27,63.0639
2021-02-28,63.0639
2021-03-01,66.1648
2021-03-02,64.915
2021-03-03,68.2387
2021-03-04,65.0891
2021-03-05,68.6941
2021-03-06,68.6941
2021-03-07,68.6941
2021-03-08,72.1741
2021-03-09,67.8328
2021-03-10,69.9431
2021-03-11,70.9792
2021-03-12,72.6653
2021-03-13,72.6653
2021-03-14,72.6653
2021-03-15,68.6469
2021-03-16,66.967
2021-03-17,65.5504
2021-03-18,63.6985
2021-03-19,60.056
2021-03-20,60.056
2021-03-21,60.056
2021-03-22,56.3269
2021-03-23,53.3295
2021-03-24,53.8803
2021-03-25,55.9149
2021-03-26,58.355
2021-03-27,58.355
2021-03-28,58.355
2021-03-29,52.8916
2021-03-30,53.9355
2021-03-31,53.4685
2021-04-01,55.3552
2021-04-02,55.3552
2021-04-03,55.3552
2021-04-04,55.3552
2021-04-05,55.858
2021-04-06,54.6773
2021-04-07,53.9631
2021-04-08,54.1248
2021-04-09,54.9702
2021-04-10,54.9702
2021-04-11,54.9702
2021-04-12,56.3727
2021-04-13,54.9927
2021-04-14,55.2585
2021-04-15,55.5585
2021-04-16,57.4291
2021-04-17,57.4291
2021-04-18,57.4291
2021-04-19,57.223
2021-04-20,53.6221
2021-04-21,55.3035
2021-04-22,53.8631
2021-04-23,58.003
2021-04-24,58.003
2021-04-25,58.003
2021-04-26,57.6286
2021-04-27,57.4641
2021-04-28,55.9231
2021-04-29,55.7206
2021-04-30,53.5338
2021-05-01,53.5338
2021-05-02,53.5338
2021-05-03,54.7732
2021-05-04,54.4763
2021-05-05,55.8384
2021-05-06,56.6017
2021-05-07,56.8178
2021-05-08,56.8178
2021-05-09,56.8178
2021-05-10,56.3203
2021-05-11,54.992
2021-05-12,50.5943
2021-05-13,55.9202
2021-05-14,56.6462
2021-05-15,56.6462
2021-05-16,56.6462
2021-05-17,56.1109
2021-05-18,53.0369
2021-05-19,52.252
2021-05-20,50.2921
2021-05-21,51.8437
2021-05-22,51.8437
2021-05-23,51.8437
2021-05-24,50.7685
2021-05-25,47.9041
2021-05-26,49.6166
2021-05-27,50.0115
2021-05-28,50.2221
2021-05-29,50.2221
2021-05-30,50.2221
2021-05-31,50.2221
2021-06-01,50.8469
2021-06-02,49.3458
2021-06-03,50.4169
2021-06-04,49.6492
2021-06-05,49.6492
2021-06-06,49.6492
2021-06-07,50.6725
2021-06-08,51.8353
2021-06-09,49.836
2021-06-10,47.6372
2021-06-11,48.7861
2021-06-12,48.7861
2021-06-13,48.7861
2021-06-14,46.9841
2021-06-15,48.9162
2021-06-16,49.7174
2021-06-17,46.4456
2021-06-18,41.6509
2021-06-19,41.6509
2021-06-20,41.6509
2021-06-21,47.1284
2021-06-22,47.0814
2021-06-23,46.506
2021-06-24,48.2156
2021-06-25,48.6132
2021-06-26,48.6132
2021-06-27,48.6132
2021-06-28,45.927
2021-06-29,45.7977
2021-06-30,45.781
2021-07-01,47.5194
2021-07-02,46.2639
2021-07-03,46.2639
2021-07-04,46.2639
2021-07-05,46.2639
2021-07-06,43.6775
2021-07-07,42.6961
2021-07-08,41.3926
2021-07-09,45.204
2021-07-10,45.204
2021-07-11,45.204
2021-07-12,45.8772
2021-07-13,43.7824
2021-07-14,44.5397
2021-07-15,45.6049
2021-07-16,43.2578
2021-07-17,43.2578
2021-07-18,43.2578
2021-07-19,40.5087
2021-07-20,42.7343
2021-07-21,44.6946
2021-07-22,42.0936
2021-07-23,43.0362
2021-07-24,43.0362
