,GTES US Equity
,RSI_30D
2020-01-01,73.9219
2020-01-02,74.3415
2020-01-03,73.576
2020-01-04,73.576
2020-01-05,73.576
2020-01-06,70.7136
2020-01-07,67.2926
2020-01-08,62.9601
2020-01-09,60.9906
2020-01-10,58.3923
2020-01-11,58.3923
2020-01-12,58.3923
2020-01-13,61.5502
2020-01-14,62.1303
2020-01-15,60.3637
2020-01-16,62.6352
2020-01-17,61.9246
2020-01-18,61.9246
2020-01-19,61.9246
2020-01-20,61.9246
2020-01-21,59.2589
2020-01-22,58.355
2020-01-23,59.3179
2020-01-24,57.7075
2020-01-25,57.7075
2020-01-26,57.7075
2020-01-27,54.535
2020-01-28,56.0018
2020-01-29,55.3498
2020-01-30,56.2284
2020-01-31,52.3891
2020-02-01,52.3891
2020-02-02,52.3891
2020-02-03,54.0133
2020-02-04,53.9076
2020-02-05,61.5373
2020-02-06,57.7057
2020-02-07,53.8706
2020-02-08,53.8706
2020-02-09,53.8706
2020-02-10,54.7593
2020-02-11,55.2792
2020-02-12,56.7482
2020-02-13,57.0402
2020-02-14,57.3381
2020-02-15,57.3381
2020-02-16,57.3381
2020-02-17,57.3381
2020-02-18,52.3608
2020-02-19,52.3608
2020-02-20,53.3422
2020-02-21,50.8155
2020-02-22,50.8155
2020-02-23,50.8155
2020-02-24,44.3027
2020-02-25,41.3647
2020-02-26,39.7876
2020-02-27,37.4579
2020-02-28,36.4876
2020-02-29,36.4876
2020-03-01,36.4876
2020-03-02,39.6331
2020-03-03,37.1837
2020-03-04,38.4088
2020-03-05,34.8438
2020-03-06,33.3552
2020-03-07,33.3552
2020-03-08,33.3552
2020-03-09,31.2619
2020-03-10,35.2947
2020-03-11,32.5762
2020-03-12,29.8055
2020-03-13,29.6361
2020-03-14,29.6361
2020-03-15,29.6361
2020-03-16,24.6283
2020-03-17,24.1883
2020-03-18,26.3066
2020-03-19,31.8635
2020-03-20,30.7697
2020-03-21,30.7697
2020-03-22,30.7697
2020-03-23,28.9695
2020-03-24,32.7185
2020-03-25,35.8007
2020-03-26,38.4872
2020-03-27,37.6548
2020-03-28,37.6548
2020-03-29,37.6548
2020-03-30,37.944
2020-03-31,37.512
2020-04-01,36.163
2020-04-02,34.6371
2020-04-03,33.3745
2020-04-04,33.3745
2020-04-05,33.3745
2020-04-06,38.0468
2020-04-07,39.5096
2020-04-08,42.6863
2020-04-09,43.5184
2020-04-10,43.5184
2020-04-11,43.5184
2020-04-12,43.5184
2020-04-13,42.9142
2020-04-14,42.4266
2020-04-15,39.4875
2020-04-16,39.0457
2020-04-17,44.6513
2020-04-18,44.6513
2020-04-19,44.6513
2020-04-20,42.0959
2020-04-21,42.249
2020-04-22,41.2339
2020-04-23,43.4714
2020-04-24,44.6377
2020-04-25,44.6377
2020-04-26,44.6377
2020-04-27,46.3311
2020-04-28,47.8832
2020-04-29,52.2164
2020-04-30,49.4123
2020-05-01,48.3217
2020-05-02,48.3217
2020-05-03,48.3217
2020-05-04,47.2836
2020-05-05,47.2836
2020-05-06,48.0009
2020-05-07,47.6432
2020-05-08,51.3028
2020-05-09,51.3028
2020-05-10,51.3028
2020-05-11,51.3028
2020-05-12,50.1486
2020-05-13,50.2451
2020-05-14,49.4042
2020-05-15,49.6605
2020-05-16,49.6605
2020-05-17,49.6605
2020-05-18,54.7797
2020-05-19,52.0905
2020-05-20,53.944
2020-05-21,54.763
2020-05-22,53.6717
2020-05-23,53.6717
2020-05-24,53.6717
2020-05-25,53.6717
2020-05-26,56.1673
2020-05-27,57.6721
2020-05-28,55.3862
2020-05-29,55.3334
2020-05-30,55.3334
2020-05-31,55.3334
2020-06-01,55.7261
2020-06-02,56.0812
2020-06-03,57.8303
2020-06-04,58.7647
2020-06-05,60.9226
2020-06-06,60.9226
2020-06-07,60.9226
2020-06-08,62.7852
2020-06-09,60.0653
2020-06-10,57.7089
2020-06-11,53.8698
2020-06-12,54.8199
2020-06-13,54.8199
2020-06-14,54.8199
2020-06-15,55.3389
2020-06-16,56.8763
2020-06-17,55.3967
2020-06-18,55.1768
2020-06-19,55.1201
2020-06-20,55.1201
2020-06-21,55.1201
2020-06-22,53.9185
2020-06-23,53.3456
2020-06-24,50.9915
2020-06-25,51.3616
2020-06-26,50.5716
2020-06-27,50.5716
2020-06-28,50.5716
2020-06-29,52.0961
2020-06-30,52.8483
2020-07-01,50.4483
2020-07-02,50.4483
2020-07-03,50.4483
2020-07-04,50.4483
2020-07-05,50.4483
2020-07-06,51.0861
2020-07-07,50.5962
