,IDA US Equity
,RSI_30D
2020-01-01,48.2074
2020-01-02,45.1333
2020-01-03,45.2207
2020-01-04,45.2207
2020-01-05,45.2207
2020-01-06,45.2207
2020-01-07,44.1173
2020-01-08,43.0071
2020-01-09,45.2861
2020-01-10,46.2738
2020-01-11,46.2738
2020-01-12,46.2738
2020-01-13,50.0084
2020-01-14,49.9242
2020-01-15,53.1327
2020-01-16,54.2632
2020-01-17,55.5487
2020-01-18,55.5487
2020-01-19,55.5487
2020-01-20,55.5487
2020-01-21,57.1842
2020-01-22,58.0423
2020-01-23,60.6273
2020-01-24,62.2117
2020-01-25,62.2117
2020-01-26,62.2117
2020-01-27,61.3603
2020-01-28,61.0147
2020-01-29,61.9025
2020-01-30,64.2006
2020-01-31,60.7571
2020-02-01,60.7571
2020-02-02,60.7571
2020-02-03,61.5332
2020-02-04,56.6729
2020-02-05,57.301
2020-02-06,56.9216
2020-02-07,54.1114
2020-02-08,54.1114
2020-02-09,54.1114
2020-02-10,55.7505
2020-02-11,55.1637
2020-02-12,54.4153
2020-02-13,57.6359
2020-02-14,59.3718
2020-02-15,59.3718
2020-02-16,59.3718
2020-02-17,59.3718
2020-02-18,61.9999
2020-02-19,58.1112
2020-02-20,57.5989
2020-02-21,57.915
2020-02-22,57.915
2020-02-23,57.915
2020-02-24,56.272
2020-02-25,49.7197
2020-02-26,46.4079
2020-02-27,38.2874
2020-02-28,30.0425
2020-02-29,30.0425
2020-03-01,30.0425
2020-03-02,41.0745
2020-03-03,39.5238
2020-03-04,48.247
2020-03-05,47.3727
2020-03-06,49.3905
2020-03-07,49.3905
2020-03-08,49.3905
2020-03-09,42.0177
2020-03-10,42.417
2020-03-11,37.7544
2020-03-12,29.7057
2020-03-13,36.7935
2020-03-14,36.7935
2020-03-15,36.7935
2020-03-16,32.4616
2020-03-17,43.336
2020-03-18,41.9922
2020-03-19,38.0006
2020-03-20,34.2263
2020-03-21,34.2263
2020-03-22,34.2263
2020-03-23,33.9847
2020-03-24,38.6594
2020-03-25,40.0309
2020-03-26,43.5353
2020-03-27,44.6647
2020-03-28,44.6647
2020-03-29,44.6647
2020-03-30,45.6178
2020-03-31,43.6892
2020-04-01,42.5929
2020-04-02,44.239
2020-04-03,42.9357
2020-04-04,42.9357
2020-04-05,42.9357
2020-04-06,47.4873
2020-04-07,46.4172
2020-04-08,49.1241
2020-04-09,50.3056
2020-04-10,50.3056
2020-04-11,50.3056
2020-04-12,50.3056
2020-04-13,48.4291
2020-04-14,49.3066
2020-04-15,47.2461
2020-04-16,48.4659
2020-04-17,49.4537
2020-04-18,49.4537
2020-04-19,49.4537
2020-04-20,47.6981
2020-04-21,46.914
2020-04-22,48.2607
2020-04-23,47.3061
2020-04-24,47.6221
2020-04-25,47.6221
2020-04-26,47.6221
2020-04-27,47.7492
2020-04-28,48.4607
2020-04-29,48.9705
2020-04-30,47.4276
2020-05-01,45.4505
2020-05-02,45.4505
2020-05-03,45.4505
2020-05-04,46.6002
2020-05-05,47.6237
2020-05-06,45.2784
2020-05-07,46.6031
2020-05-08,48.692
2020-05-09,48.692
2020-05-10,48.692
2020-05-11,47.6703
2020-05-12,46.3092
2020-05-13,45.2008
2020-05-14,45.3875
2020-05-15,44.3126
2020-05-16,44.3126
2020-05-17,44.3126
2020-05-18,47.7791
2020-05-19,46.1836
2020-05-20,46.7574
2020-05-21,46.0348
2020-05-22,47.0716
2020-05-23,47.0716
2020-05-24,47.0716
2020-05-25,47.0716
2020-05-26,48.5235
2020-05-27,48.757
2020-05-28,50.3362
2020-05-29,50.9247
2020-05-30,50.9247
2020-05-31,50.9247
2020-06-01,51.1823
2020-06-02,51.5306
2020-06-03,52.8905
2020-06-04,51.2918
2020-06-05,51.4204
2020-06-06,51.4204
2020-06-07,51.4204
2020-06-08,52.7903
2020-06-09,50.3372
2020-06-10,49.8896
2020-06-11,45.7745
2020-06-12,45.5943
2020-06-13,45.5943
2020-06-14,45.5943
2020-06-15,46.206
2020-06-16,45.6356
2020-06-17,46.2364
2020-06-18,46.2559
2020-06-19,44.3341
2020-06-20,44.3341
2020-06-21,44.3341
2020-06-22,45.9042
2020-06-23,45.6566
2020-06-24,46.0202
2020-06-25,45.023
2020-06-26,44.1568
2020-06-27,44.1568
2020-06-28,44.1568
2020-06-29,45.7327
2020-06-30,46.9986
2020-07-01,49.3192
2020-07-02,49.3091
2020-07-03,49.3091
2020-07-04,49.3091
2020-07-05,49.3091
2020-07-06,48.1905
2020-07-07,48.2126
2020-07-08,48.5757
2020-07-09,47.552
2020-07-10,50.1162
2020-07-11,50.1162
2020-07-12,50.1162
2020-07-13,50.307
2020-07-14,49.9121
2020-07-15,50.0433
2020-07-16,49.6883
2020-07-17,51.7871
2020-07-18,51.7871
2020-07-19,51.7871
2020-07-20,50.4331
2020-07-21,51.1615
2020-07-22,53.3605
2020-07-23,54.1654
2020-07-24,53.4463
2020-07-25,53.4463
2020-07-26,53.4463
2020-07-27,52.2592
2020-07-28,55.0456
2020-07-29,55.4169
2020-07-30,53.2966
2020-07-31,53.24
2020-08-01,53.24
2020-08-02,53.24
2020-08-03,51.6383
2020-08-04,52.3911
2020-08-05,50.8119
2020-08-06,51.0616
2020-08-07,53.2182
2020-08-08,53.2182
2020-08-09,53.2182
2020-08-10,54.1573
2020-08-11,48.8044
2020-08-12,49.3977
2020-08-13,47.8502
2020-08-14,46.5878
2020-08-15,46.5878
2020-08-16,46.5878
2020-08-17,45.3376
2020-08-18,45.6455
2020-08-19,48.0812
2020-08-20,48.126
2020-08-21,47.1989
2020-08-22,47.1989
2020-08-23,47.1989
2020-08-24,49.9493
2020-08-25,49.2207
2020-08-26,47.7646
2020-08-27,48.3128
2020-08-28,47.9263
2020-08-29,47.9263
2020-08-30,47.9263
2020-08-31,50.0868
2020-09-01,47.7223
2020-09-02,50.6105
2020-09-03,48.9297
2020-09-04,47.402
2020-09-05,47.402
2020-09-06,47.402
2020-09-07,47.402
2020-09-08,44.7434
2020-09-09,44.5578
2020-09-10,41.9961
2020-09-11,40.742
2020-09-12,40.742
2020-09-13,40.742
2020-09-14,41.7895
2020-09-15,40.1145
2020-09-16,41.582
2020-09-17,42.5126
2020-09-18,40.5941
2020-09-19,40.5941
2020-09-20,40.5941
2020-09-21,38.6814
2020-09-22,40.4132
2020-09-23,38.3585
2020-09-24,38.2899
2020-09-25,40.2088
2020-09-26,40.2088
2020-09-27,40.2088
2020-09-28,41.4404
2020-09-29,40.0231
2020-09-30,39.7741
2020-10-01,43.3481
2020-10-02,45.2515
2020-10-03,45.2515
2020-10-04,45.2515
2020-10-05,45.4394
2020-10-06,50.3299
2020-10-07,50.8084
2020-10-08,51.8287
2020-10-09,52.2654
2020-10-10,52.2654
