,IFF US Equity
,RSI_30D
2020-01-01,56.3488
2020-01-02,54.6008
2020-01-03,53.2069
2020-01-04,53.2069
2020-01-05,53.2069
2020-01-06,52.2524
2020-01-07,52.0082
2020-01-08,50.6442
2020-01-09,50.0637
2020-01-10,52.6997
2020-01-11,52.6997
2020-01-12,52.6997
2020-01-13,54.1591
2020-01-14,56.1413
2020-01-15,56.7791
2020-01-16,59.794
2020-01-17,61.325
2020-01-18,61.325
2020-01-19,61.325
2020-01-20,61.325
2020-01-21,61.2148
2020-01-22,62.1817
2020-01-23,62.3142
2020-01-24,61.9251
2020-01-25,61.9251
2020-01-26,61.9251
2020-01-27,59.26
2020-01-28,60.6817
2020-01-29,60.0914
2020-01-30,57.1034
2020-01-31,54.5922
2020-02-01,54.5922
2020-02-02,54.5922
2020-02-03,59.3006
2020-02-04,62.8015
2020-02-05,64.823
2020-02-06,64.2035
2020-02-07,61.2922
2020-02-08,61.2922
2020-02-09,61.2922
2020-02-10,60.0933
2020-02-11,58.7279
2020-02-12,59.9567
2020-02-13,56.6759
2020-02-14,55.6419
2020-02-15,55.6419
2020-02-16,55.6419
2020-02-17,55.6419
2020-02-18,54.4257
2020-02-19,53.7415
2020-02-20,51.9139
2020-02-21,51.3273
2020-02-22,51.3273
2020-02-23,51.3273
2020-02-24,46.7521
2020-02-25,43.0604
2020-02-26,42.6219
2020-02-27,41.5624
2020-02-28,39.5053
2020-02-29,39.5053
2020-03-01,39.5053
2020-03-02,42.8269
2020-03-03,42.6092
2020-03-04,48.5006
2020-03-05,45.8851
2020-03-06,44.1152
2020-03-07,44.1152
2020-03-08,44.1152
2020-03-09,37.0652
2020-03-10,42.61
2020-03-11,38.2641
2020-03-12,32.8694
2020-03-13,39.8892
2020-03-14,39.8892
2020-03-15,39.8892
2020-03-16,36.6054
2020-03-17,41.8592
2020-03-18,41.3841
2020-03-19,40.9393
2020-03-20,38.7586
2020-03-21,38.7586
2020-03-22,38.7586
2020-03-23,35.5772
2020-03-24,39.7728
2020-03-25,42.3371
2020-03-26,47.6072
2020-03-27,45.7313
2020-03-28,45.7313
2020-03-29,45.7313
2020-03-30,44.7992
2020-03-31,42.4005
2020-04-01,41.8725
2020-04-02,41.2622
2020-04-03,41.1501
2020-04-04,41.1501
2020-04-05,41.1501
2020-04-06,46.5662
2020-04-07,48.9805
2020-04-08,52.1984
2020-04-09,54.7003
2020-04-10,54.7003
2020-04-11,54.7003
2020-04-12,54.7003
2020-04-13,51.3819
2020-04-14,52.3246
2020-04-15,50.1425
2020-04-16,51.2014
2020-04-17,53.3377
2020-04-18,53.3377
2020-04-19,53.3377
2020-04-20,51.3074
2020-04-21,51.9777
2020-04-22,52.8522
2020-04-23,52.329
2020-04-24,53.7378
2020-04-25,53.7378
2020-04-26,53.7378
2020-04-27,55.3962
2020-04-28,55.869
2020-04-29,56.517
2020-04-30,55.3174
2020-05-01,53.0592
2020-05-02,53.0592
2020-05-03,53.0592
2020-05-04,53.6245
2020-05-05,54.075
2020-05-06,55.1609
2020-05-07,54.5902
2020-05-08,56.4848
2020-05-09,56.4848
2020-05-10,56.4848
2020-05-11,55.4341
2020-05-12,55.758
2020-05-13,53.4668
2020-05-14,51.6563
2020-05-15,52.7481
2020-05-16,52.7481
2020-05-17,52.7481
2020-05-18,54.5488
2020-05-19,52.8174
2020-05-20,53.5353
2020-05-21,52.7852
2020-05-22,53.0157
2020-05-23,53.0157
2020-05-24,53.0157
2020-05-25,53.0157
2020-05-26,54.9348
2020-05-27,56.4716
2020-05-28,55.258
2020-05-29,54.5603
2020-05-30,54.5603
2020-05-31,54.5603
2020-06-01,53.2019
2020-06-02,54.7643
2020-06-03,56.2594
2020-06-04,55.5667
2020-06-05,56.6704
2020-06-06,56.6704
2020-06-07,56.6704
2020-06-08,55.1257
2020-06-09,54.4552
2020-06-10,53.7451
2020-06-11,49.1542
2020-06-12,49.5223
2020-06-13,49.5223
2020-06-14,49.5223
2020-06-15,49.8292
2020-06-16,50.9067
2020-06-17,50.6435
2020-06-18,50.5624
2020-06-19,48.9141
2020-06-20,48.9141
2020-06-21,48.9141
2020-06-22,48.2342
2020-06-23,47.0663
2020-06-24,46.7384
2020-06-25,46.9957
2020-06-26,44.7268
2020-06-27,44.7268
2020-06-28,44.7268
2020-06-29,46.9644
2020-06-30,47.4158
2020-07-01,48.746
2020-07-02,50.7871
2020-07-03,50.7871
2020-07-04,50.7871
2020-07-05,50.7871
2020-07-06,51.7552
2020-07-07,50.8536
2020-07-08,48.081
2020-07-09,47.3052
2020-07-10,49.6234
2020-07-11,49.6234
2020-07-12,49.6234
2020-07-13,49.0708
2020-07-14,50.9964
2020-07-15,52.9974
2020-07-16,52.9066
2020-07-17,53.93
2020-07-18,53.93
2020-07-19,53.93
2020-07-20,52.0069
2020-07-21,51.356
2020-07-22,51.8436
2020-07-23,51.7908
2020-07-24,50.3145
2020-07-25,50.3145
2020-07-26,50.3145
2020-07-27,51.9847
2020-07-28,51.575
2020-07-29,51.4817
2020-07-30,48.1069
2020-07-31,49.4418
2020-08-01,49.4418
2020-08-02,49.4418
2020-08-03,48.203
2020-08-04,49.4573
2020-08-05,49.9495
2020-08-06,48.9812
2020-08-07,50.3409
2020-08-08,50.3409
2020-08-09,50.3409
2020-08-10,53.7112
2020-08-11,48.896
2020-08-12,50.3917
2020-08-13,47.6976
2020-08-14,47.1742
2020-08-15,47.1742
2020-08-16,47.1742
2020-08-17,47.2864
2020-08-18,46.7133
2020-08-19,46.1605
2020-08-20,45.0489
2020-08-21,44.9274
2020-08-22,44.9274
2020-08-23,44.9274
2020-08-24,47.3806
2020-08-25,47.3713
2020-08-26,49.451
2020-08-27,48.1644
2020-08-28,49.0883
2020-08-29,49.0883
2020-08-30,49.0883
2020-08-31,48.4064
2020-09-01,49.4219
2020-09-02,50.7107
2020-09-03,48.5296
2020-09-04,47.7533
2020-09-05,47.7533
