,JBLU US Equity
,RSI_30D
2020-01-01,56.5411
2020-01-02,57.7872
2020-01-03,54.7313
2020-01-04,54.7313
2020-01-05,54.7313
2020-01-06,53.9019
2020-01-07,53.2527
2020-01-08,53.9898
2020-01-09,55.6768
2020-01-10,55.6768
2020-01-11,55.6768
2020-01-12,55.6768
2020-01-13,54.5555
2020-01-14,53.7412
2020-01-15,55.2943
2020-01-16,57.7406
2020-01-17,59.3513
2020-01-18,59.3513
2020-01-19,59.3513
2020-01-20,59.3513
2020-01-21,57.6203
2020-01-22,62.8405
2020-01-23,69.4932
2020-01-24,65.4525
2020-01-25,65.4525
2020-01-26,65.4525
2020-01-27,60.2901
2020-01-28,61.4848
2020-01-29,58.8566
2020-01-30,60.2417
2020-01-31,57.397
2020-02-01,57.397
2020-02-02,57.397
2020-02-03,58.4396
2020-02-04,60.5425
2020-02-05,61.889
2020-02-06,57.3175
2020-02-07,56.3296
2020-02-08,56.3296
2020-02-09,56.3296
2020-02-10,56.77
2020-02-11,59.3667
2020-02-12,62.3285
2020-02-13,64.2007
2020-02-14,62.0493
2020-02-15,62.0493
2020-02-16,62.0493
2020-02-17,62.0493
2020-02-18,62.1849
2020-02-19,58.6441
2020-02-20,58.7433
2020-02-21,57.1826
2020-02-22,57.1826
2020-02-23,57.1826
2020-02-24,49.5662
2020-02-25,43.9969
2020-02-26,39.4154
2020-02-27,36.461
2020-02-28,34.9009
2020-02-29,34.9009
2020-03-01,34.9009
2020-03-02,34.2512
2020-03-03,32.5781
2020-03-04,35.6554
2020-03-05,31.0137
2020-03-06,31.1241
2020-03-07,31.1241
2020-03-08,31.1241
2020-03-09,29.9345
2020-03-10,36.1416
2020-03-11,33.5128
2020-03-12,29.0164
2020-03-13,28.4284
2020-03-14,28.4284
2020-03-15,28.4284
2020-03-16,27.3732
2020-03-17,25.5007
2020-03-18,22.7531
2020-03-19,22.6716
2020-03-20,22.0585
2020-03-21,22.0585
2020-03-22,22.0585
2020-03-23,21.6678
2020-03-24,32.4993
2020-03-25,39.1477
2020-03-26,38.3225
2020-03-27,36.0594
2020-03-28,36.0594
2020-03-29,36.0594
2020-03-30,34.3521
2020-03-31,34.8836
2020-04-01,33.4142
2020-04-02,32.6024
2020-04-03,32.3483
2020-04-04,32.3483
2020-04-05,32.3483
2020-04-06,33.2453
2020-04-07,36.8156
2020-04-08,37.7189
2020-04-09,39.2821
2020-04-10,39.2821
2020-04-11,39.2821
2020-04-12,39.2821
2020-04-13,38.288
2020-04-14,39.0015
2020-04-15,38.8907
2020-04-16,37.8673
2020-04-17,38.7732
2020-04-18,38.7732
2020-04-19,38.7732
2020-04-20,37.9714
2020-04-21,37.2878
2020-04-22,36.2305
2020-04-23,36.8219
2020-04-24,36.6812
2020-04-25,36.6812
2020-04-26,36.6812
2020-04-27,37.3828
2020-04-28,40.9653
2020-04-29,44.9815
2020-04-30,43.8961
2020-05-01,41.9623
2020-05-02,41.9623
2020-05-03,41.9623
2020-05-04,40.9261
2020-05-05,40.0814
2020-05-06,39.3933
2020-05-07,40.0245
2020-05-08,43.4876
2020-05-09,43.4876
2020-05-10,43.4876
2020-05-11,42.0256
2020-05-12,40.6905
2020-05-13,40.2408
2020-05-14,41.5766
2020-05-15,41.6163
2020-05-16,41.6163
2020-05-17,41.6163
2020-05-18,44.5035
2020-05-19,44.3196
2020-05-20,45.3702
2020-05-21,46.2636
2020-05-22,45.659
2020-05-23,45.659
2020-05-24,45.659
2020-05-25,45.659
2020-05-26,50.5769
2020-05-27,51.7197
2020-05-28,49.1574
2020-05-29,48.8147
2020-05-30,48.8147
2020-05-31,48.8147
2020-06-01,49.2901
2020-06-02,49.6991
2020-06-03,53.1131
2020-06-04,58.4332
2020-06-05,60.2208
2020-06-06,60.2208
2020-06-07,60.2208
2020-06-08,64.6773
2020-06-09,59.6558
2020-06-10,54.6319
2020-06-11,50.4073
2020-06-12,53.1445
2020-06-13,53.1445
2020-06-14,53.1445
2020-06-15,52.5766
2020-06-16,53.2169
2020-06-17,52.2761
2020-06-18,52.5481
2020-06-19,50.7251
2020-06-20,50.7251
2020-06-21,50.7251
2020-06-22,50.1904
2020-06-23,50.5593
2020-06-24,47.5205
2020-06-25,48.7396
2020-06-26,47.7173
2020-06-27,47.7173
2020-06-28,47.7173
2020-06-29,49.934
2020-06-30,49.4884
2020-07-01,48.8196
2020-07-02,48.8196
2020-07-03,48.8196
2020-07-04,48.8196
2020-07-05,48.8196
2020-07-06,49.8908
2020-07-07,48.3214
2020-07-08,48.6491
2020-07-09,46.748
2020-07-10,48.8171
2020-07-11,48.8171
2020-07-12,48.8171
2020-07-13,47.4931
2020-07-14,48.2361
2020-07-15,51.9453
2020-07-16,50.2436
2020-07-17,49.6092
2020-07-18,49.6092
2020-07-19,49.6092
2020-07-20,48.6871
2020-07-21,48.8229
2020-07-22,48.9973
2020-07-23,49.319
2020-07-24,47.8616
2020-07-25,47.8616
2020-07-26,47.8616
2020-07-27,47.6363
2020-07-28,47.9677
2020-07-29,46.6734
2020-07-30,47.6874
2020-07-31,48.2574
2020-08-01,48.2574
2020-08-02,48.2574
2020-08-03,47.38
2020-08-04,48.1433
2020-08-05,50.0385
2020-08-06,50.3479
2020-08-07,50.0912
2020-08-08,50.0912
2020-08-09,50.0912
2020-08-10,53.8635
2020-08-11,53.9409
2020-08-12,53.4766
2020-08-13,52.221
2020-08-14,52.8153
2020-08-15,52.8153
2020-08-16,52.8153
2020-08-17,51.1694
2020-08-18,50.7951
2020-08-19,50.461
2020-08-20,49.6882
2020-08-21,48.4411
2020-08-22,48.4411
2020-08-23,48.4411
2020-08-24,52.5624
2020-08-25,52.2644
2020-08-26,51.1639
2020-08-27,53.2469
2020-08-28,54.8838
2020-08-29,54.8838
2020-08-30,54.8838
2020-08-31,52.5682
2020-09-01,52.2138
2020-09-02,53.2845
2020-09-03,53.6118
2020-09-04,55.3676
2020-09-05,55.3676
2020-09-06,55.3676
2020-09-07,55.3676
2020-09-08,56.7492
2020-09-09,55.6568
2020-09-10,55.6568
2020-09-11,56.0853
2020-09-12,56.0853
2020-09-13,56.0853
2020-09-14,57.4557
2020-09-15,57.3918
2020-09-16,59.1762
2020-09-17,58.5752
2020-09-18,56.8496
2020-09-19,56.8496
2020-09-20,56.8496
2020-09-21,50.3048
2020-09-22,51.6535
2020-09-23,50.0328
2020-09-24,48.973
2020-09-25,50.2272
2020-09-26,50.2272
2020-09-27,50.2272
2020-09-28,52.4357
2020-09-29,49.5647
2020-09-30,49.0926
2020-10-01,49.8071
2020-10-02,51.4867
2020-10-03,51.4867
2020-10-04,51.4867
2020-10-05,51.4293
2020-10-06,49.9872
2020-10-07,54.1377
2020-10-08,56.3478
2020-10-09,56.2868
2020-10-10,56.2868
2020-10-11,56.2868
2020-10-12,54.0473
2020-10-13,52.699
2020-10-14,53.5076
2020-10-15,53.587
2020-10-16,53.1487
2020-10-17,53.1487
2020-10-18,53.1487
2020-10-19,53.2617
2020-10-20,53.4937
2020-10-21,51.0673
2020-10-22,56.9139
2020-10-23,58.9528
2020-10-24,58.9528
2020-10-25,58.9528
2020-10-26,53.64
2020-10-27,49.9969
2020-10-28,46.3123
2020-10-29,48.6023
2020-10-30,50.5888
2020-10-31,50.5888
2020-11-01,50.5888
2020-11-02,50.7329
2020-11-03,50.5803
2020-11-04,50.3193
2020-11-05,53.4036
2020-11-06,52.3728
2020-11-07,52.3728
2020-11-08,52.3728
2020-11-09,62.839
2020-11-10,62.3629
2020-11-11,58.0648
2020-11-12,54.8446
2020-11-13,57.5252
2020-11-14,57.5252
2020-11-15,57.5252
2020-11-16,59.5572
2020-11-17,59.7783
2020-11-18,58.6874
2020-11-19,59.2889
2020-11-20,57.8371
2020-11-21,57.8371
2020-11-22,57.8371
2020-11-23,59.9346
2020-11-24,62.2237
2020-11-25,62.0228
2020-11-26,62.0228
2020-11-27,61.4584
2020-11-28,61.4584
2020-11-29,61.4584
2020-11-30,58.3618
2020-12-01,59.4858
2020-12-02,57.3038
2020-12-03,60.3777
2020-12-04,59.0394
2020-12-05,59.0394
2020-12-06,59.0394
2020-12-07,58.1349
2020-12-08,58.1349
2020-12-09,57.6622
2020-12-10,58.3082
2020-12-11,54.8454
2020-12-12,54.8454
2020-12-13,54.8454
2020-12-14,53.8993
2020-12-15,54.7868
2020-12-16,53.9565
2020-12-17,52.176
2020-12-18,52.4829
2020-12-19,52.4829
2020-12-20,52.4829
2020-12-21,51.9411
2020-12-22,50.187
2020-12-23,52.8846
2020-12-24,52.6845
2020-12-25,52.6845
2020-12-26,52.6845
2020-12-27,52.6845
2020-12-28,54.3808
2020-12-29,53.6995
2020-12-30,54.4934
2020-12-31,52.8072
2021-01-01,52.8072
2021-01-02,52.8072
2021-01-03,52.8072
2021-01-04,50.2053
2021-01-05,51.4665
2021-01-06,52.7983
2021-01-07,52.4791
2021-01-08,53.3544
2021-01-09,53.3544
2021-01-10,53.3544
2021-01-11,52.5204
2021-01-12,53.8632
2021-01-13,54.4067
2021-01-14,58.1182
2021-01-15,53.6562
2021-01-16,53.6562
2021-01-17,53.6562
2021-01-18,53.6562
2021-01-19,54.254
2021-01-20,56.8248
2021-01-21,54.7928
2021-01-22,54.883
2021-01-23,54.883
2021-01-24,54.883
2021-01-25,51.1847
2021-01-26,52.4167
2021-01-27,51.5369
2021-01-28,51.3795
2021-01-29,49.7547
2021-01-30,49.7547
2021-01-31,49.7547
2021-02-01,49.6499
2021-02-02,50.2461
2021-02-03,53.2156
2021-02-04,57.5807
2021-02-05,56.688
2021-02-06,56.688
2021-02-07,56.688
2021-02-08,59.4764
2021-02-09,58.5962
2021-02-10,59.9453
2021-02-11,59.2194
2021-02-12,58.7898
2021-02-13,58.7898
2021-02-14,58.7898
2021-02-15,58.7898
2021-02-16,59.9908
2021-02-17,60.7929
2021-02-18,60.0717
2021-02-19,62.4986
2021-02-20,62.4986
2021-02-21,62.4986
2021-02-22,66.4941
2021-02-23,68.5725
2021-02-24,68.5059
2021-02-25,64.306
2021-02-26,63.9317
2021-02-27,63.9317
2021-02-28,63.9317
2021-03-01,64.1117
2021-03-02,63.9796
2021-03-03,66.3479
2021-03-04,64.3582
2021-03-05,63.118
2021-03-06,63.118
2021-03-07,63.118
2021-03-08,69.0587
2021-03-09,67.763
2021-03-10,65.6396
2021-03-11,62.9294
2021-03-12,66.0481
2021-03-13,66.0481
2021-03-14,66.0481
2021-03-15,69.2706
2021-03-16,64.5377
2021-03-17,65.7222
2021-03-18,63.3349
2021-03-19,64.1762
2021-03-20,64.1762
2021-03-21,64.1762
