,MAIN US Equity
,RSI_30D
2020-01-01,58.1741
2020-01-02,59.3885
2020-01-03,59.9894
2020-01-04,59.9894
2020-01-05,59.9894
2020-01-06,59.8875
2020-01-07,59.9578
2020-01-08,60.3177
2020-01-09,61.3244
2020-01-10,61.6123
2020-01-11,61.6123
2020-01-12,61.6123
2020-01-13,64.6096
2020-01-14,65.3724
2020-01-15,67.768
2020-01-16,68.8816
2020-01-17,67.0834
2020-01-18,67.0834
2020-01-19,67.0834
2020-01-20,67.0834
2020-01-21,63.646
2020-01-22,65.3598
2020-01-23,64.6838
2020-01-24,59.195
2020-01-25,59.195
2020-01-26,59.195
2020-01-27,55.1889
2020-01-28,55.6939
2020-01-29,54.425
2020-01-30,54.5016
2020-01-31,50.4656
2020-02-01,50.4656
2020-02-02,50.4656
2020-02-03,51.0364
2020-02-04,53.4916
2020-02-05,54.9247
2020-02-06,56.103
2020-02-07,57.6768
2020-02-08,57.6768
2020-02-09,57.6768
2020-02-10,60.1616
2020-02-11,60.4215
2020-02-12,60.1172
2020-02-13,63.8804
2020-02-14,62.8578
2020-02-15,62.8578
2020-02-16,62.8578
2020-02-17,62.8578
2020-02-18,61.0384
2020-02-19,61.457
2020-02-20,61.1433
2020-02-21,58.5662
2020-02-22,58.5662
2020-02-23,58.5662
2020-02-24,50.8504
2020-02-25,30.7289
2020-02-26,36.1674
2020-02-27,31.5185
2020-02-28,27.7575
2020-02-29,27.7575
2020-03-01,27.7575
2020-03-02,37.2374
2020-03-03,35.3149
2020-03-04,36.9766
2020-03-05,35.2932
2020-03-06,33.2782
2020-03-07,33.2782
2020-03-08,33.2782
2020-03-09,26.1685
2020-03-10,29.0108
2020-03-11,26.001
2020-03-12,21.0227
2020-03-13,26.0759
2020-03-14,26.0759
2020-03-15,26.0759
2020-03-16,20.9207
2020-03-17,19.7809
2020-03-18,17.9085
2020-03-19,23.0202
2020-03-20,22.2157
2020-03-21,22.2157
2020-03-22,22.2157
2020-03-23,20.9258
2020-03-24,26.1903
2020-03-25,29.0205
2020-03-26,35.676
2020-03-27,36.0253
2020-03-28,36.0253
2020-03-29,36.0253
2020-03-30,34.1002
2020-03-31,33.2636
2020-04-01,31.4903
2020-04-02,30.9376
2020-04-03,30.6553
2020-04-04,30.6553
2020-04-05,30.6553
2020-04-06,33.3691
2020-04-07,37.539
2020-04-08,40.0784
2020-04-09,44.6488
2020-04-10,44.6488
2020-04-11,44.6488
2020-04-12,44.6488
2020-04-13,43.8381
2020-04-14,44.8193
2020-04-15,43.3303
2020-04-16,43.5315
2020-04-17,42.7899
2020-04-18,42.7899
2020-04-19,42.7899
2020-04-20,41.636
2020-04-21,40.3572
2020-04-22,40.1609
2020-04-23,41.0508
2020-04-24,44.4384
2020-04-25,44.4384
2020-04-26,44.4384
2020-04-27,46.5326
2020-04-28,45.823
2020-04-29,48.3268
2020-04-30,47.2113
2020-05-01,45.7091
2020-05-02,45.7091
2020-05-03,45.7091
2020-05-04,44.6047
2020-05-05,46.342
2020-05-06,47.3901
2020-05-07,48.0795
2020-05-08,48.9521
2020-05-09,48.9521
2020-05-10,48.9521
2020-05-11,48.9674
2020-05-12,49.9601
2020-05-13,50.1013
2020-05-14,49.4596
2020-05-15,51.791
2020-05-16,51.791
2020-05-17,51.791
2020-05-18,54.8323
2020-05-19,56.3429
2020-05-20,53.6729
2020-05-21,54.809
2020-05-22,53.8863
2020-05-23,53.8863
2020-05-24,53.8863
2020-05-25,53.8863
2020-05-26,56.4032
2020-05-27,56.7036
2020-05-28,55.7284
2020-05-29,54.6128
2020-05-30,54.6128
2020-05-31,54.6128
2020-06-01,55.5918
2020-06-02,55.8307
2020-06-03,57.3011
2020-06-04,57.6984
2020-06-05,59.1546
2020-06-06,59.1546
2020-06-07,59.1546
2020-06-08,61.2782
2020-06-09,59.7344
2020-06-10,57.0809
2020-06-11,52.6793
2020-06-12,55.3085
2020-06-13,55.3085
2020-06-14,55.3085
2020-06-15,55.201
2020-06-16,56.3997
2020-06-17,55.5414
2020-06-18,54.4673
2020-06-19,54.1065
2020-06-20,54.1065
2020-06-21,54.1065
2020-06-22,53.432
2020-06-23,52.7325
2020-06-24,51.5496
2020-06-25,51.9336
2020-06-26,50.803
2020-06-27,50.803
2020-06-28,50.803
2020-06-29,51.0544
2020-06-30,51.4688
2020-07-01,51.1912
2020-07-02,50.5406
2020-07-03,50.5406
2020-07-04,50.5406
2020-07-05,50.5406
2020-07-06,51.3718
2020-07-07,49.5175
2020-07-08,48.9733
2020-07-09,46.1602
2020-07-10,47.5556
2020-07-11,47.5556
2020-07-12,47.5556
2020-07-13,48.3859
2020-07-14,49.6682
2020-07-15,52.066
2020-07-16,52.8548
2020-07-17,53.5749
2020-07-18,53.5749
2020-07-19,53.5749
2020-07-20,51.4164
2020-07-21,51.6654
2020-07-22,52.104
2020-07-23,51.4934
2020-07-24,49.3258
2020-07-25,49.3258
2020-07-26,49.3258
2020-07-27,48.6681
2020-07-28,48.9031
2020-07-29,49.9819
2020-07-30,49.7962
2020-07-31,50.0158
2020-08-01,50.0158
2020-08-02,50.0158
2020-08-03,49.1268
2020-08-04,50.8768
2020-08-05,52.0868
2020-08-06,51.8466
2020-08-07,54.7349
2020-08-08,54.7349
2020-08-09,54.7349
2020-08-10,57.1455
2020-08-11,55.6598
2020-08-12,56.0371
2020-08-13,56.37
2020-08-14,56.3022
2020-08-15,56.3022
2020-08-16,56.3022
2020-08-17,56.6263
2020-08-18,53.5108
2020-08-19,51.9745
2020-08-20,50.3827
2020-08-21,49.4735
