,MKL US Equity
,RSI_30D
2020-01-01,52.6297
2020-01-02,55.0014
2020-01-03,56.1732
2020-01-04,56.1732
2020-01-05,56.1732
2020-01-06,55.9671
2020-01-07,55.8549
2020-01-08,54.0082
2020-01-09,56.6386
2020-01-10,55.7193
2020-01-11,55.7193
2020-01-12,55.7193
2020-01-13,57.0858
2020-01-14,58.8814
2020-01-15,56.7327
2020-01-16,58.996
2020-01-17,60.777
2020-01-18,60.777
2020-01-19,60.777
2020-01-20,60.777
2020-01-21,59.0834
2020-01-22,59.0338
2020-01-23,57.5659
2020-01-24,59.0588
2020-01-25,59.0588
2020-01-26,59.0588
2020-01-27,54.9832
2020-01-28,54.2429
2020-01-29,54.6794
2020-01-30,55.4596
2020-01-31,54.9086
2020-02-01,54.9086
2020-02-02,54.9086
2020-02-03,55.9915
2020-02-04,58.966
2020-02-05,68.7533
2020-02-06,72.6206
2020-02-07,73.1459
2020-02-08,73.1459
2020-02-09,73.1459
2020-02-10,70.948
2020-02-11,72.0479
2020-02-12,72.4183
2020-02-13,73.322
2020-02-14,73.6793
2020-02-15,73.6793
2020-02-16,73.6793
2020-02-17,73.6793
2020-02-18,73.9608
2020-02-19,74.8714
2020-02-20,75.2655
2020-02-21,75.1989
2020-02-22,75.1989
2020-02-23,75.1989
2020-02-24,69.6759
2020-02-25,63.8113
2020-02-26,60.4099
2020-02-27,51.2257
2020-02-28,45.2867
2020-02-29,45.2867
2020-03-01,45.2867
2020-03-02,55.1718
2020-03-03,52.4072
2020-03-04,55.8199
2020-03-05,50.8201
2020-03-06,49.6268
2020-03-07,49.6268
2020-03-08,49.6268
2020-03-09,39.5743
2020-03-10,46.0726
2020-03-11,41.0319
2020-03-12,34.14
2020-03-13,41.3808
2020-03-14,41.3808
2020-03-15,41.3808
2020-03-16,33.404
2020-03-17,34.9478
2020-03-18,32.6754
2020-03-19,35.3718
2020-03-20,33.7545
2020-03-21,33.7545
2020-03-22,33.7545
2020-03-23,32.4701
2020-03-24,38.7433
2020-03-25,38.9679
2020-03-26,43.579
2020-03-27,41.5346
2020-03-28,41.5346
2020-03-29,41.5346
2020-03-30,44.0834
2020-03-31,43.3982
2020-04-01,41.9105
2020-04-02,43.0423
2020-04-03,41.5519
2020-04-04,41.5519
2020-04-05,41.5519
2020-04-06,44.2875
2020-04-07,45.12
2020-04-08,46.8215
2020-04-09,47.9391
2020-04-10,47.9391
2020-04-11,47.9391
2020-04-12,47.9391
2020-04-13,45.5106
2020-04-14,46.9722
2020-04-15,45.4952
2020-04-16,44.8908
2020-04-17,46.3764
2020-04-18,46.3764
2020-04-19,46.3764
2020-04-20,45.3116
2020-04-21,43.8085
2020-04-22,43.4049
2020-04-23,43.5286
2020-04-24,43.4509
2020-04-25,43.4509
2020-04-26,43.4509
2020-04-27,44.6077
2020-04-28,44.9992
2020-04-29,45.1525
2020-04-30,43.1166
2020-05-01,41.743
2020-05-02,41.743
2020-05-03,41.743
2020-05-04,41.2609
2020-05-05,41.6042
2020-05-06,40.7883
2020-05-07,42.4432
2020-05-08,44.5238
2020-05-09,44.5238
2020-05-10,44.5238
2020-05-11,43.985
2020-05-12,42.9485
2020-05-13,40.7571
2020-05-14,42.2336
2020-05-15,43.4127
2020-05-16,43.4127
2020-05-17,43.4127
2020-05-18,44.2149
2020-05-19,44.3766
2020-05-20,45.2674
2020-05-21,45.4741
2020-05-22,45.8702
2020-05-23,45.8702
2020-05-24,45.8702
2020-05-25,45.8702
2020-05-26,49.1889
2020-05-27,50.3667
2020-05-28,49.9106
2020-05-29,47.8311
2020-05-30,47.8311
2020-05-31,47.8311
2020-06-01,47.8534
2020-06-02,50.0681
2020-06-03,52.7513
2020-06-04,53.2361
2020-06-05,55.6048
2020-06-06,55.6048
2020-06-07,55.6048
2020-06-08,57.1823
2020-06-09,55.8932
2020-06-10,52.49
2020-06-11,49.1448
2020-06-12,50.3876
2020-06-13,50.3876
2020-06-14,50.3876
2020-06-15,50.101
2020-06-16,51.403
2020-06-17,50.223
2020-06-18,50.1538
2020-06-19,49.0699
2020-06-20,49.0699
2020-06-21,49.0699
2020-06-22,49.3469
2020-06-23,49.2092
2020-06-24,46.6503
2020-06-25,47.6028
2020-06-26,45.9
2020-06-27,45.9
2020-06-28,45.9
2020-06-29,47.7809
2020-06-30,48.9621
2020-07-01,48.3256
2020-07-02,47.6956
2020-07-03,47.6956
2020-07-04,47.6956
2020-07-05,47.6956
2020-07-06,48.4064
2020-07-07,46.8811
2020-07-08,47.2619
2020-07-09,46.873
2020-07-10,48.6462
2020-07-11,48.6462
2020-07-12,48.6462
2020-07-13,48.4773
2020-07-14,49.7881
2020-07-15,50.9297
2020-07-16,52.0061
2020-07-17,50.7957
2020-07-18,50.7957
2020-07-19,50.7957
2020-07-20,51.0678
2020-07-21,52.0364
2020-07-22,52.4079
2020-07-23,54.8674
2020-07-24,57.089
2020-07-25,57.089
2020-07-26,57.089
2020-07-27,57.0339
2020-07-28,54.7204
2020-07-29,56.292
2020-07-30,58.8785
2020-07-31,58.7898
2020-08-01,58.7898
2020-08-02,58.7898
2020-08-03,59.0818
2020-08-04,58.4426
2020-08-05,60.046
2020-08-06,61.1874
2020-08-07,62.0887
2020-08-08,62.0887
2020-08-09,62.0887
2020-08-10,62.7657
2020-08-11,62.0779
2020-08-12,59.4866
2020-08-13,60.4018
2020-08-14,61.464
2020-08-15,61.464
2020-08-16,61.464
2020-08-17,58.564
2020-08-18,58.4135
2020-08-19,58.6054
2020-08-20,57.8966
2020-08-21,57.9324
2020-08-22,57.9324
2020-08-23,57.9324
2020-08-24,59.7793
2020-08-25,60.3866
2020-08-26,58.9639
2020-08-27,61.3485
2020-08-28,60.2088
2020-08-29,60.2088
2020-08-30,60.2088
2020-08-31,57.9751
2020-09-01,58.0714
2020-09-02,59.516
2020-09-03,57.9929
2020-09-04,54.9306
2020-09-05,54.9306
2020-09-06,54.9306
2020-09-07,54.9306
2020-09-08,50.3201
2020-09-09,52.43
2020-09-10,51.8914
2020-09-11,52.6706
2020-09-12,52.6706
2020-09-13,52.6706
2020-09-14,51.9716
2020-09-15,50.062
2020-09-16,49.7614
2020-09-17,47.6194
2020-09-18,44.4906
2020-09-19,44.4906
2020-09-20,44.4906
2020-09-21,43.1852
2020-09-22,44.5137
2020-09-23,41.9759
2020-09-24,41.9634
2020-09-25,41.7834
2020-09-26,41.7834
2020-09-27,41.7834
2020-09-28,45.6511
2020-09-29,44.6297
2020-09-30,45.2876
2020-10-01,44.4173
2020-10-02,45.8925
2020-10-03,45.8925
2020-10-04,45.8925
2020-10-05,48.4672
2020-10-06,46.4384
2020-10-07,46.8258
2020-10-08,48.8726
2020-10-09,47.3992
2020-10-10,47.3992
2020-10-11,47.3992
2020-10-12,51.7855
2020-10-13,48.1036
2020-10-14,48.0796
2020-10-15,47.4312
2020-10-16,46.1156
2020-10-17,46.1156
2020-10-18,46.1156
2020-10-19,44.2619
2020-10-20,44.8654
2020-10-21,49.3073
2020-10-22,51.5845
2020-10-23,52.8996
2020-10-24,52.8996
2020-10-25,52.8996
2020-10-26,49.3595
2020-10-27,46.6181
2020-10-28,43.4861
2020-10-29,45.324
2020-10-30,43.5092
2020-10-31,43.5092
2020-11-01,43.5092
2020-11-02,46.5537
2020-11-03,48.2111
2020-11-04,48.2228
2020-11-05,49.8876
2020-11-06,48.3961
2020-11-07,48.3961
2020-11-08,48.3961
2020-11-09,53.456
2020-11-10,55.0458
2020-11-11,53.7859
2020-11-12,52.1153
2020-11-13,54.3351
2020-11-14,54.3351
2020-11-15,54.3351
2020-11-16,56.6346
2020-11-17,55.0837
2020-11-18,53.0706
2020-11-19,50.435
2020-11-20,49.392
2020-11-21,49.392
2020-11-22,49.392
2020-11-23,49.5436
2020-11-24,52.288
2020-11-25,50.2618
2020-11-26,50.2618
2020-11-27,49.9968
2020-11-28,49.9968
2020-11-29,49.9968
2020-11-30,47.108
2020-12-01,49.1841
2020-12-02,48.9046
2020-12-03,47.6523
2020-12-04,49.811
2020-12-05,49.811
2020-12-06,49.811
2020-12-07,48.0987
2020-12-08,49.8945
2020-12-09,50.7237
2020-12-10,52.5929
2020-12-11,50.6702
2020-12-12,50.6702
2020-12-13,50.6702
2020-12-14,49.0471
2020-12-15,51.2717
2020-12-16,50.761
2020-12-17,50.8375
2020-12-18,48.4793
2020-12-19,48.4793
2020-12-20,48.4793
2020-12-21,48.5319
2020-12-22,47.739
2020-12-23,48.7315
2020-12-24,48.8773
2020-12-25,48.8773
2020-12-26,48.8773
2020-12-27,48.8773
2020-12-28,48.9922
2020-12-29,49.102
2020-12-30,52.2469
2020-12-31,53.7429
2021-01-01,53.7429
2021-01-02,53.7429
2021-01-03,53.7429
2021-01-04,52.2149
2021-01-05,51.8488
2021-01-06,56.3007
2021-01-07,55.7831
2021-01-08,55.2615
2021-01-09,55.2615
2021-01-10,55.2615
2021-01-11,52.8428
2021-01-12,52.1648
2021-01-13,50.7153
2021-01-14,50.7153
2021-01-15,49.4454
2021-01-16,49.4454
2021-01-17,49.4454
2021-01-18,49.4454
2021-01-19,49.0246
2021-01-20,52.7416
2021-01-21,48.941
2021-01-22,48.0754
2021-01-23,48.0754
2021-01-24,48.0754
2021-01-25,47.6232
2021-01-26,46.8688
2021-01-27,42.4977
2021-01-28,47.3685
2021-01-29,46.0562
2021-01-30,46.0562
2021-01-31,46.0562
2021-02-01,48.4834
2021-02-02,50.601
2021-02-03,54.677
2021-02-04,56.657
2021-02-05,59.19
2021-02-06,59.19
2021-02-07,59.19
2021-02-08,58.0681
2021-02-09,58.8365
2021-02-10,59.855
2021-02-11,61.9958
2021-02-12,58.2853
2021-02-13,58.2853
2021-02-14,58.2853
2021-02-15,58.2853
2021-02-16,55.4624
2021-02-17,56.501
2021-02-18,55.5376
2021-02-19,56.066
2021-02-20,56.066
2021-02-21,56.066
2021-02-22,55.3551
2021-02-23,57.5452
2021-02-24,58.1299
2021-02-25,54.8557
2021-02-26,54.9299
2021-02-27,54.9299
2021-02-28,54.9299
2021-03-01,56.5812
2021-03-02,56.6152
2021-03-03,56.9208
2021-03-04,55.7105
2021-03-05,56.3717
2021-03-06,56.3717
2021-03-07,56.3717
2021-03-08,58.6924
2021-03-09,56.3028
2021-03-10,58.3305
2021-03-11,58.288
2021-03-12,60.4051
2021-03-13,60.4051
2021-03-14,60.4051
2021-03-15,58.8167
2021-03-16,58.5028
