,MSFT US Equity
,RSI_30D
2020-01-01,73.262
2020-01-02,76.0523
2020-01-03,70.816
2020-01-04,70.816
2020-01-05,70.816
2020-01-06,71.236
2020-01-07,67.673
2020-01-08,70.3304
2020-01-09,72.2132
2020-01-10,70.4782
2020-01-11,70.4782
2020-01-12,70.4782
2020-01-13,72.2616
2020-01-14,69.6804
2020-01-15,70.6699
2020-01-16,73.2425
2020-01-17,73.9769
2020-01-18,73.9769
2020-01-19,73.9769
2020-01-20,73.9769
2020-01-21,72.6461
2020-01-22,70.8872
2020-01-23,71.7882
2020-01-24,68.1925
2020-01-25,68.1925
2020-01-26,68.1925
2020-01-27,62.8431
2020-01-28,66.0202
2020-01-29,68.2954
2020-01-30,71.8747
2020-01-31,67.6259
2020-02-01,67.6259
2020-02-02,67.6259
2020-02-03,70.5562
2020-02-04,73.9322
2020-02-05,73.5977
2020-02-06,75.5392
2020-02-07,75.6683
2020-02-08,75.6683
2020-02-09,75.6683
2020-02-10,77.8993
2020-02-11,71.8623
2020-02-12,72.0045
2020-02-13,70.6363
2020-02-14,71.5534
2020-02-15,71.5534
2020-02-16,71.5534
2020-02-17,71.5534
2020-02-18,72.5693
2020-02-19,72.8687
2020-02-20,68.8959
2020-02-21,61.7919
2020-02-22,61.7919
2020-02-23,61.7919
2020-02-24,54.1614
2020-02-25,51.7408
2020-02-26,53.347
2020-02-27,44.5826
2020-02-28,47.4363
2020-02-29,47.4363
2020-03-01,47.4363
2020-03-02,54.2898
2020-03-03,49.1933
2020-03-04,52.5544
2020-03-05,50.1237
2020-03-06,47.6216
2020-03-07,47.6216
2020-03-08,47.6216
2020-03-09,42.5076
2020-03-10,47.947
2020-03-11,44.8408
2020-03-12,39.5441
2020-03-13,48.1424
2020-03-14,48.1424
2020-03-15,48.1424
2020-03-16,40.9996
2020-03-17,45.0189
2020-03-18,43.3292
2020-03-19,44.1412
2020-03-20,42.6735
2020-03-21,42.6735
2020-03-22,42.6735
2020-03-23,42.3016
2020-03-24,46.6416
2020-03-25,46.2284
2020-03-26,49.2395
2020-03-27,47.3272
2020-03-28,47.3272
2020-03-29,47.3272
2020-03-30,50.5883
2020-03-31,49.8246
2020-04-01,48.1535
2020-04-02,49.146
2020-04-03,48.7081
2020-04-04,48.7081
2020-04-05,48.7081
2020-04-06,52.2305
2020-04-07,51.6595
2020-04-08,52.158
2020-04-09,52.1611
2020-04-10,52.1611
2020-04-11,52.1611
2020-04-12,52.1611
2020-04-13,52.28
2020-04-14,54.8478
2020-04-15,54.1776
2020-04-16,55.7629
2020-04-17,56.2364
2020-04-18,56.2364
2020-04-19,56.2364
2020-04-20,54.8579
2020-04-21,52.1532
2020-04-22,54.0003
2020-04-23,53.2173
2020-04-24,54.2404
2020-04-25,54.2404
2020-04-26,54.2404
2020-04-27,54.0451
2020-04-28,52.3902
2020-04-29,54.9545
2020-04-30,55.5333
2020-05-01,53.6736
2020-05-02,53.6736
2020-05-03,53.6736
2020-05-04,55.1049
2020-05-05,55.7409
2020-05-06,56.3342
2020-05-07,56.6919
2020-05-08,57.0625
2020-05-09,57.0625
2020-05-10,57.0625
2020-05-11,57.7756
2020-05-12,55.8069
2020-05-13,54.5521
2020-05-14,54.8489
2020-05-15,55.8545
2020-05-16,55.8545
2020-05-17,55.8545
2020-05-18,56.521
2020-05-19,55.8826
2020-05-20,56.885
2020-05-21,55.7348
2020-05-22,55.768
2020-05-23,55.768
2020-05-24,55.768
2020-05-25,55.768
2020-05-26,54.7383
2020-05-27,54.845
2020-05-28,54.6175
2020-05-29,55.4796
2020-05-30,55.4796
2020-05-31,55.4796
2020-06-01,55.2332
2020-06-02,56.2292
2020-06-03,56.4461
2020-06-04,54.9197
2020-06-05,57.0283
2020-06-06,57.0283
2020-06-07,57.0283
2020-06-08,57.5846
2020-06-09,58.2781
2020-06-10,61.4648
2020-06-11,54.9464
2020-06-12,55.6235
2020-06-13,55.6235
2020-06-14,55.6235
2020-06-15,56.1796
2020-06-16,58.267
2020-06-17,58.5625
2020-06-18,59.4839
2020-06-19,58.7241
2020-06-20,58.7241
2020-06-21,58.7241
2020-06-22,61.1048
2020-06-23,61.6703
2020-06-24,58.9764
2020-06-25,60.0843
2020-06-26,57.5072
2020-06-27,57.5072
2020-06-28,57.5072
2020-06-29,58.4767
2020-06-30,60.7051
2020-07-01,61.2105
2020-07-02,61.8756
2020-07-03,61.8756
2020-07-04,61.8756
2020-07-05,61.8756
2020-07-06,63.7076
2020-07-07,62.0067
2020-07-08,63.872
2020-07-09,64.4592
2020-07-10,63.9898
2020-07-11,63.9898
2020-07-12,63.9898
2020-07-13,59.4431
2020-07-14,60.0132
2020-07-15,59.8026
2020-07-16,57.0503
2020-07-17,56.3728
2020-07-18,56.3728
2020-07-19,56.3728
2020-07-20,60.4469
2020-07-21,58.5968
2020-07-22,59.9322
2020-07-23,54.3635
2020-07-24,53.6689
2020-07-25,53.6689
2020-07-26,53.6689
2020-07-27,54.8949
2020-07-28,53.8373
2020-07-29,54.8406
2020-07-30,54.744
2020-07-31,55.3086
2020-08-01,55.3086
2020-08-02,55.3086
2020-08-03,60.5916
2020-08-04,58.5726
2020-08-05,58.356
2020-08-06,59.8525
2020-08-07,57.4296
2020-08-08,57.4296
2020-08-09,57.4296
2020-08-10,54.9159
2020-08-11,52.195
2020-08-12,54.9498
2020-08-13,54.6749
2020-08-14,54.7704
2020-08-15,54.7704
2020-08-16,54.7704
2020-08-17,55.4408
2020-08-18,56.0319
2020-08-19,55.2282
2020-08-20,57.6253
2020-08-21,56.6228
2020-08-22,56.6228
2020-08-23,56.6228
2020-08-24,56.9555
2020-08-25,58.3275
2020-08-26,60.5191
2020-08-27,62.8633
2020-08-28,63.817
2020-08-29,63.817
2020-08-30,63.817
2020-08-31,61.4489
2020-09-01,62.196
2020-09-02,64.012
2020-09-03,55.0495
2020-09-04,53.4054
2020-09-05,53.4054
2020-09-06,53.4054
2020-09-07,53.4054
2020-09-08,47.7942
2020-09-09,51.703
2020-09-10,49.0945
2020-09-11,48.5213
2020-09-12,48.5213
2020-09-13,48.5213
2020-09-14,49.1538
2020-09-15,50.6844
2020-09-16,48.9956
2020-09-17,48.0455
2020-09-18,46.9367
2020-09-19,46.9367
2020-09-20,46.9367
2020-09-21,47.996
2020-09-22,50.3243
2020-09-23,47.2607
2020-09-24,48.4954
2020-09-25,50.6249
2020-09-26,50.6249
2020-09-27,50.6249
2020-09-28,51.3529
2020-09-29,50.3201
2020-09-30,51.7343
2020-10-01,52.7007
2020-10-02,49.6721
2020-10-03,49.6721
2020-10-04,49.6721
2020-10-05,51.5951
2020-10-06,49.5074
2020-10-07,51.2953
2020-10-08,51.6342
2020-10-09,53.9463
2020-10-10,53.9463
2020-10-11,53.9463
2020-10-12,56.2583
2020-10-13,56.8436
2020-10-14,55.7857
2020-10-15,55.1486
2020-10-16,55.1486
2020-10-17,55.1486
2020-10-18,55.1486
2020-10-19,52.2537
2020-10-20,52.4577
2020-10-21,52.531
2020-10-22,52.5763
2020-10-23,53.2637
2020-10-24,53.2637
2020-10-25,53.2637
2020-10-26,49.8341
2020-10-27,51.4993
2020-10-28,46.2085
2020-10-29,47.2897
2020-10-30,46.2295
2020-10-31,46.2295
2020-11-01,46.2295
2020-11-02,46.1629
2020-11-03,48.4148
2020-11-04,53.3215
2020-11-05,56.3004
2020-11-06,56.4794
2020-11-07,56.4794
2020-11-08,56.4794
2020-11-09,53.6602
2020-11-10,50.0796
2020-11-11,52.539
2020-11-12,52.0079
2020-11-13,52.4868
2020-11-14,52.4868
2020-11-15,52.4868
2020-11-16,52.8146
2020-11-17,51.4033
2020-11-18,49.9927
2020-11-19,50.6583
2020-11-20,49.6232
2020-11-21,49.6232
2020-11-22,49.6232
2020-11-23,49.479
2020-11-24,51.4349
2020-11-25,51.4401
2020-11-26,51.4401
2020-11-27,52.1589
2020-11-28,52.1589
2020-11-29,52.1589
2020-11-30,51.4864
2020-12-01,52.6514
2020-12-02,52.143
2020-12-03,51.4515
2020-12-04,51.5222
2020-12-05,51.5222
2020-12-06,51.5222
2020-12-07,51.477
2020-12-08,52.5351
2020-12-09,49.7861
2020-12-10,48.9801
2020-12-11,50.746
2020-12-12,50.746
2020-12-13,50.746
2020-12-14,51.3437
2020-12-15,51.2958
2020-12-16,54.528
2020-12-17,54.6127
2020-12-18,53.9958
2020-12-19,53.9958
2020-12-20,53.9958
2020-12-21,56.4484
2020-12-22,57.2442
2020-12-23,54.9956
2020-12-24,56.0536
2020-12-25,56.0536
2020-12-26,56.0536
2020-12-27,56.0536
2020-12-28,57.3778
2020-12-29,56.7297
2020-12-30,54.7778
2020-12-31,55.255
2021-01-01,55.255
2021-01-02,55.255
2021-01-03,55.255
2021-01-04,51.6515
2021-01-05,51.7959
2021-01-06,47.8213
2021-01-07,51.9029
2021-01-08,52.7449
2021-01-09,52.7449
2021-01-10,52.7449
2021-01-11,51.2582
2021-01-12,49.5227
2021-01-13,50.4781
2021-01-14,48.2535
2021-01-15,48.0096
2021-01-16,48.0096
2021-01-17,48.0096
2021-01-18,48.0096
2021-01-19,50.6529
2021-01-20,55.5284
2021-01-21,55.8879
2021-01-22,56.4545
2021-01-23,56.4545
2021-01-24,56.4545
2021-01-25,58.4701
2021-01-26,59.9693
2021-01-27,60.2713
2021-01-28,63.3014
2021-01-29,58.0108
2021-01-30,58.0108
2021-01-31,58.0108
2021-02-01,61.6674
2021-02-02,61.5664
2021-02-03,63.1235
2021-02-04,62.3819
2021-02-05,62.4694
2021-02-06,62.4694
2021-02-07,62.4694
2021-02-08,62.5974
2021-02-09,63.222
2021-02-10,62.4338
2021-02-11,63.2666
2021-02-12,63.5171
2021-02-13,63.5171
2021-02-14,63.5171
2021-02-15,63.5171
2021-02-16,62.3817
2021-02-17,62.946
2021-02-18,62.5705
2021-02-19,60.0224
2021-02-20,60.0224
2021-02-21,60.0224
2021-02-22,54.7398
2021-02-23,53.7996
2021-02-24,54.6317
2021-02-25,50.5412
2021-02-26,52.7716
2021-02-27,52.7716
2021-02-28,52.7716
2021-03-01,55.5603
2021-03-02,53.3657
2021-03-03,49.231
2021-03-04,48.7174
2021-03-05,51.7714
2021-03-06,51.7714
2021-03-07,51.7714
2021-03-08,49.1536
2021-03-09,52.8936
2021-03-10,52.0507
2021-03-11,54.6405
2021-03-12,53.7604
2021-03-13,53.7604
2021-03-14,53.7604
2021-03-15,53.1571
2021-03-16,54.7768
2021-03-17,54.3278
2021-03-18,50.3044
2021-03-19,50.0798
2021-03-20,50.0798
2021-03-21,50.0798
2021-03-22,53.3635
2021-03-23,54.2413
2021-03-24,52.8687
2021-03-25,50.9075
2021-03-26,53.2862
2021-03-27,53.2862
2021-03-28,53.2862
2021-03-29,52.4981
2021-03-30,50.3902
2021-03-31,52.6637
2021-04-01,56.1531
2021-04-02,56.1531
2021-04-03,56.1531
2021-04-04,56.1531
2021-04-05,59.3211
2021-04-06,58.5333
2021-04-07,59.472
2021-04-08,60.9727
2021-04-09,62.0996
2021-04-10,62.0996
2021-04-11,62.0996
2021-04-12,62.1257
2021-04-13,63.2516
2021-04-14,61.1382
2021-04-15,62.8686
2021-04-16,63.4032
2021-04-17,63.4032
2021-04-18,63.4032
2021-04-19,61.9158
2021-04-20,61.5573
2021-04-21,62.639
2021-04-22,60.0689
2021-04-23,61.9537
2021-04-24,61.9537
2021-04-25,61.9537
2021-04-26,62.1395
2021-04-27,62.3393
2021-04-28,56.8632
2021-04-29,55.4687
2021-04-30,55.2431
2021-05-01,55.2431
2021-05-02,55.2431
2021-05-03,55.0186
2021-05-04,52.2264
2021-05-05,51.3521
2021-05-06,53.3476
2021-05-07,54.9484
2021-05-08,54.9484
2021-05-09,54.9484
2021-05-10,51.4182
2021-05-11,50.8107
2021-05-12,46.486
2021-05-13,48.9895
2021-05-14,51.9442
2021-05-15,51.9442
2021-05-16,51.9442
2021-05-17,50.1993
2021-05-18,48.9955
2021-05-19,49.3553
2021-05-20,51.3437
2021-05-21,50.5433
2021-05-22,50.5433
2021-05-23,50.5433
2021-05-24,53.7381
2021-05-25,54.2504
2021-05-26,54.0988
2021-05-27,52.6557
2021-05-28,52.8764
2021-05-29,52.8764
2021-05-30,52.8764
2021-05-31,52.8764
2021-06-01,51.3505
2021-06-02,51.2834
2021-06-03,50.2036
2021-06-04,53.4435
2021-06-05,53.4435
2021-06-06,53.4435
2021-06-07,55.2347
2021-06-08,54.3466
2021-06-09,54.9628
2021-06-10,57.106
2021-06-11,57.4788
2021-06-12,57.4788
2021-06-13,57.4788
2021-06-14,58.6234
2021-06-15,57.4006
2021-06-16,56.6181
2021-06-17,58.7096
2021-06-18,57.5118
2021-06-19,57.5118
2021-06-20,57.5118
2021-06-21,59.3782
2021-06-22,60.9743
2021-06-23,60.7727
2021-06-24,61.5642
2021-06-25,60.0842
2021-06-26,60.0842
2021-06-27,60.0842
2021-06-28,62.1686
2021-06-29,63.5932
2021-06-30,63.1344
2021-07-01,63.5156
2021-07-02,66.6036
2021-07-03,66.6036
2021-07-04,66.6036
2021-07-05,66.6036
2021-07-06,66.6084
2021-07-07,67.7057
2021-07-08,65.2529
2021-07-09,65.5206
2021-07-10,65.5206
2021-07-11,65.5206
