,MTG US Equity
,RSI_30D
2020-01-01,56.4232
2020-01-02,56.1959
2020-01-03,53.7324
2020-01-04,53.7324
2020-01-05,53.7324
2020-01-06,52.6472
2020-01-07,50.1334
2020-01-08,48.925
2020-01-09,53.0245
2020-01-10,50.2433
2020-01-11,50.2433
2020-01-12,50.2433
2020-01-13,49.4763
2020-01-14,49.2817
2020-01-15,50.6861
2020-01-16,52.9942
2020-01-17,54.1053
2020-01-18,54.1053
2020-01-19,54.1053
2020-01-20,54.1053
2020-01-21,53.0248
2020-01-22,53.4098
2020-01-23,52.3012
2020-01-24,47.5998
2020-01-25,47.5998
2020-01-26,47.5998
2020-01-27,45.573
2020-01-28,47.8693
2020-01-29,47.8693
2020-01-30,50.1213
2020-01-31,48.1646
2020-02-01,48.1646
2020-02-02,48.1646
2020-02-03,53.9322
2020-02-04,56.5155
2020-02-05,60.2616
2020-02-06,57.3148
2020-02-07,55.0855
2020-02-08,55.0855
2020-02-09,55.0855
2020-02-10,54.5345
2020-02-11,54.8459
2020-02-12,49.1048
2020-02-13,48.4686
2020-02-14,45.4246
2020-02-15,45.4246
2020-02-16,45.4246
2020-02-17,45.4246
2020-02-18,45.2775
2020-02-19,40.8942
2020-02-20,44.3759
2020-02-21,42.8106
2020-02-22,42.8106
2020-02-23,42.8106
2020-02-24,39.2318
2020-02-25,36.4965
2020-02-26,34.7607
2020-02-27,31.49
2020-02-28,29.8826
2020-02-29,29.8826
2020-03-01,29.8826
2020-03-02,40.6312
2020-03-03,41.4055
2020-03-04,44.2871
2020-03-05,41.8787
2020-03-06,38.8523
2020-03-07,38.8523
2020-03-08,38.8523
2020-03-09,31.5744
2020-03-10,31.3554
2020-03-11,27.2502
2020-03-12,24.2754
2020-03-13,24.4998
2020-03-14,24.4998
2020-03-15,24.4998
2020-03-16,19.0424
2020-03-17,19.0424
2020-03-18,15.2512
2020-03-19,26.7079
2020-03-20,25.2975
2020-03-21,25.2975
2020-03-22,25.2975
2020-03-23,22.3033
2020-03-24,26.346
2020-03-25,29.8323
2020-03-26,38.3811
2020-03-27,37.5733
2020-03-28,37.5733
2020-03-29,37.5733
2020-03-30,34.9493
2020-03-31,33.451
2020-04-01,31.7477
2020-04-02,32.6931
2020-04-03,30.8581
2020-04-04,30.8581
2020-04-05,30.8581
2020-04-06,34.1737
2020-04-07,37.49
2020-04-08,38.8962
2020-04-09,41.4604
2020-04-10,41.4604
2020-04-11,41.4604
2020-04-12,41.4604
2020-04-13,39.3011
