,MXL US Equity
,RSI_30D
2020-01-01,48.2827
2020-01-02,50.0142
2020-01-03,47.663
2020-01-04,47.663
2020-01-05,47.663
2020-01-06,45.9055
2020-01-07,47.6853
2020-01-08,48.43
2020-01-09,45.3309
2020-01-10,47.2125
2020-01-11,47.2125
2020-01-12,47.2125
2020-01-13,48.6744
2020-01-14,49.6026
2020-01-15,46.1491
2020-01-16,49.294
2020-01-17,50.7341
2020-01-18,50.7341
2020-01-19,50.7341
2020-01-20,50.7341
2020-01-21,49.7117
2020-01-22,50.7387
2020-01-23,51.2778
2020-01-24,50.5494
2020-01-25,50.5494
2020-01-26,50.5494
2020-01-27,47.414
2020-01-28,49.0738
2020-01-29,46.6917
2020-01-30,45.7273
2020-01-31,41.5043
2020-02-01,41.5043
2020-02-02,41.5043
2020-02-03,40.9179
2020-02-04,39.7183
2020-02-05,44.1953
2020-02-06,38.3088
2020-02-07,37.958
2020-02-08,37.958
2020-02-09,37.958
2020-02-10,38.905
2020-02-11,41.0262
2020-02-12,41.1294
2020-02-13,40.4344
2020-02-14,39.8117
2020-02-15,39.8117
2020-02-16,39.8117
2020-02-17,39.8117
2020-02-18,41.6701
2020-02-19,41.8885
2020-02-20,41.6065
2020-02-21,38.8615
2020-02-22,38.8615
2020-02-23,38.8615
2020-02-24,35.0235
2020-02-25,33.5214
2020-02-26,33.8734
2020-02-27,31.4871
2020-02-28,31.2675
2020-02-29,31.2675
2020-03-01,31.2675
2020-03-02,30.768
2020-03-03,29.8631
2020-03-04,33.9433
2020-03-05,30.7154
2020-03-06,30.1575
2020-03-07,30.1575
2020-03-08,30.1575
2020-03-09,26.12
2020-03-10,28.2075
2020-03-11,26.9631
2020-03-12,24.1853
2020-03-13,28.9962
2020-03-14,28.9962
2020-03-15,28.9962
2020-03-16,26.3314
2020-03-17,30.9031
2020-03-18,25.9397
2020-03-19,29.5975
2020-03-20,29.8216
2020-03-21,29.8216
2020-03-22,29.8216
2020-03-23,29.562
2020-03-24,34.7407
2020-03-25,34.425
2020-03-26,35.844
2020-03-27,35.4669
2020-03-28,35.4669
2020-03-29,35.4669
2020-03-30,38.8307
2020-03-31,39.7445
2020-04-01,37.1106
2020-04-02,38.7034
2020-04-03,38.3189
2020-04-04,38.3189
2020-04-05,38.3189
2020-04-06,48.2967
2020-04-07,50.4318
2020-04-08,50.5532
2020-04-09,50.046
2020-04-10,50.046
2020-04-11,50.046
2020-04-12,50.046
2020-04-13,50.0978
2020-04-14,51.7036
2020-04-15,50.7499
2020-04-16,49.8797
2020-04-17,51.02
2020-04-18,51.02
2020-04-19,51.02
2020-04-20,50.0386
2020-04-21,49.6715
2020-04-22,51.7828
2020-04-23,52.8201
2020-04-24,53.6881
2020-04-25,53.6881
2020-04-26,53.6881
2020-04-27,56.2388
2020-04-28,54.0698
2020-04-29,59.8504
2020-04-30,53.0048
2020-05-01,51.0956
2020-05-02,51.0956
2020-05-03,51.0956
2020-05-04,50.9738
2020-05-05,51.8055
2020-05-06,52.1175
2020-05-07,52.0907
2020-05-08,53.7419
2020-05-09,53.7419
2020-05-10,53.7419
2020-05-11,54.3732
2020-05-12,52.2455
2020-05-13,50.8459
2020-05-14,52.1461
2020-05-15,50.3017
2020-05-16,50.3017
2020-05-17,50.3017
2020-05-18,53.925
2020-05-19,52.3352
2020-05-20,54.4433
2020-05-21,51.5488
2020-05-22,53.0549
2020-05-23,53.0549
2020-05-24,53.0549
2020-05-25,53.0549
2020-05-26,54.4047
2020-05-27,55.8318
2020-05-28,52.7674
2020-05-29,53.5148
2020-05-30,53.5148
2020-05-31,53.5148
2020-06-01,53.4601
2020-06-02,56.0618
2020-06-03,58.0543
2020-06-04,58.707
2020-06-05,61.838
2020-06-06,61.838
2020-06-07,61.838
2020-06-08,60.871
2020-06-09,59.3703
2020-06-10,58.0381
