,NRC US Equity
,RSI_30D
2020-01-01,65.1415
2020-01-02,64.5909
2020-01-03,66.6725
2020-01-04,66.6725
2020-01-05,66.6725
2020-01-06,69.4585
2020-01-07,63.3251
2020-01-08,65.2164
2020-01-09,65.401
2020-01-10,64.973
2020-01-11,64.973
2020-01-12,64.973
2020-01-13,66.6655
2020-01-14,61.069
2020-01-15,61.5546
2020-01-16,60.6416
2020-01-17,60.1145
2020-01-18,60.1145
2020-01-19,60.1145
2020-01-20,60.1145
2020-01-21,65.5037
2020-01-22,65.796
2020-01-23,66.4704
2020-01-24,63.6732
2020-01-25,63.6732
2020-01-26,63.6732
2020-01-27,64.7864
2020-01-28,65.834
2020-01-29,62.5392
2020-01-30,62.1886
2020-01-31,57.4619
2020-02-01,57.4619
2020-02-02,57.4619
2020-02-03,61.1079
2020-02-04,58.8361
2020-02-05,60.6485
2020-02-06,60.1962
2020-02-07,55.661
2020-02-08,55.661
2020-02-09,55.661
2020-02-10,55.3546
2020-02-11,55.691
2020-02-12,55.8416
2020-02-13,58.7423
2020-02-14,57.5413
2020-02-15,57.5413
2020-02-16,57.5413
2020-02-17,57.5413
2020-02-18,57.2317
2020-02-19,57.0296
2020-02-20,53.8018
2020-02-21,54.2675
2020-02-22,54.2675
2020-02-23,54.2675
2020-02-24,50.1615
2020-02-25,51.255
2020-02-26,43.4707
2020-02-27,36.1311
2020-02-28,31.8418
2020-02-29,31.8418
2020-03-01,31.8418
2020-03-02,34.8263
2020-03-03,32.0341
2020-03-04,38.2999
2020-03-05,35.1919
2020-03-06,36.1595
2020-03-07,36.1595
2020-03-08,36.1595
2020-03-09,34.1127
2020-03-10,37.4319
2020-03-11,35.2723
2020-03-12,28.3095
2020-03-13,32.4802
2020-03-14,32.4802
2020-03-15,32.4802
2020-03-16,26.7694
2020-03-17,33.6887
2020-03-18,29.9597
2020-03-19,36.9878
2020-03-20,35.6837
2020-03-21,35.6837
2020-03-22,35.6837
2020-03-23,36.8736
2020-03-24,41.1757
2020-03-25,39.0828
2020-03-26,42.1177
2020-03-27,40.2975
2020-03-28,40.2975
2020-03-29,40.2975
2020-03-30,42.6513
2020-03-31,43.1798
2020-04-01,42.6296
2020-04-02,42.8095
2020-04-03,41.2054
2020-04-04,41.2054
2020-04-05,41.2054
2020-04-06,45.2557
2020-04-07,44.2718
2020-04-08,45.7758
2020-04-09,45.6587
2020-04-10,45.6587
2020-04-11,45.6587
2020-04-12,45.6587
2020-04-13,45.9784
2020-04-14,47.5246
2020-04-15,46.2301
2020-04-16,47.5053
2020-04-17,51.3927
2020-04-18,51.3927
2020-04-19,51.3927
2020-04-20,49.2257
2020-04-21,48.3329
2020-04-22,50.0269
2020-04-23,49.0216
2020-04-24,49.3053
2020-04-25,49.3053
2020-04-26,49.3053
2020-04-27,51.1458
2020-04-28,50.829
2020-04-29,52.7797
2020-04-30,49.3724
2020-05-01,50.5663
2020-05-02,50.5663
2020-05-03,50.5663
2020-05-04,49.7117
2020-05-05,50.5596
2020-05-06,51.6567
2020-05-07,51.0446
2020-05-08,54.0235
2020-05-09,54.0235
2020-05-10,54.0235
2020-05-11,53.0045
2020-05-12,48.8385
2020-05-13,47.9468
2020-05-14,47.1508
2020-05-15,47.8688
2020-05-16,47.8688
2020-05-17,47.8688
2020-05-18,51.3392
2020-05-19,49.538
2020-05-20,50.089
2020-05-21,50.3016
2020-05-22,50.0457
2020-05-23,50.0457
2020-05-24,50.0457
2020-05-25,50.0457
2020-05-26,51.352
2020-05-27,53.0924
2020-05-28,51.5511
2020-05-29,53.5011
2020-05-30,53.5011
2020-05-31,53.5011
2020-06-01,52.0162
2020-06-02,52.2346
2020-06-03,53.9181
2020-06-04,55.0171
2020-06-05,53.5734
2020-06-06,53.5734
2020-06-07,53.5734
2020-06-08,55.2666
2020-06-09,54.2839
2020-06-10,51.3227
2020-06-11,48.0302
2020-06-12,49.565
2020-06-13,49.565
2020-06-14,49.565
2020-06-15,50.0249
2020-06-16,51.578
2020-06-17,50.5925
2020-06-18,50.8753
2020-06-19,51.0492
2020-06-20,51.0492
2020-06-21,51.0492
2020-06-22,51.7849
2020-06-23,53.3141
2020-06-24,49.9922
2020-06-25,51.3923
2020-06-26,48.467
2020-06-27,48.467
