,PEG US Equity
,RSI_30D
2020-01-01,43.6628
2020-01-02,42.0242
2020-01-03,41.9763
2020-01-04,41.9763
2020-01-05,41.9763
2020-01-06,39.3312
2020-01-07,37.0834
2020-01-08,39.5124
2020-01-09,42.4493
2020-01-10,41.9003
2020-01-11,41.9003
2020-01-12,41.9003
2020-01-13,41.668
2020-01-14,42.525
2020-01-15,46.9303
2020-01-16,46.5662
2020-01-17,47.4102
2020-01-18,47.4102
2020-01-19,47.4102
2020-01-20,47.4102
2020-01-21,49.6997
2020-01-22,53.7089
2020-01-23,60.0357
2020-01-24,59.5678
2020-01-25,59.5678
2020-01-26,59.5678
2020-01-27,52.9507
2020-01-28,49.5096
2020-01-29,51.3835
2020-01-30,50.9287
2020-01-31,47.4533
2020-02-01,47.4533
2020-02-02,47.4533
2020-02-03,48.0492
2020-02-04,46.9476
2020-02-05,47.9448
2020-02-06,44.0683
2020-02-07,41.7525
2020-02-08,41.7525
2020-02-09,41.7525
2020-02-10,40.8363
2020-02-11,42.7361
2020-02-12,44.6241
2020-02-13,45.3411
2020-02-14,45.9206
2020-02-15,45.9206
2020-02-16,45.9206
2020-02-17,45.9206
2020-02-18,48.4641
2020-02-19,47.9457
2020-02-20,49.2559
2020-02-21,52.6875
2020-02-22,52.6875
2020-02-23,52.6875
2020-02-24,48.9553
2020-02-25,42.6976
2020-02-26,37.3517
2020-02-27,31.3865
2020-02-28,28.6515
2020-02-29,28.6515
2020-03-01,28.6515
2020-03-02,37.3411
2020-03-03,36.0907
2020-03-04,43.6087
2020-03-05,40.5038
2020-03-06,42.4638
2020-03-07,42.4638
2020-03-08,42.4638
2020-03-09,36.5528
2020-03-10,41.8026
2020-03-11,35.897
2020-03-12,31.3483
2020-03-13,30.91
2020-03-14,30.91
2020-03-15,30.91
2020-03-16,27.4984
2020-03-17,33.044
2020-03-18,29.0826
2020-03-19,30.6528
2020-03-20,29.6346
2020-03-21,29.6346
2020-03-22,29.6346
2020-03-23,28.9122
2020-03-24,35.5495
2020-03-25,35.7237
2020-03-26,40.447
2020-03-27,41.1212
2020-03-28,41.1212
2020-03-29,41.1212
2020-03-30,41.1652
2020-03-31,41.7652
2020-04-01,39.5535
2020-04-02,43.2077
2020-04-03,42.2319
2020-04-04,42.2319
2020-04-05,42.2319
2020-04-06,45.6675
2020-04-07,46.5653
2020-04-08,50.6927
2020-04-09,53.0475
2020-04-10,53.0475
2020-04-11,53.0475
2020-04-12,53.0475
2020-04-13,51.4778
2020-04-14,53.4866
2020-04-15,51.6983
2020-04-16,51.8794
2020-04-17,54.578
2020-04-18,54.578
2020-04-19,54.578
2020-04-20,51.2072
2020-04-21,49.1405
2020-04-22,50.3746
2020-04-23,49.5417
2020-04-24,50.6969
2020-04-25,50.6969
2020-04-26,50.6969
2020-04-27,51.433
2020-04-28,51.2721
2020-04-29,51.7762
2020-04-30,49.7603
2020-05-01,48.1739
2020-05-02,48.1739
2020-05-03,48.1739
2020-05-04,47.8462
2020-05-05,48.7807
2020-05-06,46.5731
2020-05-07,46.2946
2020-05-08,47.6326
2020-05-09,47.6326
2020-05-10,47.6326
2020-05-11,46.9072
2020-05-12,45.1599
2020-05-13,42.9829
2020-05-14,45.381
2020-05-15,44.0558
2020-05-16,44.0558
2020-05-17,44.0558
2020-05-18,49.3681
2020-05-19,48.3307
2020-05-20,48.659
2020-05-21,47.8044
2020-05-22,47.8741
2020-05-23,47.8741
2020-05-24,47.8741
2020-05-25,47.8741
2020-05-26,49.6528
2020-05-27,50.3511
2020-05-28,51.8678
2020-05-29,51.8814
2020-05-30,51.8814
2020-05-31,51.8814
2020-06-01,53.4831
2020-06-02,53.5508
2020-06-03,54.2133
2020-06-04,52.8963
2020-06-05,55.0443
2020-06-06,55.0443
2020-06-07,55.0443
2020-06-08,58.2815
2020-06-09,55.2792
2020-06-10,53.01
2020-06-11,49.8424
2020-06-12,49.4395
2020-06-13,49.4395
2020-06-14,49.4395
2020-06-15,49.715
2020-06-16,50.9091
2020-06-17,50.5156
2020-06-18,50.3762
2020-06-19,47.856
2020-06-20,47.856
2020-06-21,47.856
2020-06-22,48.53
2020-06-23,48.3913
2020-06-24,47.0322
2020-06-25,46.739
2020-06-26,46.0051
2020-06-27,46.0051
2020-06-28,46.0051
2020-06-29,49.0181
2020-06-30,48.9355
2020-07-01,49.9647
2020-07-02,50.5932
2020-07-03,50.5932
2020-07-04,50.5932
2020-07-05,50.5932
2020-07-06,51.4863
2020-07-07,50.8708
2020-07-08,51.916
2020-07-09,49.8722
2020-07-10,51.3401
2020-07-11,51.3401
2020-07-12,51.3401
2020-07-13,53.4888
2020-07-14,52.9143
2020-07-15,54.4502
2020-07-16,55.3239
2020-07-17,58.8022
2020-07-18,58.8022
2020-07-19,58.8022
2020-07-20,54.2515
2020-07-21,53.2147
2020-07-22,54.395
2020-07-23,53.8485
2020-07-24,52.9831
2020-07-25,52.9831
2020-07-26,52.9831
2020-07-27,52.4285
2020-07-28,53.1889
2020-07-29,53.5183
2020-07-30,53.0889
2020-07-31,59.1127
2020-08-01,59.1127
2020-08-02,59.1127
2020-08-03,56.0307
2020-08-04,57.8553
2020-08-05,55.6876
2020-08-06,55.7677
2020-08-07,57.3933
2020-08-08,57.3933
2020-08-09,57.3933
2020-08-10,56.7586
2020-08-11,54.9158
2020-08-12,56.6689
2020-08-13,56.5187
2020-08-14,55.8842
2020-08-15,55.8842
2020-08-16,55.8842
2020-08-17,54.8949
2020-08-18,54.4737
2020-08-19,54.0447
2020-08-20,52.9327
2020-08-21,51.6536
2020-08-22,51.6536
2020-08-23,51.6536
2020-08-24,52.9333
2020-08-25,52.2412
2020-08-26,49.6658
2020-08-27,49.3159
2020-08-28,49.0255
2020-08-29,49.0255
2020-08-30,49.0255
2020-08-31,49.2159
2020-09-01,46.4359
2020-09-02,50.8801
2020-09-03,48.9332
2020-09-04,50.0224
2020-09-05,50.0224
2020-09-06,50.0224
2020-09-07,50.0224
2020-09-08,49.9543
2020-09-09,53.1033
2020-09-10,50.5055
2020-09-11,50.7042
2020-09-12,50.7042
2020-09-13,50.7042
2020-09-14,50.908
2020-09-15,48.9757
2020-09-16,52.0388
2020-09-17,50.2809
2020-09-18,48.2615
2020-09-19,48.2615
2020-09-20,48.2615
2020-09-21,47.9115
2020-09-22,50.9041
2020-09-23,49.6556
2020-09-24,53.0154
2020-09-25,54.3571
2020-09-26,54.3571
2020-09-27,54.3571
2020-09-28,54.8022
2020-09-29,55.7159
2020-09-30,55.9412
2020-10-01,56.2758
2020-10-02,58.087
2020-10-03,58.087
2020-10-04,58.087
2020-10-05,58.8288
2020-10-06,57.6311
2020-10-07,59.9032
2020-10-08,62.4301
2020-10-09,60.0305
2020-10-10,60.0305
2020-10-11,60.0305
2020-10-12,60.4054
2020-10-13,60.7103
2020-10-14,60.905
2020-10-15,61.7481
2020-10-16,63.7242
2020-10-17,63.7242
2020-10-18,63.7242
2020-10-19,63.7242
2020-10-20,64.4541
2020-10-21,63.2059
2020-10-22,65.7121
2020-10-23,65.8014
2020-10-24,65.8014
2020-10-25,65.8014
2020-10-26,65.9115
2020-10-27,65.9493
2020-10-28,58.2011
2020-10-29,60.3608
2020-10-30,55.854
2020-10-31,55.854
2020-11-01,55.854
2020-11-02,56.5803
2020-11-03,58.3123
2020-11-04,55.7618
2020-11-05,56.5943
2020-11-06,55.568
2020-11-07,55.568
