,RUTH US Equity
,RSI_30D
2020-01-01,54.8739
2020-01-02,56.5385
2020-01-03,56.722
2020-01-04,56.722
2020-01-05,56.722
2020-01-06,55.6457
2020-01-07,55.6457
2020-01-08,56.9978
2020-01-09,55.9682
2020-01-10,54.0214
2020-01-11,54.0214
2020-01-12,54.0214
2020-01-13,54.8931
2020-01-14,51.8428
2020-01-15,53.6202
2020-01-16,55.719
2020-01-17,55.719
2020-01-18,55.719
2020-01-19,55.719
2020-01-20,55.719
2020-01-21,47.8362
2020-01-22,45.9954
2020-01-23,46.4409
2020-01-24,44.5924
2020-01-25,44.5924
2020-01-26,44.5924
2020-01-27,41.0161
2020-01-28,40.8279
2020-01-29,39.6061
2020-01-30,47.6477
2020-01-31,47.1942
2020-02-01,47.1942
2020-02-02,47.1942
2020-02-03,47.5955
2020-02-04,45.2089
2020-02-05,48.8238
2020-02-06,50.2561
2020-02-07,47.8936
2020-02-08,47.8936
2020-02-09,47.8936
2020-02-10,49.0779
2020-02-11,52.4806
2020-02-12,53.4883
2020-02-13,52.8807
2020-02-14,53.6239
2020-02-15,53.6239
2020-02-16,53.6239
2020-02-17,53.6239
2020-02-18,56.7743
2020-02-19,60.9889
2020-02-20,62.6004
2020-02-21,54.8264
2020-02-22,54.8264
2020-02-23,54.8264
2020-02-24,48.1904
2020-02-25,44.9032
2020-02-26,42.7911
2020-02-27,40.4537
2020-02-28,43.1585
2020-02-29,43.1585
2020-03-01,43.1585
2020-03-02,45.7096
2020-03-03,43.5006
2020-03-04,42.2337
2020-03-05,37.3218
2020-03-06,36.5014
2020-03-07,36.5014
2020-03-08,36.5014
2020-03-09,32.2139
2020-03-10,33.4333
2020-03-11,31.5727
2020-03-12,28.4365
2020-03-13,30.5918
2020-03-14,30.5918
2020-03-15,30.5918
2020-03-16,24.8144
2020-03-17,21.8081
2020-03-18,20.6819
2020-03-19,21.6781
2020-03-20,21.3544
2020-03-21,21.3544
2020-03-22,21.3544
2020-03-23,22.4159
2020-03-24,28.5318
2020-03-25,31.3033
2020-03-26,33.6808
2020-03-27,32.2644
2020-03-28,32.2644
2020-03-29,32.2644
2020-03-30,31.2993
2020-03-31,32.2753
2020-04-01,31.433
2020-04-02,31.1347
2020-04-03,30.7098
2020-04-04,30.7098
2020-04-05,30.7098
2020-04-06,33.6985
2020-04-07,35.2168
2020-04-08,37.2466
2020-04-09,39.8154
2020-04-10,39.8154
2020-04-11,39.8154
2020-04-12,39.8154
2020-04-13,38.6683
2020-04-14,38.9461
2020-04-15,38.7103
2020-04-16,37.6403
2020-04-17,40.7693
2020-04-18,40.7693
2020-04-19,40.7693
2020-04-20,39.6643
2020-04-21,39.9664
2020-04-22,42.0257
2020-04-23,41.6969
2020-04-24,41.2793
2020-04-25,41.2793
2020-04-26,41.2793
2020-04-27,44.0612
2020-04-28,44.5144
2020-04-29,49.2954
2020-04-30,49.1858
2020-05-01,45.912
2020-05-02,45.912
2020-05-03,45.912
2020-05-04,45.5077
2020-05-05,43.8863
2020-05-06,44.084
2020-05-07,44.4884
2020-05-08,45.7923
2020-05-09,45.7923
2020-05-10,45.7923
2020-05-11,44.4018
2020-05-12,42.8917
2020-05-13,41.133
2020-05-14,41.6344
2020-05-15,42.6762
2020-05-16,42.6762
2020-05-17,42.6762
2020-05-18,44.985
2020-05-19,45.3795
2020-05-20,45.8736
2020-05-21,43.2431
2020-05-22,43.0222
2020-05-23,43.0222
2020-05-24,43.0222
2020-05-25,43.0222
2020-05-26,44.647
2020-05-27,47.4084
2020-05-28,45.7631
2020-05-29,44.1032
2020-05-30,44.1032
2020-05-31,44.1032
2020-06-01,45.2412
2020-06-02,45.1883
2020-06-03,47.5352
2020-06-04,50.1462
2020-06-05,51.9418
2020-06-06,51.9418
2020-06-07,51.9418
2020-06-08,57.8089
2020-06-09,52.2286
2020-06-10,50.2034
2020-06-11,46.8398
2020-06-12,48.8566
2020-06-13,48.8566
2020-06-14,48.8566
2020-06-15,49.0988
2020-06-16,49.1734
2020-06-17,47.6195
2020-06-18,48.0278
2020-06-19,45.971
2020-06-20,45.971
2020-06-21,45.971
2020-06-22,45.5023
2020-06-23,47.5495
2020-06-24,45.945
2020-06-25,45.5031
2020-06-26,44.8994
2020-06-27,44.8994
2020-06-28,44.8994
2020-06-29,46.199
2020-06-30,45.8683
2020-07-01,45.4285
2020-07-02,44.7496
2020-07-03,44.7496
2020-07-04,44.7496
2020-07-05,44.7496
2020-07-06,45.238
2020-07-07,43.4881
2020-07-08,43.7609
2020-07-09,42.3596
2020-07-10,42.3956
2020-07-11,42.3956
2020-07-12,42.3956
2020-07-13,41.4842
2020-07-14,40.8694
2020-07-15,44.7374
2020-07-16,44.3941
2020-07-17,43.9291
2020-07-18,43.9291
2020-07-19,43.9291
2020-07-20,43.1977
2020-07-21,44.6468
2020-07-22,44.9906
2020-07-23,44.8625
2020-07-24,45.8594
2020-07-25,45.8594
2020-07-26,45.8594
2020-07-27,45.3169
2020-07-28,45.9371
2020-07-29,47.9718
2020-07-30,47.2362
2020-07-31,43.7488
2020-08-01,43.7488
2020-08-02,43.7488
2020-08-03,43.468
2020-08-04,46.5176
2020-08-05,48.2197
2020-08-06,49.2685
2020-08-07,49.9673
2020-08-08,49.9673
2020-08-09,49.9673
2020-08-10,50.7088
2020-08-11,51.1815
2020-08-12,50.8035
2020-08-13,52.223
2020-08-14,52.0897
2020-08-15,52.0897
2020-08-16,52.0897
2020-08-17,51.2775
2020-08-18,51.3647
2020-08-19,50.6615
2020-08-20,51.486
2020-08-21,50.8029
2020-08-22,50.8029
2020-08-23,50.8029
2020-08-24,53.5789
2020-08-25,55.739
2020-08-26,55.5293
2020-08-27,57.0743
2020-08-28,61.1497
2020-08-29,61.1497
2020-08-30,61.1497
2020-08-31,57.2697
2020-09-01,59.3301
2020-09-02,60.2945
2020-09-03,59.3073
2020-09-04,59.738
2020-09-05,59.738
2020-09-06,59.738
2020-09-07,59.738
2020-09-08,60.21
2020-09-09,61.3984
2020-09-10,60.548
2020-09-11,58.8615
2020-09-12,58.8615
2020-09-13,58.8615
2020-09-14,59.8262
2020-09-15,63.2169
2020-09-16,62.9277
2020-09-17,61.8737
2020-09-18,58.8162
2020-09-19,58.8162
2020-09-20,58.8162
2020-09-21,54.2223
2020-09-22,57.1796
2020-09-23,53.5758
2020-09-24,54.2727
2020-09-25,55.3137
2020-09-26,55.3137
2020-09-27,55.3137
2020-09-28,56.7473
2020-09-29,55.869
2020-09-30,54.9405
2020-10-01,54.8908
2020-10-02,55.017
2020-10-03,55.017
