,SBSI US Equity
,RSI_30D
2020-01-01,60.4749
2020-01-02,60.1508
2020-01-03,58.4494
2020-01-04,58.4494
2020-01-05,58.4494
2020-01-06,57.4881
2020-01-07,56.1352
2020-01-08,58.3991
2020-01-09,58.2355
2020-01-10,57.2399
2020-01-11,57.2399
2020-01-12,57.2399
2020-01-13,58.4642
2020-01-14,58.3777
2020-01-15,56.7289
2020-01-16,59.7033
2020-01-17,59.3516
2020-01-18,59.3516
2020-01-19,59.3516
2020-01-20,59.3516
2020-01-21,53.8545
2020-01-22,55.262
2020-01-23,54.9468
2020-01-24,51.8129
2020-01-25,51.8129
2020-01-26,51.8129
2020-01-27,50.2228
2020-01-28,49.7206
2020-01-29,47.0769
2020-01-30,50.11
2020-01-31,43.6415
2020-02-01,43.6415
2020-02-02,43.6415
2020-02-03,47.8221
2020-02-04,51.8674
2020-02-05,54.5111
2020-02-06,54.4492
2020-02-07,52.5964
2020-02-08,52.5964
2020-02-09,52.5964
2020-02-10,52.7074
2020-02-11,52.0767
2020-02-12,52.0767
2020-02-13,52.6227
2020-02-14,50.0658
2020-02-15,50.0658
2020-02-16,50.0658
2020-02-17,50.0658
2020-02-18,48.8076
2020-02-19,49.5355
2020-02-20,49.2066
2020-02-21,46.2815
2020-02-22,46.2815
2020-02-23,46.2815
2020-02-24,44.497
2020-02-25,40.9072
2020-02-26,40.3964
2020-02-27,37.0028
2020-02-28,31.8894
2020-02-29,31.8894
2020-03-01,31.8894
2020-03-02,40.5785
2020-03-03,37.822
2020-03-04,43.0168
2020-03-05,39.2693
2020-03-06,37.3633
2020-03-07,37.3633
2020-03-08,37.3633
2020-03-09,29.6081
2020-03-10,34.127
2020-03-11,29.8284
2020-03-12,25.5615
2020-03-13,37.8101
2020-03-14,37.8101
2020-03-15,37.8101
2020-03-16,35.0975
2020-03-17,42.3327
2020-03-18,42.981
2020-03-19,40.3813
2020-03-20,36.2805
2020-03-21,36.2805
2020-03-22,36.2805
2020-03-23,37.7519
2020-03-24,43.707
2020-03-25,41.752
2020-03-26,44.8271
2020-03-27,44.2345
2020-03-28,44.2345
2020-03-29,44.2345
2020-03-30,45.9405
2020-03-31,46.6162
2020-04-01,42.2184
2020-04-02,44.7472
2020-04-03,42.5516
2020-04-04,42.5516
2020-04-05,42.5516
2020-04-06,45.1044
2020-04-07,45.352
2020-04-08,46.3184
2020-04-09,49.7725
2020-04-10,49.7725
2020-04-11,49.7725
2020-04-12,49.7725
2020-04-13,48.0246
2020-04-14,47.5885
2020-04-15,45.4681
2020-04-16,44.2501
2020-04-17,46.225
2020-04-18,46.225
2020-04-19,46.225
2020-04-20,46.0104
2020-04-21,45.311
2020-04-22,43.7072
2020-04-23,43.6312
2020-04-24,44.7649
2020-04-25,44.7649
2020-04-26,44.7649
2020-04-27,47.7949
2020-04-28,48.9073
2020-04-29,52.6698
2020-04-30,49.5957
2020-05-01,48.8704
2020-05-02,48.8704
2020-05-03,48.8704
2020-05-04,48.6862
2020-05-05,48.0058
2020-05-06,46.7552
2020-05-07,45.6254
2020-05-08,47.8677
2020-05-09,47.8677
2020-05-10,47.8677
2020-05-11,47.3327
2020-05-12,46.1116
2020-05-13,43.1287
2020-05-14,42.5866
2020-05-15,42.6505
2020-05-16,42.6505
2020-05-17,42.6505
2020-05-18,46.3765
2020-05-19,43.8064
2020-05-20,46.2912
2020-05-21,45.9409
2020-05-22,45.8555
2020-05-23,45.8555
2020-05-24,45.8555
2020-05-25,45.8555
2020-05-26,48.586
2020-05-27,51.6908
2020-05-28,49.2649
2020-05-29,48.4056
2020-05-30,48.4056
2020-05-31,48.4056
2020-06-01,47.6511
2020-06-02,47.7099
2020-06-03,49.9035
2020-06-04,50.4742
2020-06-05,53.5399
2020-06-06,53.5399
2020-06-07,53.5399
2020-06-08,53.4787
2020-06-09,53.1022
2020-06-10,50.8201
2020-06-11,46.4651
2020-06-12,47.1063
2020-06-13,47.1063
2020-06-14,47.1063
2020-06-15,47.3104
2020-06-16,49.5836
2020-06-17,47.1797
2020-06-18,47.7284
2020-06-19,47.7908
2020-06-20,47.7908
2020-06-21,47.7908
2020-06-22,47.2083
2020-06-23,46.737
2020-06-24,44.6427
2020-06-25,45.8517
2020-06-26,44.6695
2020-06-27,44.6695
2020-06-28,44.6695
2020-06-29,47.4499
2020-06-30,48.3522
2020-07-01,46.4023
2020-07-02,45.8696
2020-07-03,45.8696
2020-07-04,45.8696
2020-07-05,45.8696
2020-07-06,45.9884
2020-07-07,44.5523
2020-07-08,43.9327
2020-07-09,41.8727
2020-07-10,44.8267
2020-07-11,44.8267
2020-07-12,44.8267
2020-07-13,46.3455
2020-07-14,45.5629
2020-07-15,48.1378
2020-07-16,47.8129
2020-07-17,46.8532
2020-07-18,46.8532
2020-07-19,46.8532
2020-07-20,46.3501
2020-07-21,49.9966
2020-07-22,49.9037
2020-07-23,52.2018
2020-07-24,51.301
2020-07-25,51.301
2020-07-26,51.301
2020-07-27,49.4405
2020-07-28,49.4405
2020-07-29,50.9772
2020-07-30,49.955
2020-07-31,50.0309
2020-08-01,50.0309
2020-08-02,50.0309
2020-08-03,49.2586
2020-08-04,48.8168
2020-08-05,51.3395
2020-08-06,50.8483
2020-08-07,54.151
2020-08-08,54.151
2020-08-09,54.151
2020-08-10,54.8694
2020-08-11,55.4234
2020-08-12,55.448
2020-08-13,54.0293
2020-08-14,54.9876
2020-08-15,54.9876
2020-08-16,54.9876
2020-08-17,54.1357
2020-08-18,51.131
2020-08-19,51.1597
2020-08-20,49.5962
2020-08-21,50.2316
2020-08-22,50.2316
2020-08-23,50.2316
2020-08-24,52.3049
2020-08-25,52.5677
2020-08-26,49.6882
2020-08-27,51.0375
2020-08-28,50.316
2020-08-29,50.316
2020-08-30,50.316
2020-08-31,48.992
2020-09-01,48.8824
2020-09-02,48.6893
2020-09-03,49.4808
2020-09-04,50.5109
2020-09-05,50.5109
2020-09-06,50.5109
2020-09-07,50.5109
2020-09-08,46.8542
2020-09-09,46.0771
2020-09-10,45.0868
2020-09-11,44.4384
2020-09-12,44.4384
2020-09-13,44.4384
2020-09-14,44.7515
2020-09-15,43.0573
2020-09-16,44.8957
2020-09-17,43.6903
2020-09-18,44.4616
2020-09-19,44.4616
2020-09-20,44.4616
2020-09-21,39.5899
2020-09-22,39.1063
2020-09-23,38.0902
2020-09-24,38.4819
2020-09-25,39.2766
2020-09-26,39.2766
2020-09-27,39.2766
2020-09-28,42.5602
2020-09-29,41.9207
2020-09-30,41.6126
2020-10-01,41.8337
2020-10-02,44.0683
2020-10-03,44.0683
2020-10-04,44.0683
2020-10-05,46.7253
2020-10-06,46.9696
2020-10-07,48.0379
2020-10-08,49.1783
2020-10-09,49.3836
2020-10-10,49.3836
2020-10-11,49.3836
2020-10-12,50.581
2020-10-13,46.827
2020-10-14,45.0433
2020-10-15,48.1694
2020-10-16,47.4619
2020-10-17,47.4619
2020-10-18,47.4619
2020-10-19,46.7515
2020-10-20,48.4324
2020-10-21,48.6838
2020-10-22,51.7648
2020-10-23,54.1266
2020-10-24,54.1266
2020-10-25,54.1266
2020-10-26,54.7092
2020-10-27,50.3284
2020-10-28,48.0743
2020-10-29,49.8555
2020-10-30,52.2498
2020-10-31,52.2498
2020-11-01,52.2498
2020-11-02,53.2795
2020-11-03,55.1426
2020-11-04,47.332
2020-11-05,50.3626
2020-11-06,50.0975
2020-11-07,50.0975
2020-11-08,50.0975
2020-11-09,58.2758
2020-11-10,60.3086
2020-11-11,56.975
2020-11-12,56.4319
2020-11-13,57.85
2020-11-14,57.85
2020-11-15,57.85
2020-11-16,61.4939
2020-11-17,62.1991
2020-11-18,59.6403
2020-11-19,59.9941
2020-11-20,59.0569
2020-11-21,59.0569
2020-11-22,59.0569
2020-11-23,60.0484
2020-11-24,61.8479
2020-11-25,58.8977
2020-11-26,58.8977
2020-11-27,57.5118
2020-11-28,57.5118
2020-11-29,57.5118
2020-11-30,54.7812
2020-12-01,56.3757
2020-12-02,56.9644
2020-12-03,56.4717
2020-12-04,57.9516
2020-12-05,57.9516
2020-12-06,57.9516
2020-12-07,57.6082
2020-12-08,57.9689
2020-12-09,58.4393
2020-12-10,59.6587
2020-12-11,58.5991
2020-12-12,58.5991
2020-12-13,58.5991
2020-12-14,57.7278
2020-12-15,59.9
2020-12-16,59.2007
2020-12-17,58.9239
2020-12-18,55.9477
2020-12-19,55.9477
2020-12-20,55.9477
2020-12-21,56.0669
2020-12-22,55.5227
2020-12-23,57.6778
2020-12-24,57.7673
2020-12-25,57.7673
2020-12-26,57.7673
2020-12-27,57.7673
2020-12-28,56.7336
2020-12-29,55.4606
2020-12-30,55.8245
2020-12-31,56.3278
2021-01-01,56.3278
2021-01-02,56.3278
2021-01-03,56.3278
2021-01-04,56.5327
2021-01-05,58.0267
2021-01-06,64.0914
2021-01-07,63.3663
2021-01-08,59.6161
2021-01-09,59.6161
2021-01-10,59.6161
2021-01-11,60.6525
2021-01-12,62.0416
2021-01-13,60.0215
2021-01-14,61.027
2021-01-15,60.5023
2021-01-16,60.5023
2021-01-17,60.5023
2021-01-18,60.5023
2021-01-19,61.5566
2021-01-20,60.077
2021-01-21,58.5764
2021-01-22,59.9462
2021-01-23,59.9462
2021-01-24,59.9462
2021-01-25,58.8282
2021-01-26,57.978
2021-01-27,53.9456
2021-01-28,52.6302
2021-01-29,51.412
2021-01-30,51.412
2021-01-31,51.412
2021-02-01,53.0792
2021-02-02,55.1388
2021-02-03,54.9084
2021-02-04,57.9654
2021-02-05,58.0766
2021-02-06,58.0766
2021-02-07,58.0766
2021-02-08,60.1645
2021-02-09,61.3243
2021-02-10,60.9946
2021-02-11,61.7543
2021-02-12,61.7295
2021-02-13,61.7295
2021-02-14,61.7295
2021-02-15,61.7295
2021-02-16,61.9357
2021-02-17,60.1651
2021-02-18,58.6351
2021-02-19,60.2725
2021-02-20,60.2725
2021-02-21,60.2725
2021-02-22,62.7397
2021-02-23,64.3663
2021-02-24,64.8948
2021-02-25,61.4883
2021-02-26,59.5481
2021-02-27,59.5481
2021-02-28,59.5481
2021-03-01,63.1841
2021-03-02,62.1074
2021-03-03,65.5823
2021-03-04,66.5396
2021-03-05,69.5591
2021-03-06,69.5591
2021-03-07,69.5591
2021-03-08,71.4129
2021-03-09,71.8801
2021-03-10,73.5216
2021-03-11,74.1079
2021-03-12,74.7563
2021-03-13,74.7563
2021-03-14,74.7563
2021-03-15,67.6089
2021-03-16,66.0091
2021-03-17,65.6616
2021-03-18,66.0087
2021-03-19,67.2639
2021-03-20,67.2639
2021-03-21,67.2639
2021-03-22,61.3808
2021-03-23,57.4626
2021-03-24,58.3356
2021-03-25,60.8304
2021-03-26,62.7421
2021-03-27,62.7421
2021-03-28,62.7421
2021-03-29,59.7617
2021-03-30,60.4574
2021-03-31,58.1272
2021-04-01,58.0915
2021-04-02,58.0915
2021-04-03,58.0915
2021-04-04,58.0915
2021-04-05,58.874
2021-04-06,57.9414
2021-04-07,57.9035
2021-04-08,57.2441
2021-04-09,58.0294
2021-04-10,58.0294
2021-04-11,58.0294
2021-04-12,59.3731
2021-04-13,56.355
2021-04-14,57.7296
2021-04-15,57.7296
2021-04-16,58.5617
2021-04-17,58.5617
2021-04-18,58.5617
2021-04-19,57.9714
2021-04-20,52.9981
2021-04-21,55.6236
2021-04-22,54.134
2021-04-23,60.2464
2021-04-24,60.2464
2021-04-25,60.2464
2021-04-26,60.8541
2021-04-27,61.4875
2021-04-28,60.5903
2021-04-29,59.9997
2021-04-30,58.6588
2021-05-01,58.6588
2021-05-02,58.6588
2021-05-03,60.3311
2021-05-04,61.7012
2021-05-05,62.0592
2021-05-06,63.7854
2021-05-07,64.128
2021-05-08,64.128
2021-05-09,64.128
2021-05-10,64.228
2021-05-11,63.3375
2021-05-12,59.2616
2021-05-13,63.6832
2021-05-14,64.4305
2021-05-15,64.4305
2021-05-16,64.4305
2021-05-17,64.6188
2021-05-18,61.5032
2021-05-19,61.006
2021-05-20,61.4095
2021-05-21,63.095
2021-05-22,63.095
2021-05-23,63.095
2021-05-24,61.9577
2021-05-25,56.6741
2021-05-26,58.6923
2021-05-27,60.0817
2021-05-28,60.79
2021-05-29,60.79
2021-05-30,60.79
2021-05-31,60.79
2021-06-01,61.5994
2021-06-02,58.1923
2021-06-03,58.8297
2021-06-04,59.3317
2021-06-05,59.3317
2021-06-06,59.3317
2021-06-07,59.7547
2021-06-08,60.38
2021-06-09,57.9255
2021-06-10,56.0166
2021-06-11,56.6455
2021-06-12,56.6455
2021-06-13,56.6455
2021-06-14,54.3927
2021-06-15,56.2874
2021-06-16,57.5551
2021-06-17,49.9525
2021-06-18,44.8018
2021-06-19,44.8018
2021-06-20,44.8018
2021-06-21,48.8256
2021-06-22,48.0117
2021-06-23,46.5447
2021-06-24,48.8041
2021-06-25,49.0449
2021-06-26,49.0449
2021-06-27,49.0449
2021-06-28,45.2972
2021-06-29,43.9931
2021-06-30,43.9161
2021-07-01,44.9128
2021-07-02,42.839
2021-07-03,42.839
2021-07-04,42.839
2021-07-05,42.839
2021-07-06,40.1675
2021-07-07,39.8868
2021-07-08,38.2727
2021-07-09,42.8205
2021-07-10,42.8205
2021-07-11,42.8205
2021-07-12,44.1018
2021-07-13,41.6632
2021-07-14,41.4052
2021-07-15,42.9013
2021-07-16,41.0923
2021-07-17,41.0923
2021-07-18,41.0923
2021-07-19,38.9837
2021-07-20,41.4244
2021-07-21,43.2578
2021-07-22,41.355
2021-07-23,39.9197
2021-07-24,39.9197
2021-07-25,39.9197
2021-07-26,39.697
2021-07-27,39.7665
2021-07-28,42.0141
2021-07-29,43.6861
2021-07-30,43.4786
2021-07-31,43.4786
2021-08-01,43.4786
2021-08-02,41.958
2021-08-03,43.885
2021-08-04,42.8855
2021-08-05,44.6028
2021-08-06,47.9691
2021-08-07,47.9691
2021-08-08,47.9691
2021-08-09,46.4529
2021-08-10,48.1483
2021-08-11,50.4045
2021-08-12,49.4838
2021-08-13,48.9468
2021-08-14,48.9468
2021-08-15,48.9468
2021-08-16,48.9786
2021-08-17,48.4476
2021-08-18,48.0002
2021-08-19,46.9119
2021-08-20,48.8184
2021-08-21,48.8184
2021-08-22,48.8184
2021-08-23,49.3757
2021-08-24,48.3879
2021-08-25,48.9706
2021-08-26,46.883
2021-08-27,51.9541
2021-08-28,51.9541
2021-08-29,51.9541
2021-08-30,49.382
2021-08-31,51.2621
2021-09-01,50.7577
2021-09-02,50.9574
2021-09-03,49.6048
2021-09-04,49.6048
2021-09-05,49.6048
2021-09-06,49.6048
2021-09-07,52.0684
2021-09-08,49.8579
2021-09-09,50.0293
2021-09-10,48.8542
2021-09-11,48.8542
2021-09-12,48.8542
2021-09-13,49.575
2021-09-14,47.7311
2021-09-15,48.257
2021-09-16,46.7284
2021-09-17,47.6255
2021-09-18,47.6255
2021-09-19,47.6255
2021-09-20,45.1951
2021-09-21,44.2411
2021-09-22,45.8714
2021-09-23,49.6412
2021-09-24,50.185
2021-09-25,50.185
2021-09-26,50.185
2021-09-27,55.2205
2021-09-28,53.4082
2021-09-29,54.6646
2021-09-30,53.6176
2021-10-01,56.4238
2021-10-02,56.4238
2021-10-03,56.4238
2021-10-04,55.5451
2021-10-05,54.9296
2021-10-06,55.785
2021-10-07,55.8492
2021-10-08,55.3915
2021-10-09,55.3915
2021-10-10,55.3915
2021-10-11,54.099
2021-10-12,53.681
2021-10-13,51.4205
2021-10-14,53.5189
2021-10-15,51.578
2021-10-16,51.578
2021-10-17,51.578
2021-10-18,51.3373
2021-10-19,51.994
2021-10-20,54.5686
2021-10-21,53.4512
2021-10-22,54.6339
2021-10-23,54.6339
2021-10-24,54.6339
2021-10-25,55.7604
2021-10-26,61.6408
2021-10-27,62.3405
2021-10-28,62.4821
2021-10-29,61.9042
2021-10-30,61.9042
2021-10-31,61.9042
2021-11-01,65.0274
2021-11-02,61.0951
2021-11-03,63.8611
2021-11-04,62.8828
2021-11-05,66.2391
2021-11-06,66.2391
2021-11-07,66.2391
2021-11-08,67.3672
2021-11-09,67.8251
2021-11-10,68.1989
2021-11-11,68.8161
2021-11-12,65.2598
2021-11-13,65.2598
2021-11-14,65.2598
2021-11-15,64.5335
2021-11-16,64.7868
2021-11-17,64.0297
2021-11-18,63.2176
2021-11-19,63.0716
2021-11-20,63.0716
2021-11-21,63.0716
2021-11-22,63.7926
2021-11-23,65.931
2021-11-24,63.2222
2021-11-25,63.2222
2021-11-26,53.6029
2021-11-27,53.6029
2021-11-28,53.6029
2021-11-29,53.2719
2021-11-30,50.5796
2021-12-01,50.8537
2021-12-02,55.0448
2021-12-03,51.8433
2021-12-04,51.8433
2021-12-05,51.8433
2021-12-06,54.6046
2021-12-07,52.4732
2021-12-08,53.6612
2021-12-09,52.4739
2021-12-10,52.3029
2021-12-11,52.3029
2021-12-12,52.3029
2021-12-13,50.1067
2021-12-14,51.374
2021-12-15,49.7646
2021-12-16,52.1242
2021-12-17,49.8036
2021-12-18,49.8036
2021-12-19,49.8036
2021-12-20,47.2543
2021-12-21,50.3635
2021-12-22,51.3723
2021-12-23,51.3396
2021-12-24,51.3396
2021-12-25,51.3396
2021-12-26,51.3396
2021-12-27,52.8008
2021-12-28,53.0182
2021-12-29,53.3358
2021-12-30,52.6001
2021-12-31,52.9692
2022-01-01,52.9692
2022-01-02,52.9692
2022-01-03,54.6303
2022-01-04,56.4446
2022-01-05,56.9136
2022-01-06,60.7604
2022-01-07,60.5064
2022-01-08,60.5064
2022-01-09,60.5064
2022-01-10,60.0734
2022-01-11,58.9818
2022-01-12,57.6806
2022-01-13,59.4393
2022-01-14,60.6271
2022-01-15,60.6271
2022-01-16,60.6271
2022-01-17,60.6271
2022-01-18,57.5747
2022-01-19,54.4933
2022-01-20,51.2453
2022-01-21,51.1728
2022-01-22,51.1728
2022-01-23,51.1728
2022-01-24,54.3791
2022-01-25,54.636
2022-01-26,52.2767
2022-01-27,49.1265
2022-01-28,47.2405
2022-01-29,47.2405
2022-01-30,47.2405
2022-01-31,49.5936
2022-02-01,49.12
2022-02-02,49.7931
2022-02-03,49.0512
2022-02-04,51.2688
2022-02-05,51.2688
2022-02-06,51.2688
2022-02-07,51.5853
2022-02-08,55.1039
2022-02-09,52.4738
2022-02-10,51.672
2022-02-11,52.2552
2022-02-12,52.2552
2022-02-13,52.2552
2022-02-14,50.8729
2022-02-15,53.6496
2022-02-16,53.2236
2022-02-17,49.1839
2022-02-18,50.8334
2022-02-19,50.8334
2022-02-20,50.8334
2022-02-21,50.8334
2022-02-22,49.8015
2022-02-23,48.7773
2022-02-24,45.1349
2022-02-25,49.3335
2022-02-26,49.3335
2022-02-27,49.3335
2022-02-28,49.604
2022-03-01,43.9596
2022-03-02,50.0031
2022-03-03,50.6658
2022-03-04,48.0312
2022-03-05,48.0312
2022-03-06,48.0312
2022-03-07,46.5084
2022-03-08,47.882
2022-03-09,49.3762
2022-03-10,49.911
2022-03-11,51.444
2022-03-12,51.444
2022-03-13,51.444
2022-03-14,50.612
2022-03-15,48.6234
2022-03-16,50.3952
2022-03-17,48.4291
2022-03-18,48.0764
2022-03-19,48.0764
2022-03-20,48.0764
2022-03-21,48.3682
2022-03-22,48.9616
2022-03-23,46.1278
2022-03-24,46.8465
2022-03-25,49.3747
2022-03-26,49.3747
2022-03-27,49.3747
2022-03-28,48.9941
2022-03-29,50.8558
2022-03-30,48.5407
2022-03-31,47.8521
2022-04-01,48.5047
2022-04-02,48.5047
2022-04-03,48.5047
2022-04-04,46.8141
2022-04-05,45.5739
2022-04-06,44.8366
2022-04-07,43.6496
2022-04-08,42.486
2022-04-09,42.486
2022-04-10,42.486
2022-04-11,42.6886
2022-04-12,42.6575
2022-04-13,45.5694
2022-04-14,43.6944
2022-04-15,43.6944
2022-04-16,43.6944
2022-04-17,43.6944
2022-04-18,44.4687
2022-04-19,47.9015
2022-04-20,47.1141
2022-04-21,47.0098
2022-04-22,44.7554
2022-04-23,44.7554
2022-04-24,44.7554
2022-04-25,43.7363
2022-04-26,44.3285
2022-04-27,43.4167
2022-04-28,46.455
2022-04-29,44.7961
2022-04-30,44.7961
2022-05-01,44.7961
2022-05-02,45.3429
2022-05-03,45.429
2022-05-04,49.193
2022-05-05,47.0179
2022-05-06,46.6203
2022-05-07,46.6203
2022-05-08,46.6203
2022-05-09,47.0414
2022-05-10,44.1244
2022-05-11,44.3448
2022-05-12,43.8085
2022-05-13,42.3943
2022-05-14,42.3943
2022-05-15,42.3943
2022-05-16,41.4936
2022-05-17,47.4863
2022-05-18,46.6371
2022-05-19,43.2617
2022-05-20,46.3666
2022-05-21,46.3666
2022-05-22,46.3666
2022-05-23,47.0461
2022-05-24,47.3706
2022-05-25,47.8255
2022-05-26,49.2288
2022-05-27,52.603
2022-05-28,52.603
2022-05-29,52.603
2022-05-30,52.603
2022-05-31,53.0483
2022-06-01,52.6644
2022-06-02,54.0405
2022-06-03,51.3387
2022-06-04,51.3387
2022-06-05,51.3387
2022-06-06,52.0084
2022-06-07,52.2882
2022-06-08,49.3949
2022-06-09,45.2435
2022-06-10,42.4342
2022-06-11,42.4342
2022-06-12,42.4342
2022-06-13,41.7556
2022-06-14,41.8014
2022-06-15,41.9904
2022-06-16,38.6479
2022-06-17,40.3179
2022-06-18,40.3179
2022-06-19,40.3179
2022-06-20,40.3179
2022-06-21,42.537
2022-06-22,41.8001
2022-06-23,39.8213
2022-06-24,43.1097
2022-06-25,43.1097
2022-06-26,43.1097
2022-06-27,43.3321
2022-06-28,44.19
2022-06-29,43.1237
2022-06-30,44.6884
2022-07-01,47.1229
2022-07-02,47.1229
2022-07-03,47.1229
2022-07-04,47.1229
2022-07-05,47.045
2022-07-06,46.7254
2022-07-07,45.4091
2022-07-08,46.0287
2022-07-09,46.0287
2022-07-10,46.0287
2022-07-11,44.8538
2022-07-12,44.4893
2022-07-13,42.2025
2022-07-14,40.3174
2022-07-15,43.7811
2022-07-16,43.7811
2022-07-17,43.7811
2022-07-18,43.9296
2022-07-19,47.3806
2022-07-20,46.7196
2022-07-21,46.7676
2022-07-22,47.5018
2022-07-23,47.5018
2022-07-24,47.5018
2022-07-25,51.7683
2022-07-26,56.0584
2022-07-27,56.3189
2022-07-28,56.0244
2022-07-29,57.1449
2022-07-30,57.1449
2022-07-31,57.1449
2022-08-01,56.8864
2022-08-02,56.047
2022-08-03,56.6263
2022-08-04,54.2488
2022-08-05,56.2342
2022-08-06,56.2342
2022-08-07,56.2342
2022-08-08,54.3147
2022-08-09,56.9445
2022-08-10,56.0065
2022-08-11,57.9567
2022-08-12,59.7642
2022-08-13,59.7642
2022-08-14,59.7642
2022-08-15,61.2368
2022-08-16,62.4167
2022-08-17,61.3285
2022-08-18,61.4018
2022-08-19,58.9744
2022-08-20,58.9744
2022-08-21,58.9744
2022-08-22,53.082
2022-08-23,50.8241
2022-08-24,49.5341
2022-08-25,50.9119
2022-08-26,48.7787
2022-08-27,48.7787
2022-08-28,48.7787
2022-08-29,46.0744
2022-08-30,45.6315
2022-08-31,44.6625
2022-09-01,45.1146
2022-09-02,44.4879
2022-09-03,44.4879
2022-09-04,44.4879
2022-09-05,44.4879
2022-09-06,41.138
2022-09-07,41.5132
2022-09-08,41.3574
2022-09-09,45.973
2022-09-10,45.973
2022-09-11,45.973
2022-09-12,47.4321
2022-09-13,43.5767
2022-09-14,44.846
2022-09-15,46.7983
2022-09-16,48.8977
2022-09-17,48.8977
2022-09-18,48.8977
2022-09-19,50.6918
2022-09-20,52.3384
2022-09-21,50.5908
2022-09-22,47.2823
2022-09-23,43.8641
2022-09-24,43.8641
2022-09-25,43.8641
2022-09-26,44.0481
2022-09-27,40.2611
2022-09-28,42.3847
2022-09-29,40.8814
2022-09-30,39.4952
2022-10-01,39.4952
2022-10-02,39.4952
2022-10-03,41.2287
2022-10-04,46.1069
2022-10-05,44.5824
2022-10-06,43.9148
2022-10-07,41.413
2022-10-08,41.413
2022-10-09,41.413
2022-10-10,42.5418
2022-10-11,45.2289
2022-10-12,44.0631
2022-10-13,49.2094
2022-10-14,49.0339
2022-10-15,49.0339
2022-10-16,49.0339
2022-10-17,52.1737
2022-10-18,49.9216
2022-10-19,49.6402
2022-10-20,45.5245
2022-10-21,44.4184
2022-10-22,44.4184
2022-10-23,44.4184
2022-10-24,45.2215
2022-10-25,37.1988
2022-10-26,35.4386
2022-10-27,38.4163
2022-10-28,42.8592
2022-10-29,42.8592
2022-10-30,42.8592
2022-10-31,42.6422
2022-11-01,42.6422
2022-11-02,42.8144
2022-11-03,41.7263
2022-11-04,45.5759
2022-11-05,45.5759
2022-11-06,45.5759
2022-11-07,45.6417
2022-11-08,45.9793
2022-11-09,45.7734
2022-11-10,49.452
2022-11-11,48.6146
2022-11-12,48.6146
2022-11-13,48.6146
2022-11-14,47.5956
2022-11-15,47.9717
2022-11-16,47.3959
2022-11-17,46.435
2022-11-18,48.7975
2022-11-19,48.7975
2022-11-20,48.7975
2022-11-21,49.5302
2022-11-22,50.4133
2022-11-23,50.5208
2022-11-24,50.5208
2022-11-25,52.3719
2022-11-26,52.3719
2022-11-27,52.3719
2022-11-28,50.6382
2022-11-29,50.1528
2022-11-30,51.8425
2022-12-01,50.4953
2022-12-02,50.3792
2022-12-03,50.3792
2022-12-04,50.3792
2022-12-05,45.738
2022-12-06,46.0992
2022-12-07,46.0288
2022-12-08,47.441
2022-12-09,46.8811
2022-12-10,46.8811
2022-12-11,46.8811
2022-12-12,46.8811
2022-12-13,46.143
2022-12-14,46.7366
2022-12-15,43.8161
2022-12-16,45.3952
2022-12-17,45.3952
2022-12-18,45.3952
2022-12-19,45.7663
2022-12-20,46.6568
2022-12-21,48.6757
2022-12-22,48.9031
2022-12-23,50.3146
2022-12-24,50.3146
2022-12-25,50.3146
2022-12-26,50.3146
2022-12-27,52.6291
2022-12-28,50.3405
2022-12-29,52.6819
2022-12-30,52.1272
2022-12-31,52.1272
2023-01-01,52.1272
2023-01-02,52.1272
2023-01-03,52.0328
2023-01-04,49.7033
2023-01-05,48.6224
2023-01-06,52.3311
2023-01-07,52.3311
2023-01-08,52.3311
2023-01-09,50.208
2023-01-10,51.2101
2023-01-11,51.6911
2023-01-12,54.2769
2023-01-13,53.8856
2023-01-14,53.8856
2023-01-15,53.8856
2023-01-16,53.8856
2023-01-17,52.5625
2023-01-18,49.6216
2023-01-19,49.8519
2023-01-20,52.5881
2023-01-21,52.5881
2023-01-22,52.5881
2023-01-23,52.5395
2023-01-24,50.8379
2023-01-25,50.4036
2023-01-26,50.5008
2023-01-27,55.2625
2023-01-28,55.2625
2023-01-29,55.2625
2023-01-30,54.5389
2023-01-31,59.1975
2023-02-01,59.0384
2023-02-02,62.6398
2023-02-03,64.8528
2023-02-04,64.8528
2023-02-05,64.8528
