,SIVBQ US Equity
,RSI_30D
2020-01-01,64.5601
2020-01-02,65.8311
2020-01-03,62.9809
2020-01-04,62.9809
2020-01-05,62.9809
2020-01-06,62.2101
2020-01-07,62.7125
2020-01-08,63.7358
2020-01-09,65.1213
2020-01-10,61.9033
2020-01-11,61.9033
2020-01-12,61.9033
2020-01-13,62.8232
2020-01-14,62.5578
2020-01-15,60.4309
2020-01-16,61.2349
2020-01-17,63.9387
2020-01-18,63.9387
2020-01-19,63.9387
2020-01-20,63.9387
2020-01-21,60.9126
2020-01-22,61.8466
2020-01-23,63.0555
2020-01-24,58.6182
2020-01-25,58.6182
2020-01-26,58.6182
2020-01-27,53.0371
2020-01-28,56.6702
2020-01-29,53.8033
2020-01-30,54.7576
2020-01-31,50.7615
2020-02-01,50.7615
2020-02-02,50.7615
2020-02-03,52.7527
2020-02-04,56.9044
2020-02-05,59.8049
2020-02-06,59.4879
2020-02-07,56.9586
2020-02-08,56.9586
2020-02-09,56.9586
2020-02-10,56.5358
2020-02-11,59.2655
2020-02-12,59.7859
2020-02-13,60.093
2020-02-14,59.7985
2020-02-15,59.7985
2020-02-16,59.7985
2020-02-17,59.7985
2020-02-18,57.4306
2020-02-19,59.6836
2020-02-20,61.0614
2020-02-21,56.1654
2020-02-22,56.1654
2020-02-23,56.1654
2020-02-24,48.3904
2020-02-25,44.4904
2020-02-26,42.0124
2020-02-27,38.375
2020-02-28,37.5403
2020-02-29,37.5403
2020-03-01,37.5403
2020-03-02,41.0877
2020-03-03,36.5569
2020-03-04,38.0201
2020-03-05,34.2464
2020-03-06,32.218
2020-03-07,32.218
2020-03-08,32.218
2020-03-09,27.9747
2020-03-10,32.7885
2020-03-11,30.7545
2020-03-12,29.0896
2020-03-13,35.1599
2020-03-14,35.1599
2020-03-15,35.1599
2020-03-16,31.5215
2020-03-17,36.3955
2020-03-18,36.6845
2020-03-19,40.9818
2020-03-20,38.3117
2020-03-21,38.3117
2020-03-22,38.3117
2020-03-23,37.2476
2020-03-24,40.7227
2020-03-25,42.1715
2020-03-26,43.5766
