,SNA US Equity
,RSI_30D
2020-01-01,59.12
2020-01-02,58.5283
2020-01-03,55.7711
2020-01-04,55.7711
2020-01-05,55.7711
2020-01-06,54.0741
2020-01-07,52.6329
2020-01-08,54.7548
2020-01-09,54.8123
2020-01-10,54.6542
2020-01-11,54.6542
2020-01-12,54.6542
2020-01-13,55.7704
2020-01-14,56.9376
2020-01-15,54.967
2020-01-16,56.7536
2020-01-17,58.272
2020-01-18,58.272
2020-01-19,58.272
2020-01-20,58.272
2020-01-21,56.4379
2020-01-22,54.7016
2020-01-23,55.6626
2020-01-24,52.0886
2020-01-25,52.0886
2020-01-26,52.0886
2020-01-27,48.1162
2020-01-28,50.5315
2020-01-29,50.694
2020-01-30,48.6715
2020-01-31,44.3962
2020-02-01,44.3962
2020-02-02,44.3962
2020-02-03,47.227
2020-02-04,48.2231
2020-02-05,49.6008
2020-02-06,45.4868
2020-02-07,41.3244
2020-02-08,41.3244
2020-02-09,41.3244
2020-02-10,41.198
2020-02-11,41.1237
2020-02-12,43.0892
2020-02-13,41.4824
2020-02-14,42.7073
2020-02-15,42.7073
2020-02-16,42.7073
2020-02-17,42.7073
2020-02-18,44.3829
2020-02-19,44.9811
2020-02-20,47.4594
2020-02-21,48.9337
2020-02-22,48.9337
2020-02-23,48.9337
2020-02-24,47.8118
2020-02-25,42.1717
2020-02-26,38.5745
2020-02-27,36.6849
2020-02-28,35.0402
2020-02-29,35.0402
2020-03-01,35.0402
2020-03-02,39.9224
2020-03-03,36.6353
2020-03-04,42.4393
2020-03-05,37.2121
2020-03-06,37.4506
2020-03-07,37.4506
2020-03-08,37.4506
2020-03-09,32.2588
2020-03-10,39.6855
2020-03-11,34.6073
2020-03-12,30.6536
2020-03-13,35.9206
2020-03-14,35.9206
2020-03-15,35.9206
2020-03-16,32.554
2020-03-17,38.077
2020-03-18,33.5087
2020-03-19,32.3961
2020-03-20,30.5153
2020-03-21,30.5153
2020-03-22,30.5153
2020-03-23,29.453
2020-03-24,35.4139
2020-03-25,37.0857
