,SOI US Equity
,RSI_30D
2020-01-01,63.0617
2020-01-02,63.0617
2020-01-03,63.1163
2020-01-04,63.1163
2020-01-05,63.1163
2020-01-06,65.4405
2020-01-07,64.8639
2020-01-08,62.127
2020-01-09,60.9347
2020-01-10,57.8429
2020-01-11,57.8429
2020-01-12,57.8429
2020-01-13,55.8334
2020-01-14,56.0309
2020-01-15,54.0311
2020-01-16,56.57
2020-01-17,55.4855
2020-01-18,55.4855
2020-01-19,55.4855
2020-01-20,55.4855
2020-01-21,52.9028
2020-01-22,51.7351
2020-01-23,49.2604
2020-01-24,48.3898
2020-01-25,48.3898
2020-01-26,48.3898
2020-01-27,45.4142
2020-01-28,46.4441
2020-01-29,44.8287
2020-01-30,43.7146
2020-01-31,42.0606
2020-02-01,42.0606
2020-02-02,42.0606
2020-02-03,44.5642
2020-02-04,44.3658
2020-02-05,46.0224
2020-02-06,45.601
2020-02-07,45.4575
2020-02-08,45.4575
2020-02-09,45.4575
2020-02-10,44.2333
2020-02-11,44.8658
2020-02-12,46.0414
2020-02-13,47.2935
2020-02-14,49.3767
2020-02-15,49.3767
2020-02-16,49.3767
2020-02-17,49.3767
2020-02-18,50.72
2020-02-19,57.8748
2020-02-20,54.7988
2020-02-21,54.7988
2020-02-22,54.7988
2020-02-23,54.7988
2020-02-24,50.8149
2020-02-25,45.6939
2020-02-26,44.4144
2020-02-27,38.656
2020-02-28,39.0345
2020-02-29,39.0345
2020-03-01,39.0345
2020-03-02,40.255
2020-03-03,38.4153
2020-03-04,40.0992
2020-03-05,38.3253
2020-03-06,36.0349
2020-03-07,36.0349
2020-03-08,36.0349
2020-03-09,27.9485
2020-03-10,27.1931
2020-03-11,24.7243
2020-03-12,22.5628
2020-03-13,24.9581
2020-03-14,24.9581
2020-03-15,24.9581
2020-03-16,24.4377
2020-03-17,28.0692
2020-03-18,26.7628
2020-03-19,26.4329
2020-03-20,26.0297
2020-03-21,26.0297
2020-03-22,26.0297
2020-03-23,25.3705
2020-03-24,30.8688
2020-03-25,30.7311
2020-03-26,32.3552
2020-03-27,31.9675
2020-03-28,31.9675
2020-03-29,31.9675
2020-03-30,31.2815
2020-03-31,31.2815
2020-04-01,30.2836
2020-04-02,33.2856
2020-04-03,33.1217
2020-04-04,33.1217
2020-04-05,33.1217
2020-04-06,32.6231
2020-04-07,33.4522
2020-04-08,36.0309
2020-04-09,37.6105
2020-04-10,37.6105
2020-04-11,37.6105
2020-04-12,37.6105
2020-04-13,39.2904
2020-04-14,38.8328
2020-04-15,36.4754
2020-04-16,36.1674
2020-04-17,36.925
2020-04-18,36.925
2020-04-19,36.925
2020-04-20,36.5174
2020-04-21,37.5162
2020-04-22,37.6612
2020-04-23,41.1894
2020-04-24,40.902
2020-04-25,40.902
2020-04-26,40.902
2020-04-27,41.6045
2020-04-28,44.2112
2020-04-29,48.5849
2020-04-30,46.7436
2020-05-01,44.9303
2020-05-02,44.9303
2020-05-03,44.9303
2020-05-04,45.3065
2020-05-05,44.727
2020-05-06,43.0689
2020-05-07,44.5313
2020-05-08,48.4538
2020-05-09,48.4538
2020-05-10,48.4538
2020-05-11,46.0477
2020-05-12,45.5794
2020-05-13,40.3447
2020-05-14,41.3491
2020-05-15,42.2915
2020-05-16,42.2915
2020-05-17,42.2915
2020-05-18,46.5553
2020-05-19,44.2534
2020-05-20,47.0187
2020-05-21,47.2353
2020-05-22,46.305
2020-05-23,46.305
2020-05-24,46.305
2020-05-25,46.305
2020-05-26,49.2953
2020-05-27,49.5595
2020-05-28,49.7761
2020-05-29,50.2183
2020-05-30,50.2183
2020-05-31,50.2183
2020-06-01,49.901
2020-06-02,51.681
2020-06-03,53.394
2020-06-04,54.9914
2020-06-05,57.4076
2020-06-06,57.4076
2020-06-07,57.4076
2020-06-08,61.384
2020-06-09,57.2236
2020-06-10,54.7047
2020-06-11,50.0909
2020-06-12,51.5168
2020-06-13,51.5168
2020-06-14,51.5168
2020-06-15,50.4726
2020-06-16,52.006
2020-06-17,50.5391
2020-06-18,51.2745
2020-06-19,52.1576
2020-06-20,52.1576
2020-06-21,52.1576
2020-06-22,51.5137
2020-06-23,51.8722
2020-06-24,48.6306
2020-06-25,49.6446
2020-06-26,50.0738
2020-06-27,50.0738
2020-06-28,50.0738
2020-06-29,50.6181
2020-06-30,51.7075
2020-07-01,50.3852
2020-07-02,49.9828
2020-07-03,49.9828
2020-07-04,49.9828
2020-07-05,49.9828
2020-07-06,50.6813
2020-07-07,51.8975
2020-07-08,50.7267
2020-07-09,47.9581
2020-07-10,48.6368
2020-07-11,48.6368
2020-07-12,48.6368
2020-07-13,48.2815
2020-07-14,50.2853
2020-07-15,51.5594
2020-07-16,50.7269
2020-07-17,50.3388
2020-07-18,50.3388
2020-07-19,50.3388
2020-07-20,49.108
2020-07-21,53.0458
2020-07-22,53.3422
2020-07-23,55.214
2020-07-24,54.5071
2020-07-25,54.5071
2020-07-26,54.5071
2020-07-27,54.1485
2020-07-28,52.2978
2020-07-29,53.4993
2020-07-30,52.4915
2020-07-31,49.9205
2020-08-01,49.9205
2020-08-02,49.9205
2020-08-03,50.7965
2020-08-04,50.168
2020-08-05,53.1024
2020-08-06,52.1635
2020-08-07,53.5997
2020-08-08,53.5997
2020-08-09,53.5997
2020-08-10,55.364
2020-08-11,55.2863
2020-08-12,55.9259
2020-08-13,54.3183
2020-08-14,54.8553
2020-08-15,54.8553
2020-08-16,54.8553
2020-08-17,54.6063
2020-08-18,52.6292
2020-08-19,52.141
2020-08-20,51.3201
2020-08-21,50.1761
2020-08-22,50.1761
2020-08-23,50.1761
2020-08-24,53.111
2020-08-25,52.6049
2020-08-26,52.1762
2020-08-27,52.0009
2020-08-28,53.9998
2020-08-29,53.9998
2020-08-30,53.9998
2020-08-31,51.9411
2020-09-01,51.5873
2020-09-02,50.6066
2020-09-03,51.0062
2020-09-04,51.0062
2020-09-05,51.0062
2020-09-06,51.0062
2020-09-07,51.0062
2020-09-08,48.7546
2020-09-09,47.9338
2020-09-10,45.0564
2020-09-11,42.8779
2020-09-12,42.8779
2020-09-13,42.8779
2020-09-14,42.2517
2020-09-15,42.2517
2020-09-16,46.4372
2020-09-17,46.4372
2020-09-18,44.2084
2020-09-19,44.2084
2020-09-20,44.2084
2020-09-21,43.4614
2020-09-22,42.2311
2020-09-23,40.2659
2020-09-24,40.2659
2020-09-25,40.0267
2020-09-26,40.0267
2020-09-27,40.0267
2020-09-28,43.2799
2020-09-29,44.612
2020-09-30,42.5448
2020-10-01,44.216
2020-10-02,43.8641
2020-10-03,43.8641
2020-10-04,43.8641
2020-10-05,46.2964
2020-10-06,44.224
2020-10-07,44.0467
2020-10-08,46.3824
2020-10-09,45.0844
2020-10-10,45.0844
2020-10-11,45.0844
2020-10-12,45.423
2020-10-13,44.2931
2020-10-14,45.1169
2020-10-15,46.0601
2020-10-16,43.453
2020-10-17,43.453
2020-10-18,43.453
2020-10-19,42.8032
2020-10-20,44.6384
2020-10-21,41.773
2020-10-22,44.2795
2020-10-23,44.7482
2020-10-24,44.7482
2020-10-25,44.7482
2020-10-26,42.7045
2020-10-27,41.9833
2020-10-28,40.1422
2020-10-29,40.2712
2020-10-30,41.9539
2020-10-31,41.9539
2020-11-01,41.9539
2020-11-02,45.0345
2020-11-03,44.6423
2020-11-04,42.9032
