,TRMK US Equity
,RSI_30D
2020-01-01,49.6849
2020-01-02,47.5191
2020-01-03,47.0476
2020-01-04,47.0476
2020-01-05,47.0476
2020-01-06,47.2282
2020-01-07,43.5777
2020-01-08,45.8125
2020-01-09,45.1704
2020-01-10,44.0801
2020-01-11,44.0801
2020-01-12,44.0801
2020-01-13,47.6838
2020-01-14,49.2896
2020-01-15,48.3206
2020-01-16,51.6017
2020-01-17,50.3613
2020-01-18,50.3613
2020-01-19,50.3613
2020-01-20,50.3613
2020-01-21,46.2939
2020-01-22,46.9214
2020-01-23,46.361
2020-01-24,44.2471
2020-01-25,44.2471
2020-01-26,44.2471
2020-01-27,41.292
2020-01-28,42.643
2020-01-29,37.1588
2020-01-30,41.1178
2020-01-31,36.5107
2020-02-01,36.5107
2020-02-02,36.5107
2020-02-03,38.697
2020-02-04,39.6945
2020-02-05,45.4187
2020-02-06,42.7741
2020-02-07,40.3891
2020-02-08,40.3891
2020-02-09,40.3891
2020-02-10,40.5947
2020-02-11,40.2595
2020-02-12,41.6826
2020-02-13,42.6716
2020-02-14,40.9279
2020-02-15,40.9279
2020-02-16,40.9279
2020-02-17,40.9279
2020-02-18,39.5986
2020-02-19,40.4143
2020-02-20,41.8901
2020-02-21,40.1416
2020-02-22,40.1416
2020-02-23,40.1416
2020-02-24,37.1241
2020-02-25,32.2973
2020-02-26,30.371
2020-02-27,27.8071
2020-02-28,24.3243
2020-02-29,24.3243
2020-03-01,24.3243
2020-03-02,33.1678
2020-03-03,30.2013
2020-03-04,31.0734
2020-03-05,28.7939
2020-03-06,29.1778
2020-03-07,29.1778
2020-03-08,29.1778
2020-03-09,24.1546
2020-03-10,27.6122
2020-03-11,24.8649
2020-03-12,23.0562
2020-03-13,35.2886
2020-03-14,35.2886
2020-03-15,35.2886
2020-03-16,33.4325
2020-03-17,39.7984
2020-03-18,38.9565
2020-03-19,42.7432
2020-03-20,38.1848
2020-03-21,38.1848
2020-03-22,38.1848
2020-03-23,34.7455
2020-03-24,38.9785
2020-03-25,36.8288
2020-03-26,40.9752
2020-03-27,39.4936
2020-03-28,39.4936
2020-03-29,39.4936
2020-03-30,41.1233
2020-03-31,40.6035
2020-04-01,39.0275
2020-04-02,39.9913
2020-04-03,39.1231
2020-04-04,39.1231
2020-04-05,39.1231
2020-04-06,42.3272
2020-04-07,43.8451
2020-04-08,45.084
2020-04-09,49.3308
2020-04-10,49.3308
2020-04-11,49.3308
2020-04-12,49.3308
2020-04-13,46.0935
2020-04-14,45.96
2020-04-15,43.6395
2020-04-16,43.0067
2020-04-17,45.7142
2020-04-18,45.7142
2020-04-19,45.7142
2020-04-20,45.5124
2020-04-21,44.6626
2020-04-22,44.0164
2020-04-23,44.8847
2020-04-24,45.1925
2020-04-25,45.1925
2020-04-26,45.1925
2020-04-27,48.4271
2020-04-28,49.4026
2020-04-29,52.0975
2020-04-30,50.5045
2020-05-01,48.5789
2020-05-02,48.5789
2020-05-03,48.5789
2020-05-04,47.371
2020-05-05,45.7351
2020-05-06,44.8883
2020-05-07,44.8883
2020-05-08,47.6053
2020-05-09,47.6053
2020-05-10,47.6053
2020-05-11,45.6736
2020-05-12,43.0181
2020-05-13,41.1219
2020-05-14,41.6769
2020-05-15,41.391
2020-05-16,41.391
2020-05-17,41.391
2020-05-18,45.6139
2020-05-19,43.158
2020-05-20,45.7538
2020-05-21,45.6478
2020-05-22,45.4299
2020-05-23,45.4299
2020-05-24,45.4299
2020-05-25,45.4299
2020-05-26,48.6021
2020-05-27,51.4073
2020-05-28,49.2633
2020-05-29,48.2412
2020-05-30,48.2412
2020-05-31,48.2412
2020-06-01,47.6353
2020-06-02,47.0243
2020-06-03,49.4754
2020-06-04,50.3687
2020-06-05,54.5101
2020-06-06,54.5101
2020-06-07,54.5101
2020-06-08,54.4243
2020-06-09,53.7244
2020-06-10,50.67
2020-06-11,47.4735
2020-06-12,48.8411
2020-06-13,48.8411
2020-06-14,48.8411
2020-06-15,48.1733
2020-06-16,49.698
2020-06-17,48.1165
2020-06-18,47.9217
2020-06-19,49.8535
2020-06-20,49.8535
2020-06-21,49.8535
2020-06-22,49.9162
2020-06-23,48.4951
2020-06-24,45.8913
2020-06-25,47.9864
2020-06-26,46.4584
2020-06-27,46.4584
2020-06-28,46.4584
2020-06-29,49.0408
2020-06-30,50.1598
2020-07-01,47.9993
2020-07-02,47.8796
2020-07-03,47.8796
2020-07-04,47.8796
2020-07-05,47.8796
2020-07-06,47.7156
2020-07-07,46.38
2020-07-08,45.4289
2020-07-09,43.6934
2020-07-10,45.9042
2020-07-11,45.9042
2020-07-12,45.9042
2020-07-13,46.9229
2020-07-14,46.512
2020-07-15,49.0561
2020-07-16,48.9888
2020-07-17,47.5717
2020-07-18,47.5717
2020-07-19,47.5717
2020-07-20,46.2534
2020-07-21,49.1218
2020-07-22,47.988
2020-07-23,48.9889
2020-07-24,48.4773
2020-07-25,48.4773
2020-07-26,48.4773
2020-07-27,47.0449
2020-07-28,47.3306
2020-07-29,50.0901
2020-07-30,47.74
2020-07-31,47.2535
2020-08-01,47.2535
2020-08-02,47.2535
2020-08-03,47.6085
2020-08-04,47.1826
2020-08-05,48.8594
2020-08-06,48.8865
2020-08-07,51.2621
2020-08-08,51.2621
2020-08-09,51.2621
2020-08-10,52.3937
2020-08-11,53.4607
2020-08-12,52.1929
2020-08-13,51.25
2020-08-14,52.3035
2020-08-15,52.3035
2020-08-16,52.3035
2020-08-17,51.3903
2020-08-18,49.6545
2020-08-19,50.4054
2020-08-20,49.7267
2020-08-21,50.0594
2020-08-22,50.0594
2020-08-23,50.0594
2020-08-24,52.1443
2020-08-25,51.984
2020-08-26,49.6766
2020-08-27,51.0318
2020-08-28,50.6152
2020-08-29,50.6152
2020-08-30,50.6152
2020-08-31,49.8629
2020-09-01,50.0299
2020-09-02,50.9926
2020-09-03,50.8326
2020-09-04,52.2111
2020-09-05,52.2111
2020-09-06,52.2111
2020-09-07,52.2111
2020-09-08,48.4195
2020-09-09,47.3974
2020-09-10,46.7714
2020-09-11,46.3713
2020-09-12,46.3713
2020-09-13,46.3713
2020-09-14,47.7583
2020-09-15,46.9214
2020-09-16,47.4768
2020-09-17,46.7894
2020-09-18,46.0275
2020-09-19,46.0275
2020-09-20,46.0275
2020-09-21,42.233
2020-09-22,40.8338
2020-09-23,39.2495
2020-09-24,40.8618
2020-09-25,42.5699
2020-09-26,42.5699
2020-09-27,42.5699
2020-09-28,44.4427
2020-09-29,44.071
2020-09-30,44.5075
2020-10-01,44.6416
2020-10-02,47.5268
2020-10-03,47.5268
2020-10-04,47.5268
2020-10-05,50.2498
2020-10-06,50.0094
2020-10-07,51.7603
2020-10-08,52.5419
2020-10-09,51.2952
2020-10-10,51.2952
2020-10-11,51.2952
2020-10-12,53.6117
2020-10-13,50.6547
2020-10-14,49.0167
2020-10-15,51.13
2020-10-16,50.5978
2020-10-17,50.5978
2020-10-18,50.5978
2020-10-19,50.0999
2020-10-20,52.0524
