,TXN US Equity
,RSI_30D
2020-01-01,51.9897
2020-01-02,53.8937
2020-01-03,51.0779
2020-01-04,51.0779
2020-01-05,51.0779
2020-01-06,49.6882
2020-01-07,53.3059
2020-01-08,53.7969
2020-01-09,55.9464
2020-01-10,53.7548
2020-01-11,53.7548
2020-01-12,53.7548
2020-01-13,53.673
2020-01-14,54.6995
2020-01-15,52.2065
2020-01-16,53.6489
2020-01-17,55.7956
2020-01-18,55.7956
2020-01-19,55.7956
2020-01-20,55.7956
2020-01-21,54.3746
2020-01-22,57.6674
2020-01-23,58.7962
2020-01-24,52.8237
2020-01-25,52.8237
2020-01-26,52.8237
2020-01-27,47.2229
2020-01-28,49.4991
2020-01-29,46.4447
2020-01-30,46.2465
2020-01-31,42.1222
2020-02-01,42.1222
2020-02-02,42.1222
2020-02-03,45.7715
2020-02-04,49.4522
2020-02-05,55.5249
2020-02-06,55.5989
2020-02-07,51.3792
2020-02-08,51.3792
2020-02-09,51.3792
2020-02-10,52.3103
2020-02-11,53.3322
2020-02-12,54.9674
2020-02-13,55.3345
2020-02-14,54.6258
2020-02-15,54.6258
2020-02-16,54.6258
2020-02-17,54.6258
2020-02-18,53.4803
2020-02-19,55.3669
2020-02-20,53.3992
2020-02-21,50.1245
2020-02-22,50.1245
2020-02-23,50.1245
2020-02-24,43.501
2020-02-25,41.0744
2020-02-26,41.5265
2020-02-27,37.4256
2020-02-28,38.5459
2020-02-29,38.5459
2020-03-01,38.5459
2020-03-02,43.546
2020-03-03,39.9534
2020-03-04,44.7425
2020-03-05,41.8867
2020-03-06,40.9135
2020-03-07,40.9135
2020-03-08,40.9135
2020-03-09,36.3638
2020-03-10,42.1648
2020-03-11,39.2284
2020-03-12,35.1827
2020-03-13,41.1402
2020-03-14,41.1402
2020-03-15,41.1402
2020-03-16,36.0845
2020-03-17,43.3495
2020-03-18,41.0054
2020-03-19,41.836
2020-03-20,40.3499
2020-03-21,40.3499
2020-03-22,40.3499
2020-03-23,40.8101
2020-03-24,44.4618
2020-03-25,42.0569
2020-03-26,46.2301
2020-03-27,43.4945
2020-03-28,43.4945
2020-03-29,43.4945
2020-03-30,44.2095
2020-03-31,43.4278
2020-04-01,42.3024
2020-04-02,44.7996
2020-04-03,44.0159
2020-04-04,44.0159
2020-04-05,44.0159
2020-04-06,48.1467
2020-04-07,47.0665
2020-04-08,48.7877
2020-04-09,47.7686
2020-04-10,47.7686
2020-04-11,47.7686
2020-04-12,47.7686
2020-04-13,47.7602
2020-04-14,49.2602
2020-04-15,47.97
2020-04-16,49.5397
2020-04-17,50.5179
2020-04-18,50.5179
2020-04-19,50.5179
2020-04-20,49.5879
2020-04-21,47.4882
2020-04-22,49.8936
2020-04-23,49.2041
2020-04-24,50.8096
2020-04-25,50.8096
2020-04-26,50.8096
2020-04-27,51.6523
2020-04-28,50.9013
2020-04-29,53.257
2020-04-30,51.6041
2020-05-01,49.0043
2020-05-02,49.0043
2020-05-03,49.0043
2020-05-04,49.3859
2020-05-05,49.8966
2020-05-06,50.3353
2020-05-07,50.9561
2020-05-08,51.6424
2020-05-09,51.6424
2020-05-10,51.6424
2020-05-11,51.576
2020-05-12,49.8154
2020-05-13,48.4114
2020-05-14,49.1359
2020-05-15,47.9866
2020-05-16,47.9866
2020-05-17,47.9866
2020-05-18,51.4289
2020-05-19,50.4563
2020-05-20,52.9931
2020-05-21,50.7421
2020-05-22,50.7255
2020-05-23,50.7255
2020-05-24,50.7255
2020-05-25,50.7255
2020-05-26,51.9741
2020-05-27,53.0915
2020-05-28,51.9255
2020-05-29,53.4811
2020-05-30,53.4811
2020-05-31,53.4811
2020-06-01,52.9377
2020-06-02,55.4944
2020-06-03,57.7363
2020-06-04,58.3906
2020-06-05,59.7367
2020-06-06,59.7367
2020-06-07,59.7367
2020-06-08,60.3948
2020-06-09,59.8673
2020-06-10,59.3456
2020-06-11,54.6954
2020-06-12,54.2806
2020-06-13,54.2806
2020-06-14,54.2806
2020-06-15,54.4259
2020-06-16,55.4836
2020-06-17,55.546
2020-06-18,55.3707
2020-06-19,54.558
2020-06-20,54.558
2020-06-21,54.558
2020-06-22,54.7743
2020-06-23,55.6544
2020-06-24,53.6124
2020-06-25,54.3178
2020-06-26,53.0009
2020-06-27,53.0009
2020-06-28,53.0009
2020-06-29,53.9575
2020-06-30,55.4322
2020-07-01,53.678
2020-07-02,54.3732
2020-07-03,54.3732
2020-07-04,54.3732
2020-07-05,54.3732
2020-07-06,56.8412
2020-07-07,56.057
2020-07-08,56.4976
2020-07-09,57.2831
2020-07-10,57.3512
2020-07-11,57.3512
2020-07-12,57.3512
2020-07-13,55.7785
2020-07-14,57.9216
2020-07-15,58.0995
2020-07-16,58.1206
2020-07-17,59.3302
2020-07-18,59.3302
2020-07-19,59.3302
2020-07-20,61.156
2020-07-21,60.0162
2020-07-22,57.0657
2020-07-23,53.8271
2020-07-24,54.2809
2020-07-25,54.2809
2020-07-26,54.2809
2020-07-27,56.1618
2020-07-28,54.3144
2020-07-29,55.4643
2020-07-30,53.7382
2020-07-31,52.5137
2020-08-01,52.5137
2020-08-02,52.5137
2020-08-03,53.9476
2020-08-04,56.1973
2020-08-05,56.552
2020-08-06,57.3425
2020-08-07,57.1563
2020-08-08,57.1563
2020-08-09,57.1563
2020-08-10,58.5861
2020-08-11,59.0673
2020-08-12,61.0019
2020-08-13,59.3393
2020-08-14,59.4926
2020-08-15,59.4926
2020-08-16,59.4926
2020-08-17,60.2142
2020-08-18,61.01
2020-08-19,60.0094
2020-08-20,60.0828
2020-08-21,61.5125
2020-08-22,61.5125
2020-08-23,61.5125
2020-08-24,62.0636
2020-08-25,62.5777
2020-08-26,63.2143
2020-08-27,61.8908
2020-08-28,63.5361
2020-08-29,63.5361
2020-08-30,63.5361
2020-08-31,61.6901
2020-09-01,63.9616
2020-09-02,65.9533
2020-09-03,58.5026
2020-09-04,57.1599
2020-09-05,57.1599
2020-09-06,57.1599
2020-09-07,57.1599
2020-09-08,52.5536
2020-09-09,55.5953
2020-09-10,53.1826
2020-09-11,52.4078
2020-09-12,52.4078
2020-09-13,52.4078
2020-09-14,54.225
2020-09-15,55.9257
2020-09-16,54.9646
2020-09-17,55.5571
2020-09-18,53.7877
2020-09-19,53.7877
2020-09-20,53.7877
2020-09-21,52.1295
2020-09-22,53.6005
2020-09-23,50.2615
2020-09-24,51.628
2020-09-25,53.0497
2020-09-26,53.0497
2020-09-27,53.0497
2020-09-28,56.0194
2020-09-29,55.5774
2020-09-30,56.6156
2020-10-01,58.2735
2020-10-02,54.3985
2020-10-03,54.3985
2020-10-04,54.3985
2020-10-05,56.7284
2020-10-06,56.4987
2020-10-07,58.681
