,ULTA US Equity
,RSI_30D
2020-01-01,54.1444
2020-01-02,54.8226
2020-01-03,52.3353
2020-01-04,52.3353
2020-01-05,52.3353
2020-01-06,52.7304
2020-01-07,53.8169
2020-01-08,56.2061
2020-01-09,58.683
2020-01-10,60.2802
2020-01-11,60.2802
2020-01-12,60.2802
2020-01-13,63.5289
2020-01-14,65.9002
2020-01-15,62.0295
2020-01-16,62.3149
2020-01-17,59.9218
2020-01-18,59.9218
2020-01-19,59.9218
2020-01-20,59.9218
2020-01-21,59.4164
2020-01-22,60.1707
2020-01-23,59.1466
2020-01-24,59.4702
2020-01-25,59.4702
2020-01-26,59.4702
2020-01-27,59.7745
2020-01-28,59.8481
2020-01-29,59.8972
2020-01-30,60.1312
2020-01-31,55.787
2020-02-01,55.787
2020-02-02,55.787
2020-02-03,59.0649
2020-02-04,58.1539
2020-02-05,60.2085
2020-02-06,65.7583
2020-02-07,66.6986
2020-02-08,66.6986
2020-02-09,66.6986
2020-02-10,64.9796
2020-02-11,65.1612
2020-02-12,67.0052
2020-02-13,65.5679
2020-02-14,63.9497
2020-02-15,63.9497
2020-02-16,63.9497
2020-02-17,63.9497
2020-02-18,65.4009
2020-02-19,64.2061
2020-02-20,65.7725
2020-02-21,64.5079
2020-02-22,64.5079
2020-02-23,64.5079
2020-02-24,56.4969
2020-02-25,52.7806
2020-02-26,50.4136
2020-02-27,47.3162
2020-02-28,44.163
2020-02-29,44.163
2020-03-01,44.163
2020-03-02,45.917
2020-03-03,44.3324
2020-03-04,49.4404
2020-03-05,45.2965
2020-03-06,45.1093
2020-03-07,45.1093
2020-03-08,45.1093
2020-03-09,38.9071
2020-03-10,40.2741
2020-03-11,35.8639
2020-03-12,31.3531
2020-03-13,34.5534
2020-03-14,34.5534
2020-03-15,34.5534
2020-03-16,27.4742
2020-03-17,26.6142
2020-03-18,23.727
2020-03-19,29.3427
2020-03-20,29.6531
2020-03-21,29.6531
2020-03-22,29.6531
2020-03-23,29.0582
2020-03-24,38.1983
2020-03-25,41.445
2020-03-26,40.9698
2020-03-27,38.7999
2020-03-28,38.7999
2020-03-29,38.7999
2020-03-30,40.0023
2020-03-31,39.392
2020-04-01,37.3067
2020-04-02,37.2851
2020-04-03,36.6122
2020-04-04,36.6122
2020-04-05,36.6122
2020-04-06,43.8729
2020-04-07,43.6898
2020-04-08,46.3589
2020-04-09,46.7421
2020-04-10,46.7421
2020-04-11,46.7421
2020-04-12,46.7421
2020-04-13,46.7668
2020-04-14,47.2729
2020-04-15,46.6082
2020-04-16,48.2102
2020-04-17,49.6032
2020-04-18,49.6032
2020-04-19,49.6032
2020-04-20,48.0924
2020-04-21,46.804
2020-04-22,48.3756
2020-04-23,48.8073
2020-04-24,48.773
2020-04-25,48.773
2020-04-26,48.773
2020-04-27,48.2409
2020-04-28,50.6673
2020-04-29,52.3011
2020-04-30,50.399
2020-05-01,49.575
2020-05-02,49.575
2020-05-03,49.575
2020-05-04,49.8546
2020-05-05,50.5005
2020-05-06,50.515
2020-05-07,51.468
2020-05-08,53.3574
2020-05-09,53.3574
2020-05-10,53.3574
2020-05-11,53.4262
2020-05-12,48.6982
2020-05-13,45.4754
2020-05-14,46.338
2020-05-15,46.2218
2020-05-16,46.2218
2020-05-17,46.2218
2020-05-18,49.3138
2020-05-19,48.7515
2020-05-20,49.5765
2020-05-21,51.8586
2020-05-22,51.3047
2020-05-23,51.3047
2020-05-24,51.3047
2020-05-25,51.3047
2020-05-26,55.3104
2020-05-27,58.1132
2020-05-28,55.9025
2020-05-29,56.048
2020-05-30,56.048
2020-05-31,56.048
2020-06-01,54.7347
2020-06-02,55.2048
2020-06-03,57.5757
