,WERN US Equity
,RSI_30D
2020-01-01,50.2139
2020-01-02,49.8842
2020-01-03,48.5615
2020-01-04,48.5615
2020-01-05,48.5615
2020-01-06,45.8868
2020-01-07,48.7767
2020-01-08,48.6437
2020-01-09,51.5939
2020-01-10,54.1663
2020-01-11,54.1663
2020-01-12,54.1663
2020-01-13,56.2417
2020-01-14,59.4373
2020-01-15,60.5253
2020-01-16,61.3204
2020-01-17,61.5607
2020-01-18,61.5607
2020-01-19,61.5607
2020-01-20,61.5607
2020-01-21,59.9553
2020-01-22,56.828
2020-01-23,57.9405
2020-01-24,57.1483
2020-01-25,57.1483
2020-01-26,57.1483
2020-01-27,54.7079
2020-01-28,55.0469
2020-01-29,55.8767
2020-01-30,56.4636
2020-01-31,49.7347
2020-02-01,49.7347
2020-02-02,49.7347
2020-02-03,53.023
2020-02-04,52.9161
2020-02-05,55.2937
2020-02-06,61.4871
2020-02-07,56.7713
2020-02-08,56.7713
2020-02-09,56.7713
2020-02-10,56.0385
2020-02-11,55.593
2020-02-12,55.9153
2020-02-13,56.6475
2020-02-14,54.0178
2020-02-15,54.0178
2020-02-16,54.0178
2020-02-17,54.0178
2020-02-18,53.6139
2020-02-19,55.2577
2020-02-20,54.6775
2020-02-21,52.203
2020-02-22,52.203
2020-02-23,52.203
2020-02-24,48.1199
2020-02-25,45.3768
2020-02-26,39.9413
2020-02-27,37.9058
2020-02-28,36.0631
2020-02-29,36.0631
2020-03-01,36.0631
2020-03-02,35.5104
2020-03-03,34.7337
2020-03-04,41.0837
2020-03-05,37.5101
2020-03-06,37.6458
2020-03-07,37.6458
2020-03-08,37.6458
2020-03-09,33.0858
2020-03-10,38.4896
2020-03-11,37.3526
2020-03-12,32.402
2020-03-13,40.0606
2020-03-14,40.0606
2020-03-15,40.0606
2020-03-16,35.1013
2020-03-17,46.5808
2020-03-18,46.7787
2020-03-19,46.8013
2020-03-20,43.4894
2020-03-21,43.4894
2020-03-22,43.4894
2020-03-23,41.928
2020-03-24,47.2691
2020-03-25,49.6256
2020-03-26,49.4898
2020-03-27,48.7801
2020-03-28,48.7801
2020-03-29,48.7801
2020-03-30,52.5176
2020-03-31,52.2492
2020-04-01,48.7956
2020-04-02,48.7956
2020-04-03,46.7434
2020-04-04,46.7434
2020-04-05,46.7434
2020-04-06,52.7743
2020-04-07,53.4453
2020-04-08,54.5584
2020-04-09,56.5745
2020-04-10,56.5745
2020-04-11,56.5745
2020-04-12,56.5745
2020-04-13,53.5335
2020-04-14,54.4559
2020-04-15,53.4188
2020-04-16,56.639
2020-04-17,57.9462
2020-04-18,57.9462
2020-04-19,57.9462
2020-04-20,55.6884
2020-04-21,55.6376
2020-04-22,55.8043
2020-04-23,56.6465
2020-04-24,57.5011
2020-04-25,57.5011
2020-04-26,57.5011
