,WNC US Equity
,RSI_30D
2020-01-01,49.7158
2020-01-02,48.7133
2020-01-03,48.7133
2020-01-04,48.7133
2020-01-05,48.7133
2020-01-06,48.1538
2020-01-07,46.5728
2020-01-08,47.0226
2020-01-09,45.9813
2020-01-10,43.8929
2020-01-11,43.8929
2020-01-12,43.8929
2020-01-13,42.3454
2020-01-14,41.4105
2020-01-15,38.439
2020-01-16,40.8346
2020-01-17,39.6378
2020-01-18,39.6378
2020-01-19,39.6378
2020-01-20,39.6378
2020-01-21,35.6723
2020-01-22,34.746
2020-01-23,35.661
2020-01-24,34.5474
2020-01-25,34.5474
2020-01-26,34.5474
2020-01-27,32.1582
2020-01-28,34.4027
2020-01-29,34.0845
2020-01-30,34.7091
2020-01-31,32.3813
2020-02-01,32.3813
2020-02-02,32.3813
2020-02-03,33.3275
2020-02-04,35.9046
2020-02-05,38.6521
2020-02-06,37.9903
2020-02-07,35.9087
2020-02-08,35.9087
2020-02-09,35.9087
2020-02-10,35.2974
2020-02-11,37.9785
2020-02-12,42.7923
2020-02-13,44.3928
2020-02-14,43.2723
2020-02-15,43.2723
2020-02-16,43.2723
2020-02-17,43.2723
2020-02-18,44.1304
2020-02-19,43.2505
2020-02-20,43.6084
2020-02-21,43.3961
2020-02-22,43.3961
2020-02-23,43.3961
2020-02-24,38.6577
2020-02-25,37.7238
2020-02-26,36.089
2020-02-27,34.7462
2020-02-28,34.5865
2020-02-29,34.5865
2020-03-01,34.5865
2020-03-02,34.7932
2020-03-03,33.6383
2020-03-04,36.938
2020-03-05,34.0382
2020-03-06,34.34
2020-03-07,34.34
2020-03-08,34.34
2020-03-09,31.5521
2020-03-10,29.6405
2020-03-11,28.0077
2020-03-12,23.4338
2020-03-13,30.6204
2020-03-14,30.6204
2020-03-15,30.6204
2020-03-16,30.7005
2020-03-17,31.6797
2020-03-18,27.6395
2020-03-19,31.9067
2020-03-20,30.4406
2020-03-21,30.4406
2020-03-22,30.4406
2020-03-23,28.3448
2020-03-24,30.1916
2020-03-25,29.7643
