,ZBH US Equity
,RSI_30D
2020-01-01,60.1654
2020-01-02,59.2935
2020-01-03,58.5799
2020-01-04,58.5799
2020-01-05,58.5799
2020-01-06,57.0146
2020-01-07,56.7774
2020-01-08,59.1703
2020-01-09,57.3337
2020-01-10,59.1742
2020-01-11,59.1742
2020-01-12,59.1742
2020-01-13,57.3871
2020-01-14,56.1572
2020-01-15,55.8114
2020-01-16,56.7111
2020-01-17,57.59
2020-01-18,57.59
2020-01-19,57.59
2020-01-20,57.59
2020-01-21,57.7355
2020-01-22,59.872
2020-01-23,56.9533
2020-01-24,53.7973
2020-01-25,53.7973
2020-01-26,53.7973
2020-01-27,54.1661
2020-01-28,55.9249
2020-01-29,58.1451
2020-01-30,58.7415
2020-01-31,52.8039
2020-02-01,52.8039
2020-02-02,52.8039
2020-02-03,53.7042
2020-02-04,63.4665
2020-02-05,64.3422
2020-02-06,65.5457
2020-02-07,61.2673
2020-02-08,61.2673
2020-02-09,61.2673
2020-02-10,63.0119
2020-02-11,63.9928
2020-02-12,63.0392
2020-02-13,63.0681
2020-02-14,64.662
2020-02-15,64.662
2020-02-16,64.662
2020-02-17,64.662
2020-02-18,62.7333
2020-02-19,63.4877
2020-02-20,60.7929
2020-02-21,59.1982
2020-02-22,59.1982
2020-02-23,59.1982
2020-02-24,54.6595
2020-02-25,48.8367
2020-02-26,45.3897
2020-02-27,39.3921
2020-02-28,36.5221
2020-02-29,36.5221
2020-03-01,36.5221
2020-03-02,40.199
2020-03-03,36.406
2020-03-04,40.911
2020-03-05,35.4339
2020-03-06,32.8279
2020-03-07,32.8279
2020-03-08,32.8279
2020-03-09,27.5419
2020-03-10,33.6136
2020-03-11,30.9078
2020-03-12,27.9169
2020-03-13,26.6834
2020-03-14,26.6834
2020-03-15,26.6834
2020-03-16,25.1097
2020-03-17,23.6565
2020-03-18,22.3873
2020-03-19,28.4946
2020-03-20,27.6585
2020-03-21,27.6585
2020-03-22,27.6585
2020-03-23,26.35
2020-03-24,34.1929
2020-03-25,36.1103
2020-03-26,38.4214
2020-03-27,36.5253
2020-03-28,36.5253
2020-03-29,36.5253
2020-03-30,38.3053
2020-03-31,39.77
2020-04-01,36.1402
2020-04-02,37.7219
2020-04-03,37.5036
2020-04-04,37.5036
2020-04-05,37.5036
2020-04-06,40.5213
2020-04-07,42.4461
2020-04-08,46.6604
2020-04-09,46.3159
2020-04-10,46.3159
2020-04-11,46.3159
2020-04-12,46.3159
2020-04-13,45.4334
2020-04-14,47.879
2020-04-15,46.5349
2020-04-16,46.2254
2020-04-17,50.1919
2020-04-18,50.1919
2020-04-19,50.1919
2020-04-20,49.5468
2020-04-21,47.6001
2020-04-22,46.4806
2020-04-23,48.1156
2020-04-24,49.5932
2020-04-25,49.5932
2020-04-26,49.5932
2020-04-27,50.0357
2020-04-28,48.8624
2020-04-29,51.4815
2020-04-30,50.9697
2020-05-01,49.4568
2020-05-02,49.4568
2020-05-03,49.4568
2020-05-04,48.5154
2020-05-05,50.2889
2020-05-06,49.3365
2020-05-07,50.9183
2020-05-08,52.0017
2020-05-09,52.0017
2020-05-10,52.0017
2020-05-11,50.1984
2020-05-12,48.2312
2020-05-13,47.1367
2020-05-14,47.6391
2020-05-15,47.7837
2020-05-16,47.7837
2020-05-17,47.7837
2020-05-18,52.5833
2020-05-19,53.1382
2020-05-20,54.2838
2020-05-21,52.0009
2020-05-22,52.6282
2020-05-23,52.6282
2020-05-24,52.6282
2020-05-25,52.6282
2020-05-26,54.1082
2020-05-27,54.8079
2020-05-28,54.6195
2020-05-29,53.7187
2020-05-30,53.7187
2020-05-31,53.7187
2020-06-01,54.4441
2020-06-02,54.7301
2020-06-03,55.6375
2020-06-04,55.1175
2020-06-05,58.7749
2020-06-06,58.7749
2020-06-07,58.7749
2020-06-08,58.2151
2020-06-09,56.7489
2020-06-10,56.8204
2020-06-11,49.4121
2020-06-12,51.4297
2020-06-13,51.4297
2020-06-14,51.4297
2020-06-15,52.371
2020-06-16,54.2299
2020-06-17,52.6138
2020-06-18,52.2742
2020-06-19,51.607
2020-06-20,51.607
2020-06-21,51.607
2020-06-22,50.7177
2020-06-23,51.4443
2020-06-24,47.3354
2020-06-25,45.9045
2020-06-26,46.1184
2020-06-27,46.1184
2020-06-28,46.1184
2020-06-29,46.9802
2020-06-30,48.4088
2020-07-01,48.3978
2020-07-02,49.1546
2020-07-03,49.1546
2020-07-04,49.1546
2020-07-05,49.1546
2020-07-06,47.7071
2020-07-07,47.1027
2020-07-08,48.3182
2020-07-09,47.5644
2020-07-10,48.7216
2020-07-11,48.7216
2020-07-12,48.7216
2020-07-13,49.6465
2020-07-14,51.7111
2020-07-15,55.9828
2020-07-16,55.2066
2020-07-17,57.6073
2020-07-18,57.6073
2020-07-19,57.6073
2020-07-20,54.6564
2020-07-21,55.6316
2020-07-22,55.9285
2020-07-23,55.7082
2020-07-24,56.4513
2020-07-25,56.4513
2020-07-26,56.4513
2020-07-27,56.5245
2020-07-28,56.464
2020-07-29,59.4984
2020-07-30,58.5023
2020-07-31,55.9003
2020-08-01,55.9003
2020-08-02,55.9003
2020-08-03,56.4018
2020-08-04,52.7371
2020-08-05,54.5357
2020-08-06,54.08
2020-08-07,57.7284
2020-08-08,57.7284
2020-08-09,57.7284
2020-08-10,56.9953
2020-08-11,56.8683
2020-08-12,57.0836
2020-08-13,56.5548
2020-08-14,56.0814
2020-08-15,56.0814
2020-08-16,56.0814
2020-08-17,56.8787
2020-08-18,57.0197
2020-08-19,55.693
2020-08-20,55.3066
2020-08-21,54.7476
2020-08-22,54.7476
2020-08-23,54.7476
2020-08-24,55.2231
2020-08-25,55.8068
2020-08-26,55.0827
2020-08-27,57.8043
2020-08-28,58.6037
2020-08-29,58.6037
2020-08-30,58.6037
2020-08-31,57.8184
2020-09-01,57.4154
2020-09-02,59.2447
2020-09-03,56.7628
2020-09-04,56.049
2020-09-05,56.049
2020-09-06,56.049
2020-09-07,56.049
2020-09-08,54.5509
2020-09-09,56.0847
2020-09-10,54.5666
2020-09-11,55.0113
2020-09-12,55.0113
2020-09-13,55.0113
2020-09-14,56.1458
2020-09-15,59.02
2020-09-16,60.2054
2020-09-17,56.924
2020-09-18,53.1808
2020-09-19,53.1808
2020-09-20,53.1808
2020-09-21,49.0365
2020-09-22,50.3114
2020-09-23,48.8357
2020-09-24,47.5444
2020-09-25,50.0091
2020-09-26,50.0091
2020-09-27,50.0091
2020-09-28,51.044
2020-09-29,48.8411
2020-09-30,51.0823
2020-10-01,52.0266
2020-10-02,52.3146
2020-10-03,52.3146
2020-10-04,52.3146
2020-10-05,55.3212
2020-10-06,54.8534
2020-10-07,57.5821
2020-10-08,58.838
2020-10-09,59.7344
2020-10-10,59.7344
2020-10-11,59.7344
2020-10-12,60.5103
2020-10-13,56.3107
2020-10-14,56.9586
2020-10-15,58.24
2020-10-16,57.645
2020-10-17,57.645
2020-10-18,57.645
2020-10-19,53.1085
2020-10-20,53.0209
2020-10-21,52.9487
2020-10-22,53.9467
2020-10-23,53.6214
2020-10-24,53.6214
2020-10-25,53.6214
2020-10-26,50.6484
2020-10-27,49.8356
2020-10-28,45.4945
2020-10-29,45.9324
2020-10-30,44.5615
2020-10-31,44.5615
2020-11-01,44.5615
2020-11-02,44.9716
2020-11-03,48.6137
2020-11-04,48.964
2020-11-05,51.2138
2020-11-06,50.4647
2020-11-07,50.4647
2020-11-08,50.4647
2020-11-09,62.4087
2020-11-10,57.6333
2020-11-11,57.0406
2020-11-12,56.2765
2020-11-13,58.0331
2020-11-14,58.0331
2020-11-15,58.0331
2020-11-16,57.1096
2020-11-17,57.052
2020-11-18,55.4306
2020-11-19,54.084
2020-11-20,53.6052
2020-11-21,53.6052
2020-11-22,53.6052
2020-11-23,53.8203
2020-11-24,57.1362
2020-11-25,55.9344
2020-11-26,55.9344
2020-11-27,56.166
2020-11-28,56.166
2020-11-29,56.166
2020-11-30,55.369
2020-12-01,52.7696
2020-12-02,54.0624
2020-12-03,52.748
2020-12-04,54.7719
2020-12-05,54.7719
2020-12-06,54.7719
2020-12-07,51.8538
2020-12-08,52.6045
2020-12-09,53.0887
2020-12-10,52.0402
2020-12-11,48.5371
2020-12-12,48.5371
2020-12-13,48.5371
2020-12-14,49.2828
2020-12-15,53.2984
2020-12-16,54.0483
2020-12-17,55.8194
2020-12-18,56.1606
2020-12-19,56.1606
2020-12-20,56.1606
2020-12-21,53.3342
2020-12-22,54.9437
2020-12-23,53.3641
2020-12-24,53.744
2020-12-25,53.744
2020-12-26,53.744
2020-12-27,53.744
2020-12-28,53.4262
2020-12-29,56.0826
2020-12-30,55.8696
2020-12-31,57.2355
2021-01-01,57.2355
2021-01-02,57.2355
2021-01-03,57.2355
2021-01-04,56.3384
2021-01-05,58.2666
2021-01-06,61.2339
