,USDKRW BGN Curncy
,PX_LAST
2010-01-01,1164.0
2010-01-02,1164.0
2010-01-03,1164.0
2010-01-04,1154.6
2010-01-05,1140.5
2010-01-06,1136.4
2010-01-07,1135.35
2010-01-08,1130.75
2010-01-09,1130.75
2010-01-10,1130.75
2010-01-11,1119.95
2010-01-12,1123.75
2010-01-13,1125.45
2010-01-14,1120.75
2010-01-15,1123.08
2010-01-16,1123.08
2010-01-17,1123.08
2010-01-18,1124.6
2010-01-19,1127.3
2010-01-20,1138.05
2010-01-21,1137.3
2010-01-22,1150.85
2010-01-23,1150.85
2010-01-24,1150.85
2010-01-25,1150.15
2010-01-26,1163.25
2010-01-27,1159.9
2010-01-28,1151.5
2010-01-29,1161.65
2010-01-30,1161.65
2010-01-31,1161.65
2010-02-01,1169.45
2010-02-02,1159.83
2010-02-03,1149.25
2010-02-04,1150.9
2010-02-05,1169.45
2010-02-06,1169.45
2010-02-07,1169.45
2010-02-08,1171.88
2010-02-09,1163.75
2010-02-10,1160.2
2010-02-11,1156.85
2010-02-12,1151.4
2010-02-13,1151.4
2010-02-14,1151.4
2010-02-15,1156.0
2010-02-16,1151.55
2010-02-17,1142.2
2010-02-18,1150.47
2010-02-19,1160.5
2010-02-20,1160.5
2010-02-21,1160.5
2010-02-22,1147.4
2010-02-23,1148.3
2010-02-24,1153.25
2010-02-25,1163.25
2010-02-26,1159.85
2010-02-27,1159.85
2010-02-28,1159.85
2010-03-01,1154.15
2010-03-02,1152.65
2010-03-03,1146.4
2010-03-04,1145.35
2010-03-05,1140.3
2010-03-06,1140.3
2010-03-07,1140.3
2010-03-08,1132.53
2010-03-09,1134.68
2010-03-10,1130.93
2010-03-11,1133.43
2010-03-12,1128.2
2010-03-13,1128.2
2010-03-14,1128.2
2010-03-15,1134.75
2010-03-16,1132.65
2010-03-17,1128.4
2010-03-18,1133.85
2010-03-19,1132.8
2010-03-20,1132.8
2010-03-21,1132.8
2010-03-22,1135.6
2010-03-23,1136.9
2010-03-24,1137.8
2010-03-25,1142.45
2010-03-26,1138.8
2010-03-27,1138.8
2010-03-28,1138.8
2010-03-29,1135.38
2010-03-30,1130.1
2010-03-31,1131.3
2010-04-01,1126.25
2010-04-02,1125.85
2010-04-03,1125.85
2010-04-04,1125.85
2010-04-05,1123.05
2010-04-06,1123.1
2010-04-07,1120.6
2010-04-08,1123.25
2010-04-09,1118.15
2010-04-10,1118.15
2010-04-11,1118.15
2010-04-12,1114.13
2010-04-13,1123.9
2010-04-14,1112.15
2010-04-15,1107.55
2010-04-16,1110.23
2010-04-17,1110.23
2010-04-18,1110.23
2010-04-19,1118.0
2010-04-20,1117.85
2010-04-21,1107.65
2010-04-22,1108.15
2010-04-23,1108.85
2010-04-24,1108.85
2010-04-25,1108.85
2010-04-26,1103.8
2010-04-27,1110.15
2010-04-28,1118.75
2010-04-29,1114.85
2010-04-30,1108.3
2010-05-01,1108.3
2010-05-02,1108.3
2010-05-03,1118.4
2010-05-04,1115.35
2010-05-05,1132.5
2010-05-06,1141.4
2010-05-07,1155.45
2010-05-08,1155.45
2010-05-09,1155.45
2010-05-10,1132.08
2010-05-11,1135.78
2010-05-12,1143.7
2010-05-13,1128.1
2010-05-14,1130.93
2010-05-15,1130.93
2010-05-16,1130.93
2010-05-17,1153.8
2010-05-18,1146.58
2010-05-19,1165.08
2010-05-20,1194.8
2010-05-21,1228.5
2010-05-22,1228.5
2010-05-23,1228.5
2010-05-24,1214.25
2010-05-25,1251.1
2010-05-26,1252.28
2010-05-27,1224.1
2010-05-28,1194.6
2010-05-29,1194.6
2010-05-30,1194.6
2010-05-31,1202.24
2010-06-01,1216.18
2010-06-02,1234.5
2010-06-03,1197.65
2010-06-04,1201.8
2010-06-05,1201.8
2010-06-06,1201.8
2010-06-07,1235.35
2010-06-08,1233.48
2010-06-09,1248.83
2010-06-10,1251.05
2010-06-11,1246.1
2010-06-12,1246.1
2010-06-13,1246.1
2010-06-14,1222.15
2010-06-15,1227.6
2010-06-16,1210.75
2010-06-17,1213.4
2010-06-18,1202.65
2010-06-19,1202.65
2010-06-20,1202.65
2010-06-21,1171.95
2010-06-22,1182.0
2010-06-23,1187.5
2010-06-24,1189.45
2010-06-25,1215.19
2010-06-26,1215.19
2010-06-27,1215.19
2010-06-28,1201.89
2010-06-29,1216.76
2010-06-30,1221.8
2010-07-01,1228.65
2010-07-02,1228.75
2010-07-03,1228.75
2010-07-04,1228.75
2010-07-05,1223.03
2010-07-06,1222.5
2010-07-07,1222.98
2010-07-08,1209.4
2010-07-09,1195.85
2010-07-10,1195.85
2010-07-11,1195.85
2010-07-12,1201.86
2010-07-13,1212.3
2010-07-14,1202.33
2010-07-15,1202.65
2010-07-16,1203.39
2010-07-17,1203.39
2010-07-18,1203.39
2010-07-19,1215.65
2010-07-20,1205.71
2010-07-21,1204.5
2010-07-22,1204.0
2010-07-23,1199.15
2010-07-24,1199.15
2010-07-25,1199.15
2010-07-26,1191.3
2010-07-27,1181.43
2010-07-28,1184.2
2010-07-29,1186.5
2010-07-30,1182.75
2010-07-31,1182.75
2010-08-01,1182.75
2010-08-02,1172.45
2010-08-03,1171.43
2010-08-04,1168.43
2010-08-05,1166.45
2010-08-06,1161.9
2010-08-07,1161.9
2010-08-08,1161.9
2010-08-09,1160.0
2010-08-10,1168.68
2010-08-11,1182.5
2010-08-12,1186.18
2010-08-13,1183.7
2010-08-14,1183.7
2010-08-15,1183.7
2010-08-16,1187.3
2010-08-17,1176.2
2010-08-18,1174.53
2010-08-19,1172.7
2010-08-20,1183.13
2010-08-21,1183.13
2010-08-22,1183.13
2010-08-23,1181.95
2010-08-24,1191.15
2010-08-25,1196.0
2010-08-26,1189.95
2010-08-27,1196.76
2010-08-28,1196.76
2010-08-29,1196.76
2010-08-30,1192.13
2010-08-31,1198.83
2010-09-01,1184.78
2010-09-02,1180.9
2010-09-03,1175.1
2010-09-04,1175.1
2010-09-05,1175.1
2010-09-06,1170.45
2010-09-07,1176.7
2010-09-08,1172.8
2010-09-09,1167.48
2010-09-10,1165.85
2010-09-11,1165.85
2010-09-12,1165.85
2010-09-13,1160.9
2010-09-14,1161.8
2010-09-15,1161.15
2010-09-16,1164.6
2010-09-17,1160.7
2010-09-18,1160.7
2010-09-19,1160.7
2010-09-20,1161.3
2010-09-21,1161.04
2010-09-22,1155.98
2010-09-23,1151.4
2010-09-24,1155.25
2010-09-25,1155.25
2010-09-26,1155.25
2010-09-27,1148.35
2010-09-28,1146.25
2010-09-29,1142.1
2010-09-30,1140.2
2010-10-01,1130.45
2010-10-02,1130.45
2010-10-03,1130.45
2010-10-04,1122.35
2010-10-05,1130.58
2010-10-06,1118.13
2010-10-07,1114.65
2010-10-08,1120.15
2010-10-09,1120.15
2010-10-10,1120.15
2010-10-11,1116.8
2010-10-12,1131.45
2010-10-13,1120.7
2010-10-14,1111.1
2010-10-15,1111.5
2010-10-16,1111.5
2010-10-17,1111.5
2010-10-18,1119.03
2010-10-19,1130.53
2010-10-20,1126.95
2010-10-21,1129.6
2010-10-22,1123.35
2010-10-23,1123.35
2010-10-24,1123.35
2010-10-25,1116.2
2010-10-26,1116.76
2010-10-27,1128.24
2010-10-28,1123.7
2010-10-29,1125.16
2010-10-30,1125.16
2010-10-31,1125.16
2010-11-01,1116.58
2010-11-02,1113.65
2010-11-03,1110.28
2010-11-04,1107.81
2010-11-05,1107.33
2010-11-06,1107.33
2010-11-07,1107.33
2010-11-08,1113.23
2010-11-09,1113.25
2010-11-10,1110.26
2010-11-11,1107.61
2010-11-12,1127.84
2010-11-13,1127.84
2010-11-14,1127.84
2010-11-15,1131.81
2010-11-16,1129.48
2010-11-17,1144.44
2010-11-18,1134.53
2010-11-19,1133.65
2010-11-20,1133.65
2010-11-21,1133.65
2010-11-22,1125.85
2010-11-23,1137.49
2010-11-24,1142.25
2010-11-25,1137.65
2010-11-26,1159.63
2010-11-27,1159.63
2010-11-28,1159.63
2010-11-29,1152.46
2010-11-30,1159.25
2010-12-01,1151.25
2010-12-02,1148.8
2010-12-03,1138.55
2010-12-04,1138.55
2010-12-05,1138.55
2010-12-06,1133.1
2010-12-07,1131.35
2010-12-08,1146.1
2010-12-09,1139.4
2010-12-10,1143.6
2010-12-11,1143.6
2010-12-12,1143.6
2010-12-13,1145.83
2010-12-14,1140.35
2010-12-15,1154.8
2010-12-16,1152.85
2010-12-17,1152.58
2010-12-18,1152.58
2010-12-19,1152.58
2010-12-20,1150.25
2010-12-21,1155.2
2010-12-22,1154.1
2010-12-23,1148.95
2010-12-24,1150.75
2010-12-25,1150.75
2010-12-26,1150.75
2010-12-27,1149.1
2010-12-28,1147.9
2010-12-29,1146.35
2010-12-30,1134.85
2010-12-31,1126.0
2011-01-01,1126.0
2011-01-02,1126.0
2011-01-03,1126.25
2011-01-04,1121.13
2011-01-05,1125.96
2011-01-06,1119.83
2011-01-07,1122.3
2011-01-08,1122.3
2011-01-09,1122.3
2011-01-10,1124.38
2011-01-11,1125.13
2011-01-12,1119.36
2011-01-13,1114.18
2011-01-14,1114.3
2011-01-15,1114.3
2011-01-16,1114.3
2011-01-17,1117.48
2011-01-18,1116.53
2011-01-19,1110.43
2011-01-20,1121.2
2011-01-21,1124.1
2011-01-22,1124.1
2011-01-23,1124.1
2011-01-24,1121.1
2011-01-25,1118.25
2011-01-26,1116.0
2011-01-27,1114.3
2011-01-28,1113.83
2011-01-29,1113.83
2011-01-30,1113.83
2011-01-31,1121.3
2011-02-01,1116.95
2011-02-02,1101.7
2011-02-03,1103.45
2011-02-04,1103.25
2011-02-05,1103.25
2011-02-06,1103.25
2011-02-07,1107.5
2011-02-08,1104.68
2011-02-09,1108.85
2011-02-10,1116.78
2011-02-11,1128.48
2011-02-12,1128.48
2011-02-13,1128.48
2011-02-14,1122.88
2011-02-15,1119.25
2011-02-16,1120.28
2011-02-17,1117.4
2011-02-18,1112.1
2011-02-19,1112.1
2011-02-20,1112.1
2011-02-21,1118.03
2011-02-22,1127.6
2011-02-23,1124.0
2011-02-24,1131.05
2011-02-25,1126.45
2011-02-26,1126.45
2011-02-27,1126.45
2011-02-28,1128.9
2011-03-01,1123.65
2011-03-02,1128.25
2011-03-03,1119.98
2011-03-04,1114.6
2011-03-05,1114.6
2011-03-06,1114.6
2011-03-07,1119.3
2011-03-08,1117.83
2011-03-09,1115.65
2011-03-10,1121.85
2011-03-11,1124.18
2011-03-12,1124.18
2011-03-13,1124.18
2011-03-14,1129.63
2011-03-15,1134.8
2011-03-16,1130.85
2011-03-17,1135.13
2011-03-18,1126.65
2011-03-19,1126.65
2011-03-20,1126.65
2011-03-21,1124.8
2011-03-22,1120.95
2011-03-23,1124.35
2011-03-24,1121.15
2011-03-25,1114.2
2011-03-26,1114.2
2011-03-27,1114.2
2011-03-28,1114.4
2011-03-29,1110.25
2011-03-30,1104.1
