,USDMYR BGN Curncy
,PX_LAST
2010-01-01,3.424
2010-01-02,3.424
2010-01-03,3.424
2010-01-04,3.4032
2010-01-05,3.3874
2010-01-06,3.3845
2010-01-07,3.371
2010-01-08,3.376
2010-01-09,3.376
2010-01-10,3.376
2010-01-11,3.3365
2010-01-12,3.3425
2010-01-13,3.3492
2010-01-14,3.339
2010-01-15,3.3395
2010-01-16,3.3395
2010-01-17,3.3395
2010-01-18,3.3415
2010-01-19,3.339
2010-01-20,3.362
2010-01-21,3.3775
2010-01-22,3.3965
2010-01-23,3.3965
2010-01-24,3.3965
2010-01-25,3.3994
2010-01-26,3.4215
2010-01-27,3.4252
2010-01-28,3.406
2010-01-29,3.4098
2010-01-30,3.4098
2010-01-31,3.4098
2010-02-01,3.4148
2010-02-02,3.4185
2010-02-03,3.402
2010-02-04,3.419
2010-02-05,3.444
2010-02-06,3.444
2010-02-07,3.444
2010-02-08,3.4405
2010-02-09,3.4365
2010-02-10,3.4327
2010-02-11,3.4275
2010-02-12,3.4176
2010-02-13,3.4176
2010-02-14,3.4176
2010-02-15,3.4229
2010-02-16,3.4229
2010-02-17,3.386
2010-02-18,3.401
2010-02-19,3.4135
2010-02-20,3.4135
2010-02-21,3.4135
2010-02-22,3.401
2010-02-23,3.3927
2010-02-24,3.4015
2010-02-25,3.406
2010-02-26,3.4028
2010-02-27,3.4028
2010-02-28,3.4028
2010-03-01,3.387
2010-03-02,3.385
2010-03-03,3.3733
2010-03-04,3.3715
2010-03-05,3.364
2010-03-06,3.364
2010-03-07,3.364
2010-03-08,3.3405
2010-03-09,3.3423
2010-03-10,3.321
2010-03-11,3.3198
2010-03-12,3.307
2010-03-13,3.307
2010-03-14,3.307
2010-03-15,3.3188
2010-03-16,3.3235
2010-03-17,3.2988
2010-03-18,3.3073
2010-03-19,3.3035
2010-03-20,3.3035
2010-03-21,3.3035
2010-03-22,3.3185
2010-03-23,3.3177
2010-03-24,3.3175
2010-03-25,3.3183
2010-03-26,3.307
2010-03-27,3.307
2010-03-28,3.307
2010-03-29,3.2725
2010-03-30,3.2685
2010-03-31,3.2638
2010-04-01,3.2575
2010-04-02,3.248
2010-04-03,3.248
2010-04-04,3.248
2010-04-05,3.2301
2010-04-06,3.2135
2010-04-07,3.2113
2010-04-08,3.2088
2010-04-09,3.1898
2010-04-10,3.1898
2010-04-11,3.1898
2010-04-12,3.2105
2010-04-13,3.224
2010-04-14,3.2008
2010-04-15,3.1945
2010-04-16,3.1905
2010-04-17,3.1905
2010-04-18,3.1905
2010-04-19,3.2165
2010-04-20,3.206
2010-04-21,3.1975
2010-04-22,3.1963
2010-04-23,3.1916
2010-04-24,3.1916
2010-04-25,3.1916
2010-04-26,3.1825
2010-04-27,3.1878
2010-04-28,3.218
2010-04-29,3.198
2010-04-30,3.1838
2010-05-01,3.1838
2010-05-02,3.1838
2010-05-03,3.2103
2010-05-04,3.2123
2010-05-05,3.2328
2010-05-06,3.2548
2010-05-07,3.2735
2010-05-08,3.2735
2010-05-09,3.2735
2010-05-10,3.1985
2010-05-11,3.2105
2010-05-12,3.2045
2010-05-13,3.1975
2010-05-14,3.1925
2010-05-15,3.1925
2010-05-16,3.1925
2010-05-17,3.2263
2010-05-18,3.2123
2010-05-19,3.2535
